c,h,l,n,o,t,v,vw
20.88,23.19,20.5,19142,21.0,2021-08-06T04:00:00Z,3801493,21.255826
23.06,26.78,21.02,12654,21.7,2021-08-09T04:00:00Z,1554590,23.767506
24.2,25.4614,22.39,6056,23.06,2021-08-10T04:00:00Z,1022298,24.535989
27.76,28.575,23.77,5037,24.12,2021-08-11T04:00:00Z,760106,26.391525
29.22,31.5825,27.6801,7223,28.11,2021-08-12T04:00:00Z,2791421,29.12062
26.66,29.5763,25.0,4646,28.27,2021-08-13T04:00:00Z,583416,26.317921
27.97,28.505,26.0001,5042,26.1,2021-08-16T04:00:00Z,376935,27.759992
26.89,29.21,26.28,4572,27.95,2021-08-17T04:00:00Z,678331,27.317107
26.8,27.925,25.4,5261,27.05,2021-08-18T04:00:00Z,623879,27.005381
26.94,27.8499,26.01,3697,26.38,2021-08-19T04:00:00Z,363201,27.066084
27.64,27.86,26.558,5336,27.05,2021-08-20T04:00:00Z,833380,27.304001
29.25,29.8,27.17,4803,27.91,2021-08-23T04:00:00Z,499346,28.91334
29.22,29.62,28.6,3196,29.57,2021-08-24T04:00:00Z,390742,29.19461
27.97,29.33,27.84,2222,29.33,2021-08-25T04:00:00Z,190399,28.331159
27.24,29.6499,26.95,3506,28.2,2021-08-26T04:00:00Z,344255,28.454311
30.38,32.98,26.87,4737,27.22,2021-08-27T04:00:00Z,361795,30.502095
32.34,32.34,30.325,4126,30.7,2021-08-30T04:00:00Z,372772,31.387249
33.84,34.74,32.66,7894,32.9,2021-08-31T04:00:00Z,944534,33.782057
33.75,35.0,33.5,4313,33.9,2021-09-01T04:00:00Z,280197,34.032047
35.84,36.12,33.5,3301,33.75,2021-09-02T04:00:00Z,207001,34.637066
42.39,44.689,35.69,9094,35.85,2021-09-03T04:00:00Z,596814,40.958996
41.75,42.33,38.13,8652,42.08,2021-09-07T04:00:00Z,485485,41.011678
42.49,43.28,41.501,4745,41.62,2021-09-08T04:00:00Z,308621,42.695627
46.91,48.37,42.22,6745,42.6,2021-09-09T04:00:00Z,490619,45.429664
53.9,54.59,45.63,8774,47.75,2021-09-10T04:00:00Z,580485,49.779511
43.0,58.59,41.32,13931,54.71,2021-09-13T04:00:00Z,952666,52.003239
49.37,50.95,43.0479,10771,43.05,2021-09-14T04:00:00Z,685485,47.430923
55.3,57.7289,49.42,14764,49.42,2021-09-15T04:00:00Z,1248559,54.870042
56.08,56.08,50.3061,7051,55.01,2021-09-16T04:00:00Z,535273,54.848748
51.46,59.5,50.435,12312,56.02,2021-09-17T04:00:00Z,6340156,51.737587
46.23,52.22,44.43,8768,49.01,2021-09-20T04:00:00Z,706924,47.331647
47.86,52.16,47.04,7289,47.64,2021-09-21T04:00:00Z,649607,48.504487
44.92,47.76,43.52,5064,47.76,2021-09-22T04:00:00Z,292251,44.951422
46.74,47.12,43.03,2767,45.37,2021-09-23T04:00:00Z,178013,45.923693
43.72,47.2,42.51,3850,47.13,2021-09-24T04:00:00Z,317023,44.262545
45.1,46.155,42.515,3646,43.84,2021-09-27T04:00:00Z,271131,44.833407
39.53,44.97,37.9,6076,44.61,2021-09-28T04:00:00Z,557660,39.885405
40.54,43.41,38.76,3314,39.68,2021-09-29T04:00:00Z,245976,40.726564
42.24,42.73,39.58,3987,40.79,2021-09-30T04:00:00Z,291579,41.428232
27.98,35.0,23.5101,26497,35.0,2021-10-01T04:00:00Z,3348336,27.280572
28.63,29.08,26.12,13756,27.78,2021-10-04T04:00:00Z,1205739,27.871614
31.87,32.76,28.4043,12991,28.43,2021-10-05T04:00:00Z,928060,30.517629
30.97,32.9899,30.0304,6443,30.92,2021-10-06T04:00:00Z,559553,31.20091
31.4,32.819,31.001,6612,31.25,2021-10-07T04:00:00Z,450736,31.833321
34.32,36.0,30.92,5554,31.42,2021-10-08T04:00:00Z,386034,33.247902
34.94,35.92,33.84,3570,34.35,2021-10-11T04:00:00Z,218876,34.908757
34.95,36.41,34.63,3218,35.0,2021-10-12T04:00:00Z,224940,35.403111
30.74,35.025,29.78,8356,35.01,2021-10-13T04:00:00Z,569778,32.128625
30.87,32.499,29.33,5057,31.13,2021-10-14T04:00:00Z,324127,30.896544
32.43,32.95,30.99,4140,31.29,2021-10-15T04:00:00Z,331971,32.144743
33.62,35.0,32.26,4721,32.26,2021-10-18T04:00:00Z,305599,33.943182
37.07,38.24,34.47,7615,34.78,2021-10-19T04:00:00Z,558522,36.663474
35.74,38.48,35.211,6336,37.0,2021-10-20T04:00:00Z,405796,36.636209
33.65,36.0768,33.1,4042,35.74,2021-10-21T04:00:00Z,300141,34.054456
33.75,33.99,30.505,3226,33.54,2021-10-22T04:00:00Z,249804,32.694278
32.05,34.59,31.2,3374,33.39,2021-10-25T04:00:00Z,200479,32.125615
32.76,33.1,31.571,2524,32.51,2021-10-26T04:00:00Z,113250,32.638947
