c,h,l,n,o,t,v,vw
38.44,38.51,38.0,2119,38.37,2016-01-04T05:00:00Z,548721,38.22
38.4,38.45,38.17,1132,38.36,2016-01-05T05:00:00Z,369971,38.34
37.74,37.85,37.55,1749,37.59,2016-01-06T05:00:00Z,498306,37.72
36.95,37.35,36.9,2153,36.94,2016-01-07T05:00:00Z,479565,37.12
36.49,37.18,36.46,2204,37.03,2016-01-08T05:00:00Z,774353,36.79
36.56,36.88,36.27,3676,36.84,2016-01-11T05:00:00Z,1188598,36.51
36.71,36.9,36.36,1686,36.81,2016-01-12T05:00:00Z,6471885,36.46
36.1,36.99,36.06,778,36.9,2016-01-13T05:00:00Z,333104,36.55
36.56,36.71,35.97,1498,36.22,2016-01-14T05:00:00Z,379942,36.37
35.29,35.58,35.05,1933,35.42,2016-01-15T05:00:00Z,452679,35.4
35.57,35.86,35.32,1208,35.86,2016-01-19T05:00:00Z,469932,35.64
34.77,34.96,34.07,2898,34.88,2016-01-20T05:00:00Z,740789,34.54
35.01,35.21,34.4,504,34.62,2016-01-21T05:00:00Z,153159,34.86
36.07,36.14,35.79,856,35.88,2016-01-22T05:00:00Z,168927,35.98
35.55,35.99,35.53,908,35.82,2016-01-25T05:00:00Z,305805,35.78
36.21,36.24,35.7,743,35.79,2016-01-26T05:00:00Z,232917,36.04
35.94,36.5,35.79,1445,36.04,2016-01-27T05:00:00Z,299771,36.14
36.21,36.49,35.91,630,36.39,2016-01-28T05:00:00Z,132813,36.19
36.98,36.99,36.45,610,36.45,2016-01-29T05:00:00Z,667956,36.88
36.9,37.01,36.55,995,36.66,2016-02-01T05:00:00Z,332926,36.84
36.02,36.45,35.87,2748,36.45,2016-02-02T05:00:00Z,877113,36.05
36.45,36.48,35.69,1064,36.12,2016-02-03T05:00:00Z,230252,36.2
36.58,36.78,36.39,712,36.48,2016-02-04T05:00:00Z,263400,36.51
36.06,36.56,35.95,616,36.52,2016-02-05T05:00:00Z,167431,36.1
35.49,35.53,35.12,979,35.49,2016-02-08T05:00:00Z,262989,35.26
34.99,35.16,34.77,1056,34.82,2016-02-09T05:00:00Z,240091,35.0
35.02,35.44,34.92,462,35.31,2016-02-10T05:00:00Z,140934,35.22
34.57,34.7,34.26,2196,34.62,2016-02-11T05:00:00Z,392458,34.45
34.98,35.07,34.54,606,34.76,2016-02-12T05:00:00Z,267066,34.79
35.77,35.8,35.45,756,35.8,2016-02-16T05:00:00Z,208497,35.65
36.45,36.49,36.08,1470,36.17,2016-02-17T05:00:00Z,405293,36.37
36.33,36.7,36.29,1021,36.7,2016-02-18T05:00:00Z,561037,36.45
36.25,36.28,35.96,1372,36.1,2016-02-19T05:00:00Z,396867,36.21
36.71,36.75,36.58,631,36.58,2016-02-22T05:00:00Z,116637,36.68
36.14,36.51,36.09,1467,36.42,2016-02-23T05:00:00Z,381828,36.23
36.07,36.11,35.4,392,35.63,2016-02-24T05:00:00Z,109735,35.71
36.47,36.47,36.05,633,36.06,2016-02-25T05:00:00Z,159687,36.26
36.29,36.7,36.24,562,36.64,2016-02-26T05:00:00Z,154829,36.42
36.27,36.52,36.21,1694,36.36,2016-02-29T05:00:00Z,748966,36.32
37.2,37.2,36.68,461,36.79,2016-03-01T05:00:00Z,172915,37.06
37.5,37.5,37.1,598,37.2,2016-03-02T05:00:00Z,115400,37.29
37.85,37.85,37.54,471,37.57,2016-03-03T05:00:00Z,79254,37.7
38.26,38.42,38.01,671,38.08,2016-03-04T05:00:00Z,160544,38.29
38.24,38.38,37.84,851,37.91,2016-03-07T05:00:00Z,192689,38.19
37.78,38.0,37.73,1663,37.99,2016-03-08T05:00:00Z,378501,37.86
37.97,38.05,37.82,484,37.97,2016-03-09T05:00:00Z,164304,37.96
37.89,38.37,37.6,511,38.13,2016-03-10T05:00:00Z,110893,37.98
38.88,38.88,38.49,858,38.49,2016-03-11T05:00:00Z,211525,38.75
38.76,38.82,38.64,608,38.81,2016-03-14T04:00:00Z,254570,38.72
38.31,38.31,38.15,597,38.2,2016-03-15T04:00:00Z,180497,38.23
38.83,38.83,38.08,1291,38.11,2016-03-16T04:00:00Z,379430,38.25
39.26,39.33,38.83,920,38.88,2016-03-17T04:00:00Z,462266,39.16
39.23,39.34,39.17,711,39.3,2016-03-18T04:00:00Z,138120,39.27
39.23,39.3,39.05,521,39.21,2016-03-21T04:00:00Z,119104,39.16
39.15,39.23,38.83,687,38.83,2016-03-22T04:00:00Z,181099,39.09
38.67,39.03,38.62,838,38.96,2016-03-23T04:00:00Z,236578,38.7
38.47,38.47,38.13,526,38.29,2016-03-24T04:00:00Z,206915,38.33
38.65,38.8,38.49,2589,38.7,2016-03-28T04:00:00Z,555902,38.63
39.12,39.12,38.39,492,38.51,2016-03-29T04:00:00Z,126275,38.77
39.47,39.68,39.38,969,39.42,2016-03-30T04:00:00Z,267687,39.51
39.15,39.44,39.11,656,39.4,2016-03-31T04:00:00Z,199261,39.27
38.84,38.86,38.37,521,38.43,2016-04-01T04:00:00Z,204843,38.62
38.69,38.95,38.64,1177,38.95,2016-04-04T04:00:00Z,280204,38.8
37.92,38.09,37.9,1034,38.09,2016-04-05T04:00:00Z,240761,38.02
38.52,38.52,38.01,761,38.08,2016-04-06T04:00:00Z,203990,38.25
37.97,38.27,37.84,771,38.24,2016-04-07T04:00:00Z,278751,38.06
38.63,38.78,38.58,438,38.61,2016-04-08T04:00:00Z,167837,38.73
38.8,39.13,38.8,1524,39.0,2016-04-11T04:00:00Z,418863,39.05
39.45,39.46,38.89,448,39.08,2016-04-12T04:00:00Z,87710,39.27
39.98,40.01,39.8,1866,39.91,2016-04-13T04:00:00Z,248966,39.92
39.97,40.06,39.92,662,39.99,2016-04-14T04:00:00Z,126096,40.01
39.89,39.99,39.84,646,39.95,2016-04-15T04:00:00Z,165080,39.92
40.17,40.22,39.79,811,39.79,2016-04-18T04:00:00Z,168943,40.13
40.82,40.88,40.63,1701,40.75,2016-04-19T04:00:00Z,349584,40.76
40.82,40.98,40.65,591,40.76,2016-04-20T04:00:00Z,89314,40.81
40.52,40.74,40.44,647,40.74,2016-04-21T04:00:00Z,156979,40.59
40.5,40.64,40.33,624,40.51,2016-04-22T04:00:00Z,167238,40.46
40.31,40.37,40.19,445,40.24,2016-04-25T04:00:00Z,113701,40.26
40.49,40.53,40.37,492,40.49,2016-04-26T04:00:00Z,107903,40.46
40.57,40.66,40.32,1130,40.4,2016-04-27T04:00:00Z,190656,40.52
40.14,40.52,40.07,710,40.25,2016-04-28T04:00:00Z,157107,40.32
40.11,40.25,39.86,600,40.18,2016-04-29T04:00:00Z,165423,40.0
40.27,40.33,40.1,608,40.25,2016-05-02T04:00:00Z,223845,40.2
39.53,39.84,39.47,1409,39.84,2016-05-03T04:00:00Z,703725,39.56
39.05,39.29,38.98,415,39.26,2016-05-04T04:00:00Z,132156,39.12
39.02,39.18,38.92,347,39.18,2016-05-05T04:00:00Z,113052,39.07
39.09,39.13,38.81,480,38.84,2016-05-06T04:00:00Z,181111,38.99
