c,h,l,n,o,t,v,vw
65.82,66.71,65.14,9270,66.31,2016-01-04T05:00:00Z,875027,65.77
66.5,66.59,65.6,8220,65.85,2016-01-05T05:00:00Z,1057946,66.18
65.45,66.2,65.05,7363,65.52,2016-01-06T05:00:00Z,622391,65.52
63.61,64.54,63.15,9391,64.48,2016-01-07T05:00:00Z,890276,63.75
62.93,64.15,62.8,8164,63.66,2016-01-08T05:00:00Z,895829,63.27
62.16,64.07,61.81,13562,63.56,2016-01-11T05:00:00Z,1463377,62.26
62.49,64.99,62.17,16864,63.76,2016-01-12T05:00:00Z,1976163,62.68
60.66,65.06,60.37,14875,62.67,2016-01-13T05:00:00Z,1513516,61.07
60.51,61.6,59.62,18888,61.14,2016-01-14T05:00:00Z,2297757,60.5
60.16,60.47,58.68,18249,59.08,2016-01-15T05:00:00Z,2145505,59.73
60.24,61.15,59.56,12076,60.94,2016-01-19T05:00:00Z,1278393,60.3
60.65,61.11,59.05,20002,59.41,2016-01-20T05:00:00Z,2074203,60.08
61.83,63.34,60.92,22530,62.75,2016-01-21T05:00:00Z,2695403,61.89
62.96,63.64,62.27,13265,62.46,2016-01-22T05:00:00Z,1764046,62.94
63.52,64.48,62.78,16908,63.39,2016-01-25T05:00:00Z,1827357,63.83
65.89,66.31,63.59,16884,63.59,2016-01-26T05:00:00Z,1700956,65.36
64.58,66.72,64.22,14259,65.97,2016-01-27T05:00:00Z,1338931,65.19
64.83,65.47,63.86,9717,64.96,2016-01-28T05:00:00Z,971498,64.73
67.1,67.12,64.83,12580,64.83,2016-01-29T05:00:00Z,1692375,66.66
67.65,67.78,66.43,10319,66.5,2016-02-01T05:00:00Z,1072271,67.43
66.14,68.07,65.89,11577,67.52,2016-02-02T05:00:00Z,1139832,66.39
66.73,67.02,65.59,9888,66.48,2016-02-03T05:00:00Z,880707,66.47
69.24,69.38,66.7,13717,66.7,2016-02-04T05:00:00Z,1465089,68.81
69.0,69.29,68.3,11132,68.89,2016-02-05T05:00:00Z,1025234,68.92
69.4,69.53,67.42,12551,68.64,2016-02-08T05:00:00Z,1191507,68.56
69.33,70.21,68.76,11929,68.78,2016-02-09T05:00:00Z,1049682,69.54
67.84,70.73,67.69,13454,69.79,2016-02-10T05:00:00Z,1256003,68.3
67.55,68.0,66.22,11267,67.27,2016-02-11T05:00:00Z,1167315,67.26
68.9,69.13,68.29,9720,68.35,2016-02-12T05:00:00Z,1104577,68.8
69.94,70.34,68.4,9662,69.46,2016-02-16T05:00:00Z,856078,69.65
71.36,71.78,70.02,12434,70.23,2016-02-17T05:00:00Z,1094886,71.19
71.61,71.84,70.91,16309,71.36,2016-02-18T05:00:00Z,1578032,71.45
71.06,71.7,69.96,14610,71.12,2016-02-19T05:00:00Z,1373792,70.96
71.58,72.95,71.29,7107,72.01,2016-02-22T05:00:00Z,738147,71.69
70.48,71.75,70.35,7925,71.53,2016-02-23T05:00:00Z,710325,70.9
70.17,70.43,68.93,8646,70.07,2016-02-24T05:00:00Z,777104,69.74
71.42,71.44,70.02,6905,70.33,2016-02-25T05:00:00Z,679453,70.77
72.25,72.73,71.64,6866,71.74,2016-02-26T05:00:00Z,713458,72.25
70.62,72.28,70.62,8427,72.26,2016-02-29T05:00:00Z,1011579,71.09
71.92,72.27,70.85,8681,70.93,2016-03-01T05:00:00Z,864016,71.88
