c,h,l,n,o,t,v,vw
0.871,0.9373,0.82,527,0.9115,2021-09-15T04:00:00Z,474554,0.864065
0.83,1.0,0.8,379,0.8001,2021-09-16T04:00:00Z,123373,0.885613
0.75,0.81,0.7001,96,0.8,2021-09-17T04:00:00Z,23198,0.790154
0.7902,0.7902,0.7901,3,0.7901,2021-09-20T04:00:00Z,400,0.79015
0.825776,0.825776,0.7512,4,0.7512,2021-09-21T04:00:00Z,1130,0.785098
0.79,0.79,0.78,10,0.7804,2021-09-22T04:00:00Z,1464,0.783812
0.72,0.7805,0.72,12,0.75,2021-09-23T04:00:00Z,5833,0.730407
0.705,0.705,0.6501,49,0.6601,2021-09-24T04:00:00Z,8770,0.682605
0.9077,0.908001,0.7888,41,0.7899,2021-09-27T04:00:00Z,30523,0.83307
0.77,0.8501,0.7005,113,0.837,2021-09-28T04:00:00Z,119310,0.756596
0.603,0.718,0.603,25,0.69,2021-09-29T04:00:00Z,19630,0.623515
0.7999,0.7999,0.6101,4,0.6101,2021-09-30T04:00:00Z,900,0.708878
0.7999,0.7999,0.7999,0,0.7999,2021-10-01T04:00:00Z,0,0.0
0.745,0.745,0.745,9,0.745,2021-10-04T04:00:00Z,680,0.745
0.500201,0.64995,0.500201,2,0.64995,2021-10-05T04:00:00Z,700,0.607165
0.5001,0.5001,0.5001,1,0.5001,2021-10-06T04:00:00Z,1500,0.5001
0.4901,0.5185,0.4801,90,0.5101,2021-10-07T04:00:00Z,47043,0.501409
0.5001,0.5001,0.5001,1,0.5001,2021-10-08T04:00:00Z,100,0.5001
0.5001,0.5001,0.5001,0,0.5001,2021-10-11T04:00:00Z,0,0.0
0.5002,0.5002,0.5002,2,0.5002,2021-10-12T04:00:00Z,400,0.5002
0.5002,0.5002,0.5002,0,0.5002,2021-10-13T04:00:00Z,0,0.0
0.6401,0.6501,0.55,13,0.55,2021-10-14T04:00:00Z,3280,0.558028
0.7488,0.7889,0.7164,21,0.7499,2021-10-15T04:00:00Z,9930,0.750188
0.603096,0.6201,0.6002,16,0.6002,2021-10-18T04:00:00Z,7150,0.603711
0.502,0.619951,0.48,41,0.6002,2021-10-19T04:00:00Z,11685,0.541613
0.502,0.502,0.502,0,0.502,2021-10-20T04:00:00Z,0,0.0
0.502,0.502,0.502,0,0.502,2021-10-21T04:00:00Z,0,0.0
0.7,0.7,0.4997,42,0.5057,2021-10-22T04:00:00Z,27392,0.531504
0.64,0.65,0.64,36,0.65,2021-10-25T04:00:00Z,16114,0.646413
0.63,0.6303,0.63,8,0.6301,2021-10-26T04:00:00Z,8500,0.630056
0.6025,0.89,0.6,351,0.6498,2021-10-27T04:00:00Z,166718,0.730147
0.57,0.7254,0.5402,41,0.600101,2021-10-28T04:00:00Z,12243,0.600654
0.58,0.6,0.58,11,0.58,2021-10-29T04:00:00Z,3893,0.591229
0.5801,0.5999,0.58,28,0.58,2021-11-01T04:00:00Z,7700,0.589009
0.5766,0.5766,0.56,6,0.56,2021-11-02T04:00:00Z,623,0.568198
0.5999,0.6099,0.59,27,0.5999,2021-11-03T04:00:00Z,2108,0.597183
0.5999,0.5999,0.5999,0,0.5999,2021-11-04T04:00:00Z,0,0.0
0.5999,0.5999,0.5999,0,0.5999,2021-11-05T04:00:00Z,0,0.0
0.58,0.6,0.58,45,0.5998,2021-11-08T05:00:00Z,24748,0.597505
0.5601,0.58005,0.5601,29,0.57,2021-11-09T05:00:00Z,22200,0.569289
0.5212,0.58005,0.5211,29,0.58005,2021-11-10T05:00:00Z,13308,0.554687
0.5101,0.5211,0.5101,5,0.5211,2021-11-11T05:00:00Z,11164,0.515122
0.5108,0.5108,0.5108,1,0.5108,2021-11-12T05:00:00Z,100,0.5108
0.5108,0.5108,0.5108,0,0.5108,2021-11-15T05:00:00Z,0,0.0
0.5108,0.5108,0.5108,0,0.5108,2021-11-16T05:00:00Z,0,0.0
0.51,0.53,0.51,23,0.53,2021-11-17T05:00:00Z,6710,0.512516
0.52,0.5999,0.51,141,0.5999,2021-11-18T05:00:00Z,24031,0.547678
0.4024,0.5201,0.4002,125,0.52,2021-11-19T05:00:00Z,42003,0.483343
0.3806,0.4049,0.38,11,0.4,2021-11-22T05:00:00Z,4990,0.385869
0.8399,1.59,0.8,24023,0.95,2021-11-23T05:00:00Z,10568535,1.09114
0.55,0.7115,0.5,2434,0.6321,2021-11-24T05:00:00Z,1579906,0.579549
0.634951,0.6899,0.5028,339,0.56,2021-11-26T05:00:00Z,220261,0.587823
0.64,0.8599,0.61,2581,0.8599,2021-11-29T05:00:00Z,1517668,0.709308
0.53,0.71,0.53,399,0.71,2021-11-30T05:00:00Z,293985,0.599812
0.4401,0.6049,0.440001,242,0.574949,2021-12-01T05:00:00Z,167251,0.483096
0.5395,0.5395,0.43,170,0.4805,2021-12-02T05:00:00Z,119472,0.495209
0.4105,0.5,0.41,160,0.5,2021-12-03T05:00:00Z,127382,0.442238
0.3956,0.4599,0.355,307,0.4101,2021-12-06T05:00:00Z,200765,0.413316
0.401,0.4376,0.4001,42,0.4001,2021-12-07T05:00:00Z,24182,0.408178
0.401,0.4139,0.360101,108,0.3905,2021-12-08T05:00:00Z,58584,0.397388
0.425,0.4913,0.39,116,0.4498,2021-12-09T05:00:00Z,95445,0.428947
0.389699,0.4347,0.36,81,0.40745,2021-12-10T05:00:00Z,58150,0.391134
0.38,0.4054,0.36,76,0.36,2021-12-13T05:00:00Z,37664,0.374759
0.3377,0.36,0.31,49,0.36,2021-12-14T05:00:00Z,26561,0.334646
0.314951,0.320101,0.2649,182,0.320101,2021-12-15T05:00:00Z,180655,0.282555
0.32,0.388,0.280101,50,0.3299,2021-12-16T05:00:00Z,27471,0.321206
0.296799,0.352,0.2601,232,0.352,2021-12-17T05:00:00Z,78134,0.280748
0.272101,0.2899,0.2698,28,0.2899,2021-12-20T05:00:00Z,20457,0.272954
0.3629,0.3998,0.2702,174,0.3998,2021-12-21T05:00:00Z,130944,0.35197
0.35,0.381,0.311301,40,0.36,2021-12-22T05:00:00Z,19796,0.351221
0.44,0.5,0.3809,1569,0.42,2021-12-23T05:00:00Z,993914,0.439794
