c,h,l,n,o,t,v,vw
40.38,40.38,39.89,9251,40.22,2016-01-04T05:00:00Z,1096821,40.19
40.84,40.9,40.04,7961,40.37,2016-01-05T05:00:00Z,895312,40.5
40.98,41.0,40.36,8486,40.52,2016-01-06T05:00:00Z,1670603,40.84
40.61,41.48,40.01,9121,40.38,2016-01-07T05:00:00Z,946689,40.92
40.8,41.44,40.7,9525,41.02,2016-01-08T05:00:00Z,1068203,41.06
39.21,41.12,39.02,9974,40.86,2016-01-11T05:00:00Z,1055335,39.61
39.76,39.8,39.13,7441,39.58,2016-01-12T05:00:00Z,694866,39.58
38.88,40.17,38.81,6708,39.98,2016-01-13T05:00:00Z,593854,39.39
39.42,39.63,37.9,6954,38.97,2016-01-14T05:00:00Z,679032,39.03
37.59,38.92,37.28,9710,38.67,2016-01-15T05:00:00Z,1063610,37.66
37.65,38.02,37.16,10775,37.63,2016-01-19T05:00:00Z,1314582,37.63
36.78,37.39,35.87,11061,37.25,2016-01-20T05:00:00Z,1105374,36.58
36.54,37.31,36.29,9266,36.81,2016-01-21T05:00:00Z,942748,36.7
37.97,38.07,36.82,8894,36.94,2016-01-22T05:00:00Z,1003204,37.72
37.05,37.97,37.01,8758,37.71,2016-01-25T05:00:00Z,854726,37.33
37.62,37.88,36.93,7661,37.05,2016-01-26T05:00:00Z,807325,37.5
37.22,37.8,36.96,8196,37.61,2016-01-27T05:00:00Z,876685,37.44
37.17,37.57,36.95,5239,37.36,2016-01-28T05:00:00Z,499799,37.23
37.89,37.96,37.08,6915,37.3,2016-01-29T05:00:00Z,790245,37.7
37.96,38.28,37.51,7320,37.67,2016-02-01T05:00:00Z,668088,37.97
37.47,38.08,37.2,5018,37.84,2016-02-02T05:00:00Z,495064,37.44
37.65,38.11,37.12,7356,37.67,2016-02-03T05:00:00Z,900730,37.48
37.51,37.8,37.18,7041,37.43,2016-02-04T05:00:00Z,779670,37.53
36.42,38.2,36.12,11708,37.49,2016-02-05T05:00:00Z,1407864,36.43
34.67,36.34,33.58,12006,36.22,2016-02-08T05:00:00Z,1240123,34.68
33.85,34.49,33.63,10615,34.33,2016-02-09T05:00:00Z,1142509,34.01
34.32,34.83,33.8,5267,33.89,2016-02-10T05:00:00Z,540683,34.39
34.19,34.47,33.63,5838,33.63,2016-02-11T05:00:00Z,546757,34.18
34.95,35.03,34.37,6844,34.62,2016-02-12T05:00:00Z,658158,34.83
35.91,35.91,35.21,5886,35.26,2016-02-16T05:00:00Z,580352,35.68
36.68,37.22,36.04,12082,36.05,2016-02-17T05:00:00Z,1485699,36.81
37.15,37.47,36.75,11179,36.83,2016-02-18T05:00:00Z,1348092,37.13
37.3,37.45,36.84,6058,36.88,2016-02-19T05:00:00Z,556900,37.25
38.51,38.56,37.23,10673,37.44,2016-02-22T05:00:00Z,1061963,38.22
36.59,38.15,36.4,12406,38.15,2016-02-23T05:00:00Z,1403029,37.04
36.64,36.75,35.46,11630,36.31,2016-02-24T05:00:00Z,1607749,36.37
37.67,37.71,36.55,6654,36.67,2016-02-25T05:00:00Z,693314,37.17
37.84,38.18,37.8,5223,37.85,2016-02-26T05:00:00Z,564662,37.97
38.58,38.97,37.76,8973,37.76,2016-02-29T05:00:00Z,1001045,38.58
38.74,39.23,38.42,7340,38.72,2016-03-01T05:00:00Z,726652,38.75
39.44,39.64,38.8,6458,38.8,2016-03-02T05:00:00Z,622871,39.19
40.08,40.13,39.27,8434,39.3,2016-03-03T05:00:00Z,933908,39.87
40.19,40.49,39.92,6096,40.19,2016-03-04T05:00:00Z,634063,40.2
40.45,40.56,39.88,6048,39.98,2016-03-07T05:00:00Z,631113,40.34
39.38,40.26,39.31,5101,40.23,2016-03-08T05:00:00Z,629633,39.66
39.63,39.92,38.91,4350,39.61,2016-03-09T05:00:00Z,979482,39.62
40.0,40.27,39.35,7466,39.83,2016-03-10T05:00:00Z,1054845,39.97
40.64,40.81,40.2,7887,40.26,2016-03-11T05:00:00Z,895956,40.6
40.37,41.07,40.16,5087,40.16,2016-03-14T04:00:00Z,624251,40.48
40.36,40.5,39.21,4644,39.93,2016-03-15T04:00:00Z,496185,40.26
40.96,41.07,39.96,3923,40.24,2016-03-16T04:00:00Z,312753,40.77
41.04,41.19,40.4,4906,40.96,2016-03-17T04:00:00Z,477647,41.02
40.83,41.7,40.2,4598,40.92,2016-03-18T04:00:00Z,781090,40.96
