c,h,l,n,o,t,v,vw
147.0,147.0,144.75,7,147.0,2019-03-25T04:00:00Z,6833,146.28
147.15,147.15,147.15,1,147.15,2019-03-26T04:00:00Z,166,147.15
147.15,147.15,147.15,0,147.15,2019-03-27T04:00:00Z,0,0.0
146.25,146.25,146.25,2,146.25,2019-03-28T04:00:00Z,37,146.25
146.25,146.25,146.25,0,146.25,2019-03-29T04:00:00Z,0,0.0
147.38,147.6,147.0,12,147.0,2019-04-01T04:00:00Z,36539,147.0
147.15,147.15,147.15,60,147.15,2019-04-02T04:00:00Z,12586,147.15
147.15,147.15,147.15,0,147.15,2019-04-03T04:00:00Z,0,0.0
146.85,147.0,146.85,9,147.0,2019-04-04T04:00:00Z,113,146.89
147.3,147.3,147.3,1,147.3,2019-04-05T04:00:00Z,66,147.3
147.45,147.45,147.45,2,147.45,2019-04-08T04:00:00Z,66,147.45
147.45,147.45,147.45,1,147.45,2019-04-09T04:00:00Z,6,147.45
147.0,147.45,147.0,4,147.45,2019-04-10T04:00:00Z,93,147.32
147.0,147.0,147.0,0,147.0,2019-04-11T04:00:00Z,0,0.0
147.75,147.75,147.75,9,147.75,2019-04-12T04:00:00Z,568,147.75
147.75,147.75,147.75,0,147.75,2019-04-15T04:00:00Z,0,0.0
147.75,147.75,147.75,0,147.75,2019-04-16T04:00:00Z,0,0.0
147.45,147.45,146.93,3,146.93,2019-04-17T04:00:00Z,40,147.36
147.3,147.38,147.0,8,147.0,2019-04-18T04:00:00Z,26040,147.33
147.0,147.0,147.0,2,147.0,2019-04-22T04:00:00Z,3333,147.0
147.75,147.75,147.75,3,147.75,2019-04-23T04:00:00Z,60,147.75
147.0,147.0,147.0,1,147.0,2019-04-24T04:00:00Z,6,147.0
147.75,147.75,147.0,393,147.75,2019-04-25T04:00:00Z,6291,147.75
147.45,147.9,147.15,10,147.9,2019-04-26T04:00:00Z,80,147.39
147.45,147.45,147.45,0,147.45,2019-04-29T04:00:00Z,0,0.0
147.45,147.45,147.45,0,147.45,2019-04-30T04:00:00Z,0,0.0
147.45,147.45,147.45,0,147.45,2019-05-01T04:00:00Z,0,0.0
148.5,148.5,147.9,4,147.9,2019-05-02T04:00:00Z,20,148.2
148.5,148.5,147.75,4,147.75,2019-05-03T04:00:00Z,1665,148.5
148.5,148.5,148.5,0,148.5,2019-05-06T04:00:00Z,0,0.0
148.5,148.5,148.5,0,148.5,2019-05-07T04:00:00Z,0,0.0
148.5,148.5,148.5,0,148.5,2019-05-08T04:00:00Z,0,0.0
148.5,148.5,148.5,0,148.5,2019-05-09T04:00:00Z,0,0.0
148.5,148.5,148.5,0,148.5,2019-05-10T04:00:00Z,0,0.0
148.5,148.5,148.5,0,148.5,2019-05-13T04:00:00Z,0,0.0
148.5,148.5,148.5,0,148.5,2019-05-14T04:00:00Z,0,0.0
148.5,148.5,148.5,0,148.5,2019-05-15T04:00:00Z,0,0.0
148.5,148.5,148.5,0,148.5,2019-05-16T04:00:00Z,0,0.0
149.55,149.55,149.55,2,149.55,2019-05-17T04:00:00Z,13,149.55
148.95,149.55,148.95,12,149.55,2019-05-20T04:00:00Z,415,149.01
148.95,148.95,148.95,0,148.95,2019-05-21T04:00:00Z,0,0.0
148.95,148.95,148.95,0,148.95,2019-05-22T04:00:00Z,0,0.0
148.95,148.95,148.95,0,148.95,2019-05-23T04:00:00Z,0,0.0
148.95,148.95,148.95,0,148.95,2019-05-24T04:00:00Z,0,0.0
148.5,148.5,148.5,23,148.5,2019-05-28T04:00:00Z,47,148.5
148.5,148.5,148.5,0,148.5,2019-05-29T04:00:00Z,0,0.0
148.5,148.5,148.5,1,148.5,2019-05-30T04:00:00Z,1666,148.5
148.5,148.5,148.5,0,148.5,2019-05-31T04:00:00Z,0,0.0
149.25,151.35,149.25,4,151.35,2019-06-03T04:00:00Z,13,150.3
148.5,148.5,148.5,89,148.5,2019-06-04T04:00:00Z,16245,148.5
148.5,148.8,148.5,16,148.8,2019-06-05T04:00:00Z,4734,148.53
148.5,148.5,148.5,0,148.5,2019-06-06T04:00:00Z,0,0.0
148.5,148.5,148.5,0,148.5,2019-06-07T04:00:00Z,0,0.0
150.0,151.5,150.0,3,151.5,2019-06-10T04:00:00Z,200,150.25
149.25,149.25,148.95,32,148.95,2019-06-11T04:00:00Z,633,149.1
148.95,150.0,148.95,3,148.95,2019-06-12T04:00:00Z,33199,148.96
148.95,148.95,148.95,0,148.95,2019-06-13T04:00:00Z,0,0.0
149.85,150.0,149.25,186,150.0,2019-06-14T04:00:00Z,161114,149.78
150.0,150.0,149.25,4,149.25,2019-06-17T04:00:00Z,40,149.67
149.25,157.5,149.25,15,157.5,2019-06-18T04:00:00Z,974,150.41
150.0,150.0,150.0,13,150.0,2019-06-19T04:00:00Z,473,150.0
150.0,150.3,150.0,26,150.0,2019-06-20T04:00:00Z,20023,150.0
150.75,150.75,149.63,69,150.0,2019-06-21T04:00:00Z,1337,150.36
154.18,158.4,154.18,2,158.4,2019-06-24T04:00:00Z,26,155.24
