c,h,l,n,o,t,v,vw
66.8,66.8,44.6,9293,66.8,2022-03-25T04:00:00Z,127426,59.78
66.0,90.0,52.6,37275,66.0,2022-03-28T04:00:00Z,566143,72.29
66.6,72.69,61.6,8436,70.0,2022-03-29T04:00:00Z,148010,68.42
56.0,66.0,56.0,3664,65.2,2022-03-30T04:00:00Z,49661,60.37
46.81,55.0,46.0,2029,54.0,2022-03-31T04:00:00Z,25115,49.76
50.0,59.0,45.6,1569,46.6,2022-04-01T04:00:00Z,33096,51.33
45.0,52.0,44.6,2122,49.6,2022-04-04T04:00:00Z,24155,48.31
40.8,46.6,40.8,1264,43.2,2022-04-05T04:00:00Z,15400,42.7
43.2,45.0,40.2,782,40.2,2022-04-06T04:00:00Z,12320,42.66
37.4,45.82,36.3,858,44.8,2022-04-07T04:00:00Z,15904,40.04
33.8,37.2,33.2,974,37.0,2022-04-08T04:00:00Z,10482,35.28
31.0,35.3,30.8,984,33.8,2022-04-11T04:00:00Z,11755,32.15
31.0,33.2,29.6,859,31.2,2022-04-12T04:00:00Z,19156,31.58
33.6,34.0,31.2,487,31.4,2022-04-13T04:00:00Z,10491,32.92
30.2,33.4,29.8,427,33.4,2022-04-14T04:00:00Z,4593,31.38
33.2,35.0,29.2,659,29.2,2022-04-18T04:00:00Z,15871,32.68
33.0,36.0,31.4,384,36.0,2022-04-19T04:00:00Z,8431,32.59
33.0,36.0,32.48,397,34.0,2022-04-20T04:00:00Z,6306,33.61
28.4,34.8,27.04,840,33.2,2022-04-21T04:00:00Z,11529,29.77
24.6,29.8,23.0,999,28.6,2022-04-22T04:00:00Z,15166,25.33
23.2,25.0,22.2,405,24.0,2022-04-25T04:00:00Z,5033,23.62
23.6,26.0,22.0,801,23.0,2022-04-26T04:00:00Z,19515,23.64
31.4,41.6,24.0,17483,25.0,2022-04-27T04:00:00Z,318842,31.14
30.2,30.6,26.0,1719,27.6,2022-04-28T04:00:00Z,19180,27.96
29.8,31.68,26.4,1583,30.4,2022-04-29T04:00:00Z,11702,28.96
26.2,29.0,25.6,277,29.0,2022-05-02T04:00:00Z,4600,27.09
23.6,26.2,23.6,479,26.2,2022-05-03T04:00:00Z,11885,24.51
29.8,38.2,23.98,14033,24.0,2022-05-04T04:00:00Z,223266,32.63
28.6,31.6,27.6,871,30.0,2022-05-05T04:00:00Z,19159,29.36
27.2,29.33,27.0,288,27.21,2022-05-06T04:00:00Z,3758,27.75
28.6,31.0,27.0,269,30.0,2022-05-09T04:00:00Z,4628,29.34
27.6,29.87,26.28,250,29.0,2022-05-10T04:00:00Z,2670,28.2
22.8,29.5,21.0,651,29.0,2022-05-11T04:00:00Z,10906,25.33
24.0,24.8,20.6,438,22.0,2022-05-12T04:00:00Z,4454,22.53
24.6,24.7,21.0,65,24.0,2022-05-13T04:00:00Z,664,23.76
22.6,24.6,22.6,112,24.6,2022-05-16T04:00:00Z,1522,23.18
19.6,22.4,18.62,586,20.2,2022-05-17T04:00:00Z,18016,20.1
18.7,20.8,18.7,135,20.0,2022-05-18T04:00:00Z,1691,19.44
17.85,19.0,17.0,113,17.2,2022-05-19T04:00:00Z,5343,17.5
18.4,18.4,17.1,72,18.4,2022-05-20T04:00:00Z,2930,17.92
19.5,20.0,18.0,265,18.0,2022-05-23T04:00:00Z,3757,18.6
18.0,20.0,18.0,245,18.02,2022-05-24T04:00:00Z,2738,18.45
17.0,18.8,16.2,62,18.8,2022-05-25T04:00:00Z,1563,17.46
17.96,19.2,16.0,397,16.0,2022-05-26T04:00:00Z,6445,17.53
17.08,20.0,17.0,192,18.4,2022-05-27T04:00:00Z,4690,18.12
16.64,19.8,16.64,87,17.76,2022-05-31T04:00:00Z,1309,17.47
18.0,19.0,17.2,64,17.2,2022-06-01T04:00:00Z,1186,18.05
18.6,18.69,17.58,42,17.58,2022-06-02T04:00:00Z,595,17.8
17.07,18.8,16.1,68,18.8,2022-06-03T04:00:00Z,618,17.08
17.22,17.6,17.22,44,17.58,2022-06-06T04:00:00Z,185,17.48
