c,h,l,n,o,t,v,vw
17.0,17.0,17.0,3,17.0,2019-01-07T05:00:00Z,400,17.0
17.0,17.0,17.0,0,17.0,2019-01-08T05:00:00Z,0,0.0
17.0,17.08,17.0,3,17.08,2019-01-09T05:00:00Z,1800,17.04
17.0,17.0,17.0,0,17.0,2019-01-10T05:00:00Z,0,0.0
17.03,17.04,17.0,7,17.02,2019-01-11T05:00:00Z,3495,17.02
17.02,17.02,17.02,5,17.02,2019-01-14T05:00:00Z,310,17.02
17.0,17.01,16.99,95,17.01,2019-01-15T05:00:00Z,11620,17.01
17.0,17.0,17.0,6,17.0,2019-01-16T05:00:00Z,1117,17.0
17.03,17.03,17.02,65,17.02,2019-01-17T05:00:00Z,6695,17.03
17.01,17.02,17.01,17,17.02,2019-01-18T05:00:00Z,7567,17.02
17.03,17.03,17.03,1,17.03,2019-01-22T05:00:00Z,185,17.03
17.04,17.05,17.02,48,17.05,2019-01-23T05:00:00Z,4600,17.04
17.06,18.08,17.04,109,17.05,2019-01-24T05:00:00Z,23734,17.1
17.06,17.07,17.04,41,17.04,2019-01-25T05:00:00Z,8843,17.05
17.06,17.06,17.06,0,17.06,2019-01-28T05:00:00Z,0,0.0
17.05,17.05,17.05,6,17.05,2019-01-29T05:00:00Z,1818,17.05
17.06,17.06,17.06,2,17.06,2019-01-30T05:00:00Z,501,17.06
17.03,17.03,17.03,37,17.03,2019-01-31T05:00:00Z,1425,17.08
17.08,17.08,17.07,21,17.07,2019-02-01T05:00:00Z,7650,17.07
17.09,17.11,17.08,16,17.08,2019-02-04T05:00:00Z,16495,17.1
17.1,17.1,17.09,13,17.09,2019-02-05T05:00:00Z,7389,17.1
17.13,17.17,17.08,73,17.1,2019-02-06T05:00:00Z,26324,17.11
17.13,17.17,17.11,66,17.17,2019-02-07T05:00:00Z,22251,17.15
17.14,17.28,17.08,169,17.28,2019-02-08T05:00:00Z,90040,17.24
17.14,17.14,17.12,38,17.14,2019-02-11T05:00:00Z,5781,17.14
17.15,17.15,17.11,145,17.14,2019-02-12T05:00:00Z,44120,17.14
17.12,17.13,17.11,112,17.13,2019-02-13T05:00:00Z,16562,17.13
17.16,17.2,17.15,154,17.18,2019-02-14T05:00:00Z,37988,17.16
17.16,17.18,17.15,171,17.15,2019-02-15T05:00:00Z,35426,17.16
17.18,17.18,17.16,280,17.17,2019-02-19T05:00:00Z,49465,17.17
17.18,17.18,17.13,47,17.15,2019-02-20T05:00:00Z,11930,17.17
17.15,17.61,17.15,180,17.27,2019-02-21T05:00:00Z,114709,17.23
17.17,17.18,17.15,27,17.15,2019-02-22T05:00:00Z,2852,17.17
17.21,17.29,17.15,18,17.29,2019-02-25T05:00:00Z,9266,17.27
17.22,17.23,17.19,68,17.23,2019-02-26T05:00:00Z,19543,17.22
17.23,17.23,17.19,8,17.21,2019-02-27T05:00:00Z,2137,17.21
17.21,17.23,17.2,47,17.23,2019-02-28T05:00:00Z,11190,17.21
17.21,17.32,17.2,117,17.32,2019-03-01T05:00:00Z,25061,17.22
17.25,17.31,17.21,197,17.31,2019-03-04T05:00:00Z,59317,17.25
17.22,17.23,17.2,56,17.23,2019-03-05T05:00:00Z,23823,17.23
17.23,17.23,17.2,43,17.2,2019-03-06T05:00:00Z,15224,17.23
17.21,17.22,17.2,60,17.21,2019-03-07T05:00:00Z,19557,17.22
17.21,17.21,17.17,48,17.18,2019-03-08T05:00:00Z,6664,17.2
17.2,17.2,17.2,50,17.2,2019-03-11T04:00:00Z,5648,17.2
17.21,17.21,17.16,67,17.21,2019-03-12T04:00:00Z,16581,17.19
17.21,17.32,17.21,100,17.32,2019-03-13T04:00:00Z,36835,17.26
17.22,17.23,17.18,235,17.21,2019-03-14T04:00:00Z,48641,17.21
17.23,17.23,17.21,144,17.23,2019-03-15T04:00:00Z,25783,17.23
17.22,17.24,17.22,203,17.23,2019-03-18T04:00:00Z,54098,17.23
17.23,17.24,17.23,58,17.24,2019-03-19T04:00:00Z,22170,17.24
17.26,17.32,17.23,33,17.32,2019-03-20T04:00:00Z,11993,17.25
17.25,17.26,17.25,28,17.26,2019-03-21T04:00:00Z,7956,17.26
17.2,17.32,17.2,92,17.32,2019-03-22T04:00:00Z,29571,17.33
17.2,17.27,17.2,31,17.27,2019-03-25T04:00:00Z,4530,17.26
17.22,17.26,17.22,124,17.26,2019-03-26T04:00:00Z,21770,17.24
17.25,17.25,17.22,176,17.25,2019-03-27T04:00:00Z,39594,17.24
17.26,17.26,17.25,12,17.25,2019-03-28T04:00:00Z,1905,17.26
17.23,17.24,17.23,15,17.24,2019-03-29T04:00:00Z,17837,17.24
17.27,17.27,17.2,3,17.2,2019-04-01T04:00:00Z,550,17.24
17.29,17.31,17.25,113,17.25,2019-04-02T04:00:00Z,32626,17.27
17.28,17.28,17.23,51,17.25,2019-04-03T04:00:00Z,9148,17.28
17.28,17.29,17.25,26,17.27,2019-04-04T04:00:00Z,1595,17.29
17.3,17.31,17.3,11,17.31,2019-04-05T04:00:00Z,2264,17.3
17.31,17.31,17.31,26,17.31,2019-04-08T04:00:00Z,8725,17.31
17.32,17.32,17.31,160,17.32,2019-04-09T04:00:00Z,30018,17.32
17.32,17.32,17.28,33,17.28,2019-04-10T04:00:00Z,13138,17.32
17.33,17.35,17.32,165,17.35,2019-04-11T04:00:00Z,29246,17.33
17.32,17.32,17.31,23,17.32,2019-04-12T04:00:00Z,6847,17.32
17.3,17.33,17.3,16,17.3,2019-04-15T04:00:00Z,3657,17.32
17.33,17.36,17.31,9,17.36,2019-04-16T04:00:00Z,3414,17.34
17.31,17.63,17.31,175,17.63,2019-04-17T04:00:00Z,69554,17.44
17.34,17.34,17.31,172,17.34,2019-04-18T04:00:00Z,33119,17.34
17.3,17.32,17.3,10,17.31,2019-04-22T04:00:00Z,3765,17.31
17.35,17.35,17.31,170,17.32,2019-04-23T04:00:00Z,54978,17.34
17.32,17.35,17.32,85,17.35,2019-04-24T04:00:00Z,29903,17.35
17.36,17.36,17.33,207,17.36,2019-04-25T04:00:00Z,47305,17.36
17.36,17.36,17.34,65,17.36,2019-04-26T04:00:00Z,20199,17.36
17.36,17.36,17.36,0,17.36,2019-04-29T04:00:00Z,0,0.0
17.37,17.37,17.33,11,17.35,2019-04-30T04:00:00Z,4428,17.35
17.38,17.39,17.33,142,17.38,2019-05-01T04:00:00Z,78850,17.38
17.38,17.38,17.33,23,17.38,2019-05-02T04:00:00Z,7968,17.36
17.38,17.38,17.36,115,17.37,2019-05-03T04:00:00Z,35335,17.38
17.39,17.39,17.37,24,17.39,2019-05-06T04:00:00Z,5168,17.39
17.36,17.39,17.36,31,17.39,2019-05-07T04:00:00Z,13675,17.39
17.39,17.39,17.34,115,17.39,2019-05-08T04:00:00Z,18852,17.38
17.37,17.44,17.35,298,17.35,2019-05-09T04:00:00Z,68215,17.39
17.37,17.39,17.33,54,17.39,2019-05-10T04:00:00Z,12229,17.37
17.36,17.38,17.36,37,17.38,2019-05-13T04:00:00Z,20473,17.38
17.39,17.39,17.37,204,17.37,2019-05-14T04:00:00Z,69477,17.38
17.36,17.39,17.24,246,17.38,2019-05-15T04:00:00Z,46726,17.32
17.38,17.38,17.36,60,17.36,2019-05-16T04:00:00Z,7844,17.37
17.39,17.39,17.38,54,17.38,2019-05-17T04:00:00Z,7509,17.38
17.38,17.38,17.18,335,17.34,2019-05-20T04:00:00Z,92093,17.27
17.38,17.38,17.38,4,17.38,2019-05-21T04:00:00Z,3683,17.38
17.38,17.39,17.37,7,17.39,2019-05-22T04:00:00Z,2262,17.38
17.37,17.39,17.35,34,17.37,2019-05-23T04:00:00Z,5742,17.38
17.36,17.38,17.33,59,17.38,2019-05-24T04:00:00Z,31918,17.35
17.36,17.4,17.35,42,17.36,2019-05-28T04:00:00Z,11897,17.38
17.38,17.38,17.35,48,17.36,2019-05-29T04:00:00Z,22153,17.37
