c,h,l,n,o,t,v,vw
95.49,98.26,95.12,1105,97.9,2016-01-04T05:00:00Z,125213,95.82
96.72,97.0,94.95,1072,95.82,2016-01-05T05:00:00Z,89690,96.32
94.36,96.01,94.05,1158,95.29,2016-01-06T05:00:00Z,106839,94.61
89.8,92.79,89.64,1370,92.79,2016-01-07T05:00:00Z,119175,90.66
91.44,92.77,89.79,2004,90.38,2016-01-08T05:00:00Z,207997,91.46
91.5,92.44,90.54,1647,92.36,2016-01-11T05:00:00Z,171606,91.56
91.11,92.56,89.62,1061,92.43,2016-01-12T05:00:00Z,110041,91.0
89.74,92.07,89.23,1422,91.64,2016-01-13T05:00:00Z,125402,90.67
90.62,94.27,88.89,1764,90.4,2016-01-14T05:00:00Z,164079,90.43
89.46,89.49,87.23,1484,87.96,2016-01-15T05:00:00Z,171149,88.77
88.03,90.42,83.82,1610,90.42,2016-01-19T05:00:00Z,165372,88.48
87.12,88.62,85.5,2289,86.85,2016-01-20T05:00:00Z,185366,86.86
88.25,89.43,86.78,1649,87.34,2016-01-21T05:00:00Z,194023,88.18
89.86,89.87,88.03,1261,89.3,2016-01-22T05:00:00Z,168303,89.2
90.02,90.61,89.37,1670,89.73,2016-01-25T05:00:00Z,155048,89.94
92.95,93.3,90.29,1727,90.56,2016-01-26T05:00:00Z,167872,92.55
91.87,93.15,91.52,1462,92.68,2016-01-27T05:00:00Z,148658,92.2
92.61,93.08,91.41,1696,92.85,2016-01-28T05:00:00Z,186333,92.32
94.26,94.35,92.53,1455,92.77,2016-01-29T05:00:00Z,212388,93.88
94.65,95.41,92.54,1942,93.6,2016-02-01T05:00:00Z,149214,94.57
103.23,104.51,98.25,3315,101.83,2016-02-02T05:00:00Z,294809,101.99
99.9,104.93,98.46,3385,104.42,2016-02-03T05:00:00Z,308436,100.49
102.94,103.05,99.54,1884,99.54,2016-02-04T05:00:00Z,218087,101.83
101.16,102.68,100.54,1728,102.68,2016-02-05T05:00:00Z,186498,101.22
100.04,100.6,98.82,1772,100.33,2016-02-08T05:00:00Z,167446,99.63
99.94,101.42,97.71,1887,99.03,2016-02-09T05:00:00Z,191485,99.85
99.54,101.37,98.97,1739,100.45,2016-02-10T05:00:00Z,155398,99.82
99.89,101.17,97.99,1503,97.99,2016-02-11T05:00:00Z,120442,99.81
102.05,102.38,100.31,1068,100.98,2016-02-12T05:00:00Z,81742,101.71
104.82,106.07,102.05,1635,102.57,2016-02-16T05:00:00Z,198104,104.38
105.02,106.18,104.32,1318,105.34,2016-02-17T05:00:00Z,149390,105.0
104.9,106.19,104.62,1091,105.39,2016-02-18T05:00:00Z,118643,105.27
104.86,105.7,104.17,1111,104.74,2016-02-19T05:00:00Z,113311,104.85
104.49,105.59,103.48,1492,105.59,2016-02-22T05:00:00Z,156348,104.41
105.64,106.46,104.32,1709,104.35,2016-02-23T05:00:00Z,153818,105.8
105.72,106.59,104.17,1414,105.01,2016-02-24T05:00:00Z,144366,105.58
105.95,106.17,105.48,1255,105.88,2016-02-25T05:00:00Z,128032,105.91
105.74,107.05,105.11,1794,106.36,2016-02-26T05:00:00Z,167889,105.79
105.37,107.21,105.06,1849,105.9,2016-02-29T05:00:00Z,202524,105.61
107.95,108.25,105.81,1276,105.81,2016-03-01T05:00:00Z,120743,107.68
108.88,110.12,107.75,1772,107.75,2016-03-02T05:00:00Z,139113,109.02
108.57,109.48,108.26,1317,108.96,2016-03-03T05:00:00Z,118035,108.62
108.51,108.84,107.38,2031,108.67,2016-03-04T05:00:00Z,156349,108.16
108.66,108.7,107.49,1342,108.0,2016-03-07T05:00:00Z,145327,108.3
107.41,108.64,106.97,991,108.28,2016-03-08T05:00:00Z,70419,107.58
107.84,108.55,106.9,1350,107.75,2016-03-09T05:00:00Z,100283,107.56
107.9,108.28,106.47,1263,108.1,2016-03-10T05:00:00Z,99922,107.42
110.33,110.83,108.41,1590,108.56,2016-03-11T05:00:00Z,160459,110.05
111.37,111.97,108.0,1609,110.29,2016-03-14T04:00:00Z,157597,110.88
111.21,112.13,110.1,1004,110.48,2016-03-15T04:00:00Z,101773,111.2
111.58,112.4,110.85,1551,111.63,2016-03-16T04:00:00Z,158246,111.53
113.18,113.43,110.24,1341,111.47,2016-03-17T04:00:00Z,143879,112.75
113.83,115.54,112.67,1694,113.91,2016-03-18T04:00:00Z,299370,113.84
111.93,113.41,111.53,1141,113.41,2016-03-21T04:00:00Z,97059,112.21
111.4,111.85,110.95,1609,111.68,2016-03-22T04:00:00Z,140673,111.42
110.96,112.15,110.32,1056,111.21,2016-03-23T04:00:00Z,94860,111.18
110.42,111.35,109.39,2303,110.36,2016-03-24T04:00:00Z,271737,110.2
110.07,111.3,109.6,912,110.73,2016-03-28T04:00:00Z,111090,110.2
114.73,114.93,110.38,3736,110.77,2016-03-29T04:00:00Z,248240,113.25
113.9,115.23,113.41,1190,114.99,2016-03-30T04:00:00Z,101921,114.02
114.17,115.12,113.85,1069,114.44,2016-03-31T04:00:00Z,124181,114.32
114.44,114.71,113.31,968,114.36,2016-04-01T04:00:00Z,105161,114.1
112.77,114.21,112.19,1517,114.21,2016-04-04T04:00:00Z,128182,112.83
110.52,112.55,110.45,1145,112.36,2016-04-05T04:00:00Z,108321,111.19
110.7,111.65,109.27,1327,110.12,2016-04-06T04:00:00Z,113807,110.69
109.9,111.51,109.27,1080,110.47,2016-04-07T04:00:00Z,134999,110.01
109.9,111.45,109.52,903,110.39,2016-04-08T04:00:00Z,72996,110.14
109.61,112.39,109.42,2251,110.21,2016-04-11T04:00:00Z,88277,110.16
110.01,112.76,108.59,1423,109.62,2016-04-12T04:00:00Z,123203,109.45
112.41,112.59,109.68,1458,110.28,2016-04-13T04:00:00Z,134254,111.26
113.25,114.03,111.38,1630,112.73,2016-04-14T04:00:00Z,138541,113.09
111.88,112.58,110.64,1153,112.58,2016-04-15T04:00:00Z,114791,112.02
113.16,113.31,111.35,1021,111.52,2016-04-18T04:00:00Z,88211,112.74
112.25,113.32,111.28,1077,113.19,2016-04-19T04:00:00Z,84813,112.14
111.51,112.61,110.64,818,111.98,2016-04-20T04:00:00Z,63155,111.38
110.25,111.47,110.22,1163,111.23,2016-04-21T04:00:00Z,141256,110.47
111.42,111.68,109.47,950,110.01,2016-04-22T04:00:00Z,116894,111.11
110.74,112.14,109.9,1285,111.64,2016-04-25T04:00:00Z,106742,110.62
112.22,112.59,109.98,949,110.46,2016-04-26T04:00:00Z,76426,111.71
112.17,112.68,110.26,704,111.84,2016-04-27T04:00:00Z,49002,111.97
109.25,111.98,109.02,1305,111.28,2016-04-28T04:00:00Z,112406,110.29
108.02,109.12,107.44,1160,108.73,2016-04-29T04:00:00Z,105147,107.93
109.42,109.81,107.23,1454,108.48,2016-05-02T04:00:00Z,133699,109.04
109.96,110.81,108.13,1706,109.17,2016-05-03T04:00:00Z,170215,109.83
109.59,110.1,107.79,1679,109.1,2016-05-04T04:00:00Z,156573,109.47
108.59,112.65,106.57,2493,107.71,2016-05-05T04:00:00Z,238955,109.47
103.31,108.05,102.25,4163,108.02,2016-05-06T04:00:00Z,438687,103.58
102.68,103.87,101.87,1912,103.37,2016-05-09T04:00:00Z,194346,102.72
104.41,104.52,102.5,1707,103.37,2016-05-10T04:00:00Z,140097,103.92
103.22,105.5,103.2,1172,104.65,2016-05-11T04:00:00Z,112848,103.76
102.75,104.01,102.32,1818,103.45,2016-05-12T04:00:00Z,163047,102.91
102.01,103.91,101.85,1468,102.46,2016-05-13T04:00:00Z,139676,102.77
102.46,102.81,101.8,2066,101.8,2016-05-16T04:00:00Z,214187,102.41
99.82,102.45,99.45,1825,102.03,2016-05-17T04:00:00Z,159322,100.87
100.6,101.74,99.23,2752,99.7,2016-05-18T04:00:00Z,236055,100.01
100.08,101.32,98.54,1449,99.97,2016-05-19T04:00:00Z,124174,99.66
101.18,102.25,99.82,941,100.73,2016-05-20T04:00:00Z,98226,101.12
100.65,102.05,100.06,1410,101.26,2016-05-23T04:00:00Z,157383,100.79
