c,h,l,n,o,t,v,vw
25.18,25.21,25.02,34,25.09,2023-08-23T04:00:00Z,10854,25.16
24.9,25.14,24.9,74,25.03,2023-08-24T04:00:00Z,1358925,24.99
25.03,25.13,24.9,12,24.9,2023-08-25T04:00:00Z,3156,24.96
25.19,25.25,25.03,61,25.22,2023-08-28T04:00:00Z,6695,25.19
25.54,25.65,25.32,63,25.36,2023-08-29T04:00:00Z,10475,25.54
25.75,25.78,25.58,45,25.61,2023-08-30T04:00:00Z,2805,25.72
25.88,25.92,25.87,106,25.91,2023-08-31T04:00:00Z,16803,25.9
25.89,25.89,25.83,9,25.83,2023-09-01T04:00:00Z,454,25.88
25.77,25.93,25.7,14,25.93,2023-09-05T04:00:00Z,510,25.85
25.6,25.86,25.4,35,25.86,2023-09-06T04:00:00Z,6221,25.53
25.51,25.51,25.44,13,25.51,2023-09-07T04:00:00Z,1084,25.48
25.43,25.59,25.11,61,25.42,2023-09-08T04:00:00Z,11320,25.4
25.55,25.55,25.36,25,25.47,2023-09-11T04:00:00Z,4354,25.47
25.37,25.52,25.28,32,25.51,2023-09-12T04:00:00Z,5644,25.44
25.38,25.41,25.1,19,25.1,2023-09-13T04:00:00Z,9476,25.35
25.56,25.75,25.48,23,25.75,2023-09-14T04:00:00Z,4042,25.62
25.21,25.31,25.21,17,25.3,2023-09-15T04:00:00Z,3534,25.29
25.18,25.3,25.14,30,25.29,2023-09-18T04:00:00Z,11556,25.27
25.12,25.12,25.03,11,25.03,2023-09-19T04:00:00Z,4666,25.07
24.87,25.19,24.87,19,25.19,2023-09-20T04:00:00Z,12344,25.01
24.4,24.63,24.4,29,24.63,2023-09-21T04:00:00Z,3935,24.55
24.36,24.52,24.36,13,24.52,2023-09-22T04:00:00Z,3004,24.48
24.46,24.48,24.38,30,24.43,2023-09-25T04:00:00Z,26570,24.41
24.1,24.23,24.05,14,24.23,2023-09-26T04:00:00Z,3945,24.17
24.1,24.17,23.94,7,23.94,2023-09-27T04:00:00Z,910,24.11
24.27,24.29,24.21,14,24.21,2023-09-28T04:00:00Z,2808,24.24
24.25,24.49,24.21,16,24.49,2023-09-29T04:00:00Z,5520,24.38
24.3,24.3,24.21,6,24.22,2023-10-02T04:00:00Z,1443,24.22
23.82,23.98,23.82,17,23.98,2023-10-03T04:00:00Z,5630,23.93
24.04,24.09,23.87,19,23.96,2023-10-04T04:00:00Z,3729,23.98
23.98,24.04,23.88,15,23.88,2023-10-05T04:00:00Z,2559,23.96
24.31,24.35,24.24,7,24.24,2023-10-06T04:00:00Z,520,24.29
24.41,24.41,24.14,11,24.14,2023-10-09T04:00:00Z,1387,24.23
24.54,24.74,24.54,5,24.69,2023-10-10T04:00:00Z,6716,24.66
24.68,24.72,24.58,27,24.6,2023-10-11T04:00:00Z,5288,24.63
24.45,24.45,24.38,7,24.38,2023-10-12T04:00:00Z,978,24.43
24.22,24.29,24.22,7,24.29,2023-10-13T04:00:00Z,1592,24.28
24.54,24.58,24.53,6,24.58,2023-10-16T04:00:00Z,2323,24.55
24.57,24.57,24.48,16,24.53,2023-10-17T04:00:00Z,2580,24.53
24.16,24.18,24.16,6,24.17,2023-10-18T04:00:00Z,600,24.17
23.94,24.19,23.94,38,24.19,2023-10-19T04:00:00Z,8102,24.06
23.63,23.78,23.63,9,23.7,2023-10-20T04:00:00Z,948,23.74
23.6,23.81,23.58,25,23.76,2023-10-23T04:00:00Z,18972,23.76
23.82,23.83,23.72,12,23.72,2023-10-24T04:00:00Z,661,23.77
23.29,23.58,23.28,19,23.5,2023-10-25T04:00:00Z,16498,23.38
23.03,23.23,23.03,4,23.23,2023-10-26T04:00:00Z,8763,23.23
22.95,23.09,22.87,13,23.09,2023-10-27T04:00:00Z,4774,23.03
23.26,23.26,23.17,31,23.17,2023-10-30T04:00:00Z,4064,23.2
23.43,23.46,23.31,9,23.31,2023-10-31T04:00:00Z,4476,23.36
23.56,23.56,23.36,7,23.41,2023-11-01T04:00:00Z,42752,23.38
24.09,24.15,23.95,21,23.98,2023-11-02T04:00:00Z,22400,24.05
24.41,24.52,24.41,8,24.45,2023-11-03T04:00:00Z,6920,24.46
24.42,24.42,24.41,8,24.41,2023-11-06T05:00:00Z,369,24.4
24.6,24.63,24.59,14,24.62,2023-11-07T05:00:00Z,1112,24.61
24.62,24.68,24.61,64,24.65,2023-11-08T05:00:00Z,6438,24.63
24.49,24.78,24.49,5,24.77,2023-11-09T05:00:00Z,1054,24.77
24.99,25.03,24.58,48,24.58,2023-11-10T05:00:00Z,9365,24.76
24.93,25.22,24.87,44,25.22,2023-11-13T05:00:00Z,30072,24.95
25.56,25.65,25.42,17,25.42,2023-11-14T05:00:00Z,2646,25.55
25.7,25.76,25.61,21,25.75,2023-11-15T05:00:00Z,4432,25.71
25.65,25.73,25.58,91,25.73,2023-11-16T05:00:00Z,7692,25.65
25.73,25.75,25.69,15,25.69,2023-11-17T05:00:00Z,5918,25.73
25.98,26.06,25.95,24,25.99,2023-11-20T05:00:00Z,4362,26.02
25.82,25.86,25.82,18,25.86,2023-11-21T05:00:00Z,10776,25.85
25.99,26.12,25.96,20,26.09,2023-11-22T05:00:00Z,8054,26.08
26.0,26.02,26.0,3,26.02,2023-11-24T05:00:00Z,902,26.02
26.01,26.14,26.01,26,26.02,2023-11-27T05:00:00Z,5038,26.07
26.07,26.16,25.97,75,25.97,2023-11-28T05:00:00Z,8440,26.07
26.15,26.3,26.15,15,26.19,2023-11-29T05:00:00Z,2243,26.24
26.24,26.24,26.03,27,26.16,2023-11-30T05:00:00Z,5289,26.12
26.54,26.57,26.26,23,26.26,2023-12-01T05:00:00Z,2260,26.43
26.41,26.42,26.33,5,26.37,2023-12-04T05:00:00Z,2015,26.38
26.35,26.46,26.35,5,26.46,2023-12-05T05:00:00Z,947,26.43
26.3,26.3,26.3,3,26.3,2023-12-06T05:00:00Z,96,26.39
26.57,26.57,26.5,12,26.56,2023-12-07T05:00:00Z,2730,26.53
26.65,26.68,26.54,14,26.64,2023-12-08T05:00:00Z,3457,26.6
26.91,26.93,26.72,8,26.72,2023-12-11T05:00:00Z,1213,26.85
27.11,27.11,26.96,23,27.02,2023-12-12T05:00:00Z,7073,27.04
27.58,27.59,27.1,19,27.17,2023-12-13T05:00:00Z,17669,27.19
27.87,27.95,27.69,41,27.95,2023-12-14T05:00:00Z,95704,27.94
27.92,27.97,27.83,26,27.88,2023-12-15T05:00:00Z,6308,27.93
28.05,28.13,27.95,56,27.95,2023-12-18T05:00:00Z,11088,28.09
28.27,28.29,28.23,35,28.23,2023-12-19T05:00:00Z,4658,28.27
27.83,28.44,27.78,59,28.44,2023-12-20T05:00:00Z,29735,28.06
28.17,28.17,27.97,22,28.04,2023-12-21T05:00:00Z,2906,28.06
28.19,28.19,28.17,18,28.17,2023-12-22T05:00:00Z,974,28.19
28.34,28.37,28.24,41,28.24,2023-12-26T05:00:00Z,5882,28.33
28.3,28.35,28.23,32,28.34,2023-12-27T05:00:00Z,22434,28.25
28.31,28.38,28.31,16,28.37,2023-12-28T05:00:00Z,32617,28.33
28.13,28.37,28.09,25,28.36,2023-12-29T05:00:00Z,8035,28.22
27.65,27.73,27.5,28,27.73,2024-01-02T05:00:00Z,8833,27.6
27.28,27.5,27.28,28,27.5,2024-01-03T05:00:00Z,4559,27.34
27.14,27.31,27.14,17,27.26,2024-01-04T05:00:00Z,3582,27.24
27.15,27.34,27.05,11,27.34,2024-01-05T05:00:00Z,58663,27.27
27.69,27.69,27.5,39,27.5,2024-01-08T05:00:00Z,2458,27.56
27.7,27.77,27.64,16,27.72,2024-01-09T05:00:00Z,5351,27.73
27.83,27.86,27.69,26,27.69,2024-01-10T05:00:00Z,5193,27.78
28.06,28.06,27.7,17,27.7,2024-01-11T05:00:00Z,2156,27.92
28.05,28.62,28.0,70,28.62,2024-01-12T05:00:00Z,6976,28.36
27.9,28.0,27.8,48,27.86,2024-01-16T05:00:00Z,10547,27.91
27.76,27.76,27.63,22,27.7,2024-01-17T05:00:00Z,2506,27.64
28.14,28.15,27.97,17,27.97,2024-01-18T05:00:00Z,2722,28.09
28.63,28.63,28.24,36,28.27,2024-01-19T05:00:00Z,3648,28.4
28.64,28.74,28.64,59,28.74,2024-01-22T05:00:00Z,4947,28.7
28.67,28.67,28.67,24,28.67,2024-01-23T05:00:00Z,765,28.65
28.7,28.95,28.68,39,28.95,2024-01-24T05:00:00Z,16232,28.74
28.9,28.9,28.76,16,28.85,2024-01-25T05:00:00Z,3035,28.84
28.78,28.85,28.78,19,28.85,2024-01-26T05:00:00Z,16755,28.84
29.11,29.12,28.87,8,28.87,2024-01-29T05:00:00Z,3436,28.92
28.98,29.03,28.93,18,29.01,2024-01-30T05:00:00Z,650,28.98
28.45,28.63,28.45,29,28.62,2024-01-31T05:00:00Z,8567,28.55
28.87,28.87,28.62,15,28.62,2024-02-01T05:00:00Z,890,28.77
29.11,29.11,28.89,18,28.89,2024-02-02T05:00:00Z,3655,29.0
29.02,29.07,28.94,67,28.94,2024-02-05T05:00:00Z,112438,28.99
28.98,29.05,28.9,7,29.05,2024-02-06T05:00:00Z,577,28.96
29.21,29.28,29.18,58,29.23,2024-02-07T05:00:00Z,11817,29.23
29.29,29.38,29.28,24,29.38,2024-02-08T05:00:00Z,2813,29.32
29.62,29.62,29.61,9,29.61,2024-02-09T05:00:00Z,271,29.59
29.53,29.78,29.53,25,29.65,2024-02-12T05:00:00Z,5672,29.68
28.99,29.2,28.98,17,29.19,2024-02-13T05:00:00Z,2871,29.05
29.47,29.47,29.32,35,29.35,2024-02-14T05:00:00Z,8631,29.33
29.47,29.47,29.32,10,29.4,2024-02-15T05:00:00Z,1306,29.39
29.12,29.38,29.12,14,29.38,2024-02-16T05:00:00Z,3661,29.3
28.8,28.89,28.76,18,28.89,2024-02-20T05:00:00Z,1754,28.82
28.75,28.75,28.6,12,28.61,2024-02-21T05:00:00Z,5943,28.6
29.33,29.34,29.2,19,29.28,2024-02-22T05:00:00Z,4613,29.23
29.31,29.33,29.25,16,29.31,2024-02-23T05:00:00Z,2221,29.31
29.29,29.42,29.29,6,29.37,2024-02-26T05:00:00Z,2739,29.36
29.35,29.42,29.26,55,29.4,2024-02-27T05:00:00Z,5040,29.38
29.23,29.27,29.16,14,29.16,2024-02-28T05:00:00Z,975,29.23
29.49,29.49,29.28,26,29.42,2024-02-29T05:00:00Z,2617,29.32
29.77,29.83,29.48,39,29.48,2024-03-01T05:00:00Z,5560,29.6
29.66,29.81,29.62,22,29.72,2024-03-04T05:00:00Z,2754,29.71
29.17,29.17,29.17,4,29.17,2024-03-05T05:00:00Z,81,29.13
29.2,29.3,29.2,15,29.27,2024-03-06T05:00:00Z,1304,29.28
29.59,29.68,29.59,13,29.65,2024-03-07T05:00:00Z,2347,29.65
29.51,29.89,29.48,15,29.78,2024-03-08T05:00:00Z,3642,29.8
29.41,29.46,29.36,18,29.42,2024-03-11T04:00:00Z,3430,29.41
29.74,29.74,29.39,11,29.4,2024-03-12T04:00:00Z,3067,29.47
29.69,29.84,29.69,16,29.8,2024-03-13T04:00:00Z,3751,29.8
29.64,29.67,29.54,13,29.67,2024-03-14T04:00:00Z,17098,29.66
29.31,29.45,29.31,20,29.44,2024-03-15T04:00:00Z,6238,29.42
29.46,29.66,29.45,47,29.57,2024-03-18T04:00:00Z,14721,29.55
29.64,29.64,29.35,18,29.37,2024-03-19T04:00:00Z,3110,29.5
30.0,30.01,29.65,19,29.66,2024-03-20T04:00:00Z,5264,29.77
30.38,30.47,30.33,17,30.39,2024-03-21T04:00:00Z,2980,30.4
30.28,30.28,30.24,16,30.24,2024-03-22T04:00:00Z,1727,30.25
30.13,30.27,30.13,32,30.16,2024-03-25T04:00:00Z,7903,30.24
30.15,30.22,30.14,17,30.22,2024-03-26T04:00:00Z,1632,30.19
30.29,30.3,30.17,17,30.17,2024-03-27T04:00:00Z,12571,30.27
30.47,30.52,30.4,44,30.4,2024-03-28T04:00:00Z,67381,30.43
30.32,30.32,30.32,11,30.32,2024-04-01T04:00:00Z,333,30.39
30.09,30.14,29.95,46,30.04,2024-04-02T04:00:00Z,9518,30.03
30.17,30.27,30.16,12,30.23,2024-04-03T04:00:00Z,1216,30.21
29.67,30.08,29.63,8,30.08,2024-04-04T04:00:00Z,693,29.82
29.97,30.02,29.97,4,30.02,2024-04-05T04:00:00Z,185,30.01
30.1,30.12,30.03,18,30.12,2024-04-08T04:00:00Z,2284,30.05
30.14,30.14,29.98,21,30.06,2024-04-09T04:00:00Z,1438,30.06
29.83,29.86,29.69,22,29.8,2024-04-10T04:00:00Z,5318,29.71
30.16,30.16,29.81,9,29.81,2024-04-11T04:00:00Z,996,30.09
29.67,29.67,29.67,5,29.67,2024-04-12T04:00:00Z,165,29.72
29.22,29.89,29.22,15,29.89,2024-04-15T04:00:00Z,7211,29.41
29.26,29.39,29.23,21,29.34,2024-04-16T04:00:00Z,4069,29.31
28.94,29.15,28.94,26,29.06,2024-04-17T04:00:00Z,5100,29.1
28.76,29.08,28.76,14,29.02,2024-04-18T04:00:00Z,7932,28.98
28.35,28.54,28.34,20,28.54,2024-04-19T04:00:00Z,1935,28.41
28.59,28.75,28.47,22,28.49,2024-04-22T04:00:00Z,2800,28.63
29.01,29.01,28.9,6,28.94,2024-04-23T04:00:00Z,1475,28.94
29.0,29.0,29.0,4,29.0,2024-04-24T04:00:00Z,825,29.0
28.85,28.95,28.56,48,28.69,2024-04-25T04:00:00Z,8363,28.77
29.33,29.41,29.26,61,29.26,2024-04-26T04:00:00Z,6839,29.36
29.34,29.46,29.05,30,29.05,2024-04-29T04:00:00Z,6129,29.34
