c,h,l,n,o,t,v,vw
2550.0,2700.0,2550.0,9,2550.03,2016-01-04T05:00:00Z,6,2570.86
2696.97,2696.97,2475.0,9,2476.2,2016-01-05T05:00:00Z,8,2549.89
2703.0,2703.0,2541.9,2,2541.9,2016-01-06T05:00:00Z,1,2659.78
2550.03,2685.0,2550.03,6,2685.0,2016-01-07T05:00:00Z,4,2649.31
2553.75,2703.0,2550.03,13,2703.0,2016-01-08T05:00:00Z,7,2617.47
2624.97,2667.0,2553.0,5,2667.0,2016-01-11T05:00:00Z,5,2635.57
2550.0,2692.5,2550.0,25,2679.0,2016-01-12T05:00:00Z,16,2604.39
2607.0,2670.0,2445.0,86,2670.0,2016-01-13T05:00:00Z,43,2580.83
2640.0,2700.0,2484.0,245,2700.0,2016-01-14T05:00:00Z,121,2605.37
2625.0,2625.0,2553.0,22,2553.0,2016-01-15T05:00:00Z,18,2567.58
2670.0,2670.0,2554.05,11,2554.05,2016-01-19T05:00:00Z,6,2596.9
2595.0,2769.0,2478.03,71,2769.0,2016-01-20T05:00:00Z,43,2585.37
2550.03,2670.0,2550.0,18,2652.0,2016-01-21T05:00:00Z,11,2578.93
2648.97,2655.0,2313.0,12,2646.0,2016-01-22T05:00:00Z,9,2488.82
2538.0,2562.0,2418.03,8,2532.0,2016-01-25T05:00:00Z,6,2520.11
2461.53,2700.0,2325.0,604,2504.97,2016-01-26T05:00:00Z,535,2488.99
2409.0,2640.0,2328.0,163,2430.0,2016-01-27T05:00:00Z,136,2466.93
2460.0,2700.0,2445.0,20,2697.0,2016-01-28T05:00:00Z,28,2522.69
2640.0,2967.0,2473.68,4,2967.0,2016-01-29T05:00:00Z,2,2803.1
2617.2,2840.97,2526.0,98,2840.97,2016-02-01T05:00:00Z,32,2612.37
2532.0,2550.0,2472.0,8,2550.0,2016-02-02T05:00:00Z,6,2521.26
2430.0,2484.0,2406.0,35,2484.0,2016-02-03T05:00:00Z,20,2445.43
2592.0,2734.56,2430.0,5,2734.56,2016-02-04T05:00:00Z,10,2507.76
2691.0,2697.0,2478.0,44,2685.0,2016-02-05T05:00:00Z,25,2590.89
2547.0,2547.0,2547.0,1,2547.0,2016-02-08T05:00:00Z,0,2547.0
2424.0,2670.0,2424.0,43,2670.0,2016-02-09T05:00:00Z,33,2510.93
2496.0,2538.0,2496.0,10,2535.0,2016-02-10T05:00:00Z,3,2523.33
2427.0,2459.7,2388.0,33,2459.7,2016-02-11T05:00:00Z,17,2412.77
2430.0,2430.0,2421.0,9,2421.0,2016-02-12T05:00:00Z,4,2422.81
2601.0,2601.0,2407.65,9,2407.65,2016-02-16T05:00:00Z,7,2432.68
2703.0,2715.0,2478.0,23,2478.03,2016-02-17T05:00:00Z,18,2567.26
2463.0,2649.0,2430.0,17,2649.0,2016-02-18T05:00:00Z,7,2485.14
2472.0,2553.0,2472.0,6,2553.0,2016-02-19T05:00:00Z,4,2489.59
2553.0,2553.0,2430.0,16,2526.0,2016-02-22T05:00:00Z,12,2447.7
2427.0,2703.0,2427.0,18,2427.0,2016-02-23T05:00:00Z,11,2478.43
2430.0,2436.0,2415.0,36,2430.0,2016-02-24T05:00:00Z,25,2429.76
2403.0,2415.0,2403.0,8,2415.0,2016-02-25T05:00:00Z,4,2405.35
2427.0,2487.0,2220.0,40,2487.0,2016-02-26T05:00:00Z,16,2396.51
2412.0,2472.0,2359.2,14,2472.0,2016-02-29T05:00:00Z,5,2394.55
2553.0,2700.0,2415.0,47,2550.0,2016-03-01T05:00:00Z,34,2530.52
2550.0,2847.0,2550.0,7,2847.0,2016-03-02T05:00:00Z,3,2612.95
2608.65,2608.65,2424.0,9,2553.0,2016-03-03T05:00:00Z,3,2486.33
2613.0,2613.0,2613.0,1,2613.0,2016-03-04T05:00:00Z,0,2613.0
2652.0,2670.0,2610.0,17,2610.0,2016-03-07T05:00:00Z,4,2644.21
2640.0,2655.0,2447.31,116,2652.0,2016-03-08T05:00:00Z,41,2611.81
2640.0,2655.0,2505.45,21,2653.02,2016-03-09T05:00:00Z,6,2575.69
2655.0,2655.0,2655.0,24,2655.0,2016-03-10T05:00:00Z,7,2654.86
2637.0,2667.0,2439.0,43,2667.0,2016-03-11T05:00:00Z,14,2639.19
2700.0,2730.0,2514.03,191,2655.0,2016-03-14T04:00:00Z,72,2658.69
2700.0,2709.0,2466.03,132,2466.03,2016-03-15T04:00:00Z,46,2677.12
2700.0,2700.0,2646.0,97,2700.0,2016-03-16T04:00:00Z,34,2698.06
2724.0,2730.0,2590.5,121,2700.0,2016-03-17T04:00:00Z,57,2699.76
2520.0,2700.0,2520.0,119,2700.0,2016-03-18T04:00:00Z,144,2570.65
2559.0,2697.0,2547.0,34,2550.0,2016-03-21T04:00:00Z,13,2582.22
2481.0,2607.0,2478.0,64,2550.0,2016-03-22T04:00:00Z,18,2541.79
2511.0,2703.0,2478.0,52,2613.0,2016-03-23T04:00:00Z,16,2541.28
2520.03,2598.0,2499.0,27,2577.0,2016-03-24T04:00:00Z,11,2549.14
2499.0,2523.0,2499.0,11,2523.0,2016-03-28T04:00:00Z,2,2515.69
2478.0,2574.0,2478.0,29,2574.0,2016-03-29T04:00:00Z,12,2520.69
