c,h,l,n,o,t,v,vw
24.27,24.27,24.27,6,24.27,2017-05-25T04:00:00Z,600,24.27
24.24,24.24,24.24,2,24.24,2017-05-26T04:00:00Z,101,24.24
24.24,24.24,24.24,0,24.24,2017-05-30T04:00:00Z,0,0.0
24.15,24.15,24.15,3,24.15,2017-05-31T04:00:00Z,208,24.15
24.15,24.15,24.15,0,24.15,2017-06-01T04:00:00Z,0,0.0
24.65,24.65,24.65,1,24.65,2017-06-02T04:00:00Z,400,24.65
24.65,24.65,24.65,0,24.65,2017-06-05T04:00:00Z,0,0.0
24.65,24.65,24.65,0,24.65,2017-06-06T04:00:00Z,0,0.0
24.61,24.61,24.61,1,24.61,2017-06-07T04:00:00Z,200,24.61
24.61,24.61,24.61,0,24.61,2017-06-08T04:00:00Z,0,0.0
24.61,24.61,24.61,0,24.61,2017-06-09T04:00:00Z,0,0.0
24.61,24.61,24.61,0,24.61,2017-06-12T04:00:00Z,0,0.0
24.61,24.61,24.61,0,24.61,2017-06-13T04:00:00Z,0,0.0
24.49,24.5,24.47,3,24.47,2017-06-14T04:00:00Z,1763,24.49
24.49,24.49,24.49,0,24.49,2017-06-15T04:00:00Z,0,0.0
24.49,24.49,24.49,0,24.49,2017-06-16T04:00:00Z,0,0.0
24.49,24.49,24.49,0,24.49,2017-06-19T04:00:00Z,0,0.0
24.49,24.49,24.49,0,24.49,2017-06-20T04:00:00Z,0,0.0
24.49,24.49,24.49,0,24.49,2017-06-21T04:00:00Z,0,0.0
24.49,24.49,24.49,0,24.49,2017-06-22T04:00:00Z,0,0.0
24.49,24.49,24.49,0,24.49,2017-06-23T04:00:00Z,0,0.0
24.95,24.95,24.95,1,24.95,2017-06-26T04:00:00Z,100,24.95
24.95,24.95,24.95,0,24.95,2017-06-27T04:00:00Z,0,0.0
24.95,24.95,24.95,0,24.95,2017-06-28T04:00:00Z,0,0.0
24.95,24.95,24.95,0,24.95,2017-06-29T04:00:00Z,0,0.0
24.95,24.95,24.95,0,24.95,2017-06-30T04:00:00Z,0,0.0
24.95,24.95,24.95,0,24.95,2017-07-03T04:00:00Z,0,0.0
24.95,24.95,24.95,0,24.95,2017-07-05T04:00:00Z,0,0.0
24.95,24.95,24.95,0,24.95,2017-07-06T04:00:00Z,0,0.0
24.59,24.59,24.59,1,24.59,2017-07-07T04:00:00Z,200,24.59
24.78,24.78,24.78,4,24.78,2017-07-10T04:00:00Z,964,24.78
24.81,24.81,24.81,4,24.81,2017-07-11T04:00:00Z,932,24.81
24.81,24.81,24.81,0,24.81,2017-07-12T04:00:00Z,0,0.0
24.81,24.81,24.81,0,24.81,2017-07-13T04:00:00Z,0,0.0
24.81,24.81,24.81,0,24.81,2017-07-14T04:00:00Z,0,0.0
25.13,25.13,25.13,3,25.13,2017-07-17T04:00:00Z,666,25.13
25.13,25.13,25.13,0,25.13,2017-07-18T04:00:00Z,0,0.0
25.13,25.13,25.13,0,25.13,2017-07-19T04:00:00Z,0,0.0
25.13,25.13,25.13,0,25.13,2017-07-20T04:00:00Z,0,0.0
25.13,25.13,25.13,0,25.13,2017-07-21T04:00:00Z,0,0.0
25.13,25.13,25.13,0,25.13,2017-07-24T04:00:00Z,0,0.0
25.13,25.13,25.13,0,25.13,2017-07-25T04:00:00Z,0,0.0
25.13,25.13,25.13,0,25.13,2017-07-26T04:00:00Z,0,0.0
25.13,25.13,25.13,0,25.13,2017-07-27T04:00:00Z,0,0.0
25.14,25.14,25.14,3,25.14,2017-07-28T04:00:00Z,373,25.14
25.14,25.14,25.14,0,25.14,2017-07-31T04:00:00Z,0,0.0
25.14,25.14,25.14,0,25.14,2017-08-01T04:00:00Z,0,0.0
25.14,25.14,25.14,0,25.14,2017-08-02T04:00:00Z,0,0.0
25.14,25.14,25.14,0,25.14,2017-08-03T04:00:00Z,0,0.0
25.14,25.14,25.14,0,25.14,2017-08-04T04:00:00Z,0,0.0
25.14,25.14,25.14,0,25.14,2017-08-07T04:00:00Z,0,0.0
25.14,25.14,25.14,0,25.14,2017-08-08T04:00:00Z,0,0.0
25.14,25.14,25.14,0,25.14,2017-08-09T04:00:00Z,0,0.0
25.14,25.14,25.14,0,25.14,2017-08-10T04:00:00Z,0,0.0
25.14,25.14,25.14,0,25.14,2017-08-11T04:00:00Z,0,0.0
25.14,25.14,25.14,0,25.14,2017-08-14T04:00:00Z,0,0.0
25.14,25.14,25.14,0,25.14,2017-08-15T04:00:00Z,0,0.0
25.14,25.14,25.14,0,25.14,2017-08-16T04:00:00Z,0,0.0
25.14,25.14,25.14,0,25.14,2017-08-17T04:00:00Z,0,0.0
25.14,25.14,25.14,0,25.14,2017-08-18T04:00:00Z,0,0.0
25.14,25.14,25.14,0,25.14,2017-08-21T04:00:00Z,0,0.0
