c,h,l,n,o,t,v,vw
13.03,13.25,12.73,2951,13.16,2016-01-04T05:00:00Z,410412,13.000329
12.19,13.1,12.15,3776,13.1,2016-01-05T05:00:00Z,481388,12.450235
12.22,12.355,12.1,3893,12.11,2016-01-06T05:00:00Z,538149,12.213469
11.96,12.23,11.8285,2192,12.05,2016-01-07T05:00:00Z,370869,12.042584
12.16,12.5,11.95,2679,12.07,2016-01-08T05:00:00Z,432809,12.12045
11.65,13.2892,11.5,3178,12.3,2016-01-11T05:00:00Z,466916,11.757781
11.88,12.03,11.59,2796,11.88,2016-01-12T05:00:00Z,347757,11.85242
11.24,11.93,11.11,2865,11.84,2016-01-13T05:00:00Z,394240,11.410661
10.81,11.45,10.62,4898,11.21,2016-01-14T05:00:00Z,699075,10.823066
10.9,10.93,10.41,2678,10.6,2016-01-15T05:00:00Z,463489,10.667784
10.77,11.03,10.74,2623,10.91,2016-01-19T05:00:00Z,308207,10.817146
10.12,11.0,9.88,4436,10.57,2016-01-20T05:00:00Z,574909,10.15095
10.07,10.3,9.88,5086,10.12,2016-01-21T05:00:00Z,944242,9.995165
10.24,10.48,10.12,3638,10.12,2016-01-22T05:00:00Z,453011,10.286227
10.43,10.73,10.0,3531,10.3,2016-01-25T05:00:00Z,541593,10.438601
10.69,11.0,10.286,4124,10.43,2016-01-26T05:00:00Z,613870,10.737002
10.52,10.9,10.42,3899,10.68,2016-01-27T05:00:00Z,496386,10.628445
10.25,10.64,10.25,3067,10.52,2016-01-28T05:00:00Z,333840,10.424815
10.88,10.91,10.15,3137,10.23,2016-01-29T05:00:00Z,421789,10.545628
11.2,11.23,10.65,3958,10.78,2016-02-01T05:00:00Z,467623,10.981061
10.73,11.19,10.7,3739,10.96,2016-02-02T05:00:00Z,435019,10.83671
11.35,11.36,10.7702,3858,10.8,2016-02-03T05:00:00Z,501936,11.13317
11.47,11.7,11.19,4059,11.29,2016-02-04T05:00:00Z,535805,11.45089
10.39,11.62,10.23,5152,11.1,2016-02-05T05:00:00Z,787060,10.692734
9.88,10.45,9.77,4085,10.38,2016-02-08T05:00:00Z,628252,10.064706
9.69,9.9,9.522,2324,9.7,2016-02-09T05:00:00Z,291648,9.717653
9.34,9.82,9.315,2796,9.81,2016-02-10T05:00:00Z,353564,9.497481
9.46,9.56,9.08,3724,9.23,2016-02-11T05:00:00Z,455693,9.39152
9.96,10.0,9.48,2623,9.48,2016-02-12T05:00:00Z,489106,9.844642
10.09,10.28,9.9815,2038,10.06,2016-02-16T05:00:00Z,275614,10.129138
10.17,10.38,10.0,2955,10.22,2016-02-17T05:00:00Z,357252,10.134813
9.98,10.28,9.92,2516,10.25,2016-02-18T05:00:00Z,306619,10.028196
10.0,10.18,9.63,3146,10.02,2016-02-19T05:00:00Z,432203,9.920679
9.97,10.44,9.88,3156,10.15,2016-02-22T05:00:00Z,773229,9.941404
10.27,10.35,9.89,4077,9.97,2016-02-23T05:00:00Z,532503,10.194925
10.15,10.349,9.81,4914,10.11,2016-02-24T05:00:00Z,628241,10.151345
9.62,10.26,9.55,4005,10.24,2016-02-25T05:00:00Z,576316,9.859351
8.96,9.65,8.4415,6855,9.65,2016-02-26T05:00:00Z,1527467,8.949747
9.13,9.305,8.88,5533,9.04,2016-02-29T05:00:00Z,835249,9.072924
9.56,9.63,9.105,2839,9.29,2016-03-01T05:00:00Z,404113,9.493239
9.5,9.58,9.26,2486,9.51,2016-03-02T05:00:00Z,320599,9.444255
9.535,9.63,9.46,3048,9.46,2016-03-03T05:00:00Z,485906,9.543263
9.49,9.6,9.39,2874,9.58,2016-03-04T05:00:00Z,410045,9.504452
9.5,9.57,9.33,2372,9.4,2016-03-07T05:00:00Z,372993,9.490256
9.54,9.7,9.41,3059,9.47,2016-03-08T05:00:00Z,404650,9.534365
9.11,9.62,9.11,2177,9.59,2016-03-09T05:00:00Z,354240,9.282866
9.27,9.64,9.06,2723,9.18,2016-03-10T05:00:00Z,330730,9.34621
9.34,9.435,9.205,1355,9.38,2016-03-11T05:00:00Z,165599,9.326266
8.97,9.37,8.88,1291,9.31,2016-03-14T04:00:00Z,167161,9.01894
8.83,8.92,8.655,1816,8.92,2016-03-15T04:00:00Z,211619,8.775645
9.02,9.05,8.74,1381,8.79,2016-03-16T04:00:00Z,160838,8.955217
9.04,9.205,8.91,1195,9.05,2016-03-17T04:00:00Z,154291,9.027954
9.08,9.1699,8.93,1861,9.02,2016-03-18T04:00:00Z,299659,9.047105
9.03,9.08,8.8,1531,9.0,2016-03-21T04:00:00Z,197504,8.92943
8.81,9.0,8.61,1684,9.0,2016-03-22T04:00:00Z,282288,8.761846
8.92,8.94,8.51,4089,8.8,2016-03-23T04:00:00Z,612345,8.725623
9.01,9.01,8.52,1785,8.83,2016-03-24T04:00:00Z,265868,8.864059
8.92,9.1,8.845,2011,9.02,2016-03-28T04:00:00Z,287672,8.956223
8.75,8.89,8.55,2049,8.89,2016-03-29T04:00:00Z,293928,8.689924
9.07,9.21,8.74,1811,8.8,2016-03-30T04:00:00Z,196170,9.017854
9.2,9.3283,9.07,1727,9.12,2016-03-31T04:00:00Z,210352,9.217532
9.11,9.21,8.95,1184,9.16,2016-04-01T04:00:00Z,163515,9.103705
8.99,9.21,8.96,1270,9.12,2016-04-04T04:00:00Z,177730,9.042551
9.01,9.0811,8.77,1707,8.95,2016-04-05T04:00:00Z,201187,8.949014
9.0,9.06,8.72,1960,9.0,2016-04-06T04:00:00Z,247945,8.934537
8.99,9.17,8.86,1620,8.98,2016-04-07T04:00:00Z,196054,8.960964
8.95,9.05,8.86,1547,9.01,2016-04-08T04:00:00Z,242473,8.971615
11.68,12.33,8.94,15386,8.94,2016-04-11T04:00:00Z,3314862,11.445922
10.71,11.64,10.51,4859,11.64,2016-04-12T04:00:00Z,866725,10.929808
10.78,11.0656,10.49,2945,10.94,2016-04-13T04:00:00Z,387699,10.691211
10.9,10.98,10.7,1681,10.82,2016-04-14T04:00:00Z,215549,10.867456
11.1,11.26,10.84,1583,10.9,2016-04-15T04:00:00Z,235375,11.073027
11.11,11.22,10.92,1593,11.04,2016-04-18T04:00:00Z,192504,11.088132
11.57,11.74,11.095,2309,11.11,2016-04-19T04:00:00Z,333364,11.533902
11.67,12.0,11.5,3088,11.64,2016-04-20T04:00:00Z,522647,11.642972
11.8,12.02,11.5675,2066,11.59,2016-04-21T04:00:00Z,279791,11.809549
11.73,11.89,11.71,2014,11.71,2016-04-22T04:00:00Z,239055,11.770739
11.95,12.15,11.7,2637,11.81,2016-04-25T04:00:00Z,369917,11.971971
11.82,12.15,11.74,1572,12.1,2016-04-26T04:00:00Z,194329,11.910198
12.18,12.23,11.9,1841,11.9,2016-04-27T04:00:00Z,273483,12.092074
11.88,12.35,11.85,1341,12.23,2016-04-28T04:00:00Z,170276,12.068585
11.92,11.98,11.64,1903,11.93,2016-04-29T04:00:00Z,241727,11.845175
11.62,11.94,11.5248,1259,11.92,2016-05-02T04:00:00Z,135301,11.639164
