c,h,l,n,o,t,v,vw
11.76,13.52,10.3601,28313,12.75,2021-10-14T04:00:00Z,5399759,11.859664
9.35,11.9799,9.2994,7969,11.75,2021-10-15T04:00:00Z,1124467,10.796326
9.35,9.843,9.22,4395,9.7,2021-10-18T04:00:00Z,538303,9.504426
9.43,9.74,9.2001,1926,9.29,2021-10-19T04:00:00Z,318481,9.50836
9.53,9.6569,9.1,1475,9.5,2021-10-20T04:00:00Z,299505,9.406114
10.75,10.75,9.5378,1695,9.6,2021-10-21T04:00:00Z,297603,10.204304
10.89,10.95,10.01,1294,10.62,2021-10-22T04:00:00Z,124015,10.710621
10.89,11.12,10.421,1235,10.65,2021-10-25T04:00:00Z,141535,10.947161
9.9,11.0,9.6,1767,10.89,2021-10-26T04:00:00Z,223550,10.292666
9.31,10.72,9.23,1229,10.07,2021-10-27T04:00:00Z,141768,9.798001
10.07,10.09,9.44,1624,9.59,2021-10-28T04:00:00Z,227137,9.682273
9.97,10.15,9.32,1698,9.82,2021-10-29T04:00:00Z,193692,9.780769
9.6,10.23,8.91,2625,9.93,2021-11-01T04:00:00Z,366385,9.339289
9.36,9.58,9.1,1294,9.58,2021-11-02T04:00:00Z,112361,9.334219
9.54,9.54,9.161,912,9.29,2021-11-03T04:00:00Z,115081,9.380352
9.99,9.99,9.3957,1496,9.55,2021-11-04T04:00:00Z,169031,9.637393
9.52,10.1,9.52,1037,9.9,2021-11-05T04:00:00Z,101002,9.749581
10.15,10.46,9.75,2932,9.75,2021-11-08T05:00:00Z,305556,10.104849
10.12,10.6311,9.99,2011,10.58,2021-11-09T05:00:00Z,243174,10.195848
9.56,10.62,8.8,4077,10.25,2021-11-10T05:00:00Z,460674,9.645241
9.66,9.9659,9.31,2228,9.91,2021-11-11T05:00:00Z,183861,9.611211
9.78,9.9699,9.6101,1161,9.75,2021-11-12T05:00:00Z,92787,9.749013
10.44,10.59,9.67,2085,9.95,2021-11-15T05:00:00Z,194296,10.143745
10.46,10.9,10.111,1663,10.82,2021-11-16T05:00:00Z,171501,10.413911
9.19,9.8499,8.1637,6941,9.73,2021-11-17T05:00:00Z,583493,9.090368
10.06,10.07,9.2501,2037,9.33,2021-11-18T05:00:00Z,168118,9.806269
9.42,10.0075,9.05,2916,10.0,2021-11-19T05:00:00Z,235544,9.687448
7.98,9.68,7.37,4716,9.68,2021-11-22T05:00:00Z,373483,8.262889
7.99,8.18,7.56,3420,7.81,2021-11-23T05:00:00Z,234922,7.925665
8.23,8.24,7.755,1697,8.02,2021-11-24T05:00:00Z,133189,8.093169
8.44,8.49,7.9,1096,8.09,2021-11-26T05:00:00Z,118275,8.261571
7.96,8.54,7.9,2778,8.52,2021-11-29T05:00:00Z,171827,8.208784
7.71,8.3899,7.085,2570,7.91,2021-11-30T05:00:00Z,208024,7.483199
7.67,7.9799,7.47,1515,7.76,2021-12-01T05:00:00Z,122456,7.704955
7.19,7.725,6.95,2266,7.58,2021-12-02T05:00:00Z,183551,7.165851
