c,h,l,n,o,t,v,vw
15.0,20.1,13.1,857,20.0,2020-10-01T04:00:00Z,50131,16.36
11.2,14.8,11.2,312,14.8,2020-10-02T04:00:00Z,11302,12.77
12.7,16.0,12.32,229,12.32,2020-10-05T04:00:00Z,12730,13.96
13.1,13.67,12.18,80,12.18,2020-10-06T04:00:00Z,3809,13.07
12.8,14.02,12.8,44,13.5,2020-10-07T04:00:00Z,1416,13.23
14.14,14.2,13.1,105,13.68,2020-10-08T04:00:00Z,4697,13.88
14.14,14.2,13.52,66,13.52,2020-10-09T04:00:00Z,3061,13.92
15.16,15.98,14.22,167,14.42,2020-10-12T04:00:00Z,9476,15.03
15.54,15.58,15.18,56,15.2,2020-10-13T04:00:00Z,1081,15.35
15.5,15.8,14.78,66,15.8,2020-10-14T04:00:00Z,3357,15.39
15.62,15.98,15.22,51,15.98,2020-10-15T04:00:00Z,2646,15.56
15.8,16.4,13.76,58,15.08,2020-10-16T04:00:00Z,1750,15.38
16.4,16.4,15.45,80,16.1,2020-10-19T04:00:00Z,1280,15.99
16.28,16.28,15.53,17,15.53,2020-10-20T04:00:00Z,450,15.88
16.9,16.9,16.07,74,16.36,2020-10-21T04:00:00Z,3452,16.51
17.2,17.98,15.48,72,16.98,2020-10-22T04:00:00Z,3633,17.27
17.6,17.9,16.8,60,17.32,2020-10-23T04:00:00Z,3975,17.36
18.3,18.6,17.16,112,17.16,2020-10-26T04:00:00Z,4958,18.04
18.0,18.2,17.46,45,18.2,2020-10-27T04:00:00Z,2076,17.92
17.4,18.64,17.4,65,17.96,2020-10-28T04:00:00Z,2041,18.1
17.1,18.3,17.0,32,17.6,2020-10-29T04:00:00Z,1891,17.53
17.06,17.06,17.06,2,17.06,2020-10-30T04:00:00Z,155,17.06
18.0,18.1,16.7,62,17.2,2020-11-02T05:00:00Z,4949,17.7
17.6,17.96,16.02,25,17.6,2020-11-03T05:00:00Z,1929,17.53
17.9,17.9,16.66,29,16.66,2020-11-04T05:00:00Z,3272,17.72
17.6,18.24,17.0,79,17.9,2020-11-05T05:00:00Z,6488,17.93
17.98,19.0,17.1,48,19.0,2020-11-06T05:00:00Z,6202,18.31
17.7,17.7,16.62,37,17.06,2020-11-09T05:00:00Z,3899,17.11
17.54,17.56,16.62,76,17.4,2020-11-10T05:00:00Z,5185,17.06
18.1,18.2,18.1,17,18.2,2020-11-11T05:00:00Z,310,17.84
17.36,18.04,17.3,40,17.7,2020-11-12T05:00:00Z,1373,17.68
18.4,18.4,17.56,30,17.87,2020-11-13T05:00:00Z,1744,18.03
18.46,18.46,17.8,12,17.8,2020-11-16T05:00:00Z,1102,18.12
18.59,18.6,18.1,38,18.2,2020-11-17T05:00:00Z,2681,18.45
18.49,18.49,18.4,13,18.4,2020-11-18T05:00:00Z,201,18.42
18.4,18.5,17.12,38,18.24,2020-11-19T05:00:00Z,2492,17.72
18.83,18.9,17.77,54,18.3,2020-11-20T05:00:00Z,1421,18.42
18.5,18.93,18.4,39,18.5,2020-11-23T05:00:00Z,1738,18.52
18.52,18.6,18.4,120,18.4,2020-11-24T05:00:00Z,1155,18.49
18.48,18.56,18.48,30,18.48,2020-11-25T05:00:00Z,1015,18.52
