c,h,l,n,o,t,v,vw
9.96,9.99,9.96,9,9.98,2024-07-17T04:00:00Z,11030,9.971775
9.96,9.98,9.96,42,9.98,2024-07-18T04:00:00Z,610936,9.960093
9.95,9.95,9.95,13,9.95,2024-07-19T04:00:00Z,1069,9.953339
9.95,9.95,9.95,9,9.95,2024-07-22T04:00:00Z,936,9.950006
9.9501,9.96,9.9501,7,9.96,2024-07-23T04:00:00Z,1775,9.955462
9.9501,9.9501,9.9501,0,9.9501,2024-07-24T04:00:00Z,0,0.0
9.98,9.98,9.96,9,9.96,2024-07-25T04:00:00Z,4278,9.974173
9.98,9.98,9.98,0,9.98,2024-07-26T04:00:00Z,0,0.0
9.9823,9.9823,9.9823,4,9.9823,2024-07-29T04:00:00Z,1164,9.981353
9.98,9.9821,9.97,16,9.98,2024-07-30T04:00:00Z,19712,9.980399
9.98,9.98,9.96,20,9.97,2024-07-31T04:00:00Z,291385,9.970217
9.99,9.99,9.99,9,9.99,2024-08-01T04:00:00Z,710,9.987908
9.99,9.99,9.99,0,9.99,2024-08-02T04:00:00Z,0,0.0
9.96,9.96,9.96,3,9.96,2024-08-05T04:00:00Z,301,9.960199
9.96,9.96,9.96,0,9.96,2024-08-06T04:00:00Z,0,0.0
9.97,9.97,9.97,2,9.97,2024-08-07T04:00:00Z,325050,9.970008
9.99,10.005,9.99,94,9.99,2024-08-08T04:00:00Z,509703,9.993583
9.98,9.99,9.97,102,9.99,2024-08-09T04:00:00Z,109961,9.987053
9.975,9.98,9.975,22,9.98,2024-08-12T04:00:00Z,21098,9.979885
9.985,9.985,9.97,31,9.97,2024-08-13T04:00:00Z,140710,9.975881
9.985,9.985,9.98,13,9.98,2024-08-14T04:00:00Z,9459,9.980241
9.99,10.0,9.98,124,9.98,2024-08-15T04:00:00Z,857001,9.984697
9.99,9.99,9.99,0,9.99,2024-08-16T04:00:00Z,0,0.0
9.99,9.99,9.99,0,9.99,2024-08-19T04:00:00Z,0,0.0
9.99,9.99,9.99,0,9.99,2024-08-20T04:00:00Z,0,0.0
9.98,9.987,9.98,3,9.987,2024-08-21T04:00:00Z,719,9.985013
9.99,9.99,9.99,37,9.99,2024-08-22T04:00:00Z,3477,9.989791
9.99,9.99,9.99,11,9.99,2024-08-23T04:00:00Z,332,9.989608
9.99,9.99,9.99,0,9.99,2024-08-26T04:00:00Z,0,0.0
9.96,9.99,9.96,202,9.99,2024-08-27T04:00:00Z,277907,9.972384
9.96,9.97,9.96,30,9.96,2024-08-28T04:00:00Z,20042,9.960701
9.97,9.97,9.965,38,9.97,2024-08-29T04:00:00Z,11575,9.967819
9.98,9.98,9.97,70,9.97,2024-08-30T04:00:00Z,31794,9.975309
9.97,9.98,9.97,51,9.98,2024-09-03T04:00:00Z,56921,9.970138
9.98,9.99,9.975,62,9.98,2024-09-04T04:00:00Z,238675,9.981687
9.98,10.0,9.97,49,9.98,2024-09-05T04:00:00Z,58529,9.97238
9.98,9.985,9.98,106,9.98,2024-09-06T04:00:00Z,23550,9.980546
9.98,9.99,9.98,95,9.99,2024-09-09T04:00:00Z,217173,9.989228
9.98,9.98,9.975,16,9.98,2024-09-10T04:00:00Z,31409,9.979514
9.98,10.0,9.975,37,9.98,2024-09-11T04:00:00Z,37104,9.979663
9.98,9.98,9.97,86,9.97,2024-09-12T04:00:00Z,712975,9.970585
9.97,9.97,9.97,9,9.97,2024-09-13T04:00:00Z,4193,9.970159
9.97,9.97,9.97,0,9.97,2024-09-16T04:00:00Z,0,0.0
9.99,9.99,9.99,5,9.99,2024-09-17T04:00:00Z,986,9.989108
9.99,9.99,9.9793,20,9.9793,2024-09-18T04:00:00Z,6717,9.987584
9.99,9.99,9.99,0,9.99,2024-09-19T04:00:00Z,0,0.0
9.98,9.98,9.98,4,9.98,2024-09-20T04:00:00Z,553,9.979512
10.0,10.0,10.0,2,10.0,2024-09-23T04:00:00Z,106,10.0
9.9737,9.9737,9.9737,2,9.9737,2024-09-24T04:00:00Z,1500,9.9737
9.985,9.99,9.98,47,9.9801,2024-09-25T04:00:00Z,31939,9.98045
9.99,9.99,9.99,15,9.99,2024-09-26T04:00:00Z,90004,9.99
9.99,9.99,9.99,0,9.99,2024-09-27T04:00:00Z,0,0.0
9.995,9.995,9.99,52,9.9913,2024-09-30T04:00:00Z,62917,9.990058
