c,h,l,n,o,t,v,vw
11.52,11.72,11.1,1006,11.53,2019-10-03T04:00:00Z,346433,11.47
11.44,11.6,11.4,120,11.53,2019-10-04T04:00:00Z,59556,11.46
11.44,11.6,11.27,148,11.6,2019-10-07T04:00:00Z,34103,11.48
11.36,11.53,11.36,58,11.48,2019-10-08T04:00:00Z,14846,11.44
11.43,11.43,11.36,88,11.43,2019-10-09T04:00:00Z,21347,11.41
11.54,11.54,11.36,41,11.41,2019-10-10T04:00:00Z,18013,11.45
11.52,11.84,11.31,124,11.53,2019-10-11T04:00:00Z,32675,11.53
11.5,11.61,11.45,70,11.45,2019-10-14T04:00:00Z,5812,11.52
11.51,11.55,11.27,77,11.53,2019-10-15T04:00:00Z,12307,11.49
11.44,11.52,11.32,81,11.47,2019-10-16T04:00:00Z,26601,11.4
11.53,11.53,11.4,171,11.51,2019-10-17T04:00:00Z,35632,11.51
11.47,11.53,11.46,155,11.53,2019-10-18T04:00:00Z,22854,11.51
11.68,11.68,11.44,74,11.44,2019-10-21T04:00:00Z,12355,11.49
11.86,11.87,11.61,92,11.66,2019-10-22T04:00:00Z,21806,11.7
11.91,11.95,11.71,112,11.87,2019-10-23T04:00:00Z,15582,11.84
12.17,12.17,11.65,147,11.66,2019-10-24T04:00:00Z,29685,11.84
12.38,12.68,12.17,123,12.17,2019-10-25T04:00:00Z,18983,12.26
12.47,13.62,12.45,219,12.6,2019-10-28T04:00:00Z,44085,12.75
12.42,12.6,12.3,212,12.47,2019-10-29T04:00:00Z,49951,12.41
12.42,12.49,12.35,80,12.42,2019-10-30T04:00:00Z,12026,12.4
12.51,12.51,12.14,194,12.51,2019-10-31T04:00:00Z,29565,12.28
12.42,12.48,11.68,162,12.14,2019-11-01T04:00:00Z,17792,12.34
12.44,12.5,12.26,114,12.26,2019-11-04T05:00:00Z,13827,12.39
12.47,12.53,12.26,48,12.26,2019-11-05T05:00:00Z,6079,12.42
12.42,12.42,12.26,102,12.31,2019-11-06T05:00:00Z,10745,12.35
12.39,12.42,12.27,86,12.42,2019-11-07T05:00:00Z,7873,12.39
12.44,12.44,12.27,152,12.27,2019-11-08T05:00:00Z,11531,12.38
12.39,12.44,12.26,129,12.26,2019-11-11T05:00:00Z,10118,12.36
12.38,12.38,12.26,61,12.28,2019-11-12T05:00:00Z,4758,12.31
12.34,12.34,12.22,129,12.26,2019-11-13T05:00:00Z,11498,12.28
12.3,12.33,11.71,107,12.33,2019-11-14T05:00:00Z,25815,12.29
12.35,12.35,12.22,94,12.35,2019-11-15T05:00:00Z,13074,12.31
12.37,12.42,12.15,176,12.15,2019-11-18T05:00:00Z,15682,12.32
12.26,12.42,12.26,125,12.35,2019-11-19T05:00:00Z,15637,12.36
12.42,12.42,12.06,137,12.26,2019-11-20T05:00:00Z,17798,12.22
12.38,12.47,12.31,49,12.47,2019-11-21T05:00:00Z,3963,12.37
12.17,12.39,12.11,42,12.39,2019-11-22T05:00:00Z,4287,12.28
12.35,12.35,12.35,16,12.35,2019-11-25T05:00:00Z,1342,12.35
12.35,12.39,12.2,204,12.39,2019-11-26T05:00:00Z,23300,12.34
12.34,12.34,12.16,25,12.16,2019-11-27T05:00:00Z,2428,12.26
12.3,12.39,12.24,33,12.39,2019-11-29T05:00:00Z,1692,12.33
12.86,12.86,12.06,1049,12.46,2019-12-02T05:00:00Z,173221,12.5
13.11,13.11,12.39,427,12.84,2019-12-03T05:00:00Z,91200,12.72
13.68,14.01,13.09,1501,13.1,2019-12-04T05:00:00Z,149878,13.69
14.23,14.23,13.59,850,13.68,2019-12-05T05:00:00Z,94744,13.91
14.26,14.39,13.69,469,14.26,2019-12-06T05:00:00Z,57143,14.16
13.96,14.41,13.71,605,14.36,2019-12-09T05:00:00Z,57436,14.23
14.19,14.26,13.77,532,13.77,2019-12-10T05:00:00Z,64350,14.1
14.38,14.41,13.73,523,14.3,2019-12-11T05:00:00Z,48581,14.24
14.53,14.65,14.2,774,14.38,2019-12-12T05:00:00Z,80055,14.5
14.63,14.97,14.21,943,14.41,2019-12-13T05:00:00Z,129204,14.61
14.66,14.82,14.63,478,14.82,2019-12-16T05:00:00Z,60714,14.7
14.58,15.03,14.43,683,14.74,2019-12-17T05:00:00Z,46829,14.67
13.67,14.7,13.66,459,14.47,2019-12-18T05:00:00Z,27207,14.08
13.45,14.76,12.99,940,14.1,2019-12-19T05:00:00Z,55324,13.71
15.0,15.3,13.12,2749,13.56,2019-12-20T05:00:00Z,3309239,14.99
14.96,15.06,14.71,1299,14.78,2019-12-23T05:00:00Z,143869,14.95
15.01,15.06,14.9,335,15.0,2019-12-24T05:00:00Z,14814,14.99
15.03,15.18,14.74,705,15.08,2019-12-26T05:00:00Z,62067,15.08
15.06,15.19,14.87,634,14.87,2019-12-27T05:00:00Z,88442,15.06
15.19,15.21,14.63,773,14.67,2019-12-30T05:00:00Z,101106,14.99
15.06,15.2,14.74,543,15.06,2019-12-31T05:00:00Z,71414,15.04
15.18,15.24,14.75,235,15.19,2020-01-02T05:00:00Z,22918,15.12
15.25,15.29,14.84,324,15.26,2020-01-03T05:00:00Z,57108,15.22
15.25,15.39,14.88,749,15.19,2020-01-06T05:00:00Z,79224,15.24
15.28,15.37,15.06,263,15.24,2020-01-07T05:00:00Z,33882,15.22
15.37,15.4,14.94,325,15.31,2020-01-08T05:00:00Z,30655,15.3
15.56,16.22,15.17,476,15.4,2020-01-09T05:00:00Z,69763,15.54
15.59,15.68,15.07,458,15.47,2020-01-10T05:00:00Z,53526,15.54
16.08,16.32,15.61,791,15.71,2020-01-13T05:00:00Z,89069,15.94
16.26,16.41,15.83,675,16.05,2020-01-14T05:00:00Z,92188,16.17
15.6,16.34,15.27,420,16.34,2020-01-15T05:00:00Z,54035,15.87
16.29,16.35,15.68,482,15.68,2020-01-16T05:00:00Z,59466,16.17
16.09,16.35,15.87,382,16.35,2020-01-17T05:00:00Z,49128,16.22
16.08,16.34,15.98,366,16.09,2020-01-21T05:00:00Z,37717,16.16
15.74,15.83,15.4,161,15.4,2020-01-22T05:00:00Z,15351,15.7
15.83,15.87,15.44,192,15.75,2020-01-23T05:00:00Z,14911,15.76
15.37,15.92,15.09,428,15.71,2020-01-24T05:00:00Z,58523,15.38
15.42,15.47,14.87,403,14.92,2020-01-27T05:00:00Z,36311,15.26
