c,h,l,n,o,t,v,vw
25.465,25.465,25.465,2,25.465,2024-01-12T05:00:00Z,42,0.0
24.9243,25.14,24.9243,3,25.14,2024-01-16T05:00:00Z,245,25.14
24.18,24.18,24.07,8,24.07,2024-01-17T05:00:00Z,298,24.07
24.18,24.18,24.13,1,24.13,2024-01-18T05:00:00Z,200,24.13
24.06,24.06,23.87,2,23.87,2024-01-19T05:00:00Z,225,23.87
23.41,23.41,23.26,4,23.26,2024-01-22T05:00:00Z,3715,23.26
23.8453,23.8453,23.8453,1,23.8453,2024-01-23T05:00:00Z,10,0.0
24.2624,24.32,24.2624,3,24.32,2024-01-24T05:00:00Z,230,24.32
24.215,24.22,24.19,15,24.19,2024-01-25T05:00:00Z,1730,24.204853
23.915,23.915,23.91,5,23.91,2024-01-26T05:00:00Z,325,23.91
23.76,23.76,23.76,4,23.76,2024-01-29T05:00:00Z,22,0.0
23.2532,23.2532,23.2532,1,23.2532,2024-01-30T05:00:00Z,10,0.0
22.9949,22.9949,22.9949,2,22.9949,2024-01-31T05:00:00Z,20,0.0
23.1203,23.16,23.1203,1,23.16,2024-02-01T05:00:00Z,120,23.16
23.1203,23.1203,23.1203,0,23.1203,2024-02-02T05:00:00Z,0,0.0
22.4977,22.55,22.4977,4,22.55,2024-02-05T05:00:00Z,1024,22.55
23.6601,23.6601,23.29,7,23.29,2024-02-06T05:00:00Z,1315,23.480708
23.7,23.7,23.69,8,23.69,2024-02-07T05:00:00Z,540,23.69
23.6335,23.6335,23.6335,2,23.6335,2024-02-08T05:00:00Z,10,0.0
23.7703,23.78,23.77,5,23.78,2024-02-09T05:00:00Z,341,23.773322
23.7703,23.7703,23.7703,0,23.7703,2024-02-12T05:00:00Z,0,0.0
23.6219,23.6219,23.6219,2,23.6219,2024-02-13T05:00:00Z,16,0.0
23.9466,23.9466,23.81,3,23.81,2024-02-14T05:00:00Z,211,23.81
24.0458,24.1299,24.0458,1,24.1299,2024-02-15T05:00:00Z,1037,24.1299
24.5513,24.67,24.5513,3,24.67,2024-02-16T05:00:00Z,290,24.67
24.5513,24.5513,24.5513,0,24.5513,2024-02-20T05:00:00Z,0,0.0
24.5559,24.68,24.5446,11,24.68,2024-02-21T05:00:00Z,1150,24.662339
24.8475,24.8475,24.8475,1,24.8475,2024-02-22T05:00:00Z,20,0.0
25.04,25.04,25.04,4,25.04,2024-02-23T05:00:00Z,210,0.0
25.0645,25.0645,25.06,2,25.06,2024-02-26T05:00:00Z,241,25.06
25.5257,25.58,25.48,27,25.58,2024-02-27T05:00:00Z,2800,25.553921
25.3723,25.3723,25.32,3,25.32,2024-02-28T05:00:00Z,250,25.32
25.65,25.65,25.65,1,25.65,2024-02-29T05:00:00Z,70,0.0
25.65,25.65,25.65,0,25.65,2024-03-01T05:00:00Z,0,0.0
26.0397,26.14,26.0397,7,26.14,2024-03-04T05:00:00Z,512,26.10375
25.61,25.61,25.6,8,25.6,2024-03-05T05:00:00Z,2144,25.6
26.0173,26.0173,25.97,1,25.97,2024-03-06T05:00:00Z,200,25.97
