c,h,l,n,o,t,v,vw
9.653,9.662,9.653,3,9.662,2016-01-05T05:00:00Z,214,9.657
9.653,9.653,9.653,1,9.653,2016-01-06T05:00:00Z,100,9.653
9.653,9.653,9.653,0,9.653,2016-01-07T05:00:00Z,0,0.0
9.231,9.231,9.231,1,9.231,2016-01-08T05:00:00Z,100,9.231
9.231,9.231,9.231,0,9.231,2016-01-11T05:00:00Z,0,0.0
9.231,9.231,9.231,0,9.231,2016-01-12T05:00:00Z,0,0.0
9.231,9.231,9.231,0,9.231,2016-01-13T05:00:00Z,0,0.0
9.231,9.231,9.231,0,9.231,2016-01-14T05:00:00Z,0,0.0
9.231,9.231,9.231,0,9.231,2016-01-15T05:00:00Z,0,0.0
9.165,9.296,9.147,23,9.231,2016-01-19T05:00:00Z,3217,9.17
8.95,8.95,8.95,1,8.95,2016-01-20T05:00:00Z,100,8.95
8.95,8.987,8.95,8,8.987,2016-01-21T05:00:00Z,2192,8.955
8.95,8.95,8.95,0,8.95,2016-01-22T05:00:00Z,0,0.0
8.95,8.95,8.95,0,8.95,2016-01-25T05:00:00Z,0,0.0
9.297,9.297,8.95,5,8.95,2016-01-26T05:00:00Z,493,9.065
9.297,9.297,9.297,0,9.297,2016-01-27T05:00:00Z,0,0.0
9.297,9.297,9.297,0,9.297,2016-01-28T05:00:00Z,0,0.0
9.184,9.184,9.184,2,9.184,2016-01-29T05:00:00Z,400,9.184
9.184,9.184,9.184,1,9.184,2016-02-01T05:00:00Z,100,9.184
9.137,9.137,9.137,3,9.137,2016-02-02T05:00:00Z,1098,9.137
9.137,9.137,9.137,0,9.137,2016-02-03T05:00:00Z,0,0.0
9.137,9.137,9.137,0,9.137,2016-02-04T05:00:00Z,0,0.0
9.137,9.137,9.137,0,9.137,2016-02-05T05:00:00Z,0,0.0
9.137,9.137,9.137,0,9.137,2016-02-08T05:00:00Z,0,0.0
9.053,9.053,9.053,1,9.053,2016-02-09T05:00:00Z,100,9.053
9.053,9.315,9.053,2,9.315,2016-02-10T05:00:00Z,200,9.184
9.053,9.053,9.053,0,9.053,2016-02-11T05:00:00Z,0,0.0
9.053,9.053,9.053,0,9.053,2016-02-12T05:00:00Z,0,0.0
9.268,9.268,9.268,8,9.268,2016-02-16T05:00:00Z,393,9.268
9.371,9.371,9.287,8,9.287,2016-02-17T05:00:00Z,845,9.332
9.371,9.371,9.371,0,9.371,2016-02-18T05:00:00Z,0,0.0
9.484,9.484,9.484,2,9.484,2016-02-19T05:00:00Z,367,9.484
9.484,9.484,9.484,0,9.484,2016-02-22T05:00:00Z,0,0.0
9.484,9.484,9.484,0,9.484,2016-02-23T05:00:00Z,0,0.0
9.197,9.197,9.197,1,9.197,2016-02-24T05:00:00Z,1000,9.197
9.197,9.197,9.197,0,9.197,2016-02-25T05:00:00Z,0,0.0
9.001,9.001,9.001,3,9.001,2016-02-26T05:00:00Z,500,9.001
8.959,8.959,8.95,7,8.95,2016-02-29T05:00:00Z,832,8.953
8.959,8.959,8.959,0,8.959,2016-03-01T05:00:00Z,0,0.0
8.959,8.959,8.959,0,8.959,2016-03-02T05:00:00Z,0,0.0
8.912,8.912,8.912,4,8.912,2016-03-03T05:00:00Z,328,8.912
8.912,8.912,8.912,0,8.912,2016-03-04T05:00:00Z,0,0.0
8.912,8.912,8.912,0,8.912,2016-03-07T05:00:00Z,0,0.0
8.997,8.997,8.997,16,8.997,2016-03-08T05:00:00Z,1199,8.997
8.997,8.997,8.997,0,8.997,2016-03-09T05:00:00Z,0,0.0
8.997,8.997,8.997,0,8.997,2016-03-10T05:00:00Z,0,0.0
8.997,8.997,8.997,0,8.997,2016-03-11T05:00:00Z,0,0.0
9.653,9.653,9.615,10,9.653,2016-03-14T04:00:00Z,651,9.644
9.653,9.653,9.653,0,9.653,2016-03-15T04:00:00Z,0,0.0
9.653,9.653,9.653,0,9.653,2016-03-16T04:00:00Z,0,0.0
9.653,9.653,9.653,0,9.653,2016-03-17T04:00:00Z,0,0.0
9.653,9.653,9.653,0,9.653,2016-03-18T04:00:00Z,0,0.0
9.09,9.4,8.997,13,9.09,2016-03-21T04:00:00Z,1558,9.152
9.09,9.09,9.09,0,9.09,2016-03-22T04:00:00Z,0,0.0
9.521,9.521,9.09,9,9.09,2016-03-23T04:00:00Z,1515,9.123
9.118,9.127,9.118,2,9.127,2016-03-24T04:00:00Z,200,9.123
9.118,9.118,9.118,0,9.118,2016-03-28T04:00:00Z,0,0.0
9.259,9.475,9.259,6,9.475,2016-03-29T04:00:00Z,465,9.315
9.259,9.259,9.259,0,9.259,2016-03-30T04:00:00Z,0,0.0
9.259,9.259,9.259,0,9.259,2016-03-31T04:00:00Z,0,0.0
9.259,9.259,9.259,0,9.259,2016-04-01T04:00:00Z,0,0.0
9.259,9.259,9.259,0,9.259,2016-04-04T04:00:00Z,0,0.0
9.259,9.259,9.259,0,9.259,2016-04-05T04:00:00Z,0,0.0
9.259,9.259,9.259,0,9.259,2016-04-06T04:00:00Z,0,0.0
9.259,9.259,9.259,0,9.259,2016-04-07T04:00:00Z,0,0.0
9.259,9.259,9.259,0,9.259,2016-04-08T04:00:00Z,0,0.0
9.259,9.259,9.259,0,9.259,2016-04-11T04:00:00Z,0,0.0
9.259,9.259,9.259,0,9.259,2016-04-12T04:00:00Z,0,0.0
9.184,9.184,9.184,8,9.184,2016-04-13T04:00:00Z,1140,9.184
9.184,9.184,9.184,0,9.184,2016-04-14T04:00:00Z,0,0.0
9.175,9.175,9.175,2,9.175,2016-04-15T04:00:00Z,242,9.175
9.175,9.175,9.175,0,9.175,2016-04-18T04:00:00Z,0,0.0
9.184,9.325,9.072,21,9.184,2016-04-19T04:00:00Z,2995,9.186
9.132,9.132,9.132,4,9.132,2016-04-20T04:00:00Z,118,9.132
9.043,9.072,9.043,15,9.043,2016-04-21T04:00:00Z,1538,9.048
9.043,9.043,9.043,0,9.043,2016-04-22T04:00:00Z,0,0.0
9.043,9.043,9.043,0,9.043,2016-04-25T04:00:00Z,0,0.0
9.072,9.596,9.072,20,9.348,2016-04-26T04:00:00Z,4121,9.445
9.596,9.596,9.446,3,9.446,2016-04-27T04:00:00Z,206,9.521
9.531,9.531,9.531,2,9.531,2016-04-28T04:00:00Z,300,9.531
9.531,9.531,9.531,0,9.531,2016-04-29T04:00:00Z,0,0.0
9.531,9.531,9.531,0,9.531,2016-05-02T04:00:00Z,0,0.0
9.596,9.596,9.596,1,9.596,2016-05-03T04:00:00Z,380,9.596
9.596,9.596,9.596,0,9.596,2016-05-04T04:00:00Z,0,0.0
9.587,9.587,9.584,2,9.584,2016-05-05T04:00:00Z,200,9.586
9.587,9.587,9.587,0,9.587,2016-05-06T04:00:00Z,0,0.0
9.587,9.587,9.587,0,9.587,2016-05-09T04:00:00Z,0,0.0
9.587,9.587,9.587,0,9.587,2016-05-10T04:00:00Z,0,0.0
9.587,9.587,9.587,0,9.587,2016-05-11T04:00:00Z,0,0.0
9.587,9.587,9.587,0,9.587,2016-05-12T04:00:00Z,0,0.0
9.587,9.587,9.587,0,9.587,2016-05-13T04:00:00Z,0,0.0
9.587,9.587,9.587,0,9.587,2016-05-16T04:00:00Z,0,0.0
9.567,9.567,9.567,5,9.567,2016-05-17T04:00:00Z,440,9.567
9.532,9.532,9.512,5,9.512,2016-05-18T04:00:00Z,1588,9.526
9.532,9.532,9.532,0,9.532,2016-05-19T04:00:00Z,0,0.0
9.532,9.532,9.532,0,9.532,2016-05-20T04:00:00Z,0,0.0
9.532,9.532,9.532,0,9.532,2016-05-23T04:00:00Z,0,0.0
9.541,9.596,9.541,7,9.587,2016-05-24T04:00:00Z,1236,9.582
9.596,9.596,9.596,1,9.596,2016-05-25T04:00:00Z,200,9.596
9.508,9.508,9.467,5,9.467,2016-05-26T04:00:00Z,607,9.493
9.508,9.508,9.508,0,9.508,2016-05-27T04:00:00Z,0,0.0
9.512,9.512,9.467,2,9.467,2016-05-31T04:00:00Z,299,9.494
9.512,9.512,9.512,0,9.512,2016-06-01T04:00:00Z,0,0.0
9.512,9.512,9.512,0,9.512,2016-06-02T04:00:00Z,0,0.0
9.512,9.512,9.512,0,9.512,2016-06-03T04:00:00Z,0,0.0
9.053,9.371,9.053,19,9.072,2016-06-06T04:00:00Z,1637,9.185
9.371,9.484,9.184,31,9.325,2016-06-07T04:00:00Z,4118,9.38
