c,h,l,n,o,t,v,vw
12.92,14.8,8.42,8440,10.0,2022-02-16T05:00:00Z,1437834,12.264374
9.0,12.98,8.71,6536,11.2,2022-02-17T05:00:00Z,892348,11.054842
8.16,8.69,7.02,2309,8.28,2022-02-18T05:00:00Z,249941,7.935587
8.03,8.4,7.5,1053,7.5,2022-02-22T05:00:00Z,108059,7.931829
7.81,8.91,7.4601,693,8.04,2022-02-23T05:00:00Z,66086,8.312107
7.68,8.19,6.78,519,7.89,2022-02-24T05:00:00Z,60877,7.610237
8.13,8.3,7.8,112,7.8075,2022-02-25T05:00:00Z,8849,8.00802
8.22,8.6,7.1901,367,7.56,2022-02-28T05:00:00Z,63919,8.200036
8.06,8.39,7.82,479,7.86,2022-03-01T05:00:00Z,83301,8.168129
7.79,8.1737,7.4201,207,8.13,2022-03-02T05:00:00Z,40495,7.781085
7.9,8.15,7.63,274,7.75,2022-03-03T05:00:00Z,30930,7.847073
7.66,7.88,7.59,464,7.62,2022-03-04T05:00:00Z,43935,7.699953
7.3,7.63,7.12,575,7.63,2022-03-07T05:00:00Z,56211,7.351365
7.4,7.6,6.96,443,7.0743,2022-03-08T05:00:00Z,51884,7.163048
7.5,7.79,7.41,79,7.5,2022-03-09T05:00:00Z,9508,7.594566
7.69,8.0,7.6,65,8.0,2022-03-10T05:00:00Z,4047,7.66698
7.2,7.9,7.05,231,7.73,2022-03-11T05:00:00Z,42413,7.383004
6.6,7.2,6.57,696,7.2,2022-03-14T04:00:00Z,83926,6.800104
6.43,7.05,6.36,369,7.05,2022-03-15T04:00:00Z,41667,6.652499
6.6503,6.9302,6.3,289,6.86,2022-03-16T04:00:00Z,32885,6.621545
6.4334,6.7,6.42,93,6.57,2022-03-17T04:00:00Z,4508,6.560491
6.7,6.76,6.2,260,6.45,2022-03-18T04:00:00Z,29474,6.579001
6.47,6.58,6.12,273,6.58,2022-03-21T04:00:00Z,36069,6.449394
7.41,7.84,6.41,658,6.41,2022-03-22T04:00:00Z,27220,7.274316
7.8504,7.8504,7.565,109,7.7171,2022-03-23T04:00:00Z,4509,7.698273
8.19,9.03,7.84,347,7.85,2022-03-24T04:00:00Z,22790,8.541562
8.55,8.89,8.4,273,8.4,2022-03-25T04:00:00Z,26577,8.72895
8.8,9.15,8.59,235,8.59,2022-03-28T04:00:00Z,39814,9.013205
9.15,9.18,8.54,141,8.6318,2022-03-29T04:00:00Z,10369,9.017854
