c,h,l,n,o,t,v,vw
9.64,9.95,9.61,13,9.95,2021-03-24T04:00:00Z,1400,9.867085
9.91,9.91,9.51,27,9.64,2021-03-25T04:00:00Z,3109,9.554815
9.91,9.91,9.91,0,9.91,2021-03-26T04:00:00Z,0,0.0
9.68,9.68,9.68,8,9.68,2021-03-29T04:00:00Z,148223,9.68
9.69,9.7,9.51,5,9.51,2021-03-30T04:00:00Z,1863,9.578675
9.75,9.75,9.75,6,9.75,2021-03-31T04:00:00Z,10850,9.75
9.66,9.66,9.66,6,9.66,2021-04-01T04:00:00Z,251341,9.66
9.65,9.65,9.65,3,9.65,2021-04-05T04:00:00Z,1985,9.65
9.75,9.75,9.7,5,9.7,2021-04-06T04:00:00Z,35019,9.714286
9.85,9.87,9.8,41,9.8,2021-04-07T04:00:00Z,26220,9.821892
9.8,9.81,9.8,24,9.8062,2021-04-08T04:00:00Z,5145,9.800391
9.8,9.86,9.8,78,9.84,2021-04-09T04:00:00Z,17991,9.84737
9.85,9.85,9.71,19,9.71,2021-04-12T04:00:00Z,12813,9.714063
9.85,9.85,9.76,61,9.81,2021-04-13T04:00:00Z,13466,9.8029
9.85,9.85,9.8,180,9.82,2021-04-14T04:00:00Z,45867,9.834631
9.85,9.85,9.8,41,9.8,2021-04-15T04:00:00Z,33150,9.803082
9.86,10.0,9.86,5,10.0,2021-04-16T04:00:00Z,351,9.953333
9.83,9.86,9.77,41,9.86,2021-04-19T04:00:00Z,2621,9.845
9.84,9.85,9.65,293,9.72,2021-04-20T04:00:00Z,119601,9.779485
9.85,9.85,9.8,89,9.8,2021-04-21T04:00:00Z,46925,9.8151
9.85,9.85,9.83,12,9.84,2021-04-22T04:00:00Z,8027,9.848503
9.85,9.85,9.85,19,9.85,2021-04-23T04:00:00Z,2462,9.85
9.85,9.85,9.85,38,9.85,2021-04-26T04:00:00Z,101624,9.85
9.69,9.7,9.69,19,9.7,2021-04-27T04:00:00Z,810,9.6975
9.69,9.69,9.69,0,9.69,2021-04-28T04:00:00Z,0,0.0
9.7,9.99,9.66,243,9.99,2021-04-29T04:00:00Z,50987,9.711515
9.75,9.75,9.73,33,9.74,2021-04-30T04:00:00Z,6221,9.744426
