c,h,l,n,o,t,v,vw
30.52,32.75,28.62,136846,32.5,2021-06-09T04:00:00Z,34675959,31.15282
29.9,31.49,28.9,42847,31.132,2021-06-10T04:00:00Z,6574026,30.093317
31.5,31.98,30.2,26606,30.89,2021-06-11T04:00:00Z,3658191,31.298233
32.0,32.54,31.08,19479,31.56,2021-06-14T04:00:00Z,2996586,32.037146
31.99,32.27,30.3,17743,32.27,2021-06-15T04:00:00Z,8395255,31.853599
29.97,31.68,29.52,12238,31.57,2021-06-16T04:00:00Z,1607088,30.407844
29.7,30.85,29.02,10055,30.1422,2021-06-17T04:00:00Z,1556929,29.665853
30.2,30.3,29.37,7919,29.5,2021-06-18T04:00:00Z,1215930,29.916332
30.0,30.56,29.74,8923,30.49,2021-06-21T04:00:00Z,1638872,30.087816
29.2,30.18,28.88,9866,29.87,2021-06-22T04:00:00Z,970956,29.415614
29.25,29.56,29.04,5949,29.35,2021-06-23T04:00:00Z,592653,29.315491
30.08,30.27,29.14,6138,29.45,2021-06-24T04:00:00Z,2264862,30.013196
28.5,30.19,28.16,12344,30.19,2021-06-25T04:00:00Z,1512635,29.022209
28.12,29.0637,27.33,11582,29.0637,2021-06-28T04:00:00Z,1245047,27.977979
28.15,28.39,27.52,9446,28.31,2021-06-29T04:00:00Z,1100008,28.015129
28.07,30.38,27.72,9741,28.23,2021-06-30T04:00:00Z,1788502,29.077659
28.1,29.9,27.86,8974,27.87,2021-07-01T04:00:00Z,2569462,28.287972
29.69,29.83,28.401,7597,28.68,2021-07-02T04:00:00Z,1331275,29.320341
28.7,29.68,28.15,10239,29.64,2021-07-06T04:00:00Z,1181785,28.797949
27.91,29.2026,27.4,8850,29.0,2021-07-07T04:00:00Z,961522,27.964846
27.03,27.78,25.7,16974,27.25,2021-07-08T04:00:00Z,2587670,26.897893
26.78,27.37,26.75,8360,27.1,2021-07-09T04:00:00Z,1452092,26.95183
25.64,27.0,25.58,10699,26.94,2021-07-12T04:00:00Z,1251942,25.971314
26.39,27.45,23.83,25522,25.5,2021-07-13T04:00:00Z,3674815,25.305961
25.09,26.39,24.01,13839,26.39,2021-07-14T04:00:00Z,2191117,24.766079
25.94,26.3,24.5401,9812,25.0,2021-07-15T04:00:00Z,1345855,25.741781
26.53,26.67,25.8,5029,25.9,2021-07-16T04:00:00Z,663186,26.260758
26.18,27.18,25.12,5484,25.75,2021-07-19T04:00:00Z,711822,26.232589
26.07,26.7515,25.83,5082,26.37,2021-07-20T04:00:00Z,807067,26.240689
26.6,26.63,26.07,3740,26.07,2021-07-21T04:00:00Z,440279,26.444913
26.79,26.99,26.3601,3459,26.55,2021-07-22T04:00:00Z,468539,26.724028
26.77,26.925,26.3,5655,26.79,2021-07-23T04:00:00Z,503063,26.715345
26.0,26.79,25.72,4947,26.7,2021-07-26T04:00:00Z,411975,26.06808
26.56,26.59,25.4,8651,26.0,2021-07-27T04:00:00Z,1243558,26.057153
27.19,27.68,26.62,6068,26.73,2021-07-28T04:00:00Z,1029047,27.304576
27.68,28.23,27.37,6710,27.52,2021-07-29T04:00:00Z,1007050,27.880387
26.83,27.96,25.82,13446,27.74,2021-07-30T04:00:00Z,1983715,26.787342
27.18,27.52,26.44,11356,27.0,2021-08-02T04:00:00Z,1452970,26.951924
