c,h,l,n,o,t,v,vw
18.6,22.75,18.51,59846,22.0,2018-12-07T05:00:00Z,15385937,21.141174
18.8,19.4388,18.0,19121,18.9,2018-12-10T05:00:00Z,4278620,18.701681
18.01,20.66,17.99,17505,20.55,2018-12-11T05:00:00Z,3519335,19.006329
18.68,19.48,18.02,13943,18.55,2018-12-12T05:00:00Z,2628518,18.571311
18.76,19.29,18.68,7748,19.25,2018-12-13T05:00:00Z,1631711,18.964346
18.32,18.8806,18.25,4583,18.75,2018-12-14T05:00:00Z,778147,18.453753
17.0,18.47,16.9,7524,18.33,2018-12-17T05:00:00Z,1697121,17.603207
17.0,17.25,16.25,7172,17.1,2018-12-18T05:00:00Z,1669772,16.641451
16.18,17.37,16.0,4755,16.86,2018-12-19T05:00:00Z,949728,16.594849
15.5,16.14,14.75,11028,16.0,2018-12-20T05:00:00Z,2374956,15.245243
14.47,15.5,13.95,8800,15.4,2018-12-21T05:00:00Z,2121121,14.522822
14.03,14.32,13.75,3677,14.32,2018-12-24T05:00:00Z,673432,13.987492
13.52,14.31,13.03,8163,14.15,2018-12-26T05:00:00Z,1831832,13.5473
14.65,14.95,13.27,9040,13.49,2018-12-27T05:00:00Z,1782476,14.239389
14.15,14.85,13.8184,4641,14.72,2018-12-28T05:00:00Z,938957,14.213802
15.27,15.3,14.2129,5184,14.24,2018-12-31T05:00:00Z,1005462,14.644191
15.33,15.45,14.51,10102,14.93,2019-01-02T05:00:00Z,2522372,14.978844
15.5,16.08,15.2,7902,15.49,2019-01-03T05:00:00Z,1602593,15.603612
16.96,17.5,15.8944,8247,16.0,2019-01-04T05:00:00Z,1662205,16.723676
16.27,17.94,16.18,9417,17.54,2019-01-07T05:00:00Z,1618686,17.149498
16.95,17.468,16.05,9085,17.35,2019-01-08T05:00:00Z,1947510,16.713531
16.33,17.25,16.15,6619,17.2,2019-01-09T05:00:00Z,1213429,16.580906
16.48,16.51,16.0,2281,16.36,2019-01-10T05:00:00Z,505394,16.334039
17.0,17.06,16.53,2847,16.6,2019-01-11T05:00:00Z,600513,16.923342
16.74,17.06,16.72,2596,17.0,2019-01-14T05:00:00Z,632764,16.892558
16.59,17.0,16.41,2229,17.0,2019-01-15T05:00:00Z,486487,16.648556
16.26,16.95,16.26,1414,16.8,2019-01-16T05:00:00Z,347518,16.44665
16.31,16.53,16.05,1800,16.05,2019-01-17T05:00:00Z,393183,16.352991
16.69,16.8,16.25,3393,16.46,2019-01-18T05:00:00Z,769989,16.616157
15.56,16.6345,15.35,3888,16.62,2019-01-22T05:00:00Z,648202,15.892096
14.79,15.92,14.76,3316,15.59,2019-01-23T05:00:00Z,672892,15.051624
14.64,15.195,14.64,2823,14.9,2019-01-24T05:00:00Z,471496,14.850776
14.91,14.92,14.4,4845,14.8,2019-01-25T05:00:00Z,966088,14.604706
14.45,14.84,14.45,3337,14.84,2019-01-28T05:00:00Z,775078,14.531789
14.63,14.875,14.45,3181,14.46,2019-01-29T05:00:00Z,602565,14.614867
15.13,15.545,14.65,3094,14.72,2019-01-30T05:00:00Z,869618,15.112259
16.6,17.48,15.24,8325,15.24,2019-01-31T05:00:00Z,2271754,16.72098
16.22,17.0075,15.9,3636,16.8,2019-02-01T05:00:00Z,637509,16.422429
16.27,16.49,15.95,2228,16.22,2019-02-04T05:00:00Z,306284,16.208773
17.18,17.49,16.2075,3611,16.29,2019-02-05T05:00:00Z,676194,17.069509
18.14,18.39,17.1101,5785,17.25,2019-02-06T05:00:00Z,1027272,17.961951
17.05,18.0679,17.04,3158,17.95,2019-02-07T05:00:00Z,541251,17.418036
17.99,18.15,17.1,3401,17.1,2019-02-08T05:00:00Z,694402,17.695361
18.17,18.6462,17.7507,2970,17.99,2019-02-11T05:00:00Z,611557,18.170686
18.69,18.76,17.6,4472,18.21,2019-02-12T05:00:00Z,762480,18.37198
18.53,19.22,18.3,7299,18.99,2019-02-13T05:00:00Z,1354284,18.659665
19.66,19.96,18.63,6504,18.64,2019-02-14T05:00:00Z,1111348,19.334713
21.44,21.4674,19.7,12003,19.94,2019-02-15T05:00:00Z,2123623,20.764782
20.83,21.513,20.05,7154,21.51,2019-02-19T05:00:00Z,1227239,20.734281
19.92,21.2399,19.13,7450,21.12,2019-02-20T05:00:00Z,1173857,19.981058
19.34,19.98,18.88,4905,19.74,2019-02-21T05:00:00Z,838691,19.379809
19.88,20.04,19.35,3738,19.35,2019-02-22T05:00:00Z,573933,19.814891
21.65,22.3,19.83,10202,20.54,2019-02-25T05:00:00Z,1957239,21.050384
23.7,24.4,21.56,14717,21.6,2019-02-26T05:00:00Z,2539914,23.297731
22.1,23.83,21.53,10290,23.37,2019-02-27T05:00:00Z,1572726,22.688265
22.6,23.03,22.05,3412,22.45,2019-02-28T05:00:00Z,527116,22.64425
22.27,23.39,21.64,6151,23.09,2019-03-01T05:00:00Z,882300,22.585324
21.12,22.8,20.52,7736,22.47,2019-03-04T05:00:00Z,1145102,21.454484
21.37,21.49,20.29,8061,21.18,2019-03-05T05:00:00Z,1100363,21.038137
20.65,22.05,20.0604,7216,21.4,2019-03-06T05:00:00Z,1087253,20.703188
20.59,21.155,19.6115,7192,20.42,2019-03-07T05:00:00Z,1037872,20.49885
