c,h,l,n,o,t,v,vw
8.108,8.14,7.952,26058,7.988,2016-01-04T05:00:00Z,7045917,8.057
7.85,8.154,7.832,23123,8.053,2016-01-05T05:00:00Z,5400031,7.92
7.417,7.777,7.399,26073,7.767,2016-01-06T05:00:00Z,9285068,7.469
7.491,7.528,7.233,29562,7.297,2016-01-07T05:00:00Z,6721109,7.464
7.574,7.684,7.519,27406,7.684,2016-01-08T05:00:00Z,6226627,7.589
7.666,7.703,7.528,22259,7.592,2016-01-11T05:00:00Z,5087124,7.619
7.813,7.97,7.648,24779,7.749,2016-01-12T05:00:00Z,5402145,7.812
7.638,7.965,7.509,23738,7.841,2016-01-13T05:00:00Z,6078387,7.71
7.684,7.823,7.486,20845,7.611,2016-01-14T05:00:00Z,6174689,7.644
7.472,7.592,7.334,27262,7.472,2016-01-15T05:00:00Z,7315155,7.461
7.159,7.767,7.122,29060,7.767,2016-01-19T05:00:00Z,6606471,7.295
7.288,7.371,6.818,26538,7.076,2016-01-20T05:00:00Z,6375594,7.044
7.472,7.544,7.168,29469,7.316,2016-01-21T05:00:00Z,8166142,7.434
7.537,7.684,7.491,16034,7.601,2016-01-22T05:00:00Z,4041089,7.565
7.537,7.666,7.44,17332,7.491,2016-01-25T05:00:00Z,4423947,7.535
7.671,7.758,7.509,17032,7.546,2016-01-26T05:00:00Z,4678450,7.662
7.546,7.721,7.399,16986,7.611,2016-01-27T05:00:00Z,5029384,7.612
7.721,7.73,7.532,18655,7.611,2016-01-28T05:00:00Z,4698089,7.634
8.154,8.164,7.712,22861,7.712,2016-01-29T05:00:00Z,7341638,8.021
8.228,8.375,7.878,26716,8.025,2016-02-01T05:00:00Z,7386909,8.159
7.988,8.246,7.952,37791,8.154,2016-02-02T05:00:00Z,11264905,8.053
8.541,8.578,7.952,61440,8.302,2016-02-03T05:00:00Z,15854744,8.375
8.569,8.753,8.294,23668,8.403,2016-02-04T05:00:00Z,5673655,8.584
8.256,8.597,8.237,20693,8.597,2016-02-05T05:00:00Z,4629792,8.308
8.154,8.256,8.035,22629,8.219,2016-02-08T05:00:00Z,6014373,8.132
8.016,8.21,7.942,22733,7.998,2016-02-09T05:00:00Z,6038370,8.058
7.906,8.182,7.869,21875,8.035,2016-02-10T05:00:00Z,4701943,7.995
7.749,7.896,7.666,20853,7.832,2016-02-11T05:00:00Z,3942353,7.754
7.933,8.044,7.758,12328,7.777,2016-02-12T05:00:00Z,2624280,7.92
8.403,8.403,7.979,17264,7.979,2016-02-16T05:00:00Z,3477758,8.28
8.569,8.652,8.385,22481,8.486,2016-02-17T05:00:00Z,4924121,8.537
8.551,9.002,8.486,22593,8.781,2016-02-18T05:00:00Z,5666522,8.647
