c,h,l,n,o,t,v,vw
171.13,177.98,169.01,1780,176.17,2016-01-04T05:00:00Z,148892,171.054018
171.77,173.58,169.17,1141,171.13,2016-01-05T05:00:00Z,88980,171.146789
169.27,173.8,166.84,1060,169.97,2016-01-06T05:00:00Z,93583,169.484147
161.03,168.38,160.42,1933,166.42,2016-01-07T05:00:00Z,167201,164.154615
148.15,161.74,141.0601,7004,160.57,2016-01-08T05:00:00Z,813108,148.502428
152.45,154.24,148.46,3163,149.82,2016-01-11T05:00:00Z,204038,151.991753
156.19,157.04,152.1,2153,153.78,2016-01-12T05:00:00Z,189188,154.565101
150.34,156.77,148.22,1834,155.96,2016-01-13T05:00:00Z,159196,152.343864
152.53,154.875,146.9,1698,150.72,2016-01-14T05:00:00Z,130909,152.241577
149.93,150.14,142.95,1827,148.01,2016-01-15T05:00:00Z,175039,148.055946
146.34,151.25,143.23,1913,151.21,2016-01-19T05:00:00Z,177614,147.334514
149.69,152.17,141.01,2338,144.32,2016-01-20T05:00:00Z,190847,145.394293
150.22,154.08,149.28,1151,150.12,2016-01-21T05:00:00Z,88046,151.590782
149.91,153.601,148.84,1794,153.25,2016-01-22T05:00:00Z,154772,150.520037
145.88,150.65,145.0,1485,149.21,2016-01-25T05:00:00Z,118463,147.170059
147.15,150.2899,145.61,2085,146.89,2016-01-26T05:00:00Z,175158,147.851368
142.39,146.8,141.54,2920,146.8,2016-01-27T05:00:00Z,255797,143.341748
167.26,173.77,160.83,8928,160.83,2016-01-28T05:00:00Z,782308,168.291583
172.51,173.0,166.11,3354,168.32,2016-01-29T05:00:00Z,324154,170.537593
173.34,176.16,168.78,2779,171.08,2016-02-01T05:00:00Z,236065,173.883586
171.89,174.46,170.65,2400,171.96,2016-02-02T05:00:00Z,183136,172.45499
171.48,174.13,168.7,2275,174.13,2016-02-03T05:00:00Z,159963,171.425834
167.84,171.02,165.43,1870,171.02,2016-02-04T05:00:00Z,141747,168.294025
156.46,166.05,155.805,2585,165.87,2016-02-05T05:00:00Z,224546,157.991745
155.0,156.009,150.59,3063,154.53,2016-02-08T05:00:00Z,200042,153.676163
151.96,161.71,150.055,1677,152.54,2016-02-09T05:00:00Z,148362,153.997045
150.15,156.4017,149.67,1691,153.32,2016-02-10T05:00:00Z,108269,151.895598
149.57,151.905,145.55,2555,147.21,2016-02-11T05:00:00Z,233672,148.638988
151.9,152.66,146.4,1705,150.45,2016-02-12T05:00:00Z,122765,149.991681
152.36,153.71,150.77,1509,153.71,2016-02-16T05:00:00Z,132338,152.154283
156.6,157.39,152.18,2902,153.45,2016-02-17T05:00:00Z,272491,155.2382
149.32,158.24,148.625,1930,156.49,2016-02-18T05:00:00Z,192830,151.106904
153.25,155.49,147.62,2574,148.0,2016-02-19T05:00:00Z,253731,152.519496
154.6,158.2,154.1,1417,155.32,2016-02-22T05:00:00Z,117226,155.351353
152.59,155.3,151.99,2818,152.51,2016-02-23T05:00:00Z,239480,153.0129
156.58,158.71,150.27,2435,151.41,2016-02-24T05:00:00Z,215049,154.631685
158.15,158.71,153.01,1365,156.71,2016-02-25T05:00:00Z,131793,156.162457
158.58,160.0,156.01,1560,159.57,2016-02-26T05:00:00Z,127164,157.762479
160.89,163.54,158.0,1514,158.35,2016-02-29T05:00:00Z,129924,161.269729
