c,h,l,n,o,t,v,vw
17.0,17.44,15.0,15449,16.99,2021-07-30T04:00:00Z,3966486,16.317278
16.5,17.0,15.9,2213,16.4,2021-08-02T04:00:00Z,261410,16.289809
15.91,16.415,15.25,2536,15.66,2021-08-03T04:00:00Z,423456,15.692894
15.05,15.87,15.0,2203,15.62,2021-08-04T04:00:00Z,348377,15.346769
14.79,15.33,14.3,1765,14.74,2021-08-05T04:00:00Z,271283,14.865715
15.87,16.69,14.595,1962,14.88,2021-08-06T04:00:00Z,238209,15.465569
16.63,16.98,15.11,2938,15.25,2021-08-09T04:00:00Z,483746,15.995626
16.3,16.36,15.64,5110,15.69,2021-08-10T04:00:00Z,913529,15.905972
16.4,16.5,16.0801,4318,16.3,2021-08-11T04:00:00Z,678428,16.31266
16.0,16.5,15.97,2963,16.37,2021-08-12T04:00:00Z,419469,16.19465
15.38,16.215,15.2,3336,15.83,2021-08-13T04:00:00Z,297672,15.679514
15.85,16.17,15.05,3484,15.75,2021-08-16T04:00:00Z,312179,15.577639
14.95,15.65,14.92,3230,15.6,2021-08-17T04:00:00Z,267010,15.239176
14.67,15.1,14.5597,3045,14.95,2021-08-18T04:00:00Z,237746,14.869995
13.84,14.59,13.77,4000,13.94,2021-08-19T04:00:00Z,418810,14.016047
14.34,14.5,13.8,2704,13.88,2021-08-20T04:00:00Z,279132,14.103283
14.34,14.5,13.96,3309,14.34,2021-08-23T04:00:00Z,1227171,14.213891
13.97,14.5,13.9,6277,14.4,2021-08-24T04:00:00Z,658627,14.142057
13.66,14.39,13.4,4915,13.94,2021-08-25T04:00:00Z,499293,13.723555
14.06,14.81,13.34,5414,13.52,2021-08-26T04:00:00Z,442570,13.94933
15.8,15.98,14.06,6476,14.06,2021-08-27T04:00:00Z,536684,15.141864
15.33,16.59,15.25,10528,16.33,2021-08-30T04:00:00Z,883378,16.004587
15.36,15.41,14.8,6131,15.17,2021-08-31T04:00:00Z,646366,15.113072
15.71,15.79,15.1,4756,15.27,2021-09-01T04:00:00Z,369766,15.521482
16.89,16.94,15.91,6450,16.01,2021-09-02T04:00:00Z,698542,16.466435
17.2,17.25,16.4,6899,16.9,2021-09-03T04:00:00Z,787025,16.812984
16.96,17.18,16.5,7714,17.0,2021-09-07T04:00:00Z,684328,16.877098
16.99,17.26,16.42,6888,17.0,2021-09-08T04:00:00Z,604858,16.83769
16.4,17.25,16.37,4721,17.25,2021-09-09T04:00:00Z,428053,16.8157
15.35,16.655,15.28,6380,16.5,2021-09-10T04:00:00Z,580521,15.754067
15.31,16.28,15.29,8466,15.48,2021-09-13T04:00:00Z,711938,15.726142
15.42,15.55,14.81,8037,15.08,2021-09-14T04:00:00Z,633592,15.179248
15.34,15.82,14.85,7325,15.4,2021-09-15T04:00:00Z,1696547,15.305849
14.96,15.42,14.51,6120,15.42,2021-09-16T04:00:00Z,1425221,14.966358
14.35,15.27,14.33,5712,15.27,2021-09-17T04:00:00Z,4116761,14.414026
13.71,14.09,13.39,5732,14.09,2021-09-20T04:00:00Z,1611917,13.710193
14.23,15.0,13.97,5272,14.0,2021-09-21T04:00:00Z,1692186,14.295637
14.03,14.795,13.77,3590,14.5,2021-09-22T04:00:00Z,299988,14.171794
13.68,14.315,13.65,4417,14.22,2021-09-23T04:00:00Z,333772,13.859274
13.92,14.12,13.11,2793,13.66,2021-09-24T04:00:00Z,312330,13.772897
13.59,13.92,13.36,3882,13.9,2021-09-27T04:00:00Z,368087,13.602795
12.93,13.35,12.72,3824,13.35,2021-09-28T04:00:00Z,844097,12.941073
12.31,12.87,11.9,5550,12.78,2021-09-29T04:00:00Z,594752,12.263201
12.21,12.45,12.09,4566,12.34,2021-09-30T04:00:00Z,582568,12.23016
11.4,11.99,10.53,7772,11.95,2021-10-01T04:00:00Z,1345027,10.972965
11.16,11.31,10.73,6514,11.1,2021-10-04T04:00:00Z,803351,11.065556
11.16,11.21,10.65,5504,10.9,2021-10-05T04:00:00Z,713513,10.887604
10.63,10.98,10.41,2926,10.85,2021-10-06T04:00:00Z,323273,10.664483
10.71,11.0,10.55,5790,10.7,2021-10-07T04:00:00Z,811169,10.72766
10.39,11.07,9.45,12457,9.62,2021-10-08T04:00:00Z,1592300,10.211796
10.45,11.05,10.31,6511,10.62,2021-10-11T04:00:00Z,691187,10.596115
11.05,11.3,10.45,6685,10.45,2021-10-12T04:00:00Z,733972,10.982154
10.84,11.09,10.5,5756,11.09,2021-10-13T04:00:00Z,514714,10.711209
11.34,11.5,10.7508,3979,10.77,2021-10-14T04:00:00Z,389328,11.153828
11.03,11.18,10.7,4502,11.18,2021-10-15T04:00:00Z,476799,11.032016
10.0,10.905,9.885,4488,10.88,2021-10-18T04:00:00Z,480732,10.116464
10.35,10.39,10.01,3214,10.03,2021-10-19T04:00:00Z,321413,10.230421
10.83,11.04,10.3,4740,10.36,2021-10-20T04:00:00Z,400089,10.780666
10.58,11.0,10.41,2056,11.0,2021-10-21T04:00:00Z,298393,10.617333
10.67,10.73,10.154,3650,10.54,2021-10-22T04:00:00Z,436049,10.441727
10.27,10.59,9.96,3854,10.5,2021-10-25T04:00:00Z,487370,10.271586
10.94,11.1,10.28,3200,10.35,2021-10-26T04:00:00Z,361074,10.768806
10.57,10.73,10.11,4363,10.73,2021-10-27T04:00:00Z,372107,10.422394
10.81,10.899,10.44,6370,10.57,2021-10-28T04:00:00Z,899868,10.717214
11.24,11.28,10.53,5192,10.78,2021-10-29T04:00:00Z,610935,10.856187
10.98,11.075,10.575,6625,10.63,2021-11-01T04:00:00Z,842741,10.86902
10.82,11.055,10.67,4980,10.84,2021-11-02T04:00:00Z,479561,10.898259
10.96,11.07,10.6755,4978,10.9,2021-11-03T04:00:00Z,486360,10.889316
11.69,11.88,10.79,7575,10.95,2021-11-04T04:00:00Z,883596,11.297288
11.37,11.6541,11.12,5107,11.55,2021-11-05T04:00:00Z,467095,11.398382
11.5,11.86,11.29,5295,11.34,2021-11-08T05:00:00Z,643847,11.603961
11.59,11.88,10.995,5257,11.66,2021-11-09T05:00:00Z,500825,11.465098
10.7,11.2899,10.66,3772,11.24,2021-11-10T05:00:00Z,342644,10.958012
12.88,12.92,11.26,8848,11.8,2021-11-11T05:00:00Z,852658,12.336674
12.57,12.96,12.54,8972,12.75,2021-11-12T05:00:00Z,824180,12.657959
12.03,12.65,11.94,6064,12.65,2021-11-15T05:00:00Z,1003427,12.134347
12.94,12.99,11.89,9671,11.89,2021-11-16T05:00:00Z,1277365,12.433643
12.78,12.9,12.48,7593,12.78,2021-11-17T05:00:00Z,848795,12.66656
12.36,12.55,11.82,8399,12.47,2021-11-18T05:00:00Z,847378,12.330902
12.79,12.96,12.13,6424,12.39,2021-11-19T05:00:00Z,626319,12.604237
10.6,12.69,10.425,13166,12.69,2021-11-22T05:00:00Z,1340788,11.136091
9.0,10.83,8.99,17438,10.78,2021-11-23T05:00:00Z,1613007,9.459857
9.17,9.328,8.5266,11462,9.02,2021-11-24T05:00:00Z,1328414,8.964326
9.73,9.8,8.75,5866,8.89,2021-11-26T05:00:00Z,573556,9.600224
8.87,9.69,8.79,8173,9.67,2021-11-29T05:00:00Z,819755,9.097784
9.98,10.1,8.97,13664,8.97,2021-11-30T05:00:00Z,3289355,9.85387
10.14,10.4395,9.94,8077,9.99,2021-12-01T05:00:00Z,824575,10.183417
10.46,10.47,9.9,8185,10.02,2021-12-02T05:00:00Z,734202,10.226046
10.02,10.45,9.44,10641,10.19,2021-12-03T05:00:00Z,1104054,9.887793
9.89,10.2,9.46,8015,9.88,2021-12-06T05:00:00Z,710857,9.859883
11.04,11.215,9.842,9605,9.9,2021-12-07T05:00:00Z,968090,10.688162
11.44,11.56,10.47,8639,10.8,2021-12-08T05:00:00Z,955539,11.009604
10.55,11.49,10.51,6568,11.49,2021-12-09T05:00:00Z,705957,10.895463
10.46,10.88,10.36,4761,10.55,2021-12-10T05:00:00Z,486295,10.57409
10.44,10.61,9.89,7087,10.45,2021-12-13T05:00:00Z,735584,10.361195
9.64,10.35,9.35,8738,10.35,2021-12-14T05:00:00Z,813905,9.705821
9.9,10.05,9.23,10608,9.64,2021-12-15T05:00:00Z,1154913,9.585378
9.66,10.56,9.62,12626,9.91,2021-12-16T05:00:00Z,999284,10.036781
10.01,10.33,9.27,18789,9.66,2021-12-17T05:00:00Z,17691821,9.997348
10.05,10.25,9.63,6362,9.91,2021-12-20T05:00:00Z,646330,9.959433
9.86,10.075,9.7,4268,10.07,2021-12-21T05:00:00Z,382860,9.896301
10.21,10.3,9.8,5908,9.95,2021-12-22T05:00:00Z,468330,10.181453
10.84,11.015,10.09,3320,10.33,2021-12-23T05:00:00Z,328587,10.754572
10.3,10.91,10.21,3750,10.91,2021-12-27T05:00:00Z,302579,10.440349
10.09,10.27,9.88,4974,10.15,2021-12-28T05:00:00Z,492925,10.075661
9.88,10.13,9.81,4256,10.06,2021-12-29T05:00:00Z,398063,9.966984
10.49,10.61,9.93,4889,9.93,2021-12-30T05:00:00Z,459781,10.394553
10.19,10.93,10.16,3777,10.5,2021-12-31T05:00:00Z,308258,10.326128
10.84,10.88,10.02,5226,10.3,2022-01-03T05:00:00Z,646014,10.713694
10.11,10.81,9.9,4154,10.81,2022-01-04T05:00:00Z,412004,10.146727
9.35,10.1699,9.25,4696,9.92,2022-01-05T05:00:00Z,404075,9.554102
8.92,9.49,8.655,6758,9.23,2022-01-06T05:00:00Z,688529,8.94386
8.84,9.14,8.545,3318,8.8,2022-01-07T05:00:00Z,316342,8.791649
8.61,8.79,8.43,3371,8.73,2022-01-10T05:00:00Z,331621,8.611419
8.46,8.67,8.29,4108,8.67,2022-01-11T05:00:00Z,478631,8.458679
7.94,8.52,7.92,4346,8.52,2022-01-12T05:00:00Z,460057,8.089011
7.86,8.12,7.68,3318,7.76,2022-01-13T05:00:00Z,299372,7.87726
7.77,7.86,7.54,2488,7.72,2022-01-14T05:00:00Z,273301,7.723642
7.24,7.63,7.16,4145,7.63,2022-01-18T05:00:00Z,458639,7.308878
7.15,7.56,7.04,4210,7.37,2022-01-19T05:00:00Z,418066,7.204814
6.89,7.44,6.86,3429,7.18,2022-01-20T05:00:00Z,379712,7.135248
6.59,6.97,6.51,4739,6.73,2022-01-21T05:00:00Z,510360,6.672465
6.94,7.26,6.4,8082,6.48,2022-01-24T05:00:00Z,844493,6.922266
6.75,6.95,6.62,5071,6.7,2022-01-25T05:00:00Z,472941,6.762911
6.51,7.11,6.39,4822,6.97,2022-01-26T05:00:00Z,613116,6.727144
6.0,6.655,5.955,4791,6.655,2022-01-27T05:00:00Z,511307,6.174987
6.05,6.42,5.77,4178,6.0,2022-01-28T05:00:00Z,494546,5.973277
6.46,6.48,5.91,6831,6.09,2022-01-31T05:00:00Z,783920,6.334206
6.51,6.65,6.21,7773,6.51,2022-02-01T05:00:00Z,961007,6.46172
6.23,6.55,6.15,5548,6.54,2022-02-02T05:00:00Z,572215,6.279808
5.86,6.16,5.84,4239,6.13,2022-02-03T05:00:00Z,433897,5.945363
5.81,6.07,5.67,6828,6.07,2022-02-04T05:00:00Z,689756,5.804475
5.87,6.05,5.55,7241,5.79,2022-02-07T05:00:00Z,861372,5.812216
6.06,6.09,5.59,5311,5.79,2022-02-08T05:00:00Z,549750,5.918811
6.7,6.74,6.1,5971,6.16,2022-02-09T05:00:00Z,857454,6.562877
6.54,6.87,6.44,6739,6.47,2022-02-10T05:00:00Z,751351,6.620977
6.55,6.67,6.4303,5394,6.54,2022-02-11T05:00:00Z,443132,6.543682
6.54,6.79,6.48,3583,6.6,2022-02-14T05:00:00Z,342050,6.621415
6.94,7.01,6.71,4962,6.76,2022-02-15T05:00:00Z,719858,6.91441
6.99,7.09,6.73,4484,6.89,2022-02-16T05:00:00Z,525984,6.986238
6.79,6.96,6.745,4855,6.93,2022-02-17T05:00:00Z,635513,6.863101
6.84,6.9,6.53,5891,6.68,2022-02-18T05:00:00Z,776210,6.756957
6.21,6.78,6.155,8307,6.67,2022-02-22T05:00:00Z,738684,6.325886
6.015,6.43,6.01,4237,6.27,2022-02-23T05:00:00Z,487450,6.128527
6.24,6.275,5.56,9100,5.77,2022-02-24T05:00:00Z,895794,5.931786
6.32,6.33,5.96,4786,6.28,2022-02-25T05:00:00Z,486671,6.206934
6.96,7.02,5.95,10565,6.15,2022-02-28T05:00:00Z,1350298,6.62286
6.85,7.21,6.64,8354,6.98,2022-03-01T05:00:00Z,954553,6.94747
6.72,6.87,6.605,4370,6.85,2022-03-02T05:00:00Z,308974,6.742853
6.45,6.83,6.36,3702,6.83,2022-03-03T05:00:00Z,408978,6.513156
5.89,6.43,5.85,4396,6.4,2022-03-04T05:00:00Z,431779,6.097472
5.89,5.99,5.63,7782,5.79,2022-03-07T05:00:00Z,1035096,5.845939
5.65,5.89,5.53,6530,5.89,2022-03-08T05:00:00Z,551868,5.684322
5.76,5.92,5.74,6127,5.84,2022-03-09T05:00:00Z,564207,5.790657
5.62,5.84,5.48,6198,5.62,2022-03-10T05:00:00Z,666036,5.672774
5.37,5.7,5.3491,3880,5.65,2022-03-11T05:00:00Z,311340,5.421297
5.29,5.55,5.24,7228,5.41,2022-03-14T04:00:00Z,600496,5.374634
5.26,5.45,5.095,5426,5.41,2022-03-15T04:00:00Z,580792,5.221335
5.41,5.48,5.23,6352,5.33,2022-03-16T04:00:00Z,734524,5.386533
5.65,5.68,5.26,7976,5.35,2022-03-17T04:00:00Z,1019546,5.578119
6.43,6.455,5.7,11155,5.74,2022-03-18T04:00:00Z,2707227,6.192129
6.67,6.73,6.2791,7313,6.43,2022-03-21T04:00:00Z,660991,6.596372
6.9,6.99,6.505,5278,6.67,2022-03-22T04:00:00Z,617848,6.806834
7.17,7.31,6.67,7459,6.67,2022-03-23T04:00:00Z,1086052,7.053726
7.65,7.66,7.1,5724,7.14,2022-03-24T04:00:00Z,659933,7.351653
7.12,7.76,7.09,7996,7.65,2022-03-25T04:00:00Z,962168,7.4268
6.9,7.35,6.48,6029,7.16,2022-03-28T04:00:00Z,574392,6.907292
7.4,7.63,7.0,6794,7.02,2022-03-29T04:00:00Z,607111,7.406357
6.99,7.4,6.97,4317,7.35,2022-03-30T04:00:00Z,402156,7.098967
6.99,7.15,6.8627,6488,7.0,2022-03-31T04:00:00Z,937656,6.992795
6.81,7.16,6.75,12219,7.16,2022-04-01T04:00:00Z,1776306,6.87428
6.75,6.9,6.69,5312,6.89,2022-04-04T04:00:00Z,573292,6.769194
6.4,6.79,6.35,4229,6.73,2022-04-05T04:00:00Z,427216,6.485512
6.02,6.3,5.8,5964,6.3,2022-04-06T04:00:00Z,1131940,6.013071
6.03,6.2,5.88,6490,6.0,2022-04-07T04:00:00Z,898163,5.982531
5.99,6.21,5.89,6389,6.05,2022-04-08T04:00:00Z,629367,6.027572
5.7,5.93,5.65,4825,5.93,2022-04-11T04:00:00Z,347800,5.739079
5.74,5.91,5.59,4012,5.85,2022-04-12T04:00:00Z,364296,5.762393
5.74,5.9,5.57,6531,5.75,2022-04-13T04:00:00Z,1136958,5.769826
5.61,5.75,5.5,4222,5.75,2022-04-14T04:00:00Z,481622,5.633409
5.38,5.68,5.3,3944,5.59,2022-04-18T04:00:00Z,351704,5.404136
5.36,5.48,5.28,2527,5.37,2022-04-19T04:00:00Z,277608,5.375012
5.21,5.4,5.1,4063,5.39,2022-04-20T04:00:00Z,375906,5.224351
5.09,5.3,4.97,4632,5.2,2022-04-21T04:00:00Z,488553,5.093376
5.45,5.51,5.06,6420,5.18,2022-04-22T04:00:00Z,1156998,5.368594
5.73,5.88,5.33,8388,5.35,2022-04-25T04:00:00Z,1122589,5.601437
5.68,5.825,5.45,9147,5.73,2022-04-26T04:00:00Z,941447,5.625326
5.67,5.78,5.46,5508,5.78,2022-04-27T04:00:00Z,543367,5.65703
5.66,5.79,5.42,5166,5.67,2022-04-28T04:00:00Z,556744,5.636072
5.54,5.78,5.52,3804,5.62,2022-04-29T04:00:00Z,367089,5.566395
5.84,6.01,5.43,3324,5.43,2022-05-02T04:00:00Z,373718,5.809331
5.47,5.85,5.42,6006,5.85,2022-05-03T04:00:00Z,577338,5.502081
5.62,5.64,5.23,4038,5.5,2022-05-04T04:00:00Z,396301,5.504082
5.24,5.55,5.13,3838,5.55,2022-05-05T04:00:00Z,373612,5.248747
5.06,5.21,4.94,5475,5.17,2022-05-06T04:00:00Z,355312,5.066218
4.84,5.1,4.78,4962,4.97,2022-05-09T04:00:00Z,391180,4.853198
4.81,5.11,4.64,5272,4.93,2022-05-10T04:00:00Z,646533,4.88765
4.09,4.72,4.0,6743,4.7,2022-05-11T04:00:00Z,1297134,4.259006
4.37,4.37,4.0301,9234,4.14,2022-05-12T04:00:00Z,1569658,4.233323
4.4,4.635,4.3,5467,4.49,2022-05-13T04:00:00Z,730457,4.502318
4.45,4.635,4.35,5403,4.41,2022-05-16T04:00:00Z,715959,4.475425
4.81,4.81,4.47,6365,4.54,2022-05-17T04:00:00Z,969488,4.609703
4.45,4.72,4.4,4926,4.71,2022-05-18T04:00:00Z,527466,4.518206
4.57,4.621,4.34,3935,4.49,2022-05-19T04:00:00Z,696156,4.509293
4.95,4.98,4.53,5335,4.68,2022-05-20T04:00:00Z,922192,4.764933
4.61,4.96,4.565,5415,4.96,2022-05-23T04:00:00Z,512260,4.695415
4.32,4.58,4.3,4399,4.58,2022-05-24T04:00:00Z,396879,4.426371
4.36,4.52,4.33,4410,4.33,2022-05-25T04:00:00Z,451691,4.403657
4.41,4.58,4.35,4009,4.36,2022-05-26T04:00:00Z,342058,4.447639
4.67,4.74,4.37,4014,4.44,2022-05-27T04:00:00Z,356990,4.656504
4.61,4.73,4.54,4121,4.63,2022-05-31T04:00:00Z,1202561,4.613811
4.27,4.66,4.27,4002,4.61,2022-06-01T04:00:00Z,343325,4.382792
4.5,4.58,4.15,4893,4.28,2022-06-02T04:00:00Z,383227,4.441388
4.57,4.72,4.36,4473,4.49,2022-06-03T04:00:00Z,455500,4.576629
4.17,4.655,4.14,5626,4.62,2022-06-06T04:00:00Z,552765,4.35519
4.4,4.48,4.1998,5828,4.22,2022-06-07T04:00:00Z,776840,4.387678
4.405,4.6592,4.37,3258,4.37,2022-06-08T04:00:00Z,468211,4.476248
4.18,4.4904,4.165,3264,4.4,2022-06-09T04:00:00Z,232710,4.263392
3.91,4.2,3.9,3019,4.2,2022-06-10T04:00:00Z,285447,3.990652
3.73,3.87,3.7,4130,3.82,2022-06-13T04:00:00Z,446838,3.772398
