c,h,l,n,o,t,v,vw
42.51,47.89,39.55,36676,41.3,2020-05-22T04:00:00Z,7905163,42.175219
45.1,47.45,43.22,6253,44.79,2020-05-26T04:00:00Z,968228,45.006029
43.0,45.24,39.6,4416,45.1,2020-05-27T04:00:00Z,662322,42.114016
42.75,46.45,42.12,3747,42.65,2020-05-28T04:00:00Z,508428,44.288243
44.0,45.5,42.11,3568,43.0,2020-05-29T04:00:00Z,1035803,43.867345
47.75,50.5,44.7,7897,44.9,2020-06-01T04:00:00Z,1242917,48.00509
47.26,48.97,44.0,4046,48.0,2020-06-02T04:00:00Z,487413,46.489168
52.46,53.065,47.34,4045,47.73,2020-06-03T04:00:00Z,537390,49.932986
52.0,53.43,50.0463,2789,52.11,2020-06-04T04:00:00Z,315242,51.688437
50.15,53.9,49.15,2779,53.67,2020-06-05T04:00:00Z,313699,50.61797
51.41,51.75,48.22,2781,51.56,2020-06-08T04:00:00Z,311405,49.701639
51.11,54.86,50.245,2564,50.43,2020-06-09T04:00:00Z,325378,52.621293
50.4,52.1663,48.71,2857,51.03,2020-06-10T04:00:00Z,270771,50.062054
47.23,50.0,45.88,3182,49.35,2020-06-11T04:00:00Z,344216,47.280071
49.19,49.91,47.4291,1857,47.7,2020-06-12T04:00:00Z,175941,48.782683
48.52,49.61,47.5,1757,48.74,2020-06-15T04:00:00Z,232125,48.645715
47.99,49.49,46.48,2624,48.0,2020-06-16T04:00:00Z,295162,48.225285
48.81,50.88,47.55,2754,48.41,2020-06-17T04:00:00Z,349259,48.935319
48.5,50.73,48.02,1964,48.95,2020-06-18T04:00:00Z,206851,49.04
48.17,49.92,47.05,2016,48.55,2020-06-19T04:00:00Z,379949,48.11552
47.0,48.48,45.0,2027,48.02,2020-06-22T04:00:00Z,233233,46.581862
46.49,47.745,46.2,2276,47.45,2020-06-23T04:00:00Z,321127,46.605202
46.92,47.69,44.5901,2351,46.2,2020-06-24T04:00:00Z,229955,46.089153
46.99,47.49,45.605,2359,46.47,2020-06-25T04:00:00Z,184908,46.567938
47.16,47.56,45.31,1293,47.02,2020-06-26T04:00:00Z,260500,46.95413
48.02,51.42,47.385,3104,47.56,2020-06-29T04:00:00Z,508377,49.439719
48.44,49.42,47.02,1391,48.47,2020-06-30T04:00:00Z,208285,48.072823
48.18,49.21,46.16,3152,48.12,2020-07-01T04:00:00Z,518148,47.673587
48.24,48.75,47.2,3196,48.63,2020-07-02T04:00:00Z,521706,47.881388
48.09,49.69,47.5,2867,48.87,2020-07-06T04:00:00Z,260052,48.452982
47.55,48.9,47.0801,2235,47.55,2020-07-07T04:00:00Z,249662,47.809528
47.53,47.93,46.25,2542,47.89,2020-07-08T04:00:00Z,239244,47.337476
50.94,52.78,47.74,3796,47.74,2020-07-09T04:00:00Z,470739,50.164453
53.2,54.49,49.46,4562,50.84,2020-07-10T04:00:00Z,361616,52.766877
50.71,61.76,50.01,8937,54.22,2020-07-13T04:00:00Z,1004391,56.136616
51.41,54.25,48.21,3989,51.2,2020-07-14T04:00:00Z,420916,51.219051
54.17,58.78,52.03,5620,53.0,2020-07-15T04:00:00Z,633067,55.029968
50.53,54.04,50.0,3068,53.99,2020-07-16T04:00:00Z,286202,50.981807
53.37,53.98,50.4,1418,50.9,2020-07-17T04:00:00Z,146667,52.317149
57.47,57.55,53.5,2431,53.75,2020-07-20T04:00:00Z,254636,55.801296
56.04,58.8181,55.42,2671,58.06,2020-07-21T04:00:00Z,239168,57.02497
53.72,57.0226,51.77,2668,56.35,2020-07-22T04:00:00Z,198876,53.539737
55.11,55.57,53.03,2241,53.69,2020-07-23T04:00:00Z,206313,54.188322
54.81,55.72,52.62,2262,54.64,2020-07-24T04:00:00Z,168945,54.372909
57.8,59.985,55.23,3481,55.23,2020-07-27T04:00:00Z,304228,57.882948
57.42,58.3396,56.28,1822,58.21,2020-07-28T04:00:00Z,156949,57.482004
57.62,59.0,56.42,1569,57.9,2020-07-29T04:00:00Z,107889,57.752736
58.5,59.24,56.01,2027,57.01,2020-07-30T04:00:00Z,202840,57.727049
56.22,59.95,56.01,3306,59.0,2020-07-31T04:00:00Z,287456,57.491259
60.02,61.3352,55.576,4501,57.1,2020-08-03T04:00:00Z,432727,58.719173
64.61,65.49,60.13,4120,61.44,2020-08-04T04:00:00Z,314860,63.528165
64.68,66.85,63.14,3691,66.85,2020-08-05T04:00:00Z,349233,64.617624
65.56,66.58,63.91,4630,65.0,2020-08-06T04:00:00Z,343611,65.406312
65.27,67.1,64.21,5762,65.42,2020-08-07T04:00:00Z,470024,65.957046
68.75,69.468,64.83,5902,65.2,2020-08-10T04:00:00Z,442978,67.810465
62.13,70.4,61.08,6557,69.69,2020-08-11T04:00:00Z,567185,64.480143
68.72,71.0536,66.0,7158,66.0,2020-08-12T04:00:00Z,615059,68.706689
69.13,70.8,67.06,3300,68.81,2020-08-13T04:00:00Z,244375,68.623061
68.53,70.65,68.22,2617,69.44,2020-08-14T04:00:00Z,158030,69.331927
71.25,72.0,69.69,3609,69.99,2020-08-17T04:00:00Z,323096,71.24567
71.07,71.9999,69.6521,2923,71.73,2020-08-18T04:00:00Z,152032,70.92856
71.43,71.92,70.02,3634,71.23,2020-08-19T04:00:00Z,220990,71.088525
70.77,71.42,70.01,2310,70.77,2020-08-20T04:00:00Z,152706,70.713187
70.49,71.9899,68.6,2612,69.7744,2020-08-21T04:00:00Z,192287,70.058746
70.43,70.79,67.58,4022,70.0,2020-08-24T04:00:00Z,304783,69.667495
71.01,73.5,69.75,5160,71.6,2020-08-25T04:00:00Z,470681,71.294247
74.0,75.42,70.9,2611,71.0,2020-08-26T04:00:00Z,202584,73.648308
75.35,76.8,74.15,2385,75.72,2020-08-27T04:00:00Z,182147,75.501321
82.76,84.54,75.37,4617,76.01,2020-08-28T04:00:00Z,355025,80.44163
79.94,84.9052,78.12,5335,84.9052,2020-08-31T04:00:00Z,364422,80.535997
79.45,81.66,77.0,2969,80.03,2020-09-01T04:00:00Z,208836,79.349862
76.98,79.465,74.23,5179,79.4,2020-09-02T04:00:00Z,298870,76.547433
71.64,75.58,68.0,5918,74.9,2020-09-03T04:00:00Z,430702,71.154059
71.17,72.03,66.0,3631,70.28,2020-09-04T04:00:00Z,205472,69.310283
70.02,73.39,67.4276,4674,68.0,2020-09-08T04:00:00Z,266249,70.457856
71.02,74.48,70.04,5075,71.57,2020-09-09T04:00:00Z,279642,72.332342
72.27,73.2766,70.61,2867,72.01,2020-09-10T04:00:00Z,176780,72.030182
75.55,76.11,71.1,5346,72.49,2020-09-11T04:00:00Z,327315,74.502708
78.47,78.96,75.56,5278,76.16,2020-09-14T04:00:00Z,220175,77.206483
75.43,80.405,75.39,5579,79.02,2020-09-15T04:00:00Z,343072,77.806699
74.26,77.44,73.41,4417,75.63,2020-09-16T04:00:00Z,264571,74.528813
69.96,74.285,68.21,5091,72.5,2020-09-17T04:00:00Z,361169,71.072378
67.23,73.09,66.52,6667,69.77,2020-09-18T04:00:00Z,2751967,67.332683
64.32,67.58,63.13,5349,65.34,2020-09-21T04:00:00Z,484042,65.454749
64.03,67.3028,63.17,4191,63.21,2020-09-22T04:00:00Z,320634,64.46768
65.41,67.24,63.2,5261,64.5,2020-09-23T04:00:00Z,295239,65.656157
63.65,65.22,62.51,4171,64.725,2020-09-24T04:00:00Z,228154,63.772881
64.6,65.535,62.5004,2702,63.31,2020-09-25T04:00:00Z,153724,64.576456
67.02,67.253,65.15,2600,66.78,2020-09-28T04:00:00Z,121666,66.629764
68.94,69.04,66.32,3774,67.1,2020-09-29T04:00:00Z,200747,68.146404
69.02,71.0,68.04,2964,68.98,2020-09-30T04:00:00Z,167878,69.362424
67.71,71.0,66.651,2496,69.7,2020-10-01T04:00:00Z,120522,68.410436
64.42,66.88,63.57,4384,66.05,2020-10-02T04:00:00Z,332172,64.54819
67.04,67.49,65.0,3066,65.0,2020-10-05T04:00:00Z,175040,66.770484
71.55,73.62,67.14,4382,67.14,2020-10-06T04:00:00Z,220645,70.949562
74.64,77.7,73.0,4245,73.37,2020-10-07T04:00:00Z,312583,75.122635
72.45,77.53,71.65,3413,75.75,2020-10-08T04:00:00Z,168892,74.712519
72.37,75.39,70.77,2125,72.94,2020-10-09T04:00:00Z,124774,72.656328
73.85,74.65,72.11,1553,72.32,2020-10-12T04:00:00Z,85121,73.527883
77.06,82.83,72.52,7133,73.5,2020-10-13T04:00:00Z,538802,77.916721
71.92,79.42,70.67,4885,77.31,2020-10-14T04:00:00Z,359246,73.337009
