c,h,l,n,o,t,v,vw
10.44,10.97,10.3,3954,10.5,2020-08-07T04:00:00Z,868398,10.556674
10.4,10.79,10.4,259,10.75,2020-08-10T04:00:00Z,49568,10.497036
10.4,10.48,10.4,595,10.4,2020-08-11T04:00:00Z,108778,10.402127
10.4,10.5599,10.3,395,10.31,2020-08-12T04:00:00Z,65224,10.404525
10.4,10.5,10.31,193,10.31,2020-08-13T04:00:00Z,30463,10.420629
10.49,10.5,10.4,236,10.4,2020-08-14T04:00:00Z,111855,10.405182
10.55,10.63,10.4,127,10.63,2020-08-17T04:00:00Z,33341,10.444975
10.43,10.5,10.42,31,10.5,2020-08-18T04:00:00Z,2223,10.477172
10.43,10.4705,10.4001,29,10.445,2020-08-19T04:00:00Z,50937,10.400722
10.49,10.5,10.35,92,10.49,2020-08-20T04:00:00Z,36058,10.403895
10.4,10.47,10.4,98,10.47,2020-08-21T04:00:00Z,72985,10.400753
10.5,10.5,10.4001,107,10.5,2020-08-24T04:00:00Z,21879,10.493569
10.4,10.73,10.4,524,10.5,2020-08-25T04:00:00Z,769288,10.421547
10.6,10.7,10.4,112,10.4,2020-08-26T04:00:00Z,124576,10.646155
10.75,10.75,10.56,57,10.75,2020-08-27T04:00:00Z,6433,10.665839
10.75,10.75,10.6,43,10.625,2020-08-28T04:00:00Z,4562,10.66216
10.7,10.7,10.51,30,10.51,2020-08-31T04:00:00Z,2608,10.644235
10.7,10.835,10.4,792,10.52,2020-09-01T04:00:00Z,93981,10.607041
10.73,10.85,10.46,91,10.79,2020-09-02T04:00:00Z,8879,10.624141
10.79,10.79,10.5358,290,10.79,2020-09-03T04:00:00Z,40538,10.67828
10.695,10.78,10.55,429,10.71,2020-09-04T04:00:00Z,67756,10.663581
10.79,10.79,10.5,321,10.645,2020-09-08T04:00:00Z,43552,10.66694
11.24,11.84,10.64,574,10.79,2020-09-09T04:00:00Z,111554,11.079518
10.825,11.07,10.8,224,11.0,2020-09-10T04:00:00Z,49197,10.920613
10.9,11.0,10.81,66,10.86,2020-09-11T04:00:00Z,9023,10.92624
10.9,11.0,10.89,40,10.95,2020-09-14T04:00:00Z,43753,10.972762
10.9,10.9,10.805,80,10.9,2020-09-15T04:00:00Z,8588,10.888955
10.8101,10.9,10.8,137,10.9,2020-09-16T04:00:00Z,18516,10.864095
10.75,10.857,10.75,34,10.77,2020-09-17T04:00:00Z,2324,10.794994
10.82,10.9,10.78,79,10.8999,2020-09-18T04:00:00Z,8816,10.877569
10.7,10.94,10.58,82,10.94,2020-09-21T04:00:00Z,10650,10.656315
10.88,10.9,10.6,50,10.75,2020-09-22T04:00:00Z,5092,10.777058
10.7001,10.99,10.7,34,10.91,2020-09-23T04:00:00Z,2580,10.800414
10.7,10.95,10.5243,32,10.65,2020-09-24T04:00:00Z,7519,10.711345
10.71,10.76,10.625,53,10.7,2020-09-25T04:00:00Z,99899,10.700531
10.755,10.89,10.7372,54,10.89,2020-09-28T04:00:00Z,8323,10.789072
10.7496,10.76,10.71,56,10.71,2020-09-29T04:00:00Z,10077,10.738871
10.815,10.9199,10.7,40,10.74,2020-09-30T04:00:00Z,161291,10.705135
10.7501,10.9199,10.71,8,10.9199,2020-10-01T04:00:00Z,3106,10.797092
10.71,10.785,10.65,17,10.785,2020-10-02T04:00:00Z,1656,10.712425
10.55,10.55,10.4601,214,10.54,2020-10-05T04:00:00Z,103007,10.542359
10.758,10.7598,10.3,84,10.425,2020-10-06T04:00:00Z,45593,10.52348
10.6899,10.75,10.2997,39,10.75,2020-10-07T04:00:00Z,5477,10.422613
10.65,10.69,10.51,57,10.67,2020-10-08T04:00:00Z,10377,10.634257
10.5705,10.69,10.33,16,10.69,2020-10-09T04:00:00Z,2374,10.636036
10.67,10.7,10.5,31,10.5,2020-10-12T04:00:00Z,2810,10.538269
10.67,10.67,10.67,0,10.67,2020-10-13T04:00:00Z,0,0.0
10.45,10.4791,10.45,18,10.4791,2020-10-14T04:00:00Z,1603,10.462339
10.4,10.59,10.4,67,10.5318,2020-10-15T04:00:00Z,28267,10.487904
10.4,10.5,10.4,15,10.5,2020-10-16T04:00:00Z,958,10.435238
10.409,10.5,10.4,17,10.43,2020-10-19T04:00:00Z,1345,10.429237
10.3893,10.4,10.3893,35,10.4,2020-10-20T04:00:00Z,270707,10.399962
10.3,10.4,10.3,14,10.33,2020-10-21T04:00:00Z,6027,10.305183
10.2851,10.2851,10.2851,8,10.2851,2020-10-22T04:00:00Z,569,10.287399
10.2,10.26,10.2,10,10.25,2020-10-23T04:00:00Z,10417,10.23077
10.14,10.25,10.06,48,10.25,2020-10-26T04:00:00Z,15840,10.179827
10.47,10.47,10.32,6,10.32,2020-10-27T04:00:00Z,1201,10.376137
10.37,10.5,10.13,22,10.13,2020-10-28T04:00:00Z,3544,10.238975
10.3,10.3,10.13,31,10.2159,2020-10-29T04:00:00Z,281914,10.150613
10.24,10.29,10.15,45,10.15,2020-10-30T04:00:00Z,2485,10.173421
10.26,10.279,10.25,13,10.279,2020-11-02T05:00:00Z,14558,10.254229
10.24,10.27,10.24,9,10.27,2020-11-03T05:00:00Z,805,10.24528
10.3,10.3,10.28,8,10.28,2020-11-04T05:00:00Z,1685,10.291647
10.5,10.5,10.2776,24,10.29,2020-11-05T05:00:00Z,2591,10.328159
10.5,10.5,10.5,0,10.5,2020-11-06T05:00:00Z,0,0.0
10.3,10.7999,10.3,37,10.61,2020-11-09T05:00:00Z,4518,10.50825
10.39,10.4294,10.35,28,10.38,2020-11-10T05:00:00Z,14530,10.379593
10.335,10.4071,10.335,19,10.39,2020-11-11T05:00:00Z,4817,10.381317
10.4,10.4,10.29,25,10.3,2020-11-12T05:00:00Z,3317,10.327874
10.31,10.38,10.27,11,10.38,2020-11-13T05:00:00Z,953,10.34321
10.42,10.49,10.28,95,10.35,2020-11-16T05:00:00Z,30875,10.379549
10.34,10.44,10.34,48,10.4,2020-11-17T05:00:00Z,15352,10.39252
10.35,10.44,10.35,35,10.44,2020-11-18T05:00:00Z,7615,10.376926
10.4,10.4,10.38,15,10.38,2020-11-19T05:00:00Z,728,10.395571
10.38,10.41,10.33,34,10.33,2020-11-20T05:00:00Z,4630,10.428566
10.31,10.49,10.28,44,10.49,2020-11-23T05:00:00Z,13877,10.373764
10.31,10.31,10.31,0,10.31,2020-11-24T05:00:00Z,0,0.0
10.4,10.45,10.34,25,10.34,2020-11-25T05:00:00Z,6106,10.374326
10.36,10.4,10.34,85,10.34,2020-11-27T05:00:00Z,36781,10.367919
10.49,10.5254,10.4,96,10.5,2020-11-30T05:00:00Z,25034,10.510848
10.47,10.565,10.35,39,10.5397,2020-12-01T05:00:00Z,6197,10.497326
10.35,10.56,10.28,61,10.46,2020-12-02T05:00:00Z,13889,10.390525
10.36,10.42,10.26,108,10.35,2020-12-03T05:00:00Z,20913,10.348785
10.53,10.62,10.36,30,10.36,2020-12-04T05:00:00Z,5363,10.551321
10.75,11.2499,10.55,81,10.63,2020-12-07T05:00:00Z,19401,10.665429
10.75,10.87,10.38,66,10.8352,2020-12-08T05:00:00Z,10975,10.63834
10.74,10.74,10.45,38,10.6756,2020-12-09T05:00:00Z,40784,10.60416
10.65,10.79,10.346,42,10.79,2020-12-10T05:00:00Z,4534,10.685542
10.7,10.7,10.56,71,10.7,2020-12-11T05:00:00Z,15651,10.680112
10.7,10.8,10.595,124,10.721,2020-12-14T05:00:00Z,40404,10.690228
10.8,10.95,10.63,215,10.63,2020-12-15T05:00:00Z,62752,10.852163
10.95,10.95,10.7,127,10.7,2020-12-16T05:00:00Z,49022,10.901591
10.87,10.9,10.6,115,10.9,2020-12-17T05:00:00Z,11332,10.798418
10.745,10.8136,10.7,83,10.7465,2020-12-18T05:00:00Z,46734,10.789877
10.85,10.86,10.85,101,10.85,2020-12-21T05:00:00Z,16820,10.851556
10.8,10.95,10.7,360,10.915,2020-12-22T05:00:00Z,43610,10.843825
10.84,10.9,10.7,434,10.85,2020-12-23T05:00:00Z,77414,10.823677
10.88,11.0,10.875,72,10.99,2020-12-24T05:00:00Z,15863,10.937793
10.9,10.9,10.84,147,10.88,2020-12-28T05:00:00Z,28733,10.871084
10.89,10.9,10.82,127,10.89,2020-12-29T05:00:00Z,37750,10.859257
10.9,10.955,10.8498,81,10.9,2020-12-30T05:00:00Z,58345,10.855722
10.85,10.95,10.8,310,10.95,2020-12-31T05:00:00Z,72725,10.860789
10.8747,10.9,10.84,111,10.84,2021-01-04T05:00:00Z,129335,10.863915
10.88,10.905,10.85,125,10.8999,2021-01-05T05:00:00Z,163137,10.899286
10.875,11.0,10.85,114,11.0,2021-01-06T05:00:00Z,50179,10.904286
10.89,10.9,10.85,333,10.85,2021-01-07T05:00:00Z,98853,10.885789
11.05,11.51,10.942,299,11.0399,2021-01-08T05:00:00Z,106360,11.169067
11.2,11.25,10.9535,574,11.0,2021-01-11T05:00:00Z,494087,11.039119
11.34,11.67,11.2,627,11.2,2021-01-12T05:00:00Z,194310,11.343706
11.57,11.6,11.35,414,11.43,2021-01-13T05:00:00Z,143036,11.4925
11.96,12.6,11.3401,423,11.55,2021-01-14T05:00:00Z,95827,11.702083
11.5,12.07,11.35,342,12.07,2021-01-15T05:00:00Z,46343,11.571499
11.6,12.31,11.56,1449,12.07,2021-01-19T05:00:00Z,478084,11.900235
11.41,11.65,11.41,221,11.6,2021-01-20T05:00:00Z,53153,11.566871
11.41,11.8299,11.4,194,11.5,2021-01-21T05:00:00Z,69798,11.4783
11.5,11.5,11.4,144,11.4,2021-01-22T05:00:00Z,50204,11.485146
11.84,11.9,11.5,225,11.65,2021-01-25T05:00:00Z,64857,11.676569
11.79,12.0,11.59,726,11.88,2021-01-26T05:00:00Z,104338,11.851012
11.21,11.73,11.02,714,11.73,2021-01-27T05:00:00Z,125181,11.369552
11.26,11.605,11.22,81,11.25,2021-01-28T05:00:00Z,11534,11.349083
11.25,11.325,10.64,359,11.1,2021-01-29T05:00:00Z,50172,11.131831
11.16,11.94,11.14,239,11.36,2021-02-01T05:00:00Z,31749,11.286816
11.18,11.7499,11.06,145,11.29,2021-02-02T05:00:00Z,15464,11.190511
11.2,11.6548,11.11,130,11.24,2021-02-03T05:00:00Z,12590,11.274636
