c,h,l,n,o,t,v,vw
0.045,0.05,0.045,7,0.05,2022-07-06T04:00:00Z,25000,0.049
0.05,0.05,0.05,9,0.05,2022-07-07T04:00:00Z,70000,0.05
0.05,0.05,0.0498,31,0.0498,2022-07-08T04:00:00Z,20100,0.049979
0.06,0.07,0.06,39,0.06,2022-07-11T04:00:00Z,435400,0.060023
0.05,0.05,0.05,2,0.05,2022-07-12T04:00:00Z,10000,0.05
0.04,0.045,0.04,4,0.045,2022-07-13T04:00:00Z,82200,0.040438
0.04,0.0412,0.036999,48,0.0401,2022-07-14T04:00:00Z,43650,0.03985
0.04,0.04,0.04,1,0.04,2022-07-15T04:00:00Z,2200,0.04
0.04,0.04,0.04,2,0.04,2022-07-18T04:00:00Z,2500,0.04
0.04,0.04,0.04,0,0.04,2022-07-19T04:00:00Z,0,0.0
0.04,0.04,0.04,0,0.04,2022-07-20T04:00:00Z,0,0.0
0.05,0.05,0.05,7,0.05,2022-07-21T04:00:00Z,77207,0.05
0.05,0.05,0.05,0,0.05,2022-07-22T04:00:00Z,0,0.0
0.0501,0.0501,0.05,4,0.05,2022-07-25T04:00:00Z,35175,0.050071
0.0501,0.0501,0.0501,0,0.0501,2022-07-26T04:00:00Z,0,0.0
0.052,0.052,0.051,2,0.051,2022-07-27T04:00:00Z,40000,0.051375
0.052,0.052,0.052,0,0.052,2022-07-28T04:00:00Z,0,0.0
0.07,0.07,0.07,4,0.07,2022-07-29T04:00:00Z,11000,0.07
0.07,0.07,0.07,0,0.07,2022-08-01T04:00:00Z,0,0.0
0.07,0.07,0.07,0,0.07,2022-08-02T04:00:00Z,0,0.0
0.07,0.07,0.07,2,0.07,2022-08-03T04:00:00Z,225,0.07
0.060101,0.075,0.060101,6,0.075,2022-08-04T04:00:00Z,951,0.073433
0.060101,0.060101,0.060101,0,0.060101,2022-08-05T04:00:00Z,0,0.0
0.060101,0.060101,0.060101,0,0.060101,2022-08-08T04:00:00Z,0,0.0
0.060101,0.060101,0.060101,0,0.060101,2022-08-09T04:00:00Z,0,0.0
0.06,0.0642,0.06,47,0.06,2022-08-10T04:00:00Z,77161,0.060081
0.055,0.0604,0.0547,67,0.055,2022-08-11T04:00:00Z,85975,0.055091
0.055,0.055,0.055,0,0.055,2022-08-12T04:00:00Z,0,0.0
0.09,0.09,0.09,3,0.09,2022-08-15T04:00:00Z,12600,0.09
0.09,0.09,0.09,0,0.09,2022-08-16T04:00:00Z,0,0.0
0.08,0.08,0.08,2,0.08,2022-08-17T04:00:00Z,1200,0.08
0.08,0.08,0.08,0,0.08,2022-08-18T04:00:00Z,0,0.0
0.08,0.08,0.08,0,0.08,2022-08-19T04:00:00Z,0,0.0
0.08,0.08,0.08,0,0.08,2022-08-22T04:00:00Z,0,0.0
0.08,0.08,0.08,0,0.08,2022-08-23T04:00:00Z,0,0.0
0.08,0.08,0.08,0,0.08,2022-08-24T04:00:00Z,0,0.0
0.08,0.08,0.08,0,0.08,2022-08-25T04:00:00Z,0,0.0
0.08,0.08,0.08,0,0.08,2022-08-26T04:00:00Z,0,0.0
0.08,0.08,0.08,0,0.08,2022-08-29T04:00:00Z,0,0.0
