c,h,l,n,o,t,v,vw
2.71,3.0,2.07,1981,2.26,2022-08-11T04:00:00Z,304453,2.632763
2.45,2.4893,2.0961,893,2.35,2022-08-12T04:00:00Z,164575,2.325402
2.03,2.47,2.0,1109,2.47,2022-08-15T04:00:00Z,155695,2.085556
2.3,2.65,2.0527,2550,2.06,2022-08-16T04:00:00Z,512222,2.412572
2.15,2.16,2.04,579,2.16,2022-08-17T04:00:00Z,96496,2.082658
2.08,2.17,2.02,174,2.1,2022-08-18T04:00:00Z,39185,2.065567
2.08,2.123,1.95,332,2.08,2022-08-19T04:00:00Z,41342,2.005234
2.0,2.02,1.89,173,2.01,2022-08-22T04:00:00Z,45208,1.947382
2.01,2.1299,1.99,87,2.1299,2022-08-23T04:00:00Z,35947,2.034428
2.05,2.08,2.02,102,2.08,2022-08-24T04:00:00Z,21105,2.047598
2.03,2.0858,2.03,29,2.0579,2022-08-25T04:00:00Z,2636,2.050882
2.01,2.01,1.9017,63,1.9623,2022-08-26T04:00:00Z,4916,1.975909
2.07,2.08,1.82,86,1.94,2022-08-29T04:00:00Z,18760,1.960333
2.05,2.05,1.9128,64,2.0,2022-08-30T04:00:00Z,15489,2.004941
2.1,2.1164,1.999,45,2.0,2022-08-31T04:00:00Z,6872,2.04014
2.08,2.1891,2.05,123,2.1891,2022-09-01T04:00:00Z,19869,2.095779
2.3,2.31,2.0899,223,2.1899,2022-09-02T04:00:00Z,27845,2.190009
2.39,2.6,2.26,386,2.6,2022-09-06T04:00:00Z,60479,2.421606
2.635,2.7,2.335,1522,2.538,2022-09-07T04:00:00Z,224156,2.581267
2.76,2.85,2.62,2179,2.75,2022-09-08T04:00:00Z,316300,2.716301
2.71,2.81,2.45,1489,2.78,2022-09-09T04:00:00Z,252290,2.709032
2.44,3.0,2.43,2931,2.85,2022-09-12T04:00:00Z,449884,2.760354
1.96,2.2,1.9,1004,2.2,2022-09-13T04:00:00Z,165658,2.054712
2.11,2.2,1.8615,621,1.96,2022-09-14T04:00:00Z,78902,2.086555
2.0,2.1883,2.0,307,2.09,2022-09-15T04:00:00Z,36980,2.079291
