c,h,l,n,o,t,v,vw
23.8,23.96,23.68,740,23.78,2024-05-31T04:00:00Z,166646,23.82
23.97,24.05,23.86,302,23.95,2024-06-03T04:00:00Z,74052,23.94
24.0,24.07,23.97,132,23.99,2024-06-04T04:00:00Z,58244,24.01
24.0,24.07,23.98,174,24.07,2024-06-05T04:00:00Z,44108,24.02
24.07,24.07,23.95,277,24.01,2024-06-06T04:00:00Z,57009,24.0
24.03,24.07,23.99,23,24.04,2024-06-07T04:00:00Z,3389,24.04
24.07,24.07,24.03,120,24.03,2024-06-10T04:00:00Z,14774,24.05
24.08,24.09,24.05,76,24.05,2024-06-11T04:00:00Z,16214,24.07
24.12,24.16,24.07,70,24.09,2024-06-12T04:00:00Z,14774,24.1
24.09,24.13,24.07,36,24.13,2024-06-13T04:00:00Z,5585,24.09
24.12,24.12,24.02,18,24.08,2024-06-14T04:00:00Z,5393,24.07
24.08,24.21,24.07,15,24.07,2024-06-17T04:00:00Z,2670,24.1
24.1,24.15,24.09,19,24.09,2024-06-18T04:00:00Z,3071,24.12
24.07,24.1,24.02,56,24.1,2024-06-20T04:00:00Z,13459,24.07
24.01,24.13,24.0,110,24.08,2024-06-21T04:00:00Z,56477,24.04
23.98,24.08,23.98,128,24.02,2024-06-24T04:00:00Z,51188,24.01
24.02,24.05,24.02,98,24.04,2024-06-25T04:00:00Z,30063,24.04
24.02,24.06,23.97,78,24.04,2024-06-26T04:00:00Z,16659,24.0
23.97,24.04,23.96,55,24.04,2024-06-27T04:00:00Z,13370,23.99
23.95,24.02,23.93,102,24.02,2024-06-28T04:00:00Z,14494,23.96
24.0,24.0,23.96,90,23.98,2024-07-01T04:00:00Z,17472,23.98
23.97,24.06,23.97,77,24.06,2024-07-02T04:00:00Z,28049,23.99
23.97,24.0,23.97,36,24.0,2024-07-03T04:00:00Z,16036,23.98
23.98,24.04,23.98,52,24.04,2024-07-05T04:00:00Z,13644,24.01
23.99,24.07,23.99,237,24.04,2024-07-08T04:00:00Z,25778,24.05
23.99,24.02,23.97,171,24.02,2024-07-09T04:00:00Z,6377,24.0
24.01,24.07,23.99,168,24.07,2024-07-10T04:00:00Z,5381,24.02
24.02,24.11,24.01,138,24.07,2024-07-11T04:00:00Z,13633,24.03
24.11,24.15,24.04,151,24.07,2024-07-12T04:00:00Z,15002,24.08
24.2,24.24,24.11,156,24.11,2024-07-15T04:00:00Z,37680,24.18
24.36,24.42,24.12,335,24.12,2024-07-16T04:00:00Z,77423,24.29
24.31,24.43,24.26,241,24.39,2024-07-17T04:00:00Z,60930,24.36
24.34,24.36,24.18,108,24.3,2024-07-18T04:00:00Z,26463,24.27
24.21,24.34,24.16,264,24.21,2024-07-19T04:00:00Z,56893,24.22
24.19,24.31,24.18,111,24.3,2024-07-22T04:00:00Z,17156,24.22
24.19,24.26,24.19,70,24.24,2024-07-23T04:00:00Z,9608,24.23
24.15,24.26,24.13,72,24.19,2024-07-24T04:00:00Z,16019,24.18
24.16,24.21,24.12,41,24.16,2024-07-25T04:00:00Z,9718,24.15
24.09,24.19,24.09,138,24.18,2024-07-26T04:00:00Z,24592,24.12
24.09,24.17,24.09,66,24.14,2024-07-29T04:00:00Z,11888,24.11
24.1,24.26,24.07,62,24.16,2024-07-30T04:00:00Z,12302,24.12
24.06,24.12,24.05,260,24.12,2024-07-31T04:00:00Z,38031,24.07
24.12,24.16,24.03,139,24.16,2024-08-01T04:00:00Z,20704,24.1
24.21,24.21,23.99,118,24.12,2024-08-02T04:00:00Z,21055,24.09
23.96,24.05,23.8,163,24.05,2024-08-05T04:00:00Z,30542,23.95
24.14,24.15,23.99,90,24.02,2024-08-06T04:00:00Z,13835,24.08
24.15,24.15,23.95,303,24.14,2024-08-07T04:00:00Z,88565,24.04
24.15,24.16,24.05,139,24.08,2024-08-08T04:00:00Z,23195,24.1
24.12,24.25,24.12,40,24.2,2024-08-09T04:00:00Z,5515,24.23
24.08,24.21,24.02,91,24.21,2024-08-12T04:00:00Z,16804,24.04
24.07,24.21,24.07,41,24.14,2024-08-13T04:00:00Z,8309,24.1
24.12,24.19,24.09,61,24.19,2024-08-14T04:00:00Z,6329,24.13
24.24,24.3,24.03,172,24.11,2024-08-15T04:00:00Z,34075,24.18
24.24,24.29,24.08,60,24.1,2024-08-16T04:00:00Z,6851,24.16
