c,h,l,n,o,t,v,vw
0.744899,0.8,0.6,10,0.8,2023-03-21T04:00:00Z,7897,0.676076
0.76,0.77,0.69,65,0.7,2023-03-22T04:00:00Z,25057,0.71623
0.79,1.32,0.7899,139,1.32,2023-03-23T04:00:00Z,32358,0.808286
0.7799,1.0,0.750101,118,0.8,2023-03-24T04:00:00Z,21041,0.846818
0.7295,0.78,0.7,23,0.78,2023-03-27T04:00:00Z,2551,0.746678
0.7499,0.7993,0.72,24,0.7993,2023-03-28T04:00:00Z,4753,0.752213
0.7,0.85875,0.6899,62,0.8,2023-03-29T04:00:00Z,19473,0.719864
0.7,0.72,0.693,68,0.72,2023-03-30T04:00:00Z,17097,0.712601
0.7,0.7099,0.675,19,0.7099,2023-03-31T04:00:00Z,3137,0.69278
0.6994,0.75,0.6988,27,0.75,2023-04-03T04:00:00Z,4675,0.704969
0.693,0.7,0.693,32,0.7,2023-04-04T04:00:00Z,7726,0.699758
0.70005,0.70005,0.6987,27,0.6987,2023-04-05T04:00:00Z,3805,0.70018
0.7001,0.7298,0.7001,18,0.72,2023-04-06T04:00:00Z,2356,0.709396
0.6878,0.7299,0.6852,28,0.7299,2023-04-10T04:00:00Z,12264,0.71013
0.7999,0.81,0.6929,61,0.6929,2023-04-11T04:00:00Z,9061,0.778765
0.705,0.719899,0.69,7,0.69,2023-04-12T04:00:00Z,3215,0.703297
0.74,0.81,0.7,46,0.81,2023-04-13T04:00:00Z,36146,0.754843
0.7001,0.7001,0.7001,1,0.7001,2023-04-14T04:00:00Z,200,0.7001
0.693,0.72,0.6914,18,0.72,2023-04-17T04:00:00Z,10208,0.707254
0.693,0.693,0.693,0,0.693,2023-04-18T04:00:00Z,0,0.0
0.693,0.693,0.693,0,0.693,2023-04-19T04:00:00Z,0,0.0
0.67,0.69,0.6633,12,0.69,2023-04-20T04:00:00Z,5338,0.671193
0.67,0.67,0.67,0,0.67,2023-04-21T04:00:00Z,0,0.0
0.655,0.81,0.6501,9,0.81,2023-04-24T04:00:00Z,2690,0.706465
0.655,0.655,0.655,0,0.655,2023-04-25T04:00:00Z,0,0.0
0.65,0.7,0.65,11,0.7,2023-04-26T04:00:00Z,12971,0.651192
0.65,0.6563,0.65,7,0.6552,2023-04-27T04:00:00Z,6600,0.655806
0.65,0.65,0.65,5,0.65,2023-04-28T04:00:00Z,410,0.651049
0.6338,0.65,0.6338,11,0.65,2023-05-01T04:00:00Z,5426,0.649031
0.6005,0.6931,0.6005,22,0.684,2023-05-02T04:00:00Z,8696,0.608403
0.5625,0.6351,0.5625,29,0.635,2023-05-03T04:00:00Z,3471,0.5829
0.6,0.6,0.6,6,0.6,2023-05-04T04:00:00Z,3208,0.600038
0.6297,0.63,0.5701,27,0.60505,2023-05-05T04:00:00Z,6796,0.622521
0.6297,0.6297,0.6297,0,0.6297,2023-05-08T04:00:00Z,0,0.0
0.6299,0.63,0.6236,53,0.6249,2023-05-09T04:00:00Z,25972,0.629678
0.5901,0.605,0.59,15,0.6,2023-05-10T04:00:00Z,6950,0.597855
0.58,0.6,0.57,22,0.6,2023-05-11T04:00:00Z,8756,0.581326
0.59,0.59,0.59,1,0.59,2023-05-12T04:00:00Z,100,0.59
0.59,0.59,0.59,0,0.59,2023-05-15T04:00:00Z,0,0.0
0.4926,0.565,0.4926,57,0.565,2023-05-16T04:00:00Z,28870,0.518702
0.5999,0.5999,0.5786,19,0.5786,2023-05-17T04:00:00Z,10043,0.58503
0.58,0.6,0.58,14,0.6,2023-05-18T04:00:00Z,2459,0.58384
0.58,0.655,0.5101,41,0.533,2023-05-19T04:00:00Z,4304,0.574689
0.599,0.609,0.5118,20,0.5742,2023-05-22T04:00:00Z,6034,0.561858
0.6259,0.727,0.6197,17,0.6266,2023-05-23T04:00:00Z,3610,0.641728
0.719984,0.719984,0.58,50,0.62,2023-05-24T04:00:00Z,32533,0.633404
0.630001,0.639899,0.63,9,0.639899,2023-05-25T04:00:00Z,1199,0.641332
0.65,0.6775,0.5664,49,0.66,2023-05-26T04:00:00Z,9584,0.649365
0.65,0.65,0.65,4,0.65,2023-05-30T04:00:00Z,4106,0.65
