c,h,l,n,o,t,v,vw
0.5,0.65,0.5,14,0.5,2020-11-04T05:00:00Z,950,0.607143
0.5,0.6,0.4499,15,0.6,2020-11-05T05:00:00Z,177950,0.598644
0.4101,0.5113,0.4101,81,0.492499,2020-11-06T05:00:00Z,130597,0.490888
0.445,0.51,0.43,77,0.5,2020-11-09T05:00:00Z,37690,0.487734
0.48,0.49,0.475,6,0.475,2020-11-10T05:00:00Z,1100,0.482291
0.4302,0.455678,0.4302,14,0.4302,2020-11-11T05:00:00Z,3650,0.444698
0.44,0.5,0.4303,40,0.4303,2020-11-12T05:00:00Z,10328,0.439715
0.4303,0.45,0.4303,14,0.45,2020-11-13T05:00:00Z,7912,0.442321
0.4402,0.46105,0.4303,53,0.4303,2020-11-16T05:00:00Z,24374,0.441075
0.42,0.4303,0.42,28,0.4303,2020-11-17T05:00:00Z,6000,0.427384
0.56,0.56,0.42,102,0.42,2020-11-18T05:00:00Z,45349,0.517097
0.57,0.7,0.48,71,0.5,2020-11-19T05:00:00Z,111287,0.538296
0.561,0.58,0.55,46,0.58,2020-11-20T05:00:00Z,6709,0.561596
0.62,0.7,0.56,95,0.6,2020-11-23T05:00:00Z,18528,0.650336
0.65,0.7,0.65,92,0.6995,2020-11-24T05:00:00Z,21972,0.687336
0.7,0.7,0.64,36,0.69,2020-11-25T05:00:00Z,15538,0.688634
0.7,0.7,0.7,3,0.7,2020-11-27T05:00:00Z,359,0.7
0.77,0.98,0.7,471,0.75,2020-11-30T05:00:00Z,152710,0.797238
0.9,0.974315,0.81,82,0.82,2020-12-01T05:00:00Z,54699,0.846802
0.839999,0.86,0.82,10,0.82,2020-12-02T05:00:00Z,3953,0.825741
0.8055,0.9,0.78,60,0.9,2020-12-03T05:00:00Z,8971,0.817241
0.8,0.9,0.75,260,0.75,2020-12-04T05:00:00Z,46494,0.844461
0.89,0.9,0.8758,123,0.88,2020-12-07T05:00:00Z,38377,0.891142
0.85,0.9,0.83,53,0.83,2020-12-08T05:00:00Z,15310,0.860489
0.89,0.9,0.85,12,0.85,2020-12-09T05:00:00Z,17201,0.896746
0.92,1.0,0.874999,62,0.9,2020-12-10T05:00:00Z,39436,0.927059
0.895,0.92,0.84,78,0.92,2020-12-11T05:00:00Z,33189,0.897966
1.04,1.05,0.91,110,1.0,2020-12-14T05:00:00Z,152131,0.981364
1.0301,1.1,0.94,45,1.1,2020-12-15T05:00:00Z,14093,1.037652
1.05,1.05,1.02,32,1.02,2020-12-16T05:00:00Z,31010,1.04456
1.0,1.05,0.95,16,1.0,2020-12-17T05:00:00Z,6430,1.000561
1.05,1.09,0.95,122,1.0,2020-12-18T05:00:00Z,78667,1.003776
1.01,1.19,1.0,137,1.07,2020-12-21T05:00:00Z,31199,1.040457
1.1,1.1999,1.05,131,1.05,2020-12-22T05:00:00Z,56621,1.142785
1.13,1.1899,1.075,69,1.15,2020-12-23T05:00:00Z,16942,1.13469
1.25,1.3,1.17,65,1.17,2020-12-24T05:00:00Z,48372,1.235412
1.1715,1.24,1.15,60,1.24,2020-12-28T05:00:00Z,15694,1.18714
0.98,1.25,0.98,85,1.25,2020-12-29T05:00:00Z,33738,1.10516
1.03,1.06,0.9995,257,1.06,2020-12-30T05:00:00Z,59655,1.01284
1.12,1.18,0.99,128,1.01,2020-12-31T05:00:00Z,32141,1.079494
1.185,1.2,1.12,131,1.12,2021-01-04T05:00:00Z,58194,1.158265
1.2,1.2,1.1,17,1.14,2021-01-05T05:00:00Z,5902,1.120745
1.15,1.22,1.01,280,1.11,2021-01-06T05:00:00Z,15497,1.136595
1.1,1.1643,1.1,40,1.15,2021-01-07T05:00:00Z,48749,1.135727
1.15,1.21,1.15,18,1.21,2021-01-08T05:00:00Z,2592,1.180841
1.151,1.25,1.15,60,1.15,2021-01-11T05:00:00Z,32357,1.208986
1.3,1.9,1.2,278,1.2001,2021-01-12T05:00:00Z,105349,1.305941
1.32,1.39,1.27,162,1.36,2021-01-13T05:00:00Z,37039,1.340917
1.45,1.5,1.36,124,1.41,2021-01-14T05:00:00Z,65131,1.449001
1.5,1.5,1.4,162,1.4498,2021-01-15T05:00:00Z,69762,1.452005
1.375,1.54,1.375,32,1.53,2021-01-19T05:00:00Z,13280,1.456245
1.3,1.42,1.21,71,1.42,2021-01-20T05:00:00Z,27092,1.360319
1.3598,1.61,1.3099,25,1.61,2021-01-21T05:00:00Z,6065,1.414136
1.39,1.4399,1.32,209,1.36,2021-01-22T05:00:00Z,72112,1.360434
1.39,1.4398,1.32,367,1.4,2021-01-25T05:00:00Z,105369,1.381237
1.3998,1.4,1.33,259,1.38,2021-01-26T05:00:00Z,82949,1.384709
1.02,1.35,1.02,333,1.33,2021-01-27T05:00:00Z,78574,1.261162
1.18,1.22,1.12,291,1.2,2021-01-28T05:00:00Z,31803,1.171087
1.2,1.21,1.03,114,1.16,2021-01-29T05:00:00Z,31911,1.165719
1.29,1.3,1.21,34,1.3,2021-02-01T05:00:00Z,24439,1.257121
1.2998,1.41,1.28,77,1.2999,2021-02-02T05:00:00Z,63099,1.329878
1.36,1.4,1.3,154,1.4,2021-02-03T05:00:00Z,55190,1.346195
1.4,1.5,1.3401,268,1.35,2021-02-04T05:00:00Z,63336,1.40691
1.37,1.5,1.37,151,1.5,2021-02-05T05:00:00Z,33714,1.476057
1.31,1.5,1.27,321,1.5,2021-02-08T05:00:00Z,55864,1.331344
1.342,1.38,1.3,165,1.3199,2021-02-09T05:00:00Z,57505,1.331252
1.25,1.35,1.25,188,1.3,2021-02-10T05:00:00Z,44787,1.317056
1.285,1.35,1.27,36,1.35,2021-02-11T05:00:00Z,18174,1.313013
1.2201,1.35,1.2201,96,1.29,2021-02-12T05:00:00Z,20920,1.324836
