c,h,l,n,o,t,v,vw
19.07,19.24,18.74,160,18.74,2016-01-04T05:00:00Z,11735,19.08
19.13,19.22,19.08,108,19.14,2016-01-05T05:00:00Z,14078,19.16
19.04,19.33,18.96,180,19.02,2016-01-06T05:00:00Z,17460,19.15
18.54,18.97,18.52,151,18.76,2016-01-07T05:00:00Z,13845,18.81
18.52,18.91,18.52,143,18.73,2016-01-08T05:00:00Z,12413,18.7
18.48,18.81,18.48,101,18.73,2016-01-11T05:00:00Z,8148,18.58
17.91,18.62,17.64,145,18.52,2016-01-12T05:00:00Z,17001,18.21
17.8,18.01,17.54,226,17.92,2016-01-13T05:00:00Z,37787,17.73
17.73,18.0,17.55,84,17.9,2016-01-14T05:00:00Z,7478,17.84
17.7,17.77,17.54,157,17.54,2016-01-15T05:00:00Z,17517,17.63
17.38,17.94,17.24,195,17.79,2016-01-19T05:00:00Z,22774,17.6
17.3,17.4,16.76,184,17.4,2016-01-20T05:00:00Z,19861,17.13
16.85,17.33,16.83,179,17.33,2016-01-21T05:00:00Z,18053,17.04
16.77,16.9,16.73,122,16.9,2016-01-22T05:00:00Z,10747,16.79
16.29,16.8,16.29,192,16.58,2016-01-25T05:00:00Z,22314,16.56
16.45,16.47,16.2,240,16.38,2016-01-26T05:00:00Z,31026,16.38
16.4,16.61,16.25,197,16.57,2016-01-27T05:00:00Z,24579,16.46
16.58,16.89,16.23,225,16.23,2016-01-28T05:00:00Z,20596,16.65
16.55,16.65,16.39,183,16.58,2016-01-29T05:00:00Z,14282,16.58
17.29,17.37,16.58,195,16.59,2016-02-01T05:00:00Z,23214,16.99
17.26,17.35,17.02,114,17.22,2016-02-02T05:00:00Z,10836,17.22
17.82,19.7,17.06,218,17.34,2016-02-03T05:00:00Z,21749,17.67
17.6,18.04,17.33,198,17.96,2016-02-04T05:00:00Z,15972,17.58
16.76,17.79,16.76,193,17.6,2016-02-05T05:00:00Z,17029,17.16
16.56,16.97,16.14,178,16.58,2016-02-08T05:00:00Z,17089,16.48
16.4,17.02,16.14,171,16.2,2016-02-09T05:00:00Z,18158,16.43
16.13,16.7,16.12,200,16.59,2016-02-10T05:00:00Z,17498,16.36
15.72,16.4,15.62,179,16.15,2016-02-11T05:00:00Z,17906,16.0
15.63,15.94,15.47,361,15.54,2016-02-12T05:00:00Z,42792,15.72
16.2,16.22,15.58,226,15.79,2016-02-16T05:00:00Z,19700,15.97
16.49,16.65,16.06,147,16.32,2016-02-17T05:00:00Z,15296,16.47
16.63,16.63,16.45,121,16.63,2016-02-18T05:00:00Z,11091,16.56
16.76,16.94,16.3,192,16.59,2016-02-19T05:00:00Z,17542,16.63
16.74,17.0,16.65,102,16.98,2016-02-22T05:00:00Z,7600,16.77
16.73,16.97,16.65,98,16.65,2016-02-23T05:00:00Z,10881,16.72
16.89,16.97,16.59,182,16.65,2016-02-24T05:00:00Z,27979,16.75
16.94,17.18,16.68,212,16.78,2016-02-25T05:00:00Z,19904,16.97
17.2,17.25,16.7,454,16.95,2016-02-26T05:00:00Z,40087,17.01
17.31,17.67,16.98,343,17.22,2016-02-29T05:00:00Z,32115,17.35
17.65,17.66,17.06,233,17.53,2016-03-01T05:00:00Z,23244,17.52
17.71,17.72,17.11,243,17.51,2016-03-02T05:00:00Z,25512,17.48
17.58,17.81,17.41,232,17.73,2016-03-03T05:00:00Z,23014,17.59
16.75,17.68,16.12,608,17.68,2016-03-04T05:00:00Z,62196,16.92
17.53,17.58,16.34,626,16.75,2016-03-07T05:00:00Z,46790,17.1
17.23,17.67,16.58,369,16.58,2016-03-08T05:00:00Z,31943,17.17
17.41,17.63,17.24,221,17.24,2016-03-09T05:00:00Z,18523,17.42
17.27,17.44,16.92,263,17.34,2016-03-10T05:00:00Z,16743,17.18
17.67,17.67,17.18,184,17.26,2016-03-11T05:00:00Z,16283,17.55
17.54,17.68,17.19,304,17.5,2016-03-14T04:00:00Z,14725,17.51
17.18,17.5,17.17,108,17.5,2016-03-15T04:00:00Z,8918,17.28
16.78,17.59,16.64,196,17.23,2016-03-16T04:00:00Z,17532,17.07
