c,h,l,n,o,t,v,vw
1.01,1.23,0.8,463,0.88,2021-12-09T05:00:00Z,323975,0.952425
0.95,0.9708,0.8511,439,0.9101,2021-12-10T05:00:00Z,75626,0.886634
1.148,1.2188,0.92,185,0.949899,2021-12-13T05:00:00Z,30344,1.000708
1.0,1.25,0.9601,199,0.9601,2021-12-14T05:00:00Z,48491,1.106967
0.9652,1.05,0.93,96,0.9899,2021-12-15T05:00:00Z,39947,0.995781
0.9001,0.9001,0.9,24,0.9,2021-12-16T05:00:00Z,1928,0.898285
0.85,0.900849,0.85,20,0.9001,2021-12-17T05:00:00Z,2474,0.884797
0.85,0.85,0.85,10,0.85,2021-12-20T05:00:00Z,468,0.85014
0.900101,0.900101,0.85,20,0.85,2021-12-21T05:00:00Z,8905,0.888092
0.745,0.85,0.7,44,0.7,2021-12-22T05:00:00Z,27106,0.745573
0.7874,0.7874,0.7874,10,0.7874,2021-12-23T05:00:00Z,352,0.770617
0.8,0.8,0.79,23,0.79,2021-12-27T05:00:00Z,7007,0.79177
0.67,0.88,0.66,65,0.77,2021-12-28T05:00:00Z,14265,0.687162
0.851,0.851,0.851,7,0.851,2021-12-29T05:00:00Z,471,0.765462
0.9139,0.9139,0.760501,7,0.831,2021-12-30T05:00:00Z,1619,0.871841
0.9139,0.9139,0.709704,12,0.709704,2021-12-31T05:00:00Z,1520,0.875434
0.8399,0.9996,0.6811,107,0.8266,2022-01-03T05:00:00Z,19408,0.764875
0.9399,0.979899,0.720101,9,0.979899,2022-01-04T05:00:00Z,1412,0.853404
0.8999,0.8999,0.75,14,0.761281,2022-01-05T05:00:00Z,6099,0.788152
0.8899,0.8899,0.7604,8,0.7604,2022-01-06T05:00:00Z,1457,0.863772
0.85,0.879,0.7505,10,0.76,2022-01-07T05:00:00Z,1953,0.810645
0.85,0.872845,0.75,13,0.75,2022-01-10T05:00:00Z,2887,0.827468
0.8495,0.8495,0.7508,14,0.7508,2022-01-11T05:00:00Z,985,0.814437
0.71,0.975,0.67,152,0.84,2022-01-12T05:00:00Z,32105,0.771195
0.84,0.84,0.725,13,0.725,2022-01-13T05:00:00Z,781,0.776172
0.8298,0.8298,0.82,5,0.82,2022-01-14T05:00:00Z,2350,0.829054
0.83,0.83,0.75,16,0.8199,2022-01-18T05:00:00Z,2757,0.812287
