c,h,l,n,o,t,v,vw
178.15,182.7,174.3,435,182.7,2016-01-04T05:00:00Z,1792,176.78
172.2,178.85,171.5,231,177.8,2016-01-05T05:00:00Z,1183,173.77
166.95,172.55,163.45,333,172.55,2016-01-06T05:00:00Z,1712,167.43
145.25,167.3,142.45,901,166.95,2016-01-07T05:00:00Z,8223,151.74
130.2,152.95,126.35,599,147.7,2016-01-08T05:00:00Z,5816,135.32
119.0,140.0,111.3,840,135.45,2016-01-11T05:00:00Z,5454,119.06
115.85,131.95,110.6,700,113.05,2016-01-12T05:00:00Z,4652,116.5
112.35,117.6,109.2,490,113.75,2016-01-13T05:00:00Z,2397,112.08
112.7,119.0,101.85,475,112.0,2016-01-14T05:00:00Z,3540,110.87
112.35,115.85,105.0,363,110.25,2016-01-15T05:00:00Z,2347,111.72
108.85,113.05,106.75,396,112.7,2016-01-19T05:00:00Z,1924,109.49
114.8,115.85,102.55,415,107.8,2016-01-20T05:00:00Z,2584,107.92
117.6,122.5,109.9,480,114.8,2016-01-21T05:00:00Z,3311,118.35
118.65,122.5,117.95,293,119.0,2016-01-22T05:00:00Z,1585,119.97
113.4,124.95,109.9,377,119.35,2016-01-25T05:00:00Z,2600,115.3
114.1,116.9,110.6,177,114.8,2016-01-26T05:00:00Z,783,112.73
111.3,116.2,108.5,212,114.45,2016-01-27T05:00:00Z,1096,111.04
104.3,112.0,101.5,489,112.0,2016-01-28T05:00:00Z,4224,104.28
107.8,107.8,101.5,267,104.65,2016-01-29T05:00:00Z,1537,104.05
98.0,107.45,96.6,439,104.3,2016-02-01T05:00:00Z,3998,101.21
117.25,141.75,101.85,4802,103.25,2016-02-02T05:00:00Z,41761,126.84
108.15,127.05,106.05,904,117.6,2016-02-03T05:00:00Z,8148,112.48
110.6,112.35,106.4,581,107.1,2016-02-04T05:00:00Z,3148,109.28
118.65,120.4,108.5,652,109.2,2016-02-05T05:00:00Z,3620,114.04
114.1,124.6,107.28,662,124.25,2016-02-08T05:00:00Z,3912,114.21
110.25,118.15,105.35,533,113.41,2016-02-09T05:00:00Z,3764,112.04
