c,h,l,n,o,t,v,vw
5.734,6.171,4.2,7334,4.697,2021-10-01T04:00:00Z,2692585,5.233
5.546,5.94,4.766,1812,5.704,2021-10-04T04:00:00Z,572962,5.46
5.409,5.957,4.466,3085,5.949,2021-10-05T04:00:00Z,826402,5.183
5.443,5.786,4.809,1254,5.4,2021-10-06T04:00:00Z,292184,5.447
6.711,7.406,5.066,8612,5.314,2021-10-07T04:00:00Z,2581930,6.501
5.743,7.971,5.503,11569,6.729,2021-10-08T04:00:00Z,3636225,6.404
6.343,6.514,5.751,4713,6.171,2021-10-11T04:00:00Z,1008211,6.305
8.314,10.56,7.8,401928,9.206,2021-10-12T04:00:00Z,81250453,9.103
7.38,7.706,6.917,11552,7.56,2021-10-13T04:00:00Z,2337010,7.286
6.883,7.431,6.514,4746,7.234,2021-10-14T04:00:00Z,866780,6.871
6.806,7.286,6.669,2204,6.78,2021-10-15T04:00:00Z,377877,6.978
5.974,6.557,5.871,1920,6.557,2021-10-18T04:00:00Z,325124,6.141
5.606,6.051,5.606,1221,5.991,2021-10-19T04:00:00Z,224053,5.766
5.409,5.709,4.774,2050,5.649,2021-10-20T04:00:00Z,355126,5.236
4.989,5.4,4.886,1253,5.4,2021-10-21T04:00:00Z,223608,5.104
4.2,4.989,4.149,1877,4.826,2021-10-22T04:00:00Z,454132,4.445
4.791,4.954,4.209,1605,4.277,2021-10-25T04:00:00Z,350156,4.655
4.44,4.791,4.346,628,4.671,2021-10-26T04:00:00Z,116022,4.536
4.963,5.134,4.286,1245,4.406,2021-10-27T04:00:00Z,311809,4.784
5.211,5.571,4.971,1445,4.971,2021-10-28T04:00:00Z,275895,5.356
5.366,5.571,5.229,665,5.486,2021-10-29T04:00:00Z,142091,5.412
5.451,5.579,5.314,1496,5.349,2021-11-01T04:00:00Z,249378,5.468
5.82,6.231,4.731,9073,5.486,2021-11-02T04:00:00Z,2015361,5.533
4.731,5.177,4.629,2823,5.134,2021-11-03T04:00:00Z,590096,4.819
4.667,4.851,4.567,656,4.791,2021-11-04T04:00:00Z,109190,4.696
4.586,4.694,4.442,467,4.603,2021-11-05T04:00:00Z,80084,4.554
4.929,5.04,4.5,903,4.586,2021-11-08T05:00:00Z,179257,4.85
5.031,5.417,4.74,1623,4.843,2021-11-09T05:00:00Z,294708,5.132
4.731,5.194,4.654,1010,4.971,2021-11-10T05:00:00Z,206286,4.975
