c,h,l,n,o,t,v,vw
24.42,24.42,24.42,4,24.42,2024-03-06T05:00:00Z,200114,24.42
24.43,24.43,24.43,3,24.43,2024-03-07T05:00:00Z,200011,24.43
24.44,24.44,24.44,2,24.44,2024-03-08T05:00:00Z,199906,24.44
24.45,24.45,24.45,6,24.45,2024-03-11T04:00:00Z,308,24.44
24.44,24.44,24.44,4,24.44,2024-03-12T04:00:00Z,400,24.44
24.44,24.44,24.44,0,24.44,2024-03-13T04:00:00Z,0,0.0
24.45,24.45,24.45,4,24.45,2024-03-14T04:00:00Z,1700,24.45
24.45,24.45,24.45,1,24.45,2024-03-15T04:00:00Z,1,24.45
24.45,24.45,24.44,33,24.45,2024-03-18T04:00:00Z,25176,24.45
24.45,24.45,24.45,0,24.45,2024-03-19T04:00:00Z,0,0.0
24.46,24.46,24.46,4,24.46,2024-03-20T04:00:00Z,500,24.46
24.47,24.47,24.46,16,24.47,2024-03-21T04:00:00Z,15200,24.47
24.48,24.48,24.48,4,24.48,2024-03-22T04:00:00Z,1000,24.48
24.48,24.48,24.48,0,24.48,2024-03-25T04:00:00Z,0,0.0
24.48,24.48,24.48,1,24.48,2024-03-26T04:00:00Z,500,24.48
24.49,24.49,24.49,12,24.49,2024-03-27T04:00:00Z,5500,24.49
24.49,24.49,24.49,0,24.49,2024-03-28T04:00:00Z,0,0.0
24.5,24.5,24.5,1,24.5,2024-04-01T04:00:00Z,300,24.5
24.51,24.51,24.51,2,24.51,2024-04-02T04:00:00Z,1000,24.51
24.51,24.51,24.51,6,24.51,2024-04-03T04:00:00Z,3000,24.51
24.53,24.53,24.53,4,24.53,2024-04-04T04:00:00Z,1034,24.52
24.53,24.53,24.53,4,24.53,2024-04-05T04:00:00Z,1011,24.52
24.53,24.53,24.53,0,24.53,2024-04-08T04:00:00Z,0,0.0
24.53,24.53,24.53,2,24.53,2024-04-09T04:00:00Z,1000,24.53
24.52,24.52,24.52,2,24.52,2024-04-10T04:00:00Z,20,24.52
24.53,24.53,24.53,2,24.53,2024-04-11T04:00:00Z,16,24.53
24.53,24.53,24.53,2,24.53,2024-04-12T04:00:00Z,1000,24.53
24.53,24.54,24.53,2,24.53,2024-04-15T04:00:00Z,200,24.53
24.53,24.54,24.53,1,24.54,2024-04-16T04:00:00Z,200,24.54
24.53,24.54,24.53,3,24.54,2024-04-17T04:00:00Z,1200,24.54
24.54,24.54,24.54,1,24.54,2024-04-18T04:00:00Z,50,24.55
24.54,24.55,24.54,4,24.55,2024-04-19T04:00:00Z,2000,24.55
24.55,24.56,24.55,5,24.56,2024-04-22T04:00:00Z,324,24.56
24.56,24.57,24.56,8,24.56,2024-04-23T04:00:00Z,1320,24.56
24.56,24.57,24.56,4,24.57,2024-04-24T04:00:00Z,320,24.57
24.56,24.57,24.56,7,24.57,2024-04-25T04:00:00Z,1820,24.57
24.57,24.58,24.57,4,24.58,2024-04-26T04:00:00Z,320,24.58
24.58,24.58,24.58,1,24.58,2024-04-29T04:00:00Z,1,24.58
24.58,24.59,24.58,12,24.59,2024-04-30T04:00:00Z,504,24.59
24.59,24.59,24.59,4,24.59,2024-05-01T04:00:00Z,400,24.59
24.61,24.61,24.6,6,24.6,2024-05-02T04:00:00Z,1320,24.6
24.62,24.62,24.62,8,24.62,2024-05-03T04:00:00Z,421,24.62
24.62,24.62,24.62,4,24.62,2024-05-06T04:00:00Z,320,24.62
24.63,24.63,24.62,10,24.62,2024-05-07T04:00:00Z,2401,24.62
24.63,24.63,24.63,4,24.63,2024-05-08T04:00:00Z,320,24.63
24.64,24.64,24.64,4,24.64,2024-05-09T04:00:00Z,262,24.64
24.64,24.64,24.64,0,24.64,2024-05-10T04:00:00Z,0,0.0
24.64,24.64,24.64,10,24.64,2024-05-13T04:00:00Z,2900,24.64
24.65,24.65,24.65,5,24.65,2024-05-14T04:00:00Z,408,24.65
24.66,24.66,24.66,3,24.66,2024-05-15T04:00:00Z,400,24.66
24.66,24.66,24.66,0,24.66,2024-05-16T04:00:00Z,0,0.0
24.67,24.67,24.67,1,24.67,2024-05-17T04:00:00Z,15,24.67
24.67,24.67,24.67,4,24.67,2024-05-20T04:00:00Z,700,24.67
24.68,24.68,24.68,2,24.68,2024-05-21T04:00:00Z,200,24.68
24.68,24.68,24.68,0,24.68,2024-05-22T04:00:00Z,0,0.0
24.68,24.68,24.68,0,24.68,2024-05-23T04:00:00Z,0,0.0
24.68,24.68,24.68,0,24.68,2024-05-24T04:00:00Z,0,0.0
24.68,24.68,24.68,0,24.68,2024-05-28T04:00:00Z,0,0.0
24.7,24.7,24.69,14,24.69,2024-05-29T04:00:00Z,4508,24.69
24.7,24.7,24.7,3,24.7,2024-05-30T04:00:00Z,1000,24.7
24.71,24.72,24.71,6,24.71,2024-05-31T04:00:00Z,1778,24.71
24.71,24.72,24.71,11,24.72,2024-06-03T04:00:00Z,378,24.72
24.72,24.73,24.72,13,24.72,2024-06-04T04:00:00Z,3900,24.72
24.73,24.73,24.73,7,24.73,2024-06-05T04:00:00Z,1401,24.73
24.73,24.73,24.73,22,24.73,2024-06-06T04:00:00Z,7301,24.73
24.73,24.73,24.73,15,24.73,2024-06-07T04:00:00Z,5000,24.73
24.73,24.73,24.73,0,24.73,2024-06-10T04:00:00Z,0,0.0
24.74,24.74,24.73,7,24.73,2024-06-11T04:00:00Z,1200,24.73
24.74,24.74,24.74,0,24.74,2024-06-12T04:00:00Z,0,0.0
24.74,24.74,24.74,0,24.74,2024-06-13T04:00:00Z,0,0.0
24.74,24.74,24.74,0,24.74,2024-06-14T04:00:00Z,0,0.0
24.74,24.74,24.74,0,24.74,2024-06-17T04:00:00Z,0,0.0
24.74,24.74,24.74,0,24.74,2024-06-18T04:00:00Z,0,0.0
24.74,24.74,24.74,0,24.74,2024-06-20T04:00:00Z,0,0.0
24.74,24.74,24.74,0,24.74,2024-06-21T04:00:00Z,0,0.0
24.74,24.74,24.74,0,24.74,2024-06-24T04:00:00Z,0,0.0
24.74,24.74,24.74,0,24.74,2024-06-25T04:00:00Z,0,0.0
24.74,24.74,24.74,0,24.74,2024-06-26T04:00:00Z,0,0.0
24.74,24.74,24.74,0,24.74,2024-06-27T04:00:00Z,0,0.0
24.74,24.74,24.74,0,24.74,2024-06-28T04:00:00Z,0,0.0
24.84,24.84,24.84,0,24.84,2024-07-01T04:00:00Z,0,0.0
24.81,24.81,24.81,2,24.81,2024-07-02T04:00:00Z,2,24.82
24.81,24.81,24.81,0,24.81,2024-07-03T04:00:00Z,0,0.0
24.81,24.81,24.81,0,24.81,2024-07-05T04:00:00Z,0,0.0
24.81,24.81,24.81,0,24.81,2024-07-08T04:00:00Z,0,0.0
24.81,24.81,24.81,0,24.81,2024-07-09T04:00:00Z,0,0.0
24.81,24.81,24.81,0,24.81,2024-07-10T04:00:00Z,0,0.0
24.81,24.81,24.81,0,24.81,2024-07-11T04:00:00Z,0,0.0
24.81,24.81,24.81,0,24.81,2024-07-12T04:00:00Z,0,0.0
24.81,24.81,24.81,0,24.81,2024-07-15T04:00:00Z,0,0.0
24.81,24.81,24.81,0,24.81,2024-07-16T04:00:00Z,0,0.0
24.81,24.81,24.81,0,24.81,2024-07-17T04:00:00Z,0,0.0
24.9,24.9,24.9,1,24.9,2024-07-18T04:00:00Z,1,24.9
24.9,24.9,24.9,0,24.9,2024-07-19T04:00:00Z,0,0.0
24.91,24.91,24.91,2,24.91,2024-07-22T04:00:00Z,199046,24.91
24.91,24.91,24.91,0,24.91,2024-07-23T04:00:00Z,0,0.0
24.91,24.91,24.91,1,24.91,2024-07-24T04:00:00Z,2,24.92
24.92,24.92,24.92,2,24.92,2024-07-25T04:00:00Z,2,24.3
24.92,24.92,24.92,0,24.92,2024-07-26T04:00:00Z,0,0.0
24.94,24.94,24.94,1,24.94,2024-07-29T04:00:00Z,1,24.95
24.94,24.94,24.94,2,24.94,2024-07-30T04:00:00Z,198808,24.94
24.95,24.95,24.95,1,24.95,2024-07-31T04:00:00Z,8,24.95
25.02,25.02,25.02,0,25.02,2024-08-01T04:00:00Z,0,0.0
24.99,24.99,24.99,3,24.99,2024-08-02T04:00:00Z,5,24.99
24.99,24.99,24.99,4,24.99,2024-08-05T04:00:00Z,10,24.99
24.99,24.99,24.99,0,24.99,2024-08-06T04:00:00Z,0,0.0
24.99,24.99,24.99,3,24.99,2024-08-07T04:00:00Z,397938,24.99
24.99,24.99,24.99,4,24.99,2024-08-08T04:00:00Z,49,25.0
25.0,25.0,25.0,2,25.0,2024-08-09T04:00:00Z,2,25.0
25.01,25.01,25.01,3,25.01,2024-08-12T04:00:00Z,21,25.0
25.01,25.02,25.01,2,25.02,2024-08-13T04:00:00Z,596421,25.01
25.02,25.02,25.02,2,25.02,2024-08-14T04:00:00Z,22,25.01
