c,h,l,n,o,t,v,vw
22.55,22.812,21.41,1528,22.0,2016-01-04T05:00:00Z,212942,22.343126
22.74,23.31,22.35,884,22.79,2016-01-05T05:00:00Z,131195,22.743079
22.42,22.6,22.0,1222,22.23,2016-01-06T05:00:00Z,175864,22.312787
19.76,22.4501,19.3215,3151,22.45,2016-01-07T05:00:00Z,573583,20.385118
20.15,20.6799,19.8,1807,19.8,2016-01-08T05:00:00Z,478759,20.159067
20.55,21.35,19.46,2748,20.2,2016-01-11T05:00:00Z,399940,20.379137
21.9,21.9,20.37,1484,20.37,2016-01-12T05:00:00Z,350101,21.106021
20.48,22.49,20.36,1514,22.09,2016-01-13T05:00:00Z,324935,21.40404
19.3,20.3,19.11,2263,20.18,2016-01-14T05:00:00Z,444866,19.60821
17.79,18.805,17.44,1949,18.72,2016-01-15T05:00:00Z,364807,17.988509
17.06,17.67,16.07,3307,17.52,2016-01-19T05:00:00Z,536585,16.722879
14.23,17.31,13.56,8020,16.51,2016-01-20T05:00:00Z,1144267,14.667983
15.05,15.96,14.56,4653,14.56,2016-01-21T05:00:00Z,742841,15.165575
13.81,15.6,13.52,4056,15.48,2016-01-22T05:00:00Z,726415,14.6042
14.5,15.1,13.7001,2793,14.0,2016-01-25T05:00:00Z,439130,14.401846
14.51,14.73,14.05,1119,14.5,2016-01-26T05:00:00Z,182343,14.393494
14.09,14.805,13.86,1630,14.5,2016-01-27T05:00:00Z,209407,14.195195
12.99,14.09,12.82,1696,14.09,2016-01-28T05:00:00Z,302178,13.073176
12.48,13.485,11.3,2397,12.77,2016-01-29T05:00:00Z,521432,12.182284
11.29,12.44,11.23,2434,12.43,2016-02-01T05:00:00Z,390155,11.531568
10.3,12.0,10.15,2345,11.18,2016-02-02T05:00:00Z,350837,10.541451
11.03,11.06,10.16,1611,10.93,2016-02-03T05:00:00Z,318706,10.649519
11.81,12.2,10.75,1598,10.75,2016-02-04T05:00:00Z,787435,11.629844
11.46,12.35,11.4,1490,11.81,2016-02-05T05:00:00Z,298250,11.842957
12.31,12.375,11.234,1570,11.32,2016-02-08T05:00:00Z,243368,11.986266
12.69,13.055,11.75,2240,11.9,2016-02-09T05:00:00Z,424949,12.418396
13.12,13.23,12.38,1365,12.55,2016-02-10T05:00:00Z,175568,12.889511
12.06,13.13,11.76,1358,12.71,2016-02-11T05:00:00Z,201883,12.35702
12.11,12.9,11.93,896,12.72,2016-02-12T05:00:00Z,135172,12.218249
12.23,13.08,12.15,1601,12.31,2016-02-16T05:00:00Z,212493,12.463281
12.56,12.96,12.17,1472,12.42,2016-02-17T05:00:00Z,245559,12.514698
12.22,12.94,11.85,1529,12.62,2016-02-18T05:00:00Z,231496,12.244663
11.78,12.3,11.61,996,12.25,2016-02-19T05:00:00Z,166393,11.905636
12.01,12.3793,11.99,954,12.16,2016-02-22T05:00:00Z,151595,12.108887
11.82,12.36,11.67,1115,12.02,2016-02-23T05:00:00Z,158165,11.956624
11.46,11.93,11.26,1145,11.84,2016-02-24T05:00:00Z,159142,11.420329
10.8,11.738,10.64,1663,11.57,2016-02-25T05:00:00Z,279679,10.968745
11.17,11.31,10.5,1651,10.77,2016-02-26T05:00:00Z,270866,10.889801
11.69,12.0,11.14,2059,11.14,2016-02-29T05:00:00Z,323383,11.604331
12.35,12.6899,11.6501,2408,11.7,2016-03-01T05:00:00Z,395020,12.157613
14.58,15.43,12.36,2495,12.38,2016-03-02T05:00:00Z,363099,13.889627
16.03,16.06,14.6101,3494,15.04,2016-03-03T05:00:00Z,545166,15.512841
16.55,18.37,16.1,4071,16.1,2016-03-04T05:00:00Z,673401,17.208309
17.4,18.72,16.9,2927,18.06,2016-03-07T05:00:00Z,432960,17.774771
16.06,17.8799,15.3803,1905,17.18,2016-03-08T05:00:00Z,287601,16.158864
14.34,16.365,14.0,1799,16.02,2016-03-09T05:00:00Z,303160,14.838442
13.91,14.85,13.88,1194,14.34,2016-03-10T05:00:00Z,212193,14.335312
13.75,14.8799,13.6,1666,14.09,2016-03-11T05:00:00Z,215566,14.116273
12.82,13.98,12.665,1983,13.92,2016-03-14T04:00:00Z,328717,13.271548
12.31,12.77,12.07,1619,12.77,2016-03-15T04:00:00Z,298862,12.296667
11.99,12.4596,11.79,1611,12.34,2016-03-16T04:00:00Z,239883,12.074093
12.75,12.97,11.7356,1213,11.8,2016-03-17T04:00:00Z,197875,12.498482
12.45,13.02,12.43,1009,12.84,2016-03-18T04:00:00Z,197359,12.737417
