c,h,l,n,o,t,v,vw
22.35,22.35,22.35,5,22.35,2023-08-22T04:00:00Z,11,0.0
21.38,22.41,21.29,445,22.41,2023-08-23T04:00:00Z,77149,21.53
21.23,21.26,19.21,436,19.21,2023-08-24T04:00:00Z,90193,20.47
22.03,22.64,20.88,299,21.47,2023-08-25T04:00:00Z,52332,22.23
21.45,22.57,21.32,131,21.32,2023-08-28T04:00:00Z,12224,22.07
20.12,21.7,19.93,147,21.7,2023-08-29T04:00:00Z,12066,20.4
19.81,20.21,19.46,177,20.21,2023-08-30T04:00:00Z,41528,19.78
19.75,19.93,19.57,117,19.74,2023-08-31T04:00:00Z,21735,19.72
20.26,20.45,19.59,118,19.59,2023-09-01T04:00:00Z,18705,20.16
20.25,20.63,19.86,228,20.59,2023-09-05T04:00:00Z,45520,20.27
21.06,21.45,20.28,206,20.31,2023-09-06T04:00:00Z,29906,20.87
21.77,22.38,21.67,339,22.33,2023-09-07T04:00:00Z,41668,22.06
22.17,22.37,21.52,254,21.99,2023-09-08T04:00:00Z,35393,22.05
22.53,22.96,21.86,111,21.86,2023-09-11T04:00:00Z,14675,22.63
22.67,22.9,22.21,129,22.9,2023-09-12T04:00:00Z,12068,22.49
22.02,22.86,21.92,214,22.85,2023-09-13T04:00:00Z,16563,22.34
22.17,22.38,21.96,233,22.0,2023-09-14T04:00:00Z,35507,22.18
23.49,23.52,22.27,335,22.27,2023-09-15T04:00:00Z,28130,22.98
23.43,24.76,23.37,277,24.46,2023-09-18T04:00:00Z,61529,23.81
23.77,24.14,23.31,207,23.53,2023-09-19T04:00:00Z,30410,23.71
24.41,24.74,23.27,257,23.31,2023-09-20T04:00:00Z,33782,24.18
25.91,25.94,24.94,451,25.51,2023-09-21T04:00:00Z,81400,25.59
25.32,25.69,24.92,335,25.39,2023-09-22T04:00:00Z,57039,25.32
24.74,25.64,24.61,222,25.52,2023-09-25T04:00:00Z,41400,24.95
25.09,25.26,24.48,191,25.08,2023-09-26T04:00:00Z,22607,24.88
24.58,25.24,24.28,128,24.8,2023-09-27T04:00:00Z,15340,24.61
24.07,24.92,23.88,161,24.52,2023-09-28T04:00:00Z,27862,24.23
23.72,23.79,23.32,87,23.46,2023-09-29T04:00:00Z,10571,23.61
22.57,23.45,22.4,197,23.37,2023-10-02T04:00:00Z,24316,22.85
23.67,23.73,22.5,117,22.71,2023-10-03T04:00:00Z,12563,23.19
23.27,23.7,23.24,116,23.61,2023-10-04T04:00:00Z,9608,23.39
22.76,23.36,22.62,212,22.79,2023-10-05T04:00:00Z,27898,23.02
21.92,23.21,21.92,362,23.19,2023-10-06T04:00:00Z,58015,22.69
22.33,22.87,22.04,222,22.57,2023-10-09T04:00:00Z,36858,22.56
21.96,22.32,21.61,65,22.32,2023-10-10T04:00:00Z,13779,21.86
21.12,21.89,21.12,266,21.89,2023-10-11T04:00:00Z,64467,21.49
21.12,21.53,20.73,148,21.12,2023-10-12T04:00:00Z,15014,21.05
21.78,22.23,21.13,149,21.22,2023-10-13T04:00:00Z,20538,21.74
21.57,22.3,21.57,98,22.3,2023-10-16T04:00:00Z,9542,21.81
23.32,24.24,22.64,382,23.25,2023-10-17T04:00:00Z,63984,23.39
24.6,24.82,23.83,533,24.31,2023-10-18T04:00:00Z,90896,24.35
24.58,24.75,23.66,166,23.93,2023-10-19T04:00:00Z,14008,24.17
25.31,25.55,24.25,200,25.16,2023-10-20T04:00:00Z,19173,25.11
23.88,25.66,23.79,462,25.51,2023-10-23T04:00:00Z,112943,24.42
23.33,24.13,23.26,323,23.83,2023-10-24T04:00:00Z,40671,23.8
24.84,24.93,23.56,208,23.83,2023-10-25T04:00:00Z,21785,24.34
25.96,26.48,24.47,409,24.86,2023-10-26T04:00:00Z,49313,25.45
25.92,26.29,25.45,199,25.47,2023-10-27T04:00:00Z,17511,26.01
25.36,25.81,24.71,179,25.31,2023-10-30T04:00:00Z,16704,25.35
25.55,27.03,25.54,344,25.91,2023-10-31T04:00:00Z,46366,26.3
24.17,25.45,24.16,265,25.32,2023-11-01T04:00:00Z,25508,24.81
23.2,23.67,22.91,153,23.17,2023-11-02T04:00:00Z,9265,23.34
21.93,22.86,21.84,240,22.8,2023-11-03T04:00:00Z,31026,22.34
21.47,22.02,21.44,140,21.93,2023-11-06T05:00:00Z,11304,21.64
21.3,21.61,21.19,123,21.38,2023-11-07T05:00:00Z,11375,21.39
20.92,21.24,20.77,143,21.05,2023-11-08T05:00:00Z,19262,20.98
20.68,20.76,19.89,283,20.14,2023-11-09T05:00:00Z,45310,20.37
19.83,20.38,19.72,263,20.38,2023-11-10T05:00:00Z,50655,20.0
19.64,19.93,19.34,249,19.81,2023-11-13T05:00:00Z,58882,19.59
19.02,19.29,18.91,240,19.14,2023-11-14T05:00:00Z,22448,19.06
19.46,19.77,19.04,348,19.04,2023-11-15T05:00:00Z,52058,19.44
19.12,19.76,19.09,198,19.63,2023-11-16T05:00:00Z,24032,19.49
19.22,19.3,19.01,133,19.21,2023-11-17T05:00:00Z,12508,19.14
18.6,19.22,18.52,291,19.21,2023-11-20T05:00:00Z,45732,18.72
18.82,19.2,18.58,423,18.79,2023-11-21T05:00:00Z,71052,18.85
19.46,19.99,18.62,321,18.89,2023-11-22T05:00:00Z,42684,19.55
20.06,20.12,19.43,152,19.77,2023-11-24T05:00:00Z,27169,19.93
19.74,20.15,19.66,168,20.15,2023-11-27T05:00:00Z,20094,19.82
20.06,20.19,19.75,129,19.75,2023-11-28T05:00:00Z,10173,20.05
19.84,19.89,19.48,86,19.58,2023-11-29T05:00:00Z,7671,19.75
20.71,20.92,19.9,314,19.93,2023-11-30T05:00:00Z,72485,20.49
20.76,21.1,20.56,249,20.82,2023-12-01T05:00:00Z,28041,20.76
21.54,21.87,21.28,236,21.28,2023-12-04T05:00:00Z,33362,21.6
20.79,21.73,20.79,252,21.64,2023-12-05T05:00:00Z,23810,21.03
21.52,21.59,20.26,226,20.26,2023-12-06T05:00:00Z,27992,21.07
20.78,21.34,20.77,195,21.13,2023-12-07T05:00:00Z,25272,21.06
20.02,20.78,20.01,171,20.67,2023-12-08T05:00:00Z,44842,20.2
20.68,21.21,20.46,159,20.52,2023-12-11T05:00:00Z,39221,20.7
20.03,20.99,19.95,122,20.99,2023-12-12T05:00:00Z,24799,20.4
19.76,19.95,19.46,126,19.72,2023-12-13T05:00:00Z,26917,19.75
19.61,20.03,19.52,115,19.52,2023-12-14T05:00:00Z,10431,19.7
19.21,19.64,19.04,197,19.62,2023-12-15T05:00:00Z,42549,19.23
18.59,19.1,18.46,377,19.1,2023-12-18T05:00:00Z,84585,18.63
18.87,19.22,18.85,246,18.97,2023-12-19T05:00:00Z,47822,19.03
19.7,19.73,18.66,218,18.85,2023-12-20T05:00:00Z,49227,19.21
19.15,19.49,19.1,112,19.19,2023-12-21T05:00:00Z,21327,19.34
19.3,19.4,18.93,73,18.97,2023-12-22T05:00:00Z,18120,19.19
19.01,19.23,18.86,75,19.23,2023-12-26T05:00:00Z,7185,18.95
19.0825,19.23,18.94,115,19.18,2023-12-27T05:00:00Z,25965,19.145784
19.0296,19.08,18.8299,143,18.94,2023-12-28T05:00:00Z,31980,18.955784
19.04,19.45,18.81,331,18.909,2023-12-29T05:00:00Z,47557,19.114752
19.79,20.11,19.23,252,19.23,2024-01-02T05:00:00Z,78795,19.944164
20.17,20.31,19.86,212,20.26,2024-01-03T05:00:00Z,47359,20.093129
19.93,20.22,19.6201,215,20.06,2024-01-04T05:00:00Z,47370,19.83078
19.2633,19.638,19.01,471,19.59,2024-01-05T05:00:00Z,57737,19.298651
17.38,19.01,17.38,984,19.01,2024-01-08T05:00:00Z,332175,18.021346
16.93,17.61,16.35,626,17.3,2024-01-09T05:00:00Z,174702,16.889387
16.37,16.73,16.26,620,16.7,2024-01-10T05:00:00Z,421340,16.416595
16.1515,16.71,15.94,683,16.16,2024-01-11T05:00:00Z,175518,16.324759
16.21,16.35,16.14,267,16.35,2024-01-12T05:00:00Z,49746,16.24782
15.46,16.06,15.2799,582,16.06,2024-01-16T05:00:00Z,350894,15.550163
15.61,16.12,15.46,385,15.5,2024-01-17T05:00:00Z,134500,15.811694
15.1628,15.56,14.96,630,15.13,2024-01-18T05:00:00Z,192704,15.189561
14.22,15.07,14.21,507,14.835,2024-01-19T05:00:00Z,149705,14.789461
14.1309,14.4099,13.83,441,13.87,2024-01-22T05:00:00Z,119481,14.102588
14.1,14.61,14.03,374,14.24,2024-01-23T05:00:00Z,113136,14.284237
13.35,14.0,12.72,951,13.8,2024-01-24T05:00:00Z,303717,13.201371
13.2,13.51,12.78,512,12.93,2024-01-25T05:00:00Z,153675,13.037281
13.52,13.66,13.2,605,13.53,2024-01-26T05:00:00Z,150712,13.486106
12.85,13.51,12.84,344,13.46,2024-01-29T05:00:00Z,94483,13.294713
12.74,12.83,12.45,468,12.71,2024-01-30T05:00:00Z,164627,12.690011
13.25,13.55,12.94,398,13.32,2024-01-31T05:00:00Z,78664,13.2471
12.63,13.175,12.55,489,12.98,2024-02-01T05:00:00Z,118621,12.805259
11.34,12.319,11.2399,867,12.25,2024-02-02T05:00:00Z,199682,11.586425
10.2766,11.0,10.24,1770,10.68,2024-02-05T05:00:00Z,633367,10.512671
10.56,11.185,10.18,2745,10.18,2024-02-06T05:00:00Z,978349,10.719564
10.0,10.78,10.0,1466,10.59,2024-02-07T05:00:00Z,414230,10.311454
9.9,10.25,9.84,1475,10.05,2024-02-08T05:00:00Z,592121,10.039007
9.44,9.99,9.42,2463,9.92,2024-02-09T05:00:00Z,914496,9.667822
9.42,9.685,8.83,2690,9.33,2024-02-12T05:00:00Z,1008322,9.284431
9.44,10.065,9.1214,3055,9.92,2024-02-13T05:00:00Z,1063241,9.515958
8.97,9.5,8.9,2179,9.16,2024-02-14T05:00:00Z,631945,9.140296
