c,h,l,n,o,t,v,vw
21.28,21.88,20.4,344,21.76,2016-01-04T05:00:00Z,39457,21.105961
20.47,21.231,20.25,486,21.2,2016-01-05T05:00:00Z,49847,20.790615
19.62,20.4499,18.94,609,20.21,2016-01-06T05:00:00Z,81368,19.665747
18.25,19.32,18.17,570,19.2,2016-01-07T05:00:00Z,69639,18.662293
17.55,18.85,17.28,517,18.33,2016-01-08T05:00:00Z,51878,18.113718
17.46,17.854,17.2,496,17.84,2016-01-11T05:00:00Z,56809,17.424001
17.37,17.849,17.13,382,17.65,2016-01-12T05:00:00Z,50408,17.414861
16.3,17.9299,15.65,687,17.54,2016-01-13T05:00:00Z,83944,16.497193
16.98,17.4,15.86,448,16.29,2016-01-14T05:00:00Z,47375,16.851569
16.25,16.83,16.06,531,16.23,2016-01-15T05:00:00Z,68203,16.33386
15.49,16.63,15.3,501,16.63,2016-01-19T05:00:00Z,51298,15.730464
17.45,17.6901,15.0,683,15.0,2016-01-20T05:00:00Z,89708,16.220374
17.46,18.18,17.17,336,17.81,2016-01-21T05:00:00Z,34805,17.621571
17.99,18.14,17.58,367,18.08,2016-01-22T05:00:00Z,39484,17.995538
17.6,18.04,17.315,370,17.99,2016-01-25T05:00:00Z,39786,17.680121
18.02,18.09,17.32,258,17.61,2016-01-26T05:00:00Z,23653,17.87468
18.31,18.58,17.9,346,18.0,2016-01-27T05:00:00Z,32865,18.239186
18.13,18.75,18.014,379,18.33,2016-01-28T05:00:00Z,48695,18.262082
18.98,19.06,18.18,593,18.19,2016-01-29T05:00:00Z,66205,18.45209
18.77,18.97,18.47,346,18.64,2016-02-01T05:00:00Z,32896,18.821443
19.04,19.68,18.64,454,18.7,2016-02-02T05:00:00Z,60601,19.132187
18.33,19.68,18.25,300,19.4,2016-02-03T05:00:00Z,33384,18.646158
18.24,18.43,17.86,341,18.3,2016-02-04T05:00:00Z,66579,18.196713
17.17,18.11,17.08,340,18.01,2016-02-05T05:00:00Z,38678,17.45961
16.93,16.95,16.5594,406,16.95,2016-02-08T05:00:00Z,44334,16.777287
16.9,18.67,16.5,295,16.67,2016-02-09T05:00:00Z,40557,16.771112
16.89,19.66,16.79,168,17.19,2016-02-10T05:00:00Z,23258,17.179329
17.0,17.05,16.3,204,16.5,2016-02-11T05:00:00Z,19694,16.74079
17.31,17.35,16.79,194,17.08,2016-02-12T05:00:00Z,21294,17.174026
18.35,18.38,17.5101,243,17.7,2016-02-16T05:00:00Z,20987,18.036498
18.94,19.31,18.55,276,18.55,2016-02-17T05:00:00Z,34948,18.959892
18.91,19.595,18.62,277,19.595,2016-02-18T05:00:00Z,15063,18.85817
19.38,19.6,18.757,209,18.84,2016-02-19T05:00:00Z,21251,19.247933
20.17,20.65,19.46,586,19.46,2016-02-22T05:00:00Z,57771,20.168027
19.59,20.91,19.58,225,20.17,2016-02-23T05:00:00Z,22170,20.046794
20.18,20.38,19.115,230,19.25,2016-02-24T05:00:00Z,21766,19.632078
20.69,20.74,20.09,328,20.18,2016-02-25T05:00:00Z,31056,20.366448
20.91,21.37,20.369,401,21.0,2016-02-26T05:00:00Z,40662,20.906179
