c,h,l,n,o,t,v,vw
11.12,11.33,10.921,1256,11.06,2016-01-04T05:00:00Z,150597,11.07847
11.18,11.26,11.06,559,11.09,2016-01-05T05:00:00Z,80917,11.167587
10.97,11.16,10.78,764,11.08,2016-01-06T05:00:00Z,106164,10.967947
9.97,11.27,9.92,1125,10.76,2016-01-07T05:00:00Z,144965,10.057842
9.23,10.19,9.19,1082,9.99,2016-01-08T05:00:00Z,154906,9.485721
8.53,9.46,8.31,1077,9.3,2016-01-11T05:00:00Z,181632,8.670433
8.6,8.9859,8.34,1129,8.71,2016-01-12T05:00:00Z,140797,8.656651
8.37,9.01,8.32,843,8.68,2016-01-13T05:00:00Z,104117,8.493306
8.72,8.95,8.19,864,8.38,2016-01-14T05:00:00Z,124083,8.63075
8.73,8.78,8.115,633,8.48,2016-01-15T05:00:00Z,87158,8.471179
8.48,8.93,8.28,536,8.83,2016-01-19T05:00:00Z,65000,8.506947
8.96,9.09,8.17,793,8.34,2016-01-20T05:00:00Z,90211,8.656761
9.14,9.56,8.93,646,8.95,2016-01-21T05:00:00Z,82937,9.225839
9.32,9.64,9.02,347,9.32,2016-01-22T05:00:00Z,44924,9.293605
8.96,9.266,8.86,400,9.26,2016-01-25T05:00:00Z,46397,9.044311
9.17,9.24,8.74,284,9.01,2016-01-26T05:00:00Z,30514,9.124862
9.06,9.46,8.92,550,9.14,2016-01-27T05:00:00Z,60996,9.126903
9.08,9.64,9.02,429,9.21,2016-01-28T05:00:00Z,50244,9.151394
9.57,9.61,9.08,371,9.08,2016-01-29T05:00:00Z,84946,9.338392
9.29,9.48,9.05,338,9.48,2016-02-01T05:00:00Z,37199,9.293572
9.08,9.13,8.79,232,9.12,2016-02-02T05:00:00Z,27304,9.022185
9.16,9.3,8.74,515,9.15,2016-02-03T05:00:00Z,66671,9.137
9.51,9.92,9.11,318,9.17,2016-02-04T05:00:00Z,34197,9.513476
9.27,9.8,9.26,339,9.68,2016-02-05T05:00:00Z,46556,9.430667
8.59,9.23,8.51,374,9.16,2016-02-08T05:00:00Z,45015,8.671517
8.17,8.52,8.0,508,8.48,2016-02-09T05:00:00Z,57293,8.185839
7.96,8.36,7.88,481,8.2,2016-02-10T05:00:00Z,67531,7.996913
7.74,8.0,7.4608,330,7.85,2016-02-11T05:00:00Z,39524,7.718543
8.68,8.81,7.83,648,7.83,2016-02-12T05:00:00Z,107761,8.470791
9.01,9.06,8.66,410,8.78,2016-02-16T05:00:00Z,79852,8.911481
9.15,9.61,9.05,290,9.05,2016-02-17T05:00:00Z,40546,9.210965
9.04,9.82,8.8,827,9.12,2016-02-18T05:00:00Z,154986,9.201951
9.26,9.41,8.185,711,8.98,2016-02-19T05:00:00Z,169108,8.910434
9.45,9.85,9.08,340,9.28,2016-02-22T05:00:00Z,32317,9.469467
9.35,9.58,9.06,394,9.43,2016-02-23T05:00:00Z,43055,9.303764
9.94,10.28,9.14,455,9.14,2016-02-24T05:00:00Z,66226,9.76386
10.0,10.07,9.54,426,9.91,2016-02-25T05:00:00Z,47403,9.812453
10.26,10.31,9.99,463,10.02,2016-02-26T05:00:00Z,49640,10.186356
10.3,10.51,10.22,339,10.22,2016-02-29T05:00:00Z,32475,10.386818
10.43,10.45,10.17,398,10.45,2016-03-01T05:00:00Z,67313,10.361116
8.71,9.51,8.45,1496,9.3,2016-03-02T05:00:00Z,257136,8.670453
8.99,9.01,8.51,840,8.66,2016-03-03T05:00:00Z,131795,8.696566
9.08,9.55,8.85,937,8.99,2016-03-04T05:00:00Z,128222,9.186558
9.49,9.74,9.02,734,9.07,2016-03-07T05:00:00Z,112943,9.516467
9.01,9.5,8.99,628,9.36,2016-03-08T05:00:00Z,83990,9.091707
