c,h,l,n,o,t,v,vw
12318.0,12318.0,4516.5,5980,4516.5,2022-09-27T04:00:00Z,350,6389.66
11272.5,36598.5,6750.0,19248,36598.5,2022-09-28T04:00:00Z,1608,10522.66
5092.5,9000.0,4890.0,11605,7548.0,2022-09-29T04:00:00Z,1430,6375.54
3060.0,5579.99,3000.0,11917,5395.5,2022-09-30T04:00:00Z,2093,4013.96
2770.5,3644.99,2325.0,9367,3487.5,2022-10-03T04:00:00Z,2094,2963.62
2145.0,2595.0,2115.02,7840,2482.5,2022-10-04T04:00:00Z,2356,2277.45
1879.5,2160.0,1807.5,4725,2130.0,2022-10-05T04:00:00Z,1325,1943.5
3673.5,4648.5,1875.0,69709,1875.0,2022-10-06T04:00:00Z,38235,3570.27
2845.5,3910.5,2383.5,22797,3210.0,2022-10-07T04:00:00Z,9575,3180.25
3175.5,3599.98,2670.0,10967,2670.0,2022-10-10T04:00:00Z,3893,3192.37
3450.0,4320.0,3037.5,28139,4101.0,2022-10-11T04:00:00Z,13547,3704.44
3231.0,3642.98,3105.0,4592,3367.5,2022-10-12T04:00:00Z,1723,3294.75
2904.0,3082.5,2724.02,3400,3037.5,2022-10-13T04:00:00Z,1064,2888.25
2765.25,3015.0,2599.5,2379,2971.5,2022-10-14T04:00:00Z,903,2801.77
2611.5,2850.0,2550.0,3640,2847.0,2022-10-17T04:00:00Z,1453,2682.07
2355.0,2657.1,2310.0,2590,2604.0,2022-10-18T04:00:00Z,793,2422.65
2173.5,2464.5,2140.29,3135,2373.0,2022-10-19T04:00:00Z,941,2281.24
2049.0,2310.0,2025.0,2941,2101.5,2022-10-20T04:00:00Z,1037,2175.75
2055.0,2137.5,1988.21,1227,2049.0,2022-10-21T04:00:00Z,330,2058.59
1951.5,2096.27,1950.0,2311,1996.5,2022-10-24T04:00:00Z,755,2017.54
2247.0,2905.5,1978.5,20671,1978.5,2022-10-25T04:00:00Z,12715,2577.14
2100.0,2379.38,1978.5,4303,2247.0,2022-10-26T04:00:00Z,1811,2113.44
2019.75,2159.99,1972.52,2081,2128.5,2022-10-27T04:00:00Z,744,2056.11
1978.5,2093.98,1913.25,2197,1969.5,2022-10-28T04:00:00Z,816,1995.28
1958.25,2068.5,1921.5,1026,2004.0,2022-10-31T04:00:00Z,438,1979.23
1960.5,2019.0,1923.0,787,2019.0,2022-11-01T04:00:00Z,328,1959.05
1930.49,2023.5,1890.0,1216,1950.0,2022-11-02T04:00:00Z,400,1950.35
1875.0,1942.5,1833.0,1737,1893.0,2022-11-03T04:00:00Z,452,1883.22
1804.5,1950.0,1686.0,2042,1831.5,2022-11-04T04:00:00Z,932,1829.92
1639.5,1830.0,1572.12,2866,1794.0,2022-11-07T05:00:00Z,557,1662.46
1590.0,1720.5,1504.5,1286,1626.0,2022-11-08T05:00:00Z,376,1588.34
1300.5,1539.0,1237.5,1314,1528.5,2022-11-09T05:00:00Z,399,1409.09
1500.0,1722.0,1218.0,2131,1218.0,2022-11-10T05:00:00Z,927,1478.78
1515.0,1612.5,1432.52,1376,1500.0,2022-11-11T05:00:00Z,483,1494.08
1501.5,1590.0,1500.08,1422,1587.0,2022-11-14T05:00:00Z,533,1544.71
1560.0,1611.0,1485.0,875,1492.5,2022-11-15T05:00:00Z,280,1538.86
1426.5,1515.0,1372.5,628,1513.5,2022-11-16T05:00:00Z,112,1458.42
1426.5,1451.99,1374.02,456,1375.5,2022-11-17T05:00:00Z,90,1415.41
1477.5,1477.5,1374.0,498,1450.5,2022-11-18T05:00:00Z,173,1410.64
1528.5,1537.5,1365.02,925,1515.0,2022-11-21T05:00:00Z,379,1484.95
1486.5,1571.95,1425.0,517,1531.5,2022-11-22T05:00:00Z,247,1487.0
1483.5,1533.0,1425.0,652,1482.0,2022-11-23T05:00:00Z,146,1456.68
1459.5,1500.0,1452.0,378,1498.5,2022-11-25T05:00:00Z,164,1485.45
1434.0,1500.0,1399.42,385,1500.0,2022-11-28T05:00:00Z,91,1427.73
1452.0,1460.25,1401.02,420,1432.5,2022-11-29T05:00:00Z,79,1429.28
1404.0,1450.32,1389.05,587,1425.0,2022-11-30T05:00:00Z,242,1414.1
1360.5,1432.5,1353.0,875,1404.02,2022-12-01T05:00:00Z,275,1392.46
