c,h,l,n,o,t,v,vw
18.93,19.04,18.93,14,18.98,2022-04-11T04:00:00Z,432,19.02
18.93,18.93,18.93,0,18.93,2022-04-12T04:00:00Z,0,0.0
19.02,19.02,19.0,3,19.0,2022-04-13T04:00:00Z,120,19.0
18.88,18.88,18.88,5,18.88,2022-04-14T04:00:00Z,416,18.88
18.63,18.63,18.61,5,18.63,2022-04-18T04:00:00Z,1375,18.63
18.79,18.79,18.76,49,18.77,2022-04-19T04:00:00Z,4801,18.77
18.41,18.65,18.41,57,18.64,2022-04-20T04:00:00Z,5602,18.62
17.76,18.53,17.76,50,18.48,2022-04-21T04:00:00Z,4583,18.48
17.53,17.79,17.53,10,17.79,2022-04-22T04:00:00Z,1000,17.79
17.66,17.66,17.42,40,17.48,2022-04-25T04:00:00Z,3788,17.5
17.05,17.05,17.05,1,17.05,2022-04-26T04:00:00Z,50,0.0
17.07,17.07,17.05,6,17.05,2022-04-27T04:00:00Z,303,17.05
17.51,17.51,17.2,1,17.2,2022-04-28T04:00:00Z,100,17.2
17.52,17.84,17.52,2,17.84,2022-04-29T04:00:00Z,844,17.84
17.8,17.8,17.8,3,17.8,2022-05-02T04:00:00Z,41,0.0
18.03,18.06,18.03,2,18.06,2022-05-03T04:00:00Z,200,18.04
18.56,18.56,18.56,1,18.56,2022-05-04T04:00:00Z,1,0.0
17.5,18.15,17.46,4,18.15,2022-05-05T04:00:00Z,939,18.07
17.18,17.18,17.17,1,17.17,2022-05-06T04:00:00Z,100,17.17
16.0,16.59,16.0,5,16.59,2022-05-09T04:00:00Z,1201,16.44
16.11,16.29,16.11,3,16.29,2022-05-10T04:00:00Z,827,16.29
16.11,16.11,16.11,0,16.11,2022-05-11T04:00:00Z,0,0.0
16.15,16.15,16.15,2,16.15,2022-05-12T04:00:00Z,40,0.0
17.16,17.16,16.64,2,16.64,2022-05-13T04:00:00Z,800,16.64
17.07,17.07,17.07,1,17.07,2022-05-16T04:00:00Z,1,0.0
17.58,17.58,17.58,3,17.58,2022-05-17T04:00:00Z,41,0.0
17.14,17.14,17.14,1,17.14,2022-05-18T04:00:00Z,75,0.0
17.6,17.6,17.6,2,17.6,2022-05-19T04:00:00Z,76,0.0
17.76,17.76,17.76,1,17.76,2022-05-20T04:00:00Z,50,0.0
17.76,17.76,17.76,0,17.76,2022-05-23T04:00:00Z,0,0.0
17.76,17.76,17.76,0,17.76,2022-05-24T04:00:00Z,0,0.0
17.76,17.76,17.76,0,17.76,2022-05-25T04:00:00Z,0,0.0
18.03,18.03,18.03,2,18.03,2022-05-26T04:00:00Z,2,0.0
18.41,18.41,18.18,8,18.18,2022-05-27T04:00:00Z,460,18.18
18.37,18.55,18.34,171,18.53,2022-05-31T04:00:00Z,16948,18.49
18.37,18.37,18.37,0,18.37,2022-06-01T04:00:00Z,0,0.0
18.37,18.37,18.37,0,18.37,2022-06-02T04:00:00Z,0,0.0
18.17,18.17,18.17,1,18.17,2022-06-03T04:00:00Z,1,0.0
18.17,18.17,18.17,0,18.17,2022-06-06T04:00:00Z,0,0.0
18.44,18.44,18.44,2,18.44,2022-06-07T04:00:00Z,2,0.0
18.58,18.58,18.58,2,18.58,2022-06-08T04:00:00Z,2,0.0
18.13,18.13,18.13,6,18.13,2022-06-09T04:00:00Z,201,0.0
17.65,17.65,17.65,4,17.65,2022-06-10T04:00:00Z,4,0.0
16.7,16.7,16.7,1,16.7,2022-06-13T04:00:00Z,2,0.0
16.68,16.68,16.68,1,16.68,2022-06-14T04:00:00Z,1,0.0
17.14,17.14,17.14,1,17.14,2022-06-15T04:00:00Z,2,0.0
