c,h,l,n,o,t,v,vw
0.231,0.428,0.231,1803,0.36,2022-08-26T04:00:00Z,2002803,0.300615
0.181,0.267712,0.18,1133,0.2658,2022-08-29T04:00:00Z,564440,0.250933
0.1722,0.220051,0.1716,919,0.191,2022-08-30T04:00:00Z,247161,0.197348
0.2,0.2298,0.1713,122,0.1713,2022-08-31T04:00:00Z,49659,0.189601
0.1753,0.2491,0.166363,53,0.1714,2022-09-01T04:00:00Z,15436,0.17953
0.1974,0.2,0.1711,30,0.1711,2022-09-02T04:00:00Z,24632,0.197372
0.195,0.209699,0.1588,22,0.1657,2022-09-06T04:00:00Z,15435,0.170497
0.18,0.1946,0.151,25,0.1711,2022-09-07T04:00:00Z,27740,0.160668
0.1599,0.1977,0.151,72,0.165,2022-09-08T04:00:00Z,55703,0.155077
0.1865,0.2645,0.1521,54,0.1599,2022-09-09T04:00:00Z,6451,0.185254
0.1794,0.2049,0.112,63,0.2049,2022-09-12T04:00:00Z,31626,0.151101
0.1697,0.1794,0.1189,61,0.1794,2022-09-13T04:00:00Z,20778,0.138469
0.1575,0.1699,0.1495,44,0.15,2022-09-14T04:00:00Z,23108,0.155412
0.1592,0.16,0.1592,14,0.16,2022-09-15T04:00:00Z,10321,0.158763
0.156,0.159,0.15,15,0.159,2022-09-16T04:00:00Z,2166,0.155272
0.1973,0.1993,0.1011,14,0.1011,2022-09-19T04:00:00Z,1831,0.149437
0.1876,0.1876,0.101,6,0.101,2022-09-20T04:00:00Z,5144,0.102891
0.1748,0.1748,0.169,4,0.169,2022-09-21T04:00:00Z,346,0.165632
0.1748,0.1748,0.1748,0,0.1748,2022-09-22T04:00:00Z,0,0.0
0.14,0.14,0.138,8,0.14,2022-09-23T04:00:00Z,611,0.139556
0.158,0.158,0.158,3,0.158,2022-09-26T04:00:00Z,430,0.157974
0.174,0.174,0.174,1,0.174,2022-09-27T04:00:00Z,500,0.174
0.148,0.1583,0.1015,24,0.1015,2022-09-28T04:00:00Z,4469,0.141904
0.1872,0.1872,0.1872,7,0.1872,2022-09-29T04:00:00Z,269,0.174241
0.1854,0.1854,0.1688,11,0.1688,2022-09-30T04:00:00Z,588,0.167411
0.1843,0.1852,0.1012,16,0.102,2022-10-03T04:00:00Z,1476,0.122876
0.17,0.17,0.17,2,0.17,2022-10-04T04:00:00Z,140,0.152857
0.1834,0.1835,0.1834,15,0.1835,2022-10-05T04:00:00Z,1243,0.171432
0.1834,0.1834,0.1834,0,0.1834,2022-10-06T04:00:00Z,0,0.0
0.18,0.188,0.17,9,0.1822,2022-10-07T04:00:00Z,3443,0.184016
0.1785,0.18,0.0911,37,0.1011,2022-10-10T04:00:00Z,51357,0.103246
0.1779,0.1779,0.1775,4,0.1775,2022-10-11T04:00:00Z,279,0.159078
0.1695,0.1695,0.1695,8,0.1695,2022-10-12T04:00:00Z,455,0.16408
0.1865,0.1865,0.1865,4,0.1865,2022-10-13T04:00:00Z,214,0.161522
0.1865,0.1865,0.1865,0,0.1865,2022-10-14T04:00:00Z,0,0.0
0.1865,0.1865,0.1865,0,0.1865,2022-10-17T04:00:00Z,0,0.0
0.16,0.179,0.1495,22,0.15,2022-10-18T04:00:00Z,21558,0.159827
0.16,0.16,0.16,4,0.16,2022-10-19T04:00:00Z,1013,0.159999
0.16,0.16,0.16,2,0.16,2022-10-20T04:00:00Z,1292,0.16
0.198,0.22,0.0175,78,0.1775,2022-10-21T04:00:00Z,95306,0.178616
0.1699,0.198,0.07,26,0.198,2022-10-24T04:00:00Z,17362,0.165724
0.1511,0.189,0.1511,16,0.189,2022-10-25T04:00:00Z,18493,0.169854
0.198,0.2,0.12,14,0.2,2022-10-26T04:00:00Z,4473,0.141652
0.186,0.188,0.1845,69,0.187,2022-10-27T04:00:00Z,18358,0.185488
0.2205,0.2205,0.1735,29,0.1799,2022-10-28T04:00:00Z,10692,0.210745
0.2175,0.2175,0.149,3,0.149,2022-10-31T04:00:00Z,240,0.188958
0.2175,0.2175,0.2175,0,0.2175,2022-11-01T04:00:00Z,0,0.0
0.2175,0.2175,0.2175,0,0.2175,2022-11-02T04:00:00Z,0,0.0
0.21,0.21,0.16,17,0.16,2022-11-03T04:00:00Z,5447,0.191393
0.21,0.21,0.21,0,0.21,2022-11-04T04:00:00Z,0,0.0
0.21,0.21,0.21,0,0.21,2022-11-07T05:00:00Z,0,0.0
0.2099,0.2099,0.2099,1,0.2099,2022-11-08T05:00:00Z,100,0.2099
0.1989,0.1989,0.155499,39,0.16,2022-11-09T05:00:00Z,22046,0.160191
