c,h,l,n,o,t,v,vw
10.4,10.76,10.1,75,10.5,2018-06-22T04:00:00Z,24918,10.480865
10.25,11.0,10.25,45,11.0,2018-06-25T04:00:00Z,11738,10.649335
10.4182,10.83,10.25,56,10.83,2018-06-26T04:00:00Z,13749,10.40183
9.94,10.625,9.815,58,10.25,2018-06-27T04:00:00Z,22408,10.187269
10.25,10.3513,9.75,48,9.75,2018-06-28T04:00:00Z,5872,10.037026
10.4,10.4,10.03,26,10.3789,2018-06-29T04:00:00Z,2509,10.230152
10.1,10.6,9.9,58,10.6,2018-07-02T04:00:00Z,10940,10.188795
10.35,10.6,10.223,14,10.4,2018-07-03T04:00:00Z,6457,10.388065
10.1,10.4,10.07,25,10.4,2018-07-05T04:00:00Z,8317,10.150783
10.33,10.4,9.6591,52,10.1,2018-07-06T04:00:00Z,5405,10.076151
10.33,10.59,10.33,51,10.33,2018-07-09T04:00:00Z,14094,10.441563
10.47,11.24,10.31,177,10.5,2018-07-10T04:00:00Z,74384,10.684323
10.49,10.9999,10.4063,55,10.85,2018-07-11T04:00:00Z,14011,10.568415
10.79,11.0,10.375,170,11.0,2018-07-12T04:00:00Z,33764,10.711975
10.5999,10.99,10.4,112,10.58,2018-07-13T04:00:00Z,27364,10.558503
10.45,10.92,10.2822,61,10.6,2018-07-16T04:00:00Z,10009,10.564973
10.5,10.75,10.5,24,10.5,2018-07-17T04:00:00Z,4604,10.636657
10.48,10.95,10.21,32,10.95,2018-07-18T04:00:00Z,6401,10.495081
10.5,10.58,10.4,15,10.5,2018-07-19T04:00:00Z,2798,10.445669
10.42,10.6,10.2001,34,10.56,2018-07-20T04:00:00Z,7650,10.301573
10.2,10.47,10.12,39,10.16,2018-07-23T04:00:00Z,11799,10.222354
10.32,10.59,10.2,147,10.31,2018-07-24T04:00:00Z,27401,10.448265
10.47,10.74,10.2,140,10.3,2018-07-25T04:00:00Z,33913,10.521085
10.5,10.61,10.25,17,10.61,2018-07-26T04:00:00Z,5248,10.431195
10.475,10.6,10.4156,74,10.5,2018-07-27T04:00:00Z,24447,10.492229
10.1,10.71,10.1,34,10.71,2018-07-30T04:00:00Z,8556,10.34643
10.4,10.75,10.29,137,10.29,2018-07-31T04:00:00Z,29654,10.540881
10.5,10.74,10.45,15,10.74,2018-08-01T04:00:00Z,1940,10.562414
10.5947,10.73,10.23,41,10.375,2018-08-02T04:00:00Z,8344,10.54029
10.2104,10.66,9.3225,127,10.66,2018-08-03T04:00:00Z,12357,10.119723
10.05,10.6,10.0,234,10.26,2018-08-06T04:00:00Z,27246,10.202479
10.14,10.4,9.95,40,10.16,2018-08-07T04:00:00Z,11308,10.191522
11.65,12.1,10.81,883,10.81,2018-08-08T04:00:00Z,222664,11.756494
12.04,12.05,11.45,205,11.66,2018-08-09T04:00:00Z,66243,11.856005
12.4,12.49,11.5001,717,12.1,2018-08-10T04:00:00Z,199751,12.194762
12.49,12.5,11.75,135,12.5,2018-08-13T04:00:00Z,46717,12.287919
