c,h,l,n,o,t,v,vw
18.28,18.29,18.23,242,18.23,2020-02-21T05:00:00Z,65055,18.27
18.09,18.23,18.02,416,18.19,2020-02-24T05:00:00Z,98590,18.11
18.03,18.27,17.99,450,18.27,2020-02-25T05:00:00Z,116079,18.09
18.11,18.11,18.03,296,18.08,2020-02-26T05:00:00Z,96922,18.06
17.97,18.05,17.87,290,18.05,2020-02-27T05:00:00Z,160307,17.96
17.92,18.02,17.75,284,17.9,2020-02-28T05:00:00Z,130926,17.94
17.9,18.0,17.86,230,17.94,2020-03-02T05:00:00Z,45490,17.96
18.05,18.19,17.94,218,18.01,2020-03-03T05:00:00Z,92264,18.0
18.3,18.3,18.01,186,18.04,2020-03-04T05:00:00Z,67551,18.16
18.21,18.27,18.13,177,18.27,2020-03-05T05:00:00Z,55877,18.17
18.34,18.36,17.95,81,18.12,2020-03-06T05:00:00Z,41431,18.16
17.73,18.01,17.73,130,17.73,2020-03-09T04:00:00Z,35669,17.8
17.8,18.03,17.75,60,17.94,2020-03-10T04:00:00Z,9345,17.82
17.61,17.86,17.46,112,17.86,2020-03-11T04:00:00Z,20219,17.64
16.36,17.47,16.17,165,17.47,2020-03-12T04:00:00Z,24297,16.54
16.54,16.9,16.14,117,16.7,2020-03-13T04:00:00Z,11308,16.54
15.59,16.43,12.4,243,15.97,2020-03-16T04:00:00Z,50134,14.9
13.83,14.98,13.37,338,13.37,2020-03-17T04:00:00Z,64989,14.08
9.215,13.96,8.176,302,13.55,2020-03-18T04:00:00Z,79961,12.25
12.7,13.72,9.431,162,9.431,2020-03-19T04:00:00Z,26462,11.33
13.74,13.91,12.92,246,13.91,2020-03-20T04:00:00Z,59069,13.39
11.58,13.74,11.14,181,13.74,2020-03-23T04:00:00Z,43558,12.2
11.39,12.37,10.99,258,11.72,2020-03-24T04:00:00Z,45332,11.39
12.77,12.81,11.29,31,11.44,2020-03-25T04:00:00Z,5994,11.89
13.18,13.68,12.25,177,12.99,2020-03-26T04:00:00Z,28581,12.84
12.76,13.18,12.23,115,13.18,2020-03-27T04:00:00Z,14537,12.45
12.74,13.13,12.42,76,12.42,2020-03-30T04:00:00Z,11992,12.84
13.35,13.92,12.74,89,12.89,2020-03-31T04:00:00Z,11690,13.19
12.71,13.77,12.68,71,13.07,2020-04-01T04:00:00Z,8930,12.92
12.31,13.04,12.3,83,12.82,2020-04-02T04:00:00Z,9807,12.55
12.26,12.46,12.25,245,12.31,2020-04-03T04:00:00Z,57913,12.34
12.44,12.79,12.38,196,12.79,2020-04-06T04:00:00Z,28750,12.47
12.48,13.05,12.48,95,12.62,2020-04-07T04:00:00Z,19714,12.65
13.2,13.55,12.7,53,12.7,2020-04-08T04:00:00Z,11836,13.3
13.92,14.61,13.55,161,14.11,2020-04-09T04:00:00Z,25528,14.05
13.55,14.48,13.0,104,14.22,2020-04-13T04:00:00Z,28591,14.19
13.54,13.85,12.74,182,12.74,2020-04-14T04:00:00Z,22240,13.55
13.54,14.1,13.2,27,14.1,2020-04-15T04:00:00Z,3666,13.6
13.42,13.64,13.01,55,13.01,2020-04-16T04:00:00Z,16065,13.32
13.4,13.76,13.35,99,13.76,2020-04-17T04:00:00Z,10521,13.43
13.13,13.64,13.09,73,13.39,2020-04-20T04:00:00Z,8994,13.38
13.31,13.36,12.71,87,12.79,2020-04-21T04:00:00Z,12846,13.0
13.53,13.53,12.9,42,13.31,2020-04-22T04:00:00Z,6583,13.19
13.83,13.83,13.46,125,13.49,2020-04-23T04:00:00Z,38899,13.64
13.95,13.95,13.65,59,13.65,2020-04-24T04:00:00Z,19221,13.79
14.14,14.15,13.84,67,14.02,2020-04-27T04:00:00Z,10159,14.02
14.12,14.26,13.84,88,13.84,2020-04-28T04:00:00Z,10322,14.05
13.99,14.24,13.99,69,14.1,2020-04-29T04:00:00Z,9806,14.15
14.4,14.48,13.91,53,13.91,2020-04-30T04:00:00Z,16031,14.11
13.85,14.26,13.84,20,14.26,2020-05-01T04:00:00Z,2060,13.97
13.65,14.02,13.53,152,13.92,2020-05-04T04:00:00Z,36925,13.77
13.63,13.71,13.28,58,13.43,2020-05-05T04:00:00Z,6676,13.47
13.42,13.54,13.29,43,13.54,2020-05-06T04:00:00Z,7427,13.46
13.66,13.92,13.4,37,13.42,2020-05-07T04:00:00Z,6115,13.67
13.71,14.17,13.46,74,14.17,2020-05-08T04:00:00Z,12476,13.57
14.21,14.34,13.72,78,13.72,2020-05-11T04:00:00Z,14596,14.15
14.02,14.21,13.84,20,13.96,2020-05-12T04:00:00Z,3332,13.99
13.85,13.94,13.6,49,13.6,2020-05-13T04:00:00Z,7553,13.73
14.59,14.65,13.52,85,13.52,2020-05-14T04:00:00Z,20766,14.15
14.58,14.62,14.24,167,14.31,2020-05-15T04:00:00Z,34012,14.48
