c,h,l,n,o,t,v,vw
37.6,37.99,37.04,10686,37.94,2016-01-04T05:00:00Z,1483425,37.45
38.02,38.37,36.89,6393,37.42,2016-01-05T05:00:00Z,789202,38.01
37.46,37.88,37.24,5098,37.38,2016-01-06T05:00:00Z,531509,37.47
35.91,37.02,35.83,8904,36.68,2016-01-07T05:00:00Z,984024,36.26
35.71,36.57,35.62,9487,36.4,2016-01-08T05:00:00Z,1091782,36.13
35.98,36.28,35.58,7676,35.91,2016-01-11T05:00:00Z,879011,35.92
36.57,36.62,35.72,7350,36.4,2016-01-12T05:00:00Z,840539,36.24
35.44,36.62,35.15,16653,36.37,2016-01-13T05:00:00Z,2124776,35.91
36.02,36.22,34.72,9329,35.55,2016-01-14T05:00:00Z,914434,35.8
35.51,36.35,34.29,15955,36.1,2016-01-15T05:00:00Z,2070767,35.41
35.56,36.76,35.08,15641,35.86,2016-01-19T05:00:00Z,1841724,35.78
35.24,35.78,34.11,17870,34.97,2016-01-20T05:00:00Z,1813651,35.0
33.56,35.48,33.54,14729,35.18,2016-01-21T05:00:00Z,1618613,34.17
34.18,34.41,33.74,9959,34.17,2016-01-22T05:00:00Z,1204100,34.14
31.94,34.28,31.77,15367,34.11,2016-01-25T05:00:00Z,1660696,32.66
32.88,32.92,31.92,12401,32.04,2016-01-26T05:00:00Z,1544106,32.6
33.46,34.9,32.81,12737,32.9,2016-01-27T05:00:00Z,1490371,33.79
34.11,35.08,33.86,12153,33.89,2016-01-28T05:00:00Z,1540512,34.37
34.68,34.72,34.0,10439,34.14,2016-01-29T05:00:00Z,1642365,34.37
35.08,35.22,34.18,9078,34.48,2016-02-01T05:00:00Z,1111732,34.85
33.51,34.76,33.33,10540,34.53,2016-02-02T05:00:00Z,1029547,33.86
33.49,34.02,31.85,11982,33.85,2016-02-03T05:00:00Z,1589696,32.95
33.71,34.4,33.18,8296,33.52,2016-02-04T05:00:00Z,1040161,33.8
32.99,34.65,32.66,10771,33.67,2016-02-05T05:00:00Z,1373632,33.27
31.43,32.91,30.99,17703,32.7,2016-02-08T05:00:00Z,1883946,31.41
31.01,31.49,30.42,15176,30.91,2016-02-09T05:00:00Z,1809187,30.97
30.11,31.81,30.1,14626,31.53,2016-02-10T05:00:00Z,1615007,30.64
28.73,29.62,28.05,22075,29.44,2016-02-11T05:00:00Z,2400234,28.69
29.88,30.13,28.8,9061,29.37,2016-02-12T05:00:00Z,1119687,29.75
30.43,30.81,29.84,8057,30.38,2016-02-16T05:00:00Z,981559,30.46
30.23,31.06,30.0,9113,30.66,2016-02-17T05:00:00Z,1158103,30.4
29.26,30.42,28.44,16626,30.27,2016-02-18T05:00:00Z,1863228,29.06
29.66,30.12,29.19,8521,30.12,2016-02-19T05:00:00Z,1113470,29.63
30.53,31.06,29.94,9612,30.47,2016-02-22T05:00:00Z,1235047,30.45
29.32,30.53,29.07,9854,30.2,2016-02-23T05:00:00Z,1148086,29.47
29.6,29.68,28.44,9362,29.02,2016-02-24T05:00:00Z,900989,29.12
29.55,29.91,29.03,7428,29.54,2016-02-25T05:00:00Z,1040049,29.4
30.27,30.93,29.68,13138,29.74,2016-02-26T05:00:00Z,1703698,30.44
29.59,30.48,29.59,13272,30.24,2016-02-29T05:00:00Z,1728730,29.91
31.1,31.24,29.59,12120,29.71,2016-03-01T05:00:00Z,1262346,30.89
31.31,31.31,30.56,12637,30.67,2016-03-02T05:00:00Z,1429507,31.02
31.64,31.64,30.85,9299,31.1,2016-03-03T05:00:00Z,1190660,31.39
