c,h,l,n,o,t,v,vw
49.44,49.44,49.44,6,49.44,2024-01-22T05:00:00Z,79,49.53
49.44,49.44,49.44,0,49.44,2024-01-23T05:00:00Z,0,0.0
49.64,49.64,49.64,2,49.64,2024-01-24T05:00:00Z,2,49.65
49.64,49.64,49.64,0,49.64,2024-01-25T05:00:00Z,0,0.0
49.64,49.64,49.64,0,49.64,2024-01-26T05:00:00Z,0,0.0
50.25,50.25,50.25,1,50.25,2024-01-29T05:00:00Z,29,49.9
50.22,50.22,50.22,1,50.22,2024-01-30T05:00:00Z,30,50.29
49.93,49.93,49.93,1,49.93,2024-01-31T05:00:00Z,1,50.32
49.93,49.93,49.93,0,49.93,2024-02-01T05:00:00Z,0,0.0
49.93,49.93,49.93,0,49.93,2024-02-02T05:00:00Z,0,0.0
49.93,49.93,49.93,0,49.93,2024-02-05T05:00:00Z,0,0.0
49.96,49.96,49.96,1,49.96,2024-02-06T05:00:00Z,1,49.71
50.02,50.02,50.02,2,50.02,2024-02-07T05:00:00Z,4,50.02
50.02,50.02,50.02,0,50.02,2024-02-08T05:00:00Z,0,0.0
50.02,50.02,50.02,0,50.02,2024-02-09T05:00:00Z,0,0.0
50.22,50.22,50.22,2,50.22,2024-02-12T05:00:00Z,2,50.17
49.33,49.33,49.33,1,49.33,2024-02-13T05:00:00Z,1,49.41
49.97,49.97,49.97,1,49.97,2024-02-14T05:00:00Z,1,46.87
50.58,50.58,50.58,3,50.58,2024-02-15T05:00:00Z,5,50.49
50.65,50.65,50.65,1,50.65,2024-02-16T05:00:00Z,1,50.78
50.65,50.65,50.65,0,50.65,2024-02-20T05:00:00Z,0,0.0
50.65,50.65,50.65,0,50.65,2024-02-21T05:00:00Z,0,0.0
50.65,50.65,50.65,0,50.65,2024-02-22T05:00:00Z,0,0.0
51.55,51.55,51.55,2,51.55,2024-02-23T05:00:00Z,14,51.56
51.55,51.55,51.55,0,51.55,2024-02-26T05:00:00Z,0,0.0
51.55,51.55,51.55,0,51.55,2024-02-27T05:00:00Z,0,0.0
51.55,51.55,51.55,0,51.55,2024-02-28T05:00:00Z,0,0.0
51.41,51.78,49.86,8466,51.06,2024-02-29T05:00:00Z,1230382,51.36
51.65,51.65,51.41,32,51.41,2024-03-01T05:00:00Z,104161,51.41
51.58,51.58,51.58,1,51.58,2024-03-04T05:00:00Z,17,51.46
51.37,51.37,51.37,2,51.37,2024-03-05T05:00:00Z,61,51.51
51.37,51.37,51.37,0,51.37,2024-03-06T05:00:00Z,0,0.0
51.37,51.37,51.37,0,51.37,2024-03-07T05:00:00Z,0,0.0
52.42,52.66,52.42,10,52.66,2024-03-08T05:00:00Z,187,52.6
52.24,52.24,52.24,2,52.24,2024-03-11T04:00:00Z,2,52.26
52.61,52.61,52.61,2,52.61,2024-03-12T04:00:00Z,106,52.16
52.6,52.6,52.6,4,52.6,2024-03-13T04:00:00Z,71,52.71
52.17,52.17,52.17,1,52.17,2024-03-14T04:00:00Z,1,52.29
52.05,52.11,52.05,7,52.11,2024-03-15T04:00:00Z,4632,52.1
52.07,52.07,52.07,1,52.07,2024-03-18T04:00:00Z,9,52.06
52.07,52.07,52.07,0,52.07,2024-03-19T04:00:00Z,0,0.0
52.69,52.69,52.69,1,52.69,2024-03-20T04:00:00Z,60,52.05
52.64,52.74,52.64,13,52.73,2024-03-21T04:00:00Z,6804,52.74
52.43,52.43,52.43,3,52.43,2024-03-22T04:00:00Z,5,52.57
52.24,52.24,52.24,6,52.24,2024-03-25T04:00:00Z,47,52.33
52.29,52.29,52.29,3,52.29,2024-03-26T04:00:00Z,51,52.45
52.29,52.29,52.29,0,52.29,2024-03-27T04:00:00Z,0,0.0
52.48,52.48,52.48,2,52.48,2024-03-28T04:00:00Z,2,52.53
52.29,52.29,52.29,2,52.29,2024-04-01T04:00:00Z,8,52.28
51.77,51.77,51.77,1,51.77,2024-04-02T04:00:00Z,2,51.87
51.77,51.77,51.77,0,51.77,2024-04-03T04:00:00Z,0,0.0
51.77,51.77,51.77,0,51.77,2024-04-04T04:00:00Z,0,0.0
51.76,51.76,51.76,1,51.76,2024-04-05T04:00:00Z,1,51.68
51.76,51.76,51.76,0,51.76,2024-04-08T04:00:00Z,0,0.0
51.76,51.76,51.76,0,51.76,2024-04-09T04:00:00Z,0,0.0
51.25,51.25,51.25,1,51.25,2024-04-10T04:00:00Z,30,51.19
51.25,51.25,51.25,0,51.25,2024-04-11T04:00:00Z,0,0.0
50.5,50.5,50.5,3,50.5,2024-04-12T04:00:00Z,12,50.95
50.5,50.5,50.5,0,50.5,2024-04-15T04:00:00Z,0,0.0
49.97,49.97,49.97,2,49.97,2024-04-16T04:00:00Z,36,50.11
49.97,49.97,49.97,0,49.97,2024-04-17T04:00:00Z,0,0.0
49.97,49.97,49.97,0,49.97,2024-04-18T04:00:00Z,0,0.0
49.85,49.85,49.85,1,49.85,2024-04-19T04:00:00Z,1,50.06
49.85,49.85,49.85,0,49.85,2024-04-22T04:00:00Z,0,0.0
50.94,50.94,50.88,2,50.88,2024-04-23T04:00:00Z,135,50.83
50.79,50.79,50.79,2,50.79,2024-04-24T04:00:00Z,97,50.72
50.56,50.56,50.56,1,50.56,2024-04-25T04:00:00Z,50,50.52
50.97,50.97,50.97,1,50.97,2024-04-26T04:00:00Z,1,51.09
50.97,50.97,50.97,0,50.97,2024-04-29T04:00:00Z,0,0.0
50.49,50.54,50.49,1,50.54,2024-04-30T04:00:00Z,100,50.54
50.49,50.49,50.49,0,50.49,2024-05-01T04:00:00Z,0,0.0
50.49,50.49,50.49,0,50.49,2024-05-02T04:00:00Z,0,0.0
51.73,51.73,51.73,1,51.73,2024-05-03T04:00:00Z,70,51.71
52.14,52.14,52.14,1,52.14,2024-05-06T04:00:00Z,13,52.12
52.28,52.28,52.28,1,52.28,2024-05-07T04:00:00Z,1,52.36
52.28,52.28,52.28,0,52.28,2024-05-08T04:00:00Z,0,0.0
52.68,52.68,52.68,1,52.68,2024-05-09T04:00:00Z,1,52.66
52.73,52.73,52.73,1,52.73,2024-05-10T04:00:00Z,1,52.68
52.73,52.73,52.73,0,52.73,2024-05-13T04:00:00Z,0,0.0
53.11,53.11,53.11,3,53.11,2024-05-14T04:00:00Z,3,52.98
53.71,53.71,53.71,1,53.71,2024-05-15T04:00:00Z,1,53.7
53.53,53.53,53.53,4,53.53,2024-05-16T04:00:00Z,5,53.67
53.64,53.64,53.64,1,53.64,2024-05-17T04:00:00Z,1,53.45
53.64,53.64,53.64,3,53.64,2024-05-20T04:00:00Z,3,53.71
53.56,53.57,53.55,10,53.55,2024-05-21T04:00:00Z,852,53.56
53.56,53.56,53.56,0,53.56,2024-05-22T04:00:00Z,0,0.0
53.56,53.56,53.56,0,53.56,2024-05-23T04:00:00Z,0,0.0
53.17,53.17,53.17,5,53.17,2024-05-24T04:00:00Z,10,53.03
53.16,53.16,53.16,2,53.16,2024-05-28T04:00:00Z,9,53.5
52.26,52.26,52.26,4,52.26,2024-05-29T04:00:00Z,13,52.68
52.75,52.75,52.75,1,52.75,2024-05-30T04:00:00Z,1,52.55
51.75,53.05,51.74,59,52.83,2024-05-31T04:00:00Z,115025,52.43
53.15,53.28,53.07,29,53.07,2024-06-03T04:00:00Z,22777,53.17
53.15,53.15,53.15,0,53.15,2024-06-04T04:00:00Z,0,0.0
53.79,53.79,53.79,1,53.79,2024-06-05T04:00:00Z,1,53.63
53.86,53.86,53.86,2,53.86,2024-06-06T04:00:00Z,2,53.76
53.27,53.27,53.27,2,53.27,2024-06-07T04:00:00Z,19,53.3
53.14,53.14,53.14,2,53.14,2024-06-10T04:00:00Z,2,52.94
52.57,52.57,52.57,4,52.57,2024-06-11T04:00:00Z,55,52.639091
53.27,53.27,53.27,5,53.27,2024-06-12T04:00:00Z,125,53.48572
52.51,52.51,52.51,3,52.51,2024-06-13T04:00:00Z,19,52.739474
51.98,51.98,51.98,5,51.98,2024-06-14T04:00:00Z,21,51.866667
52.12,52.12,51.79,4,51.79,2024-06-17T04:00:00Z,501,51.787902
52.4083,52.4083,52.13,6,52.13,2024-06-18T04:00:00Z,1095,52.164475
52.32,52.32,52.22,4,52.22,2024-06-20T04:00:00Z,103,52.222913
52.32,52.32,52.32,0,52.32,2024-06-21T04:00:00Z,0,0.0
52.44,52.44,52.44,2,52.44,2024-06-24T04:00:00Z,5,52.376
52.6831,52.6831,52.6831,1,52.6831,2024-06-25T04:00:00Z,1,52.41
52.19,52.19,52.19,2,52.19,2024-06-26T04:00:00Z,4,52.125
52.19,52.19,52.19,0,52.19,2024-06-27T04:00:00Z,0,0.0
52.22,52.27,52.22,2,52.27,2024-06-28T04:00:00Z,1004,52.2699
52.22,52.23,52.15,26,52.2,2024-07-01T04:00:00Z,2803,52.204085
52.38,52.38,52.38,3,52.38,2024-07-02T04:00:00Z,5,52.204
52.95,52.95,52.95,3,52.95,2024-07-03T04:00:00Z,31,52.697419
53.29,53.29,53.29,3,53.29,2024-07-05T04:00:00Z,3,53.33
53.29,53.29,53.29,2,53.29,2024-07-08T04:00:00Z,41,53.457805
52.94,52.94,52.94,4,52.94,2024-07-09T04:00:00Z,304,52.940724
53.74,53.74,53.74,3,53.74,2024-07-10T04:00:00Z,20,53.343
54.0895,54.0895,53.99,1,53.99,2024-07-11T04:00:00Z,500,53.99
54.0895,54.0895,54.0895,0,54.0895,2024-07-12T04:00:00Z,0,0.0
54.2443,54.2443,54.2443,1,54.2443,2024-07-15T04:00:00Z,1,54.13
54.46,54.46,54.46,4,54.46,2024-07-16T04:00:00Z,5,54.25672
54.07,54.07,54.07,2,54.07,2024-07-17T04:00:00Z,2,54.07
53.53,54.15,53.53,3,54.15,2024-07-18T04:00:00Z,1005,54.148801
53.24,53.24,53.24,2,53.24,2024-07-19T04:00:00Z,4,53.275
53.8767,53.8767,53.71,1,53.71,2024-07-22T04:00:00Z,800,53.71
53.6023,53.6023,53.54,5,53.54,2024-07-23T04:00:00Z,308,53.541949
53.6023,53.6023,53.6023,0,53.6023,2024-07-24T04:00:00Z,0,0.0
53.6023,53.6023,53.6023,0,53.6023,2024-07-25T04:00:00Z,0,0.0
53.33,53.33,53.04,2,53.04,2024-07-26T04:00:00Z,1203,53.040723
53.1844,53.22,53.1844,2,53.22,2024-07-29T04:00:00Z,163,53.17092
53.21,53.33,53.21,3,53.33,2024-07-30T04:00:00Z,1005,53.329841
54.0794,54.0794,54.0794,1,54.0794,2024-07-31T04:00:00Z,8,53.9031
52.7322,53.43,52.7322,8,53.43,2024-08-01T04:00:00Z,445,53.375944
51.9102,51.9102,51.9102,3,51.9102,2024-08-02T04:00:00Z,4,51.945
50.9022,51.015,50.9022,4,51.015,2024-08-05T04:00:00Z,118,50.986907
51.138,51.138,51.138,6,51.138,2024-08-06T04:00:00Z,23,50.96413
51.2456,51.2456,51.2456,2,51.2456,2024-08-07T04:00:00Z,3,52.013333
52.06,52.06,52.06,2,52.06,2024-08-08T04:00:00Z,6,51.806667
52.3555,52.3555,52.3555,1,52.3555,2024-08-09T04:00:00Z,1,51.99
52.21,52.25,52.21,3,52.25,2024-08-12T04:00:00Z,403,52.24995
52.21,52.21,52.21,0,52.21,2024-08-13T04:00:00Z,0,0.0
53.4276,53.4276,53.3845,3,53.3845,2024-08-14T04:00:00Z,264,53.350441
53.94,53.94,53.94,3,53.94,2024-08-15T04:00:00Z,6,53.9261
53.94,53.94,53.94,0,53.94,2024-08-16T04:00:00Z,0,0.0
54.9063,54.9063,54.62,1,54.62,2024-08-19T04:00:00Z,400,54.62
54.8828,54.8828,54.8828,3,54.8828,2024-08-20T04:00:00Z,4,54.92625
55.3499,55.37,55.3499,1,55.37,2024-08-21T04:00:00Z,100,55.37
55.056,55.056,55.056,4,55.056,2024-08-22T04:00:00Z,5,55.39428
56.09,56.1292,56.09,1,56.1292,2024-08-23T04:00:00Z,100,56.1292
55.8875,55.8875,55.8875,2,55.8875,2024-08-26T04:00:00Z,2,55.96
56.07,56.09,56.07,4,56.09,2024-08-27T04:00:00Z,106,56.06717
55.9202,55.9202,55.86,2,55.86,2024-08-28T04:00:00Z,198,55.860455
56.0,56.18,56.0,6,56.18,2024-08-29T04:00:00Z,390,56.120795
55.77,56.23,55.77,81,55.99,2024-08-30T04:00:00Z,125716,55.86257
55.1584,55.92,55.12,22,55.87,2024-09-03T04:00:00Z,13962,55.8021
55.2382,55.2382,54.95,5,54.95,2024-09-04T04:00:00Z,1100,55.109091
55.1914,55.24,55.1914,4,55.24,2024-09-05T04:00:00Z,600,55.223333
54.2963,55.21,54.2963,10,55.21,2024-09-06T04:00:00Z,686,54.739329
54.8631,54.8631,54.81,7,54.81,2024-09-09T04:00:00Z,700,54.811429
54.7403,54.7403,54.7403,1,54.7403,2024-09-10T04:00:00Z,1,54.75
54.7403,54.7403,54.7403,0,54.7403,2024-09-11T04:00:00Z,0,0.0
55.5381,55.5381,55.5381,1,55.5381,2024-09-12T04:00:00Z,81,55.13
55.6423,55.6423,55.6423,1,55.6423,2024-09-13T04:00:00Z,1,55.81
55.6423,55.6423,55.6423,0,55.6423,2024-09-16T04:00:00Z,0,0.0
55.755,55.755,55.7,1,55.7,2024-09-17T04:00:00Z,400,55.7
55.47,55.79,55.47,4,55.7,2024-09-18T04:00:00Z,570,55.684573
55.47,55.47,55.47,0,55.47,2024-09-19T04:00:00Z,0,0.0
56.0172,56.0172,55.92,5,55.92,2024-09-20T04:00:00Z,891,55.920527
