c,h,l,n,o,t,v,vw
14.75,15.24,14.74,24037,15.0,2024-05-09T04:00:00Z,3615656,14.911907
15.0,15.2,14.8,3316,14.8,2024-05-10T04:00:00Z,355096,14.982412
15.03,15.25,14.9594,1561,15.25,2024-05-13T04:00:00Z,161763,15.051021
15.19,15.3,14.9101,2093,15.25,2024-05-14T04:00:00Z,220073,15.175334
15.18,15.38,15.02,941,15.38,2024-05-15T04:00:00Z,124780,15.191982
15.1,15.34,14.9247,641,15.05,2024-05-16T04:00:00Z,83121,15.08101
14.78,15.02,14.77,1205,15.02,2024-05-17T04:00:00Z,124678,14.918188
14.9,15.0,14.85,809,14.99,2024-05-20T04:00:00Z,111615,14.918357
14.8,14.99,14.75,1406,14.9,2024-05-21T04:00:00Z,226544,14.836825
14.92,15.0,14.74,1206,14.93,2024-05-22T04:00:00Z,159712,14.920656
14.86,15.05,14.7801,1068,14.82,2024-05-23T04:00:00Z,77957,14.934337
14.98,15.05,14.8101,762,14.83,2024-05-24T04:00:00Z,65932,14.989554
15.04,15.05,14.93,1363,14.93,2024-05-28T04:00:00Z,87473,14.998804
15.0,15.06,14.8625,1008,15.0,2024-05-29T04:00:00Z,70968,15.009251
15.13,15.16,14.9,1221,15.0,2024-05-30T04:00:00Z,111636,15.05598
15.31,15.31,14.85,1602,15.06,2024-05-31T04:00:00Z,227518,15.060531
15.27,15.37,15.02,2476,15.35,2024-06-03T04:00:00Z,108965,15.23781
15.11,15.36,15.01,1351,15.17,2024-06-04T04:00:00Z,77329,15.127226
15.1,15.25,15.02,1335,15.12,2024-06-05T04:00:00Z,97473,15.122599
15.05,15.145,14.9,1322,14.96,2024-06-06T04:00:00Z,82369,15.063646
15.03,15.25,14.82,939,15.05,2024-06-07T04:00:00Z,68680,15.01729
15.26,15.42,15.14,2321,15.24,2024-06-10T04:00:00Z,158691,15.250028
14.92,15.37,14.86,1496,15.26,2024-06-11T04:00:00Z,80716,15.011048
15.22,15.36,15.0382,2634,15.13,2024-06-12T04:00:00Z,238025,15.240503
14.95,15.245,14.57,1717,15.24,2024-06-13T04:00:00Z,156176,14.812505
15.25,15.25,14.64,1773,14.79,2024-06-14T04:00:00Z,378478,15.140494
15.06,15.335,14.96,1805,15.24,2024-06-17T04:00:00Z,160572,15.13405
15.25,16.53,14.5,2420,15.09,2024-06-18T04:00:00Z,451330,15.235113
15.61,15.79,15.1,2973,15.1,2024-06-20T04:00:00Z,340408,15.452013
15.91,16.03,15.345,4104,15.57,2024-06-21T04:00:00Z,1327081,15.872144
16.2,16.4,15.92,3122,15.92,2024-06-24T04:00:00Z,465199,16.246121
16.31,16.73,15.945,3790,16.3,2024-06-25T04:00:00Z,498850,16.302013
16.73,16.865,16.34,3997,16.46,2024-06-26T04:00:00Z,251373,16.651138
16.22,16.9,16.09,2671,16.79,2024-06-27T04:00:00Z,210451,16.368619
16.06,16.36,15.76,3402,16.17,2024-06-28T04:00:00Z,287140,16.050089
16.21,16.88,16.03,1890,16.03,2024-07-01T04:00:00Z,218654,16.398796
16.55,16.885,16.12,1408,16.12,2024-07-02T04:00:00Z,89180,16.642828
16.98,17.0,16.53,1357,16.75,2024-07-03T04:00:00Z,134067,16.883317
17.1,17.22,16.505,1486,16.9,2024-07-05T04:00:00Z,258747,17.029638
17.22,17.525,16.9,2397,17.24,2024-07-08T04:00:00Z,226149,17.295614
17.26,17.7499,17.05,1810,17.35,2024-07-09T04:00:00Z,149635,17.294392
17.34,17.5601,17.21,1848,17.4,2024-07-10T04:00:00Z,107576,17.37106
17.39,17.6035,17.36,1692,17.53,2024-07-11T04:00:00Z,90270,17.467857
17.32,17.69,17.24,1134,17.63,2024-07-12T04:00:00Z,58790,17.413331
17.4,17.7599,17.085,1472,17.47,2024-07-15T04:00:00Z,70137,17.324266
17.95,18.19,17.4,2562,17.55,2024-07-16T04:00:00Z,287638,17.687853
18.42,18.65,17.37,2453,18.03,2024-07-17T04:00:00Z,201009,18.229444
17.96,18.9999,17.63,2528,18.5,2024-07-18T04:00:00Z,177069,18.134912
18.56,18.76,17.95,3396,18.15,2024-07-19T04:00:00Z,280861,18.407341
18.5,18.9,17.59,2544,18.52,2024-07-22T04:00:00Z,157528,18.44133
18.73,19.19,18.335,2451,18.44,2024-07-23T04:00:00Z,149544,18.840347
18.19,18.71,18.0901,1401,18.71,2024-07-24T04:00:00Z,55959,18.33489
19.03,19.51,18.2301,3338,18.4,2024-07-25T04:00:00Z,443536,18.92667
19.41,19.59,18.92,2520,19.09,2024-07-26T04:00:00Z,416348,19.28326
19.29,19.615,18.66,2712,19.41,2024-07-29T04:00:00Z,222508,19.279602
20.32,20.62,19.47,3820,19.5,2024-07-30T04:00:00Z,562491,20.154585
20.15,21.01,20.1,3719,20.48,2024-07-31T04:00:00Z,179828,20.615444
19.56,20.57,19.3701,2008,20.15,2024-08-01T04:00:00Z,81302,19.728108
19.13,19.57,18.46,1785,19.18,2024-08-02T04:00:00Z,97715,19.057004
18.78,19.03,17.99,2219,18.56,2024-08-05T04:00:00Z,92973,18.74538
19.28,19.515,18.75,2483,18.955,2024-08-06T04:00:00Z,135900,19.137636
