c,h,l,n,o,t,v,vw
16.69,17.39,16.45,2137,17.19,2016-01-04T05:00:00Z,515643,16.75
16.01,16.73,15.91,2475,16.68,2016-01-05T05:00:00Z,589585,16.29
16.15,16.47,15.69,1298,15.69,2016-01-06T05:00:00Z,294167,16.14
16.24,16.39,15.9,1853,15.9,2016-01-07T05:00:00Z,487602,16.17
15.04,16.3,15.01,2097,16.22,2016-01-08T05:00:00Z,532957,15.62
14.58,15.29,14.33,2360,15.29,2016-01-11T05:00:00Z,549252,14.58
14.89,15.03,14.48,2020,14.74,2016-01-12T05:00:00Z,495877,14.85
13.43,14.92,13.38,1541,14.92,2016-01-13T05:00:00Z,359426,13.78
13.82,13.95,13.06,2049,13.54,2016-01-14T05:00:00Z,462053,13.66
13.05,13.63,12.45,1783,13.47,2016-01-15T05:00:00Z,462672,13.02
13.25,13.35,12.94,1854,13.17,2016-01-19T05:00:00Z,416556,13.16
13.57,13.79,12.82,1934,13.14,2016-01-20T05:00:00Z,492396,13.21
13.23,13.8,13.22,1376,13.67,2016-01-21T05:00:00Z,318627,13.52
14.0,14.13,13.41,1562,13.5,2016-01-22T05:00:00Z,400540,13.95
13.14,13.98,13.08,1291,13.91,2016-01-25T05:00:00Z,358598,13.27
13.48,14.18,13.11,1510,13.22,2016-01-26T05:00:00Z,350707,13.48
13.41,13.6,13.27,1205,13.48,2016-01-27T05:00:00Z,254594,13.41
13.49,13.61,13.21,1097,13.61,2016-01-28T05:00:00Z,250492,13.49
14.0,14.02,13.47,1135,13.57,2016-01-29T05:00:00Z,285923,13.84
13.98,14.04,13.71,1219,13.86,2016-02-01T05:00:00Z,275150,13.89
13.98,14.04,13.77,1094,13.8,2016-02-02T05:00:00Z,233561,13.92
13.55,14.05,13.42,1045,14.05,2016-02-03T05:00:00Z,239609,13.59
13.54,13.77,13.41,782,13.56,2016-02-04T05:00:00Z,161178,13.57
13.06,13.5,12.97,960,13.5,2016-02-05T05:00:00Z,283567,13.09
12.91,12.95,12.32,1424,12.94,2016-02-08T05:00:00Z,356942,12.76
11.74,13.01,11.73,2079,12.76,2016-02-09T05:00:00Z,430150,12.1
12.05,12.76,11.75,1813,11.75,2016-02-10T05:00:00Z,380427,12.33
12.79,12.98,11.81,2280,11.82,2016-02-11T05:00:00Z,593993,12.44
12.99,13.99,12.44,1479,12.86,2016-02-12T05:00:00Z,444593,12.83
13.69,13.77,12.91,1604,13.24,2016-02-16T05:00:00Z,395408,13.43
14.5,14.65,13.76,2879,13.85,2016-02-17T05:00:00Z,706335,14.39
16.42,16.53,15.06,4869,16.03,2016-02-18T05:00:00Z,1235616,15.97
16.47,16.54,16.03,2581,16.3,2016-02-19T05:00:00Z,540315,16.27
16.72,17.1,16.58,1924,16.61,2016-02-22T05:00:00Z,445641,16.84
16.64,16.87,16.54,1284,16.68,2016-02-23T05:00:00Z,249700,16.66
17.27,17.3,16.37,1978,16.46,2016-02-24T05:00:00Z,285502,17.03
17.11,17.42,16.83,2289,17.17,2016-02-25T05:00:00Z,392901,17.15
17.44,17.61,16.84,1702,17.61,2016-02-26T05:00:00Z,356505,17.38
17.7,17.93,17.4,1623,17.4,2016-02-29T05:00:00Z,385650,17.73
17.56,18.15,17.41,1513,17.78,2016-03-01T05:00:00Z,485221,17.75
17.56,17.69,17.3,1630,17.55,2016-03-02T05:00:00Z,321759,17.49
17.27,17.59,16.88,1202,17.55,2016-03-03T05:00:00Z,286785,17.36
17.47,17.68,17.15,1619,17.27,2016-03-04T05:00:00Z,392681,17.42
17.36,17.67,17.22,2064,17.34,2016-03-07T05:00:00Z,572571,17.41
17.3,17.8,17.07,2105,17.27,2016-03-08T05:00:00Z,570303,17.46
17.62,17.64,17.29,4231,17.29,2016-03-09T05:00:00Z,749576,17.47
17.47,17.62,17.08,1352,17.62,2016-03-10T05:00:00Z,290533,17.44
17.15,17.51,17.09,2549,17.51,2016-03-11T05:00:00Z,492806,17.25
17.92,18.08,17.15,1564,17.18,2016-03-14T04:00:00Z,435386,17.68
16.97,17.87,16.94,1146,17.82,2016-03-15T04:00:00Z,236020,17.21
17.48,17.66,17.07,1726,17.07,2016-03-16T04:00:00Z,456666,17.33
18.04,18.28,17.42,2671,17.48,2016-03-17T04:00:00Z,695832,18.01
18.31,18.59,18.04,1206,18.1,2016-03-18T04:00:00Z,370433,18.29
17.87,18.53,17.75,1370,18.3,2016-03-21T04:00:00Z,378436,17.91
18.07,18.17,17.23,1105,17.84,2016-03-22T04:00:00Z,284593,17.95
17.66,17.97,17.46,1301,17.94,2016-03-23T04:00:00Z,320505,17.64
18.07,18.13,17.35,966,17.63,2016-03-24T04:00:00Z,289984,17.92
