c,h,l,n,o,t,v,vw
3.69,4.49,3.5,116,3.75,2018-08-10T04:00:00Z,131943,3.769017
3.65,4.1,3.6,201,4.1,2018-08-13T04:00:00Z,123058,3.776047
3.44,3.85,3.25,295,3.85,2018-08-14T04:00:00Z,129402,3.523018
3.2,3.6,3.15,347,3.6,2018-08-15T04:00:00Z,128124,3.345594
2.83,3.3028,2.63,550,3.28,2018-08-16T04:00:00Z,310868,2.917516
3.07,3.19,2.9047,329,2.92,2018-08-17T04:00:00Z,146668,3.084806
3.16,3.23,3.01,313,3.21,2018-08-20T04:00:00Z,102405,3.138633
3.15,3.36,3.1141,509,3.26,2018-08-21T04:00:00Z,232103,3.256178
3.15,3.25,3.14,179,3.14,2018-08-22T04:00:00Z,38398,3.187296
3.04,3.2,2.95,201,3.2,2018-08-23T04:00:00Z,116197,3.048496
3.12,3.15,2.981,260,3.0,2018-08-24T04:00:00Z,140448,3.100949
3.45,3.58,3.15,430,3.15,2018-08-27T04:00:00Z,270877,3.435603
3.5,3.56,3.39,274,3.48,2018-08-28T04:00:00Z,129428,3.487762
3.32,3.53,3.13,612,3.53,2018-08-29T04:00:00Z,148116,3.302571
3.31,3.315,3.16,236,3.3,2018-08-30T04:00:00Z,90885,3.235065
3.37,3.4,3.13,249,3.37,2018-08-31T04:00:00Z,84452,3.342748
3.45,3.45,3.251,334,3.4,2018-09-04T04:00:00Z,98245,3.385464
3.32,3.45,3.3,231,3.45,2018-09-05T04:00:00Z,77085,3.390286
3.3,3.355,3.2,167,3.32,2018-09-06T04:00:00Z,72159,3.278157
3.255,3.36,3.22,211,3.36,2018-09-07T04:00:00Z,67345,3.274274
3.7,3.7,3.23,984,3.23,2018-09-10T04:00:00Z,239540,3.47278
3.99,4.0,3.591,1294,3.65,2018-09-11T04:00:00Z,344352,3.827018
4.18,4.29,4.02,1369,4.09,2018-09-12T04:00:00Z,323012,4.166154
4.35,4.35,4.08,1355,4.25,2018-09-13T04:00:00Z,391294,4.255743
