c,h,l,n,o,t,v,vw
14.75,14.75,14.0,2859,14.09,2019-07-18T04:00:00Z,2747516,14.146496
14.35,14.75,14.3455,396,14.75,2019-07-19T04:00:00Z,174802,14.411495
14.35,14.45,14.22,892,14.39,2019-07-22T04:00:00Z,338428,14.332301
14.54,14.54,14.31,519,14.4,2019-07-23T04:00:00Z,223229,14.446379
14.25,14.55,14.22,669,14.55,2019-07-24T04:00:00Z,215339,14.303254
14.285,14.3458,14.26,333,14.26,2019-07-25T04:00:00Z,180696,14.296036
14.32,14.35,14.25,639,14.35,2019-07-26T04:00:00Z,248199,14.303859
14.2,14.34,14.2,943,14.34,2019-07-29T04:00:00Z,263384,14.259901
14.24,14.3,14.2,386,14.2,2019-07-30T04:00:00Z,111962,14.237858
14.4,14.4,14.21,284,14.25,2019-07-31T04:00:00Z,123193,14.27717
14.29,14.4,14.27,145,14.4,2019-08-01T04:00:00Z,35044,14.314594
14.27,14.4,14.25,524,14.33,2019-08-02T04:00:00Z,198941,14.324859
14.045,14.3,14.04,671,14.27,2019-08-05T04:00:00Z,161593,14.152189
14.17,14.25,14.05,256,14.05,2019-08-06T04:00:00Z,46819,14.207658
14.14,14.3,14.02,353,14.17,2019-08-07T04:00:00Z,70787,14.166412
14.19,14.24,14.05,161,14.13,2019-08-08T04:00:00Z,33358,14.152899
14.21,14.22,14.07,276,14.14,2019-08-09T04:00:00Z,55907,14.159025
14.12,14.22,14.07,266,14.22,2019-08-12T04:00:00Z,31047,14.142787
14.13,14.13,14.02,391,14.05,2019-08-13T04:00:00Z,88363,14.05799
13.97,14.1,13.87,815,14.02,2019-08-14T04:00:00Z,132723,13.957759
14.0,14.05,13.9,643,14.0,2019-08-15T04:00:00Z,114693,13.970007
14.03,14.08,13.96,527,14.05,2019-08-16T04:00:00Z,186119,14.008004
14.03,14.04,14.0,181,14.03,2019-08-19T04:00:00Z,26839,14.022732
14.14,14.14,14.0,234,14.035,2019-08-20T04:00:00Z,61023,14.046786
14.13,14.19,14.03,219,14.0901,2019-08-21T04:00:00Z,23046,14.111673
14.23,14.25,13.99,207,14.04,2019-08-22T04:00:00Z,54211,14.131636
14.12,14.22,14.0,136,14.07,2019-08-23T04:00:00Z,19609,14.089415
14.02,14.18,14.0,164,14.0625,2019-08-26T04:00:00Z,22861,14.057243
14.05,14.105,14.0129,128,14.03,2019-08-27T04:00:00Z,17258,14.044535
14.04,14.05,14.0,78,14.0,2019-08-28T04:00:00Z,15538,14.023914
14.05,14.05,14.02,189,14.05,2019-08-29T04:00:00Z,33800,14.035642
14.02,14.05,14.02,138,14.05,2019-08-30T04:00:00Z,16395,14.025686
14.49,14.5,14.05,1214,14.05,2019-09-03T04:00:00Z,187761,14.34783
14.6,14.65,14.1881,547,14.49,2019-09-04T04:00:00Z,106775,14.506701
14.69,14.71,14.52,457,14.52,2019-09-05T04:00:00Z,51823,14.670595
14.73,14.75,14.57,454,14.69,2019-09-06T04:00:00Z,45354,14.699286
14.79,14.91,14.49,1038,14.75,2019-09-09T04:00:00Z,124838,14.762952
15.02,15.02,14.71,1242,14.8,2019-09-10T04:00:00Z,105317,14.956308
15.06,15.19,14.47,1260,14.9,2019-09-11T04:00:00Z,147022,15.041302
13.86,14.4225,13.27,3317,14.35,2019-09-12T04:00:00Z,667589,13.717995
