c,h,l,n,o,t,v,vw
2.41,2.4101,2.4,10,2.4,2016-01-04T05:00:00Z,3027,2.405607
2.38,2.42,2.38,54,2.4,2016-01-05T05:00:00Z,23613,2.405038
2.37,2.4201,2.36,7,2.4201,2016-01-06T05:00:00Z,7034,2.40909
2.3399,2.35,2.3,29,2.3,2016-01-07T05:00:00Z,14800,2.342999
2.4,2.4,2.33,3,2.34,2016-01-08T05:00:00Z,2100,2.33381
2.3503,2.4054,2.3501,30,2.3901,2016-01-11T05:00:00Z,17322,2.370963
2.3,2.39,2.3,22,2.3664,2016-01-12T05:00:00Z,15397,2.346455
2.3001,2.301,2.29,27,2.3,2016-01-13T05:00:00Z,10095,2.29888
2.3,2.46,2.3,7,2.3015,2016-01-14T05:00:00Z,3948,2.320663
2.26,2.32,2.23,176,2.32,2016-01-15T05:00:00Z,70324,2.262612
2.3,2.334,2.25,12,2.267,2016-01-19T05:00:00Z,4528,2.309872
2.24,2.2815,2.24,20,2.25,2016-01-20T05:00:00Z,11058,2.255313
2.2899,2.31,2.25,14,2.25,2016-01-21T05:00:00Z,3989,2.285726
2.39,2.4,2.25,19,2.25,2016-01-22T05:00:00Z,5793,2.377141
2.3,2.4284,2.3,12,2.39,2016-01-25T05:00:00Z,6826,2.392041
2.31,2.3489,2.31,6,2.3489,2016-01-26T05:00:00Z,2185,2.347048
2.3334,2.3334,2.3334,3,2.3334,2016-01-27T05:00:00Z,270,2.3334
2.34,2.34,2.34,3,2.34,2016-01-28T05:00:00Z,2536,2.34
2.31,2.31,2.31,5,2.31,2016-01-29T05:00:00Z,574,2.31
2.34,2.3439,2.31,6,2.31,2016-02-01T05:00:00Z,1353,2.338385
2.31,2.3499,2.31,9,2.3496,2016-02-02T05:00:00Z,2787,2.346745
2.3201,2.4499,2.3,23,2.32,2016-02-03T05:00:00Z,9604,2.342901
2.3201,2.3201,2.3201,0,2.3201,2016-02-04T05:00:00Z,0,0.0
2.3498,2.3512,2.3498,4,2.3512,2016-02-05T05:00:00Z,1066,2.3505
2.352,2.352,2.35,2,2.35,2016-02-08T05:00:00Z,1100,2.351818
2.45,2.4987,2.37,72,2.4389,2016-02-09T05:00:00Z,25535,2.453648
2.442,2.4444,2.442,5,2.4444,2016-02-10T05:00:00Z,1503,2.4428
2.37,2.49,2.37,29,2.48,2016-02-11T05:00:00Z,8764,2.382964
2.61,3.4,2.5,1434,2.5,2016-02-12T05:00:00Z,455954,2.913433
2.86,2.99,2.5172,236,2.59,2016-02-16T05:00:00Z,95470,2.735683
2.8828,2.95,2.782,68,2.87,2016-02-17T05:00:00Z,20429,2.882559
2.8683,2.9,2.8683,26,2.9,2016-02-18T05:00:00Z,5825,2.883987
2.9,2.9,2.6501,56,2.82,2016-02-19T05:00:00Z,15903,2.877332
2.94,2.98,2.9099,21,2.9099,2016-02-22T05:00:00Z,6492,2.931692
2.9399,2.95,2.7601,19,2.94,2016-02-23T05:00:00Z,5700,2.936104
2.9501,2.96,2.92,32,2.92,2016-02-24T05:00:00Z,7915,2.948658
2.89,2.96,2.866,17,2.95,2016-02-25T05:00:00Z,2830,2.891418
3.04,3.04,2.8501,62,2.8501,2016-02-26T05:00:00Z,40343,2.982257
3.18,3.23,3.02,108,3.02,2016-02-29T05:00:00Z,39888,3.152371
3.1652,3.2,3.1234,59,3.1234,2016-03-01T05:00:00Z,54488,3.152461
3.28,3.319,3.1401,83,3.18,2016-03-02T05:00:00Z,32729,3.226316
3.18,3.33,3.1601,140,3.33,2016-03-03T05:00:00Z,18625,3.281701
3.245,3.3311,3.17,110,3.33,2016-03-04T05:00:00Z,39445,3.283733
3.29,3.29,3.2,40,3.27,2016-03-07T05:00:00Z,15320,3.247615
3.21,3.25,3.15,57,3.2495,2016-03-08T05:00:00Z,17164,3.197208
3.28,3.3,3.1201,76,3.17,2016-03-09T05:00:00Z,20860,3.246082
3.36,3.36,3.2499,58,3.2518,2016-03-10T05:00:00Z,23408,3.290673
3.21,3.36,3.2,7,3.36,2016-03-11T05:00:00Z,817,3.291721
3.29,3.29,3.2,75,3.28,2016-03-14T04:00:00Z,13352,3.241361
3.39,3.4,3.25,50,3.25,2016-03-15T04:00:00Z,14151,3.369011
3.48,3.48,3.24,97,3.4,2016-03-16T04:00:00Z,23725,3.353007
3.3991,3.4467,3.3,28,3.38,2016-03-17T04:00:00Z,4025,3.388962
3.3,3.43,3.1,86,3.43,2016-03-18T04:00:00Z,16948,3.283346
3.45,3.45,3.3001,64,3.31,2016-03-21T04:00:00Z,13671,3.37565
3.3729,3.4,3.3571,23,3.3994,2016-03-22T04:00:00Z,3056,3.381906
3.41,3.45,3.355,111,3.45,2016-03-23T04:00:00Z,22582,3.410976
3.4699,3.47,3.3,15,3.46,2016-03-24T04:00:00Z,6474,3.451509
3.54,3.65,3.47,121,3.48,2016-03-28T04:00:00Z,36920,3.552064
3.65,3.78,3.57,194,3.57,2016-03-29T04:00:00Z,45671,3.706313
3.76,3.95,3.67,173,3.67,2016-03-30T04:00:00Z,69648,3.863614
3.82,3.8999,3.72,66,3.86,2016-03-31T04:00:00Z,20643,3.806981
3.85,3.8999,3.82,45,3.82,2016-04-01T04:00:00Z,9617,3.864743
3.74,3.9,3.7,41,3.9,2016-04-04T04:00:00Z,12218,3.819671
3.6203,3.72,3.51,51,3.72,2016-04-05T04:00:00Z,9718,3.596653
3.54,3.68,3.521,49,3.5501,2016-04-06T04:00:00Z,20414,3.559937
3.64,3.66,3.51,18,3.5121,2016-04-07T04:00:00Z,2404,3.591073
3.5601,3.68,3.52,34,3.68,2016-04-08T04:00:00Z,7463,3.554964
3.5,3.7324,3.5,27,3.62,2016-04-11T04:00:00Z,4221,3.526795
3.3278,3.53,3.3096,78,3.48,2016-04-12T04:00:00Z,16692,3.398081
3.33,3.4,3.3,59,3.3787,2016-04-13T04:00:00Z,10450,3.343372
3.35,3.432,3.11,77,3.13,2016-04-14T04:00:00Z,24234,3.19322
3.3192,3.4299,3.31,56,3.3108,2016-04-15T04:00:00Z,9990,3.349687
3.33,3.422,3.31,64,3.32,2016-04-18T04:00:00Z,14952,3.347508
3.35,3.35,3.33,10,3.33,2016-04-19T04:00:00Z,851,3.347222
3.54,3.5699,3.4,26,3.4,2016-04-20T04:00:00Z,10710,3.437583
3.77,3.79,3.6,56,3.6,2016-04-21T04:00:00Z,16585,3.677598
3.78,3.78,3.6101,37,3.74,2016-04-22T04:00:00Z,13348,3.676729
3.7,3.74,3.63,23,3.71,2016-04-25T04:00:00Z,2214,3.683302
3.65,3.714,3.65,17,3.71,2016-04-26T04:00:00Z,4169,3.67398
3.65,3.7025,3.624,28,3.7001,2016-04-27T04:00:00Z,5700,3.67336
3.6101,3.7016,3.6101,13,3.646,2016-04-28T04:00:00Z,3062,3.667685
3.52,3.68,3.44,66,3.6,2016-04-29T04:00:00Z,24921,3.597037
