c,h,l,n,o,t,v,vw
14.9,15.0499,14.5,1891,14.5,2017-10-02T04:00:00Z,1583280,14.780448
14.75,14.85,14.652,847,14.85,2017-10-03T04:00:00Z,621388,14.715182
14.69,14.75,14.6,715,14.7,2017-10-04T04:00:00Z,357517,14.653809
15.04,15.25,14.52,2507,14.69,2017-10-05T04:00:00Z,864633,14.841913
15.03,15.2142,14.96,442,15.15,2017-10-06T04:00:00Z,265314,15.043001
14.99,15.15,14.92,519,15.1,2017-10-09T04:00:00Z,214937,14.982594
14.99,15.0,14.88,297,15.0,2017-10-10T04:00:00Z,108241,14.953801
14.93,14.99,14.883,353,14.99,2017-10-11T04:00:00Z,119124,14.937073
14.94,14.99,14.9,120,14.99,2017-10-12T04:00:00Z,82664,14.940087
14.86,14.99,14.8,233,14.99,2017-10-13T04:00:00Z,94917,14.861853
14.9,14.95,14.86,273,14.95,2017-10-16T04:00:00Z,104941,14.908498
14.85,14.91,14.84,289,14.9,2017-10-17T04:00:00Z,93828,14.888396
14.83,14.89,14.82,272,14.85,2017-10-18T04:00:00Z,69230,14.850612
14.95,14.95,14.85,164,14.87,2017-10-19T04:00:00Z,88838,14.907506
14.95,14.9945,14.95,182,14.96,2017-10-20T04:00:00Z,94439,14.977715
15.0,15.1,14.95,163,14.99,2017-10-23T04:00:00Z,114765,15.002585
14.99,15.05,14.9,129,15.05,2017-10-24T04:00:00Z,47722,14.988827
14.93,15.0,14.75,103,14.99,2017-10-25T04:00:00Z,37493,14.983831
14.99,15.0,14.9,152,15.0,2017-10-26T04:00:00Z,46387,14.961176
15.04,15.04,14.9,150,15.0,2017-10-27T04:00:00Z,93608,14.99235
15.0,15.09,14.87,162,15.06,2017-10-30T04:00:00Z,53164,15.027468
15.05,15.1,15.0,72,15.0427,2017-10-31T04:00:00Z,11592,15.068243
15.0,15.1,15.0,152,15.1,2017-11-01T04:00:00Z,36040,15.037307
15.06,15.2,15.02,64,15.1,2017-11-02T04:00:00Z,10353,15.067487
15.0,15.05,14.925,97,15.0001,2017-11-03T04:00:00Z,19389,15.006358
15.05,15.09,15.0001,162,15.0704,2017-11-06T05:00:00Z,16638,15.036077
15.03,15.06,15.0,132,15.0262,2017-11-07T05:00:00Z,20873,15.037276
15.06,15.06,15.0,213,15.0,2017-11-08T05:00:00Z,27364,15.032317
15.05,15.06,14.855,113,15.0,2017-11-09T05:00:00Z,16564,15.003952
15.06,15.06,14.8645,126,14.8645,2017-11-10T05:00:00Z,18908,15.027897
15.0499,15.05,15.0,146,15.0153,2017-11-13T05:00:00Z,31812,15.022364
15.05,15.06,15.0,73,15.0499,2017-11-14T05:00:00Z,17545,15.04248
15.06,15.06,15.02,142,15.0201,2017-11-15T05:00:00Z,43026,15.051511
15.19,15.2,15.02,82,15.06,2017-11-16T05:00:00Z,44694,15.062678
15.33,15.34,15.1,150,15.25,2017-11-17T05:00:00Z,30925,15.290481
15.34,15.46,15.18,273,15.27,2017-11-20T05:00:00Z,36818,15.403086
15.73,15.73,15.266,230,15.35,2017-11-21T05:00:00Z,47468,15.468716
15.82,15.85,15.68,120,15.7,2017-11-22T05:00:00Z,16101,15.772436
16.0,16.0,15.7492,136,15.95,2017-11-24T05:00:00Z,24614,15.948792
16.63,16.74,15.94,305,16.0,2017-11-27T05:00:00Z,58891,16.415232
16.79,16.95,16.51,272,16.7,2017-11-28T05:00:00Z,35987,16.773535
16.7,16.95,15.76,266,15.99,2017-11-29T05:00:00Z,36005,16.631687
16.62,16.9,16.52,220,16.7,2017-11-30T05:00:00Z,33356,16.699437
16.52,16.8022,16.05,217,16.535,2017-12-01T05:00:00Z,35632,16.526547
16.35,16.86,15.801,509,16.61,2017-12-04T05:00:00Z,79425,16.50977
16.1,16.5,16.05,215,16.5,2017-12-05T05:00:00Z,34753,16.312467
16.05,16.23,15.9,157,16.04,2017-12-06T05:00:00Z,18804,16.059393
16.15,16.3,15.63,243,15.87,2017-12-07T05:00:00Z,41524,16.07613
15.98,16.15,15.68,309,16.15,2017-12-08T05:00:00Z,51329,15.989131
16.03,16.15,15.95,315,15.98,2017-12-11T05:00:00Z,47740,16.040957
15.56,16.14,15.54,141,16.08,2017-12-12T05:00:00Z,20476,15.774391
15.3,15.6,15.11,362,15.6,2017-12-13T05:00:00Z,121072,15.300283
15.16,15.73,15.14,399,15.39,2017-12-14T05:00:00Z,100883,15.319685
15.03,15.55,14.935,412,15.16,2017-12-15T05:00:00Z,317047,15.131193
15.14,15.43,15.1,224,15.12,2017-12-18T05:00:00Z,48746,15.179824
15.02,15.258,14.97,312,15.16,2017-12-19T05:00:00Z,66946,15.066533
15.02,15.2,15.02,198,15.1,2017-12-20T05:00:00Z,29538,15.101088
15.18,15.27,15.0,320,15.09,2017-12-21T05:00:00Z,94241,15.056342
15.16,15.25,14.96,133,15.09,2017-12-22T05:00:00Z,37216,15.181907
15.17,15.47,15.05,142,15.2,2017-12-26T05:00:00Z,28235,15.265745
15.25,15.34,15.06,116,15.2701,2017-12-27T05:00:00Z,15931,15.279571
15.43,15.44,15.02,175,15.0337,2017-12-28T05:00:00Z,33124,15.223637
15.18,15.385,15.11,125,15.385,2017-12-29T05:00:00Z,13749,15.19781
15.14,15.4,15.01,367,15.15,2018-01-02T05:00:00Z,86758,15.102422
15.1,15.24,15.02,154,15.1,2018-01-03T05:00:00Z,21396,15.11323
14.96,15.1,14.95,175,15.06,2018-01-04T05:00:00Z,40238,15.025072
14.82,15.0,14.76,153,14.92,2018-01-05T05:00:00Z,72649,14.825278
14.85,14.88,14.7654,77,14.8,2018-01-08T05:00:00Z,19279,14.820229
15.05,15.19,14.7601,209,14.79,2018-01-09T05:00:00Z,62957,14.933034
14.94,15.05,14.78,421,15.04,2018-01-10T05:00:00Z,67607,14.960151
14.98,15.08,14.905,199,14.97,2018-01-11T05:00:00Z,52381,14.994876
15.0,15.05,14.9,106,15.0,2018-01-12T05:00:00Z,23703,14.982066
15.03,15.05,14.95,288,15.0,2018-01-16T05:00:00Z,69520,15.003801
