c,h,l,n,o,t,v,vw
5055.0,5700.0,4809.15,528,5475.0,2022-03-29T04:00:00Z,84,5157.97
5167.5,5290.13,4942.5,295,5062.5,2022-03-30T04:00:00Z,27,5200.96
4695.0,5272.5,4646.25,633,5175.0,2022-03-31T04:00:00Z,90,4904.43
3802.5,4875.0,3772.5,952,4875.0,2022-04-01T04:00:00Z,238,4027.22
3825.0,3960.0,3787.5,214,3802.5,2022-04-04T04:00:00Z,36,3847.42
4087.5,4281.6,3795.0,389,3825.0,2022-04-05T04:00:00Z,48,4029.11
4049.93,4087.5,3704.93,202,4087.5,2022-04-06T04:00:00Z,20,3856.91
4042.5,4327.43,3825.0,230,3997.5,2022-04-07T04:00:00Z,35,4039.37
3615.0,4027.5,3586.88,374,3825.0,2022-04-08T04:00:00Z,74,3710.13
3521.25,3585.0,3460.73,137,3577.5,2022-04-11T04:00:00Z,20,3519.37
3477.83,3615.0,3477.83,68,3601.88,2022-04-12T04:00:00Z,3,3562.6
3457.5,3584.93,3375.08,119,3390.0,2022-04-13T04:00:00Z,12,3488.14
3412.5,3442.58,3412.5,44,3431.03,2022-04-14T04:00:00Z,3,3429.82
3435.0,3592.5,3375.0,229,3555.0,2022-04-18T04:00:00Z,25,3461.6
3525.0,3757.43,3430.05,247,3572.25,2022-04-19T04:00:00Z,68,3605.32
3525.0,3711.75,3525.0,94,3525.0,2022-04-20T04:00:00Z,8,3575.44
3225.0,3727.43,3225.0,364,3525.0,2022-04-21T04:00:00Z,68,3539.51
3037.5,3322.5,3000.0,210,3322.5,2022-04-22T04:00:00Z,22,3103.26
2512.5,3015.0,2460.08,783,3007.5,2022-04-25T04:00:00Z,186,2608.85
2325.0,2580.0,2325.0,193,2550.0,2022-04-26T04:00:00Z,28,2483.52
2175.0,2437.5,2130.08,186,2325.0,2022-04-27T04:00:00Z,18,2257.42
2272.5,2272.5,2099.78,158,2130.0,2022-04-28T04:00:00Z,30,2137.03
2235.0,2302.5,2232.75,92,2298.75,2022-04-29T04:00:00Z,10,2265.68
2137.5,2272.5,2130.0,51,2272.5,2022-05-02T04:00:00Z,3,2215.89
2377.5,2632.5,2220.0,383,2220.0,2022-05-03T04:00:00Z,80,2470.01
2265.0,2422.5,2265.0,138,2311.95,2022-05-04T04:00:00Z,13,2314.83
2100.0,2287.43,2039.48,181,2265.0,2022-05-05T04:00:00Z,27,2134.26
2055.0,2225.78,2055.0,89,2077.5,2022-05-06T04:00:00Z,9,2088.33
1672.5,2182.35,1672.5,167,2081.48,2022-05-09T04:00:00Z,18,1927.62
1717.5,1785.0,1650.0,121,1784.93,2022-05-10T04:00:00Z,26,1740.78
1650.0,1837.5,1582.58,128,1837.5,2022-05-11T04:00:00Z,27,1687.21
1597.5,1793.25,1597.5,191,1614.0,2022-05-12T04:00:00Z,21,1675.58
1680.0,1685.48,1597.5,122,1612.5,2022-05-13T04:00:00Z,13,1670.76
1830.0,1830.0,1635.0,71,1680.0,2022-05-16T04:00:00Z,5,1695.55
2017.5,2017.5,1800.0,160,1830.0,2022-05-17T04:00:00Z,34,1879.81
1650.0,2129.93,1619.78,211,2115.0,2022-05-18T04:00:00Z,35,1874.12
2040.0,2092.5,1890.0,316,1927.58,2022-05-19T04:00:00Z,58,2019.89
1905.0,2085.0,1830.08,191,2085.0,2022-05-20T04:00:00Z,23,1959.32
1920.0,2167.5,1907.03,305,2062.5,2022-05-23T04:00:00Z,28,2068.32
1687.5,1890.0,1687.5,303,1890.0,2022-05-24T04:00:00Z,16,1807.16
1777.5,1852.5,1762.5,103,1762.5,2022-05-25T04:00:00Z,8,1817.36
1837.5,1837.5,1687.58,116,1687.58,2022-05-26T04:00:00Z,8,1753.72
1800.0,1968.75,1800.0,177,1852.5,2022-05-27T04:00:00Z,21,1842.2
2025.0,2167.5,1920.0,606,2167.5,2022-05-31T04:00:00Z,139,2073.41
1567.5,2160.0,1567.5,521,2160.0,2022-06-01T04:00:00Z,102,1796.23
1725.0,1875.0,1672.5,493,1762.5,2022-06-02T04:00:00Z,51,1801.13
1755.0,1864.05,1725.0,255,1740.0,2022-06-03T04:00:00Z,20,1777.18
2377.5,3000.0,1935.0,13185,1935.0,2022-06-06T04:00:00Z,4631,2469.02
2340.0,2535.0,2139.38,2182,2250.0,2022-06-07T04:00:00Z,488,2336.18
2430.0,2490.0,2257.5,782,2490.0,2022-06-08T04:00:00Z,177,2348.15
2272.5,2625.0,2227.5,1114,2505.0,2022-06-09T04:00:00Z,237,2455.9
1920.0,2212.5,1882.5,982,2212.5,2022-06-10T04:00:00Z,190,2002.68
1695.0,1875.0,1666.8,623,1875.0,2022-06-13T04:00:00Z,84,1762.61
1800.0,1867.5,1710.0,391,1710.0,2022-06-14T04:00:00Z,57,1799.61
1800.0,1950.0,1755.0,233,1815.0,2022-06-15T04:00:00Z,33,1864.91
1725.0,1837.5,1650.0,409,1687.5,2022-06-16T04:00:00Z,41,1728.37
1620.0,1754.93,1612.5,485,1732.5,2022-06-17T04:00:00Z,107,1666.89
1687.5,1757.25,1665.0,292,1665.0,2022-06-21T04:00:00Z,46,1710.71
1687.5,1766.18,1687.5,205,1687.5,2022-06-22T04:00:00Z,30,1705.37
1642.5,1726.88,1620.0,159,1710.0,2022-06-23T04:00:00Z,26,1683.47
1650.0,1724.93,1650.0,181,1710.0,2022-06-24T04:00:00Z,36,1683.79
1642.5,1710.0,1575.08,254,1702.5,2022-06-27T04:00:00Z,44,1659.68
1710.0,1792.43,1597.5,259,1710.0,2022-06-28T04:00:00Z,52,1743.41
1725.0,1803.75,1687.5,175,1710.0,2022-06-29T04:00:00Z,34,1735.93
1755.0,1755.0,1638.75,105,1721.25,2022-06-30T04:00:00Z,21,1712.99
1875.0,1942.5,1725.0,222,1725.0,2022-07-01T04:00:00Z,20,1863.55
1927.5,2006.63,1867.5,236,1897.5,2022-07-05T04:00:00Z,46,1939.6
1777.5,1942.5,1755.0,230,1912.5,2022-07-06T04:00:00Z,16,1827.19
2085.0,2115.0,1852.5,377,1852.5,2022-07-07T04:00:00Z,75,2028.81
2122.5,2197.5,1950.0,187,2100.0,2022-07-08T04:00:00Z,36,2102.95
1897.5,2137.5,1882.5,134,2137.5,2022-07-11T04:00:00Z,37,2037.76
1770.0,1890.0,1725.0,209,1890.0,2022-07-12T04:00:00Z,26,1783.6
1875.0,1875.0,1702.5,83,1702.5,2022-07-13T04:00:00Z,12,1838.31
1785.0,1875.0,1687.5,114,1875.0,2022-07-14T04:00:00Z,7,1774.49
1710.0,1860.0,1650.0,337,1725.0,2022-07-15T04:00:00Z,36,1715.09
1747.5,1845.08,1732.57,186,1800.0,2022-07-18T04:00:00Z,30,1801.9
1830.0,1845.0,1725.0,261,1740.0,2022-07-19T04:00:00Z,43,1786.98
1882.5,2025.0,1732.5,508,1830.0,2022-07-20T04:00:00Z,147,1895.86
1845.0,1930.65,1807.5,150,1807.5,2022-07-21T04:00:00Z,26,1848.87
1822.5,1949.55,1785.0,221,1845.0,2022-07-22T04:00:00Z,37,1836.79
1740.0,1936.88,1725.0,196,1860.0,2022-07-25T04:00:00Z,36,1775.79
1762.5,1770.0,1680.0,309,1687.5,2022-07-26T04:00:00Z,51,1717.12
1702.5,1754.93,1672.5,170,1717.5,2022-07-27T04:00:00Z,83,1700.02
1867.5,1965.0,1702.5,272,1702.5,2022-07-28T04:00:00Z,70,1852.39
2063.25,2092.5,1875.0,360,1957.5,2022-07-29T04:00:00Z,80,1989.72
1962.68,2137.5,1942.5,352,2100.0,2022-08-01T04:00:00Z,63,2048.73
1832.63,2017.5,1762.5,475,2010.0,2022-08-02T04:00:00Z,120,1821.79
1755.0,2009.7,1747.5,275,1875.0,2022-08-03T04:00:00Z,47,1823.78
1867.5,2137.5,1740.0,915,1762.5,2022-08-04T04:00:00Z,294,1908.75
2722.5,3607.5,2512.5,136779,2797.5,2022-08-05T04:00:00Z,41968,3011.09
2820.0,2820.0,2460.0,6951,2647.5,2022-08-08T04:00:00Z,1768,2655.82
2670.0,2737.5,2400.0,2401,2662.5,2022-08-09T04:00:00Z,524,2589.82
2370.0,2700.0,2250.0,1613,2670.0,2022-08-10T04:00:00Z,383,2351.88
2235.0,2512.5,2197.5,1034,2362.5,2022-08-11T04:00:00Z,292,2387.83
2760.0,2932.5,2272.5,2572,2272.5,2022-08-12T04:00:00Z,799,2678.19
3030.0,3067.5,2775.0,1566,2850.0,2022-08-15T04:00:00Z,389,2919.57
2797.5,2955.0,2527.5,1332,2865.0,2022-08-16T04:00:00Z,299,2673.62
2685.0,2731.95,2572.5,797,2670.0,2022-08-17T04:00:00Z,152,2657.51
2602.5,2775.0,2527.5,618,2692.5,2022-08-18T04:00:00Z,94,2631.11
2415.0,2557.5,2310.0,532,2520.0,2022-08-19T04:00:00Z,150,2407.26
2580.0,2617.5,2276.25,571,2370.0,2022-08-22T04:00:00Z,125,2399.83
2595.0,2692.5,2490.0,421,2662.5,2022-08-23T04:00:00Z,87,2624.11
2482.5,2670.0,2467.5,464,2550.0,2022-08-24T04:00:00Z,57,2570.47
2452.5,2610.0,2422.5,230,2587.5,2022-08-25T04:00:00Z,46,2499.41
2205.0,2437.5,2107.5,746,2437.5,2022-08-26T04:00:00Z,173,2280.41
2159.93,2204.93,2100.23,236,2152.5,2022-08-29T04:00:00Z,42,2145.92
1882.5,2175.0,1845.0,668,2175.0,2022-08-30T04:00:00Z,161,1926.34
1740.0,1912.5,1725.0,890,1890.0,2022-08-31T04:00:00Z,121,1796.75
1710.0,1822.5,1668.75,329,1822.5,2022-09-01T04:00:00Z,71,1734.29
1661.25,1747.5,1627.5,301,1747.5,2022-09-02T04:00:00Z,52,1678.61
1522.5,1725.0,1515.0,474,1725.0,2022-09-06T04:00:00Z,91,1588.42
1537.5,1559.4,1447.5,381,1500.0,2022-09-07T04:00:00Z,70,1502.4
1447.5,1612.5,1432.5,481,1500.0,2022-09-08T04:00:00Z,175,1533.86
1507.5,1560.0,1492.5,291,1492.5,2022-09-09T04:00:00Z,60,1512.06
1522.5,1605.0,1507.5,257,1507.5,2022-09-12T04:00:00Z,41,1567.51
1485.0,1560.0,1447.5,414,1515.0,2022-09-13T04:00:00Z,69,1491.97
1515.0,1567.5,1447.5,602,1462.5,2022-09-14T04:00:00Z,130,1516.24
1552.5,1627.95,1477.5,292,1477.5,2022-09-15T04:00:00Z,110,1579.65
1552.5,1577.4,1500.0,178,1515.07,2022-09-16T04:00:00Z,34,1539.03
1575.0,1608.98,1533.75,239,1537.5,2022-09-19T04:00:00Z,50,1567.33
1500.0,1544.48,1477.5,208,1522.5,2022-09-20T04:00:00Z,27,1500.46
1410.0,1530.0,1360.43,265,1470.0,2022-09-21T04:00:00Z,55,1437.73
1327.5,1462.5,1301.25,215,1462.5,2022-09-22T04:00:00Z,39,1356.14
1282.5,1327.5,1230.0,282,1312.5,2022-09-23T04:00:00Z,62,1287.58
1132.5,1282.5,1125.0,339,1282.5,2022-09-26T04:00:00Z,74,1172.39
1087.5,1125.0,1050.0,307,1125.0,2022-09-27T04:00:00Z,54,1084.58
832.5,1110.0,727.05,1321,1050.0,2022-09-28T04:00:00Z,293,903.88
677.7,825.0,667.5,1463,810.0,2022-09-29T04:00:00Z,627,749.28
651.98,742.5,647.85,730,675.0,2022-09-30T04:00:00Z,172,688.26
596.85,697.5,570.08,979,675.0,2022-10-03T04:00:00Z,299,617.21
1072.5,1188.75,623.76,22100,667.5,2022-10-04T04:00:00Z,13092,976.51
2070.0,2280.0,1560.0,434442,1597.5,2022-10-05T04:00:00Z,180852,1954.96
3412.5,3682.5,2542.73,297235,3135.0,2022-10-06T04:00:00Z,107669,2972.43
2850.0,2917.5,2407.5,47566,2587.5,2022-10-07T04:00:00Z,18974,2696.19
3300.0,3637.5,2437.5,61710,2445.0,2022-10-10T04:00:00Z,26909,3202.21
3750.0,3900.0,3112.5,57215,3172.5,2022-10-11T04:00:00Z,24513,3606.04
5025.0,5655.0,4455.0,235599,4575.0,2022-10-12T04:00:00Z,77091,5099.28
4635.0,5010.0,4035.0,47316,4687.5,2022-10-13T04:00:00Z,14213,4604.12
4297.5,5062.5,3997.5,23280,4830.0,2022-10-14T04:00:00Z,6937,4701.68
4237.5,4387.5,3405.0,23313,4275.0,2022-10-17T04:00:00Z,6298,3863.78
3585.0,4087.5,3525.0,9240,4087.5,2022-10-18T04:00:00Z,2470,3788.84
2850.0,3652.5,2850.0,11313,3615.0,2022-10-19T04:00:00Z,2626,3163.58
3697.5,3975.0,2820.0,29407,2985.0,2022-10-20T04:00:00Z,10646,3581.2
3870.0,4380.0,3615.0,67987,3997.5,2022-10-21T04:00:00Z,20216,4019.22
3622.5,3839.93,3465.0,7755,3802.5,2022-10-24T04:00:00Z,1745,3639.24
3195.0,3584.93,3165.0,5477,3442.5,2022-10-25T04:00:00Z,1388,3325.91
3165.0,3389.93,3119.33,5332,3232.5,2022-10-26T04:00:00Z,1219,3241.28
2715.0,3164.93,2715.0,5791,3150.0,2022-10-27T04:00:00Z,1684,2897.67
