c,h,l,n,o,t,v,vw
75.99,76.17,75.25,49942,75.83,2016-01-04T05:00:00Z,7602056,75.75
76.52,76.82,75.95,37849,76.02,2016-01-05T05:00:00Z,5187724,76.42
76.54,76.76,75.49,43788,75.49,2016-01-06T05:00:00Z,5938882,76.39
75.07,76.16,74.79,42545,75.76,2016-01-07T05:00:00Z,5866455,75.38
74.79,75.89,74.59,40865,75.27,2016-01-08T05:00:00Z,5277843,75.24
74.97,75.34,74.53,47308,74.89,2016-01-11T05:00:00Z,5968935,74.98
75.11,75.72,74.74,42875,75.72,2016-01-12T05:00:00Z,5591349,75.12
74.25,75.35,74.13,42915,74.99,2016-01-13T05:00:00Z,5522879,74.62
73.72,74.69,73.6,52634,74.17,2016-01-14T05:00:00Z,7243178,74.03
72.27,72.75,71.78,61871,72.29,2016-01-15T05:00:00Z,9684691,72.22
73.69,73.94,72.68,51573,72.83,2016-01-19T05:00:00Z,7296962,73.26
72.15,73.42,71.78,60245,72.98,2016-01-20T05:00:00Z,8077822,72.39
72.69,72.84,71.75,45309,72.35,2016-01-21T05:00:00Z,6364667,72.49
73.75,74.09,72.42,48140,73.0,2016-01-22T05:00:00Z,7461308,73.47
73.82,74.5,73.5,33231,73.8,2016-01-25T05:00:00Z,4768997,74.01
74.11,74.8,73.68,30546,73.79,2016-01-26T05:00:00Z,4076133,74.22
73.82,74.85,73.52,38147,73.78,2016-01-27T05:00:00Z,7298758,73.99
74.98,75.32,73.92,41077,74.19,2016-01-28T05:00:00Z,5557534,74.83
76.4,76.4,75.08,46496,75.3,2016-01-29T05:00:00Z,9398659,76.15
76.19,76.48,75.03,29467,75.81,2016-02-01T05:00:00Z,4094660,76.11
75.56,75.92,75.4,31408,75.9,2016-02-02T05:00:00Z,4064361,75.66
75.96,76.19,75.09,46931,76.13,2016-02-03T05:00:00Z,5487898,75.67
74.93,76.09,74.63,43202,75.92,2016-02-04T05:00:00Z,5810458,75.06
74.88,75.18,74.48,41972,75.12,2016-02-05T05:00:00Z,6026040,74.8
75.03,75.32,74.17,39199,74.74,2016-02-08T05:00:00Z,5109481,74.77
75.62,76.01,74.2,43350,74.39,2016-02-09T05:00:00Z,5197360,75.27
75.11,75.96,75.03,35885,75.59,2016-02-10T05:00:00Z,4793717,75.42
74.55,75.35,73.93,50800,74.16,2016-02-11T05:00:00Z,6198944,74.43
75.78,75.86,73.98,38443,73.98,2016-02-12T05:00:00Z,5675279,75.64
75.86,76.4,75.48,33051,76.32,2016-02-16T05:00:00Z,5136455,75.82
76.59,76.86,76.02,34580,76.17,2016-02-17T05:00:00Z,4814376,76.51
