c,h,l,n,o,t,v,vw
24.04,24.05,23.78,11952,23.85,2016-01-04T05:00:00Z,3823612,23.93
24.07,24.14,24.04,10184,24.07,2016-01-05T05:00:00Z,3246607,24.09
24.01,24.05,23.9,10426,24.0,2016-01-06T05:00:00Z,3123363,23.99
23.86,23.96,23.82,10842,23.87,2016-01-07T05:00:00Z,2549001,23.89
23.93,23.95,23.87,7442,23.87,2016-01-08T05:00:00Z,1971226,23.92
23.8,23.96,23.77,8476,23.93,2016-01-11T05:00:00Z,2186127,23.84
23.78,23.89,23.74,7215,23.85,2016-01-12T05:00:00Z,1686417,23.8
23.62,23.85,23.62,9147,23.82,2016-01-13T05:00:00Z,2268575,23.73
23.64,23.72,23.54,7496,23.67,2016-01-14T05:00:00Z,1942002,23.65
23.54,23.59,23.42,14495,23.53,2016-01-15T05:00:00Z,4213414,23.51
23.51,23.64,23.5,15766,23.61,2016-01-19T05:00:00Z,5129317,23.55
23.37,23.47,23.09,20918,23.44,2016-01-20T05:00:00Z,5879566,23.25
23.42,23.5,23.3,12126,23.39,2016-01-21T05:00:00Z,2990780,23.43
23.54,23.59,23.5,12306,23.53,2016-01-22T05:00:00Z,2708391,23.55
23.43,23.57,23.41,10887,23.57,2016-01-25T05:00:00Z,2586159,23.47
23.46,23.52,23.44,11742,23.45,2016-01-26T05:00:00Z,2852455,23.47
23.52,23.58,23.48,15148,23.56,2016-01-27T05:00:00Z,2990485,23.53
23.56,23.63,23.52,12526,23.59,2016-01-28T05:00:00Z,2776107,23.55
23.7,23.71,23.58,14009,23.61,2016-01-29T05:00:00Z,3155454,23.67
23.78,23.78,23.64,10124,23.72,2016-02-01T05:00:00Z,2683544,23.73
23.71,23.75,23.69,11396,23.74,2016-02-02T05:00:00Z,3693144,23.72
23.68,23.76,23.61,12807,23.74,2016-02-03T05:00:00Z,3894422,23.66
23.59,23.67,23.54,8816,23.66,2016-02-04T05:00:00Z,2332145,23.61
23.44,23.6,23.4,14381,23.59,2016-02-05T05:00:00Z,4214560,23.47
23.0,23.39,22.92,24288,23.39,2016-02-08T05:00:00Z,7825352,23.07
22.79,22.89,22.48,27260,22.78,2016-02-09T05:00:00Z,7565918,22.72
22.93,23.1,22.87,12274,22.97,2016-02-10T05:00:00Z,3145308,22.98
22.44,22.77,22.21,30147,22.58,2016-02-11T05:00:00Z,9932211,22.46
22.63,22.73,22.54,15639,22.61,2016-02-12T05:00:00Z,4735968,22.64
23.03,23.09,22.79,13069,22.79,2016-02-16T05:00:00Z,3889843,22.98
23.29,23.35,23.16,16291,23.19,2016-02-17T05:00:00Z,4021860,23.3
23.4,23.42,23.31,14153,23.4,2016-02-18T05:00:00Z,4345663,23.38
23.43,23.45,23.27,10198,23.37,2016-02-19T05:00:00Z,2407795,23.39
23.39,23.55,23.39,9505,23.52,2016-02-22T05:00:00Z,3012482,23.45
23.42,23.43,23.29,7497,23.39,2016-02-23T05:00:00Z,2108961,23.38
23.47,23.48,23.25,11318,23.35,2016-02-24T05:00:00Z,2940755,23.38
23.64,23.65,23.42,8784,23.42,2016-02-25T05:00:00Z,2106788,23.58
23.65,23.73,23.61,8499,23.71,2016-02-26T05:00:00Z,1825859,23.66
23.71,23.81,23.68,10678,23.72,2016-02-29T05:00:00Z,2735556,23.71
23.79,23.89,23.7,11197,23.79,2016-03-01T05:00:00Z,5570282,23.82
23.75,23.85,23.74,9287,23.8,2016-03-02T05:00:00Z,2561307,23.78
23.77,23.82,23.75,6920,23.75,2016-03-03T05:00:00Z,2003896,23.79
23.78,23.85,23.76,9001,23.79,2016-03-04T05:00:00Z,2648873,23.8
23.82,23.86,23.78,9481,23.78,2016-03-07T05:00:00Z,2800144,23.83
23.79,23.82,23.77,8346,23.82,2016-03-08T05:00:00Z,1780164,23.8
