c,h,l,n,o,t,v,vw
9.445,9.445,9.445,12,9.445,2016-01-04T05:00:00Z,2930,9.433
9.347,9.483,9.256,67,9.445,2016-01-05T05:00:00Z,12006,9.305
9.294,9.475,9.256,50,9.256,2016-01-06T05:00:00Z,17545,9.278
9.289,9.43,9.256,16,9.256,2016-01-07T05:00:00Z,1514,9.319
9.475,9.475,9.369,40,9.369,2016-01-08T05:00:00Z,14605,9.447
9.46,9.611,9.445,65,9.521,2016-01-11T05:00:00Z,11926,9.49
9.445,9.46,9.445,15,9.46,2016-01-12T05:00:00Z,4089,9.448
9.241,9.659,8.891,84,9.37,2016-01-13T05:00:00Z,21686,9.23
9.119,9.119,8.747,82,9.119,2016-01-14T05:00:00Z,21940,9.045
8.694,9.04,8.686,160,8.967,2016-01-15T05:00:00Z,44496,8.83
8.684,8.694,8.261,176,8.694,2016-01-19T05:00:00Z,72635,8.556
8.534,8.625,8.519,102,8.519,2016-01-20T05:00:00Z,19413,8.537
8.61,8.671,8.504,33,8.534,2016-01-21T05:00:00Z,11820,8.541
8.679,8.701,8.534,32,8.701,2016-01-22T05:00:00Z,7420,8.597
8.633,8.755,8.61,15,8.663,2016-01-25T05:00:00Z,1135,8.633
9.309,9.309,8.831,65,8.831,2016-01-26T05:00:00Z,11580,9.077
9.294,9.309,9.18,27,9.207,2016-01-27T05:00:00Z,4483,9.206
9.598,9.682,9.123,58,9.123,2016-01-28T05:00:00Z,12807,9.464
9.667,9.682,9.53,23,9.621,2016-01-29T05:00:00Z,4172,9.655
9.439,9.651,9.416,13,9.651,2016-02-01T05:00:00Z,1867,9.584
9.431,9.431,9.423,10,9.423,2016-02-02T05:00:00Z,1280,9.444
9.499,9.537,9.499,32,9.537,2016-02-03T05:00:00Z,4987,9.511
9.575,9.613,9.499,23,9.613,2016-02-04T05:00:00Z,8260,9.543
9.347,9.575,8.717,165,9.575,2016-02-05T05:00:00Z,41187,9.153
9.439,9.572,8.99,49,8.99,2016-02-08T05:00:00Z,7741,9.322
9.507,9.515,9.454,16,9.454,2016-02-09T05:00:00Z,1366,9.495
9.507,9.559,9.454,14,9.454,2016-02-10T05:00:00Z,3608,9.477
9.347,9.499,9.287,32,9.431,2016-02-11T05:00:00Z,4564,9.366
9.499,9.499,9.021,42,9.066,2016-02-12T05:00:00Z,37506,9.041
9.355,9.53,9.089,62,9.332,2016-02-16T05:00:00Z,6215,9.332
9.423,9.423,9.249,23,9.317,2016-02-17T05:00:00Z,1799,9.327
9.309,9.309,9.309,5,9.309,2016-02-18T05:00:00Z,162,9.3
9.165,9.407,9.165,11,9.378,2016-02-19T05:00:00Z,960,9.282
9.142,9.347,9.131,24,9.157,2016-02-22T05:00:00Z,4537,9.199
9.264,9.271,9.119,58,9.119,2016-02-23T05:00:00Z,10922,9.21
9.364,9.364,9.119,15,9.127,2016-02-24T05:00:00Z,2005,9.163
9.461,9.461,9.385,6,9.385,2016-02-25T05:00:00Z,654,9.443
9.499,9.499,9.347,13,9.423,2016-02-26T05:00:00Z,1335,9.429
9.355,9.575,9.355,30,9.492,2016-02-29T05:00:00Z,2670,9.489
9.355,9.355,9.355,0,9.355,2016-03-01T05:00:00Z,0,0.0
9.689,9.689,9.575,37,9.575,2016-03-02T05:00:00Z,7355,9.647
9.37,9.689,9.37,26,9.644,2016-03-03T05:00:00Z,4547,9.612
9.515,9.638,9.499,27,9.638,2016-03-04T05:00:00Z,2564,9.524
9.446,9.636,9.135,30,9.484,2016-03-07T05:00:00Z,4582,9.392
9.325,9.492,9.325,24,9.469,2016-03-08T05:00:00Z,2411,9.461
9.568,9.568,9.431,17,9.499,2016-03-09T05:00:00Z,1789,9.506
9.499,9.659,9.499,8,9.659,2016-03-10T05:00:00Z,2101,9.626
9.879,9.879,9.537,30,9.537,2016-03-11T05:00:00Z,3513,9.78
9.674,10.04,9.674,27,9.955,2016-03-14T04:00:00Z,2229,9.938
10.04,10.11,9.537,23,9.857,2016-03-15T04:00:00Z,3159,9.912
10.03,10.03,9.955,19,10.03,2016-03-16T04:00:00Z,3138,10.0
9.993,9.993,9.986,13,9.986,2016-03-17T04:00:00Z,517,9.998
10.05,10.05,9.94,32,9.993,2016-03-18T04:00:00Z,12710,10.01
10.06,10.1,10.05,14,10.05,2016-03-21T04:00:00Z,875,10.08
10.06,10.06,10.06,5,10.06,2016-03-22T04:00:00Z,122,10.08
10.07,10.11,10.03,27,10.11,2016-03-23T04:00:00Z,5406,10.05
9.895,10.12,9.895,9,10.12,2016-03-24T04:00:00Z,631,10.06
10.11,10.18,9.895,17,9.895,2016-03-28T04:00:00Z,5839,9.988
10.13,10.26,10.09,19,10.09,2016-03-29T04:00:00Z,1687,10.15
10.04,10.26,9.917,98,10.18,2016-03-30T04:00:00Z,11732,10.04
10.07,10.07,10.02,32,10.03,2016-03-31T04:00:00Z,33605,10.03
10.19,10.26,10.18,33,10.18,2016-04-01T04:00:00Z,7787,10.25
10.11,10.26,10.11,13,10.26,2016-04-04T04:00:00Z,3239,10.18
10.22,10.22,10.15,6,10.15,2016-04-05T04:00:00Z,969,10.19
10.25,10.25,10.11,23,10.11,2016-04-06T04:00:00Z,6047,10.13
10.15,10.25,10.1,18,10.11,2016-04-07T04:00:00Z,6367,10.17
10.21,10.21,10.2,7,10.2,2016-04-08T04:00:00Z,730,10.19
10.1,10.26,10.1,22,10.18,2016-04-11T04:00:00Z,8307,10.19
10.2,10.25,10.2,12,10.22,2016-04-12T04:00:00Z,4707,10.22
10.25,10.25,10.23,13,10.23,2016-04-13T04:00:00Z,985,10.24
10.31,10.32,10.21,36,10.32,2016-04-14T04:00:00Z,11776,10.32
10.15,10.32,10.15,13,10.3,2016-04-15T04:00:00Z,2913,10.25
10.18,10.32,10.18,16,10.31,2016-04-18T04:00:00Z,1124,10.26
10.31,10.32,10.24,34,10.31,2016-04-19T04:00:00Z,8917,10.28
10.51,10.52,10.31,69,10.31,2016-04-20T04:00:00Z,18397,10.36
10.66,10.7,10.6,35,10.7,2016-04-21T04:00:00Z,11992,10.69
10.7,10.75,10.56,65,10.67,2016-04-22T04:00:00Z,16864,10.71
10.73,10.74,10.63,62,10.67,2016-04-25T04:00:00Z,6968,10.71
10.75,10.75,10.73,44,10.75,2016-04-26T04:00:00Z,9256,10.74
10.75,10.75,10.73,30,10.75,2016-04-27T04:00:00Z,6034,10.74
10.73,10.75,10.72,29,10.75,2016-04-28T04:00:00Z,2951,10.74
10.56,10.7,10.56,36,10.7,2016-04-29T04:00:00Z,4266,10.68
10.02,10.58,9.867,129,10.58,2016-05-02T04:00:00Z,23519,10.22
9.992,10.06,9.992,19,10.03,2016-05-03T04:00:00Z,1711,10.02
10.05,10.06,9.87,22,9.9,2016-05-04T04:00:00Z,4266,9.969
10.18,10.21,10.09,76,10.13,2016-05-05T04:00:00Z,11827,10.14
10.21,10.28,10.18,14,10.18,2016-05-06T04:00:00Z,1679,10.24
10.13,10.36,10.09,80,10.21,2016-05-09T04:00:00Z,22427,10.17
10.08,10.08,10.08,6,10.08,2016-05-10T04:00:00Z,773,10.08
10.08,10.08,10.02,5,10.02,2016-05-11T04:00:00Z,345,10.08
10.05,10.14,10.05,7,10.07,2016-05-12T04:00:00Z,872,10.08
9.877,10.05,9.877,22,10.05,2016-05-13T04:00:00Z,4038,9.976
10.02,10.18,9.847,13,9.877,2016-05-16T04:00:00Z,6568,9.878
9.877,10.04,9.877,17,9.969,2016-05-17T04:00:00Z,1419,9.933
9.923,9.946,9.847,39,9.946,2016-05-18T04:00:00Z,6180,9.91
9.87,9.87,9.862,25,9.862,2016-05-19T04:00:00Z,1210,9.872
9.87,10.08,9.862,15,9.877,2016-05-20T04:00:00Z,3611,9.892
9.969,10.03,9.862,29,9.862,2016-05-23T04:00:00Z,2997,9.919
9.923,10.03,9.87,36,9.877,2016-05-24T04:00:00Z,3634,9.89
9.892,10.03,9.892,49,9.997,2016-05-25T04:00:00Z,6697,9.936
9.977,9.999,9.862,28,9.885,2016-05-26T04:00:00Z,3995,9.962
9.877,9.996,9.862,27,9.996,2016-05-27T04:00:00Z,2513,9.912
10.05,10.05,9.877,49,9.92,2016-05-31T04:00:00Z,3564,9.917
9.938,10.06,9.938,25,10.06,2016-06-01T04:00:00Z,5771,10.0
9.946,10.01,9.946,14,10.01,2016-06-02T04:00:00Z,1101,9.975
9.946,9.946,9.946,0,9.946,2016-06-03T04:00:00Z,0,0.0
9.923,10.01,9.923,13,10.01,2016-06-06T04:00:00Z,2224,9.983
9.862,9.938,9.862,19,9.938,2016-06-07T04:00:00Z,10095,9.866
9.938,9.938,9.892,16,9.928,2016-06-08T04:00:00Z,4649,9.91
9.892,10.05,9.862,25,9.892,2016-06-09T04:00:00Z,7105,9.885
9.885,9.938,9.885,5,9.938,2016-06-10T04:00:00Z,946,9.917
10.04,10.08,9.87,25,9.938,2016-06-13T04:00:00Z,10592,9.946
10.04,10.04,9.923,28,9.923,2016-06-14T04:00:00Z,830,9.96
9.984,10.17,9.931,46,9.931,2016-06-15T04:00:00Z,7524,10.1
10.06,10.08,10.03,12,10.08,2016-06-16T04:00:00Z,629,10.04
10.09,10.1,9.977,37,10.08,2016-06-17T04:00:00Z,14300,10.09
9.996,10.17,9.977,38,10.08,2016-06-20T04:00:00Z,8163,10.05
10.08,10.08,10.05,23,10.08,2016-06-21T04:00:00Z,3855,10.08
10.09,10.13,9.977,39,10.11,2016-06-22T04:00:00Z,7893,10.07
10.09,10.11,10.01,63,10.01,2016-06-23T04:00:00Z,14218,10.08
10.08,10.11,10.01,54,10.11,2016-06-24T04:00:00Z,17868,10.08
9.816,10.09,9.816,64,10.09,2016-06-27T04:00:00Z,13133,9.975
9.816,9.816,9.816,7,9.816,2016-06-28T04:00:00Z,319,9.814
9.892,9.908,9.755,27,9.816,2016-06-29T04:00:00Z,4169,9.827
9.877,9.892,9.87,21,9.877,2016-06-30T04:00:00Z,3193,9.884
9.862,9.877,9.862,27,9.877,2016-07-01T04:00:00Z,6170,9.863
9.637,9.723,9.571,14,9.723,2016-07-05T04:00:00Z,738,9.665
9.793,9.824,9.64,21,9.64,2016-07-06T04:00:00Z,2919,9.748
9.824,9.84,9.816,15,9.816,2016-07-07T04:00:00Z,3090,9.819
9.977,10.09,9.785,34,9.785,2016-07-08T04:00:00Z,5107,9.922
10.07,10.09,10.01,86,10.01,2016-07-11T04:00:00Z,6570,10.07
10.08,10.09,9.76,49,10.09,2016-07-12T04:00:00Z,5356,10.03
10.15,10.15,9.826,20,10.14,2016-07-13T04:00:00Z,4983,10.1
10.14,10.15,9.75,33,10.15,2016-07-14T04:00:00Z,31935,10.07
10.04,10.14,10.04,9,10.14,2016-07-15T04:00:00Z,2200,10.13
10.29,10.33,10.11,40,10.11,2016-07-18T04:00:00Z,23053,10.14
10.21,10.33,10.21,48,10.28,2016-07-19T04:00:00Z,8563,10.29
10.34,10.38,10.13,49,10.22,2016-07-20T04:00:00Z,22802,10.28
10.42,10.58,10.3,55,10.34,2016-07-21T04:00:00Z,20263,10.46
10.5,10.58,10.44,40,10.48,2016-07-22T04:00:00Z,18417,10.52
10.51,10.53,10.43,23,10.51,2016-07-25T04:00:00Z,5049,10.48
10.46,10.54,10.46,30,10.54,2016-07-26T04:00:00Z,5376,10.5
10.42,10.42,10.42,11,10.42,2016-07-27T04:00:00Z,313,10.43
10.42,10.42,10.42,0,10.42,2016-07-28T04:00:00Z,0,0.0
10.38,10.5,10.38,38,10.42,2016-07-29T04:00:00Z,3342,10.42
10.47,10.5,10.46,17,10.46,2016-08-01T04:00:00Z,8149,10.48
10.48,10.5,10.47,12,10.48,2016-08-02T04:00:00Z,3118,10.47
10.48,10.5,10.48,8,10.5,2016-08-03T04:00:00Z,1542,10.5
10.46,10.46,10.46,14,10.46,2016-08-04T04:00:00Z,4770,10.46
10.43,10.48,10.39,45,10.46,2016-08-05T04:00:00Z,4303,10.47
10.55,10.58,10.38,73,10.5,2016-08-08T04:00:00Z,23695,10.44
10.51,10.55,10.51,8,10.55,2016-08-09T04:00:00Z,1076,10.53
10.5,10.51,10.48,28,10.51,2016-08-10T04:00:00Z,3356,10.5
10.51,10.58,10.5,36,10.5,2016-08-11T04:00:00Z,15362,10.54
10.48,10.52,10.47,29,10.51,2016-08-12T04:00:00Z,4328,10.5
10.51,10.54,10.5,14,10.54,2016-08-15T04:00:00Z,1679,10.52
10.54,10.56,10.46,12,10.46,2016-08-16T04:00:00Z,1620,10.54
10.54,10.54,10.54,4,10.54,2016-08-17T04:00:00Z,206,10.54
10.68,10.69,10.49,44,10.49,2016-08-18T04:00:00Z,28218,10.54
10.76,10.77,10.65,22,10.65,2016-08-19T04:00:00Z,3005,10.76
10.74,10.77,10.71,57,10.77,2016-08-22T04:00:00Z,24451,10.74
10.87,10.88,10.73,94,10.76,2016-08-23T04:00:00Z,20619,10.77
10.75,11.23,10.71,145,10.84,2016-08-24T04:00:00Z,22104,10.84
10.61,10.91,10.58,44,10.77,2016-08-25T04:00:00Z,16996,10.75
10.59,10.61,10.51,68,10.57,2016-08-26T04:00:00Z,11989,10.57
10.58,10.59,10.53,102,10.59,2016-08-29T04:00:00Z,14597,10.55
10.77,10.91,10.56,48,10.56,2016-08-30T04:00:00Z,7732,10.73
10.85,10.91,10.62,46,10.64,2016-08-31T04:00:00Z,7966,10.82
10.91,10.92,10.61,80,10.61,2016-09-01T04:00:00Z,13956,10.91
11.17,11.17,11.09,89,11.11,2016-09-02T04:00:00Z,18099,11.11
11.42,12.83,11.09,228,11.21,2016-09-06T04:00:00Z,26980,11.43
11.58,11.74,11.44,187,11.44,2016-09-07T04:00:00Z,29254,11.56
11.49,11.55,11.46,51,11.55,2016-09-08T04:00:00Z,5666,11.48
11.63,11.68,11.54,54,11.68,2016-09-09T04:00:00Z,4163,11.6
11.51,11.81,11.26,71,11.73,2016-09-12T04:00:00Z,7874,11.65
11.43,11.56,11.31,46,11.56,2016-09-13T04:00:00Z,2441,11.46
11.47,11.6,11.46,31,11.47,2016-09-14T04:00:00Z,1468,11.54
11.91,12.0,11.33,83,11.53,2016-09-15T04:00:00Z,18743,11.86
11.91,12.19,11.47,43,11.95,2016-09-16T04:00:00Z,28911,11.9
12.19,12.28,11.91,97,11.91,2016-09-19T04:00:00Z,21107,12.17
11.75,12.28,11.75,36,12.28,2016-09-20T04:00:00Z,5182,12.13
11.81,12.2,11.74,32,11.94,2016-09-21T04:00:00Z,2943,11.88
11.97,12.28,11.97,28,12.28,2016-09-22T04:00:00Z,2542,12.06
11.81,12.07,11.81,21,11.86,2016-09-23T04:00:00Z,1432,11.89
12.0,12.05,11.84,18,11.95,2016-09-26T04:00:00Z,2277,11.9
11.84,12.13,11.84,28,12.13,2016-09-27T04:00:00Z,2054,11.98
11.73,11.89,11.73,25,11.76,2016-09-28T04:00:00Z,2663,11.77
12.04,12.14,11.77,21,11.77,2016-09-29T04:00:00Z,1948,11.96
11.6,11.94,11.6,42,11.94,2016-09-30T04:00:00Z,4259,11.76
11.75,11.76,11.54,36,11.54,2016-10-03T04:00:00Z,4590,11.7
11.64,11.65,11.34,60,11.61,2016-10-04T04:00:00Z,11537,11.61
11.62,11.65,11.45,5,11.65,2016-10-05T04:00:00Z,698,11.59
11.6,11.64,11.6,10,11.64,2016-10-06T04:00:00Z,1188,11.63
11.65,11.65,11.35,20,11.63,2016-10-07T04:00:00Z,2245,11.55
11.64,11.64,11.64,3,11.64,2016-10-10T04:00:00Z,518,11.64
11.54,11.65,11.54,20,11.65,2016-10-11T04:00:00Z,7154,11.58
11.61,11.64,11.58,26,11.64,2016-10-12T04:00:00Z,4548,11.6
11.52,11.58,11.52,28,11.58,2016-10-13T04:00:00Z,13207,11.52
11.53,11.6,11.52,19,11.52,2016-10-14T04:00:00Z,2167,11.55
11.64,11.64,11.48,35,11.48,2016-10-17T04:00:00Z,6093,11.57
11.6,11.69,11.48,23,11.69,2016-10-18T04:00:00Z,5254,11.61
11.52,11.52,11.52,3,11.52,2016-10-19T04:00:00Z,158,11.54
11.71,11.71,11.71,13,11.71,2016-10-20T04:00:00Z,1464,11.71
11.7,11.71,11.68,9,11.71,2016-10-21T04:00:00Z,1311,11.7
11.75,11.79,11.63,75,11.71,2016-10-24T04:00:00Z,31843,11.72
12.14,12.64,11.75,155,11.79,2016-10-25T04:00:00Z,34306,12.04
11.79,12.29,11.79,100,12.14,2016-10-26T04:00:00Z,21150,12.16
11.91,12.39,11.64,92,12.39,2016-10-27T04:00:00Z,24885,11.87
12.22,12.22,11.87,44,11.95,2016-10-28T04:00:00Z,105978,12.1
12.06,12.35,12.0,130,12.22,2016-10-31T04:00:00Z,20192,12.19
12.26,12.49,11.91,47,12.41,2016-11-01T04:00:00Z,9050,12.3
12.29,12.33,12.28,11,12.33,2016-11-02T04:00:00Z,1225,12.3
12.21,12.53,12.12,42,12.53,2016-11-03T04:00:00Z,9336,12.39
12.22,12.24,12.08,14,12.22,2016-11-04T04:00:00Z,1990,12.2
12.29,12.29,12.18,41,12.24,2016-11-07T05:00:00Z,5312,12.22
12.11,12.27,12.11,29,12.26,2016-11-08T05:00:00Z,3623,12.2
12.37,12.37,11.98,20,11.98,2016-11-09T05:00:00Z,4298,12.15
12.68,12.72,12.26,48,12.37,2016-11-10T05:00:00Z,11447,12.49
12.76,12.76,12.49,28,12.49,2016-11-11T05:00:00Z,8429,12.66
13.22,13.45,12.84,72,12.87,2016-11-14T05:00:00Z,13502,13.04
13.21,13.25,13.07,15,13.25,2016-11-15T05:00:00Z,2051,13.21
12.91,13.2,12.49,48,12.53,2016-11-16T05:00:00Z,6183,12.9
13.11,13.9,12.76,90,13.03,2016-11-17T05:00:00Z,6086,13.03
13.49,13.49,13.03,46,13.03,2016-11-18T05:00:00Z,11230,13.35
13.26,13.53,13.26,93,13.42,2016-11-21T05:00:00Z,12893,13.38
13.49,13.49,13.34,26,13.34,2016-11-22T05:00:00Z,3707,13.41
13.34,13.42,13.18,22,13.42,2016-11-23T05:00:00Z,8327,13.33
13.45,13.48,13.38,27,13.42,2016-11-25T05:00:00Z,4191,13.42
13.49,13.49,13.42,32,13.42,2016-11-28T05:00:00Z,4077,13.5
13.42,13.47,13.42,13,13.46,2016-11-29T05:00:00Z,17769,13.42
13.45,13.53,13.45,13,13.5,2016-11-30T05:00:00Z,1207,13.47
13.36,13.53,13.36,34,13.53,2016-12-01T05:00:00Z,5465,13.41
13.57,13.57,13.45,26,13.53,2016-12-02T05:00:00Z,6605,13.52
13.65,13.76,13.42,49,13.42,2016-12-05T05:00:00Z,9781,13.6
13.8,14.38,13.72,124,13.72,2016-12-06T05:00:00Z,23353,13.87
14.05,14.19,13.92,57,13.92,2016-12-07T05:00:00Z,11583,13.97
14.07,14.15,13.96,108,14.03,2016-12-08T05:00:00Z,20767,14.06
14.15,14.19,13.92,56,14.03,2016-12-09T05:00:00Z,8420,14.07
14.15,14.55,14.03,78,14.19,2016-12-12T05:00:00Z,9054,14.25
14.19,14.3,14.11,37,14.3,2016-12-13T05:00:00Z,10914,14.2
14.27,14.73,14.21,79,14.25,2016-12-14T05:00:00Z,17564,14.41
14.54,14.54,14.23,30,14.27,2016-12-15T05:00:00Z,3876,14.32
14.27,14.54,14.27,42,14.5,2016-12-16T05:00:00Z,20242,14.3
