c,h,l,n,o,t,v,vw
51.15,51.15,48.33,2064,48.75,2016-01-04T05:00:00Z,71741,50.05
51.99,52.08,50.3,1733,50.3,2016-01-05T05:00:00Z,55105,51.52
50.58,51.92,50.07,1147,50.82,2016-01-06T05:00:00Z,46581,50.84
48.33,50.51,47.39,1778,49.27,2016-01-07T05:00:00Z,58486,48.56
48.24,49.32,47.67,1172,47.81,2016-01-08T05:00:00Z,33907,48.29
48.66,49.41,45.0,1885,49.41,2016-01-11T05:00:00Z,70750,47.28
46.36,48.71,45.42,1815,48.0,2016-01-12T05:00:00Z,129832,46.67
44.34,46.45,43.5,1124,45.75,2016-01-13T05:00:00Z,36251,45.02
44.2,45.52,42.79,1192,44.11,2016-01-14T05:00:00Z,31881,44.18
42.09,43.87,40.8,2101,43.31,2016-01-15T05:00:00Z,75979,42.16
41.95,42.47,40.73,1365,42.09,2016-01-19T05:00:00Z,43345,41.68
41.67,42.23,38.16,2355,42.23,2016-01-20T05:00:00Z,61185,40.33
36.13,42.77,35.71,3821,42.7,2016-01-21T05:00:00Z,116474,38.06
36.6,40.82,35.29,4271,37.73,2016-01-22T05:00:00Z,224018,37.4
36.93,37.3,34.47,2167,35.61,2016-01-25T05:00:00Z,76195,36.15
38.85,39.65,35.94,1443,36.46,2016-01-26T05:00:00Z,83503,38.02
39.74,39.88,38.01,1758,38.01,2016-01-27T05:00:00Z,60503,39.1
40.45,42.47,38.85,2510,39.56,2016-01-28T05:00:00Z,102794,41.27
39.46,41.25,38.29,1686,40.78,2016-01-29T05:00:00Z,76487,39.33
39.51,40.73,37.91,1135,38.57,2016-02-01T05:00:00Z,43600,39.41
38.29,41.25,38.01,1751,39.42,2016-02-02T05:00:00Z,58475,38.97
37.77,38.71,36.88,1182,38.43,2016-02-03T05:00:00Z,28387,37.65
37.12,38.57,36.55,1538,38.34,2016-02-04T05:00:00Z,42813,37.42
37.07,38.15,35.66,702,36.6,2016-02-05T05:00:00Z,21282,37.18
38.15,38.62,36.6,2030,36.69,2016-02-08T05:00:00Z,61677,37.67
38.1,38.95,37.3,1480,37.63,2016-02-09T05:00:00Z,39200,38.04
36.98,38.85,36.41,1919,38.85,2016-02-10T05:00:00Z,56038,37.42
36.55,38.38,35.24,1954,35.99,2016-02-11T05:00:00Z,71036,36.08
36.65,36.65,35.94,709,36.6,2016-02-12T05:00:00Z,24849,36.39
37.12,37.54,36.46,1650,37.54,2016-02-16T05:00:00Z,68319,36.9
37.54,37.54,36.55,1257,36.88,2016-02-17T05:00:00Z,48275,37.12
36.41,37.54,36.27,1595,36.74,2016-02-18T05:00:00Z,70718,36.73
36.83,37.49,35.8,2063,36.41,2016-02-19T05:00:00Z,66149,36.34
36.18,37.63,35.99,904,36.65,2016-02-22T05:00:00Z,30510,36.65
37.02,38.24,35.74,2540,35.76,2016-02-23T05:00:00Z,129474,37.03
35.57,37.12,34.54,1560,36.55,2016-02-24T05:00:00Z,48332,36.0
37.54,37.54,34.63,2040,35.66,2016-02-25T05:00:00Z,114796,36.0
37.16,37.54,36.65,1281,37.49,2016-02-26T05:00:00Z,68116,37.19
37.12,37.54,36.74,1201,37.07,2016-02-29T05:00:00Z,61526,36.9
37.02,37.3,36.55,858,37.3,2016-03-01T05:00:00Z,47126,36.89
37.12,37.3,36.74,1068,36.83,2016-03-02T05:00:00Z,29609,36.98
37.68,39.18,36.83,1430,37.35,2016-03-03T05:00:00Z,51334,38.22
37.68,39.88,37.41,1063,38.01,2016-03-04T05:00:00Z,27291,38.5
38.01,39.51,37.4,2024,37.4,2016-03-07T05:00:00Z,53149,38.39
37.4,38.45,36.51,1622,37.87,2016-03-08T05:00:00Z,41512,37.47
37.07,38.38,36.98,725,37.68,2016-03-09T05:00:00Z,16369,37.3
36.74,37.96,36.6,660,36.93,2016-03-10T05:00:00Z,16854,36.86
36.55,37.73,35.43,1459,36.98,2016-03-11T05:00:00Z,53450,37.01
37.44,38.59,36.41,3301,37.12,2016-03-14T04:00:00Z,99600,37.36
37.14,37.8,36.95,1355,37.8,2016-03-15T04:00:00Z,36898,37.37
37.28,37.94,36.76,663,37.28,2016-03-16T04:00:00Z,28350,37.29
37.75,37.99,36.43,2156,37.56,2016-03-17T04:00:00Z,68146,37.37
37.28,38.39,37.05,1259,37.75,2016-03-18T04:00:00Z,52099,37.58
36.48,37.71,36.2,1708,37.71,2016-03-21T04:00:00Z,46115,36.74
36.2,36.81,36.1,751,36.76,2016-03-22T04:00:00Z,24458,36.29
36.34,37.94,35.49,2185,36.57,2016-03-23T04:00:00Z,56392,36.8
36.81,37.52,35.91,1497,36.62,2016-03-24T04:00:00Z,35725,36.77
37.33,37.71,35.77,442,36.86,2016-03-28T04:00:00Z,12364,37.1
37.75,37.99,36.67,676,37.71,2016-03-29T04:00:00Z,21000,37.69
37.85,38.23,37.66,1140,37.75,2016-03-30T04:00:00Z,67302,37.88
38.89,38.89,37.89,1383,38.04,2016-03-31T04:00:00Z,61150,38.48
37.75,38.65,37.42,793,38.56,2016-04-01T04:00:00Z,29281,37.85
37.8,38.7,37.61,1419,37.75,2016-04-04T04:00:00Z,46447,38.1
37.75,38.37,37.42,931,37.71,2016-04-05T04:00:00Z,24838,37.73
39.59,39.64,37.75,1491,37.75,2016-04-06T04:00:00Z,43912,38.94
39.97,40.16,38.13,1796,39.22,2016-04-07T04:00:00Z,53769,39.36
41.67,41.76,40.16,1081,40.35,2016-04-08T04:00:00Z,28100,41.25
41.48,42.38,41.2,847,41.58,2016-04-11T04:00:00Z,24038,41.58
42.61,42.8,41.29,1059,41.58,2016-04-12T04:00:00Z,30156,42.3
42.33,43.65,41.95,1604,43.65,2016-04-13T04:00:00Z,73475,42.61
41.72,42.83,41.2,1599,42.24,2016-04-14T04:00:00Z,58832,42.13
41.43,42.28,41.29,816,41.43,2016-04-15T04:00:00Z,19812,41.71
41.06,41.72,40.25,1035,41.58,2016-04-18T04:00:00Z,43625,41.19
