c,h,l,n,o,t,v,vw
45.53,46.28,45.19,3078,45.64,2016-01-04T05:00:00Z,266816,45.59
45.55,46.2,45.24,2241,45.71,2016-01-05T05:00:00Z,215082,45.56
45.37,45.54,44.64,3006,44.75,2016-01-06T05:00:00Z,308145,45.22
44.17,45.14,43.87,2831,44.32,2016-01-07T05:00:00Z,293951,44.3
42.94,44.63,42.84,2367,44.63,2016-01-08T05:00:00Z,232769,43.61
43.17,43.68,42.33,2789,43.29,2016-01-11T05:00:00Z,297005,42.88
43.37,43.75,42.63,2217,43.7,2016-01-12T05:00:00Z,259750,43.22
42.54,43.52,41.9,3180,43.52,2016-01-13T05:00:00Z,272571,42.39
43.08,43.46,42.46,1770,42.92,2016-01-14T05:00:00Z,174141,43.06
42.49,43.07,41.32,3928,41.88,2016-01-15T05:00:00Z,386770,42.22
42.19,43.28,41.91,2609,42.75,2016-01-19T05:00:00Z,241862,42.37
42.64,42.86,40.57,4752,42.13,2016-01-20T05:00:00Z,391219,42.23
43.03,43.67,42.25,3668,42.6,2016-01-21T05:00:00Z,348609,42.95
43.92,44.3,43.18,3098,43.31,2016-01-22T05:00:00Z,312206,43.74
41.93,44.25,41.78,3236,44.16,2016-01-25T05:00:00Z,284361,42.67
44.49,44.54,42.24,5193,42.24,2016-01-26T05:00:00Z,462708,43.87
45.44,46.07,43.95,5799,44.24,2016-01-27T05:00:00Z,492258,45.33
46.56,47.7,46.02,3345,46.08,2016-01-28T05:00:00Z,349750,46.75
45.23,47.92,44.41,10296,47.11,2016-01-29T05:00:00Z,1110158,45.35
45.17,45.56,44.57,4116,45.04,2016-02-01T05:00:00Z,410203,45.21
43.65,44.68,43.38,3155,44.68,2016-02-02T05:00:00Z,188313,43.86
43.36,44.33,42.28,3320,44.19,2016-02-03T05:00:00Z,265164,43.05
43.33,44.2,42.7,2577,43.42,2016-02-04T05:00:00Z,223711,43.37
42.59,43.71,42.58,2535,43.44,2016-02-05T05:00:00Z,283749,42.88
40.93,42.23,40.71,4433,42.0,2016-02-08T05:00:00Z,337758,41.13
40.55,41.15,39.42,3672,40.22,2016-02-09T05:00:00Z,406329,40.16
41.13,41.65,40.75,3289,41.04,2016-02-10T05:00:00Z,297901,41.14
40.69,40.85,39.75,4027,40.72,2016-02-11T05:00:00Z,465976,40.51
42.5,42.74,41.4,2961,41.51,2016-02-12T05:00:00Z,260397,42.31
43.58,43.72,42.66,2829,43.15,2016-02-16T05:00:00Z,274818,43.46
43.27,43.99,43.03,2017,43.99,2016-02-17T05:00:00Z,268623,43.42
41.82,43.35,41.67,2258,43.35,2016-02-18T05:00:00Z,151724,42.06
42.16,42.57,41.74,1586,41.74,2016-02-19T05:00:00Z,155074,42.15
42.27,42.65,42.19,2032,42.65,2016-02-22T05:00:00Z,176555,42.35
40.9,42.22,40.89,3062,42.22,2016-02-23T05:00:00Z,238033,41.2
41.41,41.42,39.94,3039,40.28,2016-02-24T05:00:00Z,186785,40.81
41.63,41.84,40.91,1550,41.49,2016-02-25T05:00:00Z,138027,41.38
42.95,43.3,41.25,2852,42.11,2016-02-26T05:00:00Z,245842,42.82
42.19,42.94,42.1,2627,42.86,2016-02-29T05:00:00Z,347155,42.37
43.59,44.02,41.76,2293,42.44,2016-03-01T05:00:00Z,171093,43.42
43.77,43.88,43.07,2040,43.72,2016-03-02T05:00:00Z,192954,43.49
44.14,44.17,43.6,2209,43.68,2016-03-03T05:00:00Z,210602,43.96
43.75,44.9,43.65,3315,44.31,2016-03-04T05:00:00Z,328173,44.02
44.76,44.78,43.12,3354,43.5,2016-03-07T05:00:00Z,300630,44.29
43.25,44.59,43.16,2639,44.37,2016-03-08T05:00:00Z,425161,43.63
42.89,43.54,42.8,1880,43.48,2016-03-09T05:00:00Z,171978,43.08
43.23,43.38,42.18,2128,43.16,2016-03-10T05:00:00Z,172675,42.93
44.69,44.76,43.38,2424,43.66,2016-03-11T05:00:00Z,205437,44.25
44.5,44.73,43.8,2435,44.62,2016-03-14T04:00:00Z,215859,44.47
43.85,45.08,43.8,2715,44.44,2016-03-15T04:00:00Z,353118,44.32
43.22,44.05,42.66,2446,43.69,2016-03-16T04:00:00Z,239475,43.33
44.29,44.57,42.64,2320,43.22,2016-03-17T04:00:00Z,217019,43.91
44.58,45.19,44.1,2171,44.54,2016-03-18T04:00:00Z,469915,44.59
44.24,44.65,43.66,1969,44.4,2016-03-21T04:00:00Z,175935,44.16
44.17,44.42,43.57,1407,43.92,2016-03-22T04:00:00Z,136429,43.99
43.51,44.34,43.51,1803,43.98,2016-03-23T04:00:00Z,171879,43.75
43.24,43.3,42.64,1161,43.16,2016-03-24T04:00:00Z,106184,43.14
42.84,43.35,42.56,1715,43.29,2016-03-28T04:00:00Z,178437,42.87
43.76,43.78,41.97,2380,42.51,2016-03-29T04:00:00Z,235118,43.26
44.33,44.63,43.83,1974,43.9,2016-03-30T04:00:00Z,181800,44.29
44.64,44.79,43.79,2938,44.2,2016-03-31T04:00:00Z,374059,44.38
44.37,44.93,43.83,2257,44.26,2016-04-01T04:00:00Z,223522,44.36
44.65,45.01,44.04,1510,44.38,2016-04-04T04:00:00Z,125082,44.66
43.37,44.81,43.32,3055,44.21,2016-04-05T04:00:00Z,360571,43.58
44.2,44.33,43.21,2515,43.28,2016-04-06T04:00:00Z,267404,43.88
43.78,44.44,43.58,5252,43.83,2016-04-07T04:00:00Z,573006,43.76
43.85,45.34,43.63,3330,44.19,2016-04-08T04:00:00Z,344076,44.6
44.33,45.38,43.93,1786,44.05,2016-04-11T04:00:00Z,179259,44.62
45.02,45.15,44.18,1698,44.48,2016-04-12T04:00:00Z,131192,44.76
46.62,46.71,45.37,3705,45.39,2016-04-13T04:00:00Z,394068,46.32
46.8,47.81,46.35,3041,46.53,2016-04-14T04:00:00Z,295903,47.01
46.55,46.9,45.91,2080,46.51,2016-04-15T04:00:00Z,203371,46.38
47.03,47.32,46.29,1947,46.29,2016-04-18T04:00:00Z,156527,46.98
46.94,47.61,46.39,2907,47.02,2016-04-19T04:00:00Z,252404,46.74
