c,h,l,n,o,t,v,vw
71.98,72.6,71.45,3036,72.23,2016-01-04T05:00:00Z,331202,72.05
72.3,72.81,71.68,1837,72.28,2016-01-05T05:00:00Z,192112,72.27
71.62,72.05,70.87,1758,71.41,2016-01-06T05:00:00Z,187532,71.64
70.49,71.35,69.57,2369,70.28,2016-01-07T05:00:00Z,206372,70.8
69.07,70.73,69.01,2555,70.59,2016-01-08T05:00:00Z,299845,69.78
68.92,69.47,68.37,3081,69.18,2016-01-11T05:00:00Z,446573,68.84
70.1,70.29,68.98,2155,69.34,2016-01-12T05:00:00Z,254871,69.72
68.31,70.44,68.1,2460,70.44,2016-01-13T05:00:00Z,270065,68.91
69.03,69.67,67.63,2293,68.61,2016-01-14T05:00:00Z,247784,68.87
67.74,67.75,65.83,3484,67.02,2016-01-15T05:00:00Z,460727,67.12
68.22,68.69,67.53,2745,68.47,2016-01-19T05:00:00Z,284961,68.12
67.78,68.61,66.07,3571,67.45,2016-01-20T05:00:00Z,309706,67.33
67.62,68.26,66.77,3161,67.9,2016-01-21T05:00:00Z,283119,67.73
69.28,69.35,67.71,2544,68.39,2016-01-22T05:00:00Z,282562,69.02
70.89,71.74,68.59,7977,69.51,2016-01-25T05:00:00Z,789854,71.2
70.34,72.54,68.99,10372,71.16,2016-01-26T05:00:00Z,10222267,70.41
70.37,71.02,69.21,6156,69.67,2016-01-27T05:00:00Z,662945,70.31
72.65,72.83,70.0,5832,70.9,2016-01-28T05:00:00Z,598021,71.81
76.83,76.86,72.88,7702,72.88,2016-01-29T05:00:00Z,1001893,75.6
76.33,76.83,75.0,5878,76.37,2016-02-01T05:00:00Z,730686,76.03
73.55,74.78,73.03,4711,74.71,2016-02-02T05:00:00Z,521188,73.69
72.58,74.81,71.44,4363,73.92,2016-02-03T05:00:00Z,549806,72.41
72.73,73.26,71.52,3301,72.36,2016-02-04T05:00:00Z,343019,72.65
70.01,73.3,69.71,5667,72.26,2016-02-05T05:00:00Z,672854,70.49
69.96,70.03,68.19,4074,69.28,2016-02-08T05:00:00Z,412454,69.56
70.27,70.75,68.71,3010,69.4,2016-02-09T05:00:00Z,367735,69.92
70.39,71.87,70.37,2713,70.56,2016-02-10T05:00:00Z,277477,70.87
