c,h,l,n,o,t,v,vw
617.7,650.0,612.0,79,650.0,2016-01-04T05:00:00Z,235,624.25
708.0,750.0,622.0,1793,622.0,2016-01-05T05:00:00Z,3521,694.64
668.0,700.0,648.32,219,700.0,2016-01-06T05:00:00Z,632,666.3
620.0,650.0,604.0,255,626.0,2016-01-07T05:00:00Z,648,623.35
648.0,676.0,608.0,925,608.0,2016-01-08T05:00:00Z,1587,640.63
636.0,680.0,622.0,871,650.0,2016-01-11T05:00:00Z,1528,651.13
628.0,646.0,610.0,163,646.0,2016-01-12T05:00:00Z,299,621.73
588.0,638.0,568.0,76,638.0,2016-01-13T05:00:00Z,184,600.65
586.0,586.0,528.84,227,572.0,2016-01-14T05:00:00Z,364,549.83
528.0,590.0,504.0,150,590.0,2016-01-15T05:00:00Z,395,521.61
512.0,551.4,475.0,136,532.0,2016-01-19T05:00:00Z,223,515.31
492.0,510.0,454.02,108,510.0,2016-01-20T05:00:00Z,193,479.17
500.0,515.98,470.0,67,484.0,2016-01-21T05:00:00Z,127,485.96
504.0,514.0,480.0,46,511.6,2016-01-22T05:00:00Z,92,487.91
550.0,561.6,502.02,155,502.02,2016-01-25T05:00:00Z,340,531.73
538.0,572.0,530.0,79,572.0,2016-01-26T05:00:00Z,131,542.66
520.0,540.0,502.0,82,540.0,2016-01-27T05:00:00Z,148,517.43
510.0,520.0,500.0,64,520.0,2016-01-28T05:00:00Z,94,505.94
512.0,522.0,504.0,25,522.0,2016-01-29T05:00:00Z,51,513.93
492.0,513.98,492.0,49,504.0,2016-02-01T05:00:00Z,81,506.28
494.0,495.88,480.0,29,493.64,2016-02-02T05:00:00Z,38,488.4
502.0,508.0,480.0,56,484.0,2016-02-03T05:00:00Z,127,487.6
516.0,544.0,482.0,476,500.0,2016-02-04T05:00:00Z,894,520.8
504.0,539.98,482.0,61,539.98,2016-02-05T05:00:00Z,87,497.33
522.0,534.0,478.0,79,502.0,2016-02-08T05:00:00Z,90,491.88
514.0,521.98,490.0,54,518.0,2016-02-09T05:00:00Z,59,502.79
486.0,553.78,472.0,69,553.78,2016-02-10T05:00:00Z,119,486.65
466.0,470.58,440.0,82,464.12,2016-02-11T05:00:00Z,116,459.99
476.0,476.0,449.42,21,474.0,2016-02-12T05:00:00Z,41,459.32
528.0,550.0,492.0,177,492.0,2016-02-16T05:00:00Z,248,518.77
532.0,554.0,508.0,34,548.0,2016-02-17T05:00:00Z,40,536.28
510.0,552.0,447.5,379,508.0,2016-02-18T05:00:00Z,712,492.53
518.0,518.0,498.0,34,510.04,2016-02-19T05:00:00Z,20,506.53
522.0,523.72,504.0,118,520.0,2016-02-22T05:00:00Z,164,510.59
518.0,519.98,518.0,8,518.0,2016-02-23T05:00:00Z,8,519.32
528.0,528.0,512.0,16,516.0,2016-02-24T05:00:00Z,10,517.25
538.0,538.0,514.08,33,529.78,2016-02-25T05:00:00Z,33,523.81
564.0,573.84,520.0,123,529.84,2016-02-26T05:00:00Z,219,551.65
600.0,638.0,570.0,128,638.0,2016-02-29T05:00:00Z,173,603.68
614.0,627.82,600.0,72,614.0,2016-03-01T05:00:00Z,130,613.44
628.0,633.0,592.0,271,612.02,2016-03-02T05:00:00Z,549,611.59
620.0,622.0,608.0,45,622.0,2016-03-03T05:00:00Z,49,610.8
640.0,672.0,580.0,134,600.0,2016-03-04T05:00:00Z,194,627.31
644.0,654.0,611.0,96,617.62,2016-03-07T05:00:00Z,102,630.07
632.0,638.0,570.0,343,630.0,2016-03-08T05:00:00Z,322,609.02
610.0,620.8,588.0,49,620.0,2016-03-09T05:00:00Z,57,609.87
600.0,606.0,582.0,60,584.0,2016-03-10T05:00:00Z,94,595.44
634.0,648.0,598.16,73,612.0,2016-03-11T05:00:00Z,128,629.23
638.0,648.0,598.0,121,628.0,2016-03-14T04:00:00Z,129,624.95
644.0,672.0,600.22,210,618.0,2016-03-15T04:00:00Z,194,640.64
646.0,667.82,612.0,115,636.0,2016-03-16T04:00:00Z,176,648.35
742.0,770.0,662.02,465,664.0,2016-03-17T04:00:00Z,770,725.62
740.02,776.0,724.64,88,766.0,2016-03-18T04:00:00Z,179,749.36
920.0,1012.0,802.0,10060,802.0,2016-03-21T04:00:00Z,12603,919.16
908.0,990.0,868.0,2078,912.0,2016-03-22T04:00:00Z,3384,949.15
840.0,896.0,772.0,585,896.0,2016-03-23T04:00:00Z,1021,827.39
860.0,888.0,772.0,180,826.0,2016-03-24T04:00:00Z,368,850.18
918.0,920.1,830.0,252,854.0,2016-03-28T04:00:00Z,418,873.22
914.0,940.0,907.06,83,926.0,2016-03-29T04:00:00Z,163,919.55
880.0,921.46,844.0,124,910.0,2016-03-30T04:00:00Z,195,884.07
870.0,892.0,850.0,85,870.0,2016-03-31T04:00:00Z,54,866.82
920.0,974.8,840.0,304,860.0,2016-04-01T04:00:00Z,834,910.33
924.0,939.28,869.0,191,910.0,2016-04-04T04:00:00Z,386,910.87
914.0,940.0,824.0,347,904.0,2016-04-05T04:00:00Z,852,903.75
