c,h,l,n,o,t,v,vw
9.86,9.87,9.75,295,9.87,2022-02-09T05:00:00Z,81284,9.793293
9.85,9.86,9.765,28,9.86,2022-02-10T05:00:00Z,2902,9.854467
10.0331,10.0331,9.75,50,9.97,2022-02-11T05:00:00Z,2164,9.827555
9.85,9.85,9.85,19,9.85,2022-02-14T05:00:00Z,366,9.85
9.82,10.58,9.78,299,9.78,2022-02-15T05:00:00Z,168227,9.846293
9.8,9.8,9.79,7,9.79,2022-02-16T05:00:00Z,1600,9.799375
9.79,9.875,9.79,40,9.79,2022-02-17T05:00:00Z,6068,9.800293
9.8,9.8,9.8,15,9.8,2022-02-18T05:00:00Z,1402,9.8
9.8,9.8,9.8,0,9.8,2022-02-22T05:00:00Z,0,0.0
9.8,9.8,9.8,0,9.8,2022-02-23T05:00:00Z,0,0.0
9.84,9.84,9.8,12,9.82,2022-02-24T05:00:00Z,2156,9.828571
9.84,9.84,9.84,0,9.84,2022-02-25T05:00:00Z,0,0.0
9.84,9.84,9.84,0,9.84,2022-02-28T05:00:00Z,0,0.0
9.84,9.84,9.83,6,9.83,2022-03-01T05:00:00Z,10351,9.839709
9.84,9.84,9.84,0,9.84,2022-03-02T05:00:00Z,0,0.0
9.86,9.88,9.86,124,9.86,2022-03-03T05:00:00Z,650253,9.866249
9.88,9.88,9.86,273,9.88,2022-03-04T05:00:00Z,87282,9.878815
9.88,9.88,9.88,34,9.88,2022-03-07T05:00:00Z,11430,9.88
9.87,9.87,9.87,4,9.87,2022-03-08T05:00:00Z,10233,9.87
9.87,9.87,9.87,0,9.87,2022-03-09T05:00:00Z,0,0.0
9.87,9.87,9.87,0,9.87,2022-03-10T05:00:00Z,0,0.0
9.89,9.89,9.85,11,9.89,2022-03-11T05:00:00Z,37262,9.888562
9.89,9.89,9.89,0,9.89,2022-03-14T04:00:00Z,0,0.0
9.89,9.89,9.89,0,9.89,2022-03-15T04:00:00Z,0,0.0
9.89,9.9,9.85,87,9.89,2022-03-16T04:00:00Z,18891,9.892821
9.89,9.89,9.89,5,9.89,2022-03-17T04:00:00Z,6941,9.89
9.9,9.9,9.89,159,9.9,2022-03-18T04:00:00Z,48898,9.894875
9.9,9.9,9.9,51,9.9,2022-03-21T04:00:00Z,90333,9.9
9.9,9.9,9.84,143,9.9,2022-03-22T04:00:00Z,59051,9.876678
9.9,9.9,9.9,3,9.9,2022-03-23T04:00:00Z,5071,9.9
9.9,9.9,9.9,0,9.9,2022-03-24T04:00:00Z,0,0.0
9.89,9.91,9.85,37,9.91,2022-03-25T04:00:00Z,12749,9.859279
9.85,9.86,9.85,19,9.86,2022-03-28T04:00:00Z,35740,9.850777
9.85,9.85,9.85,7,9.85,2022-03-29T04:00:00Z,7659,9.85
9.87,9.87,9.86,2,9.86,2022-03-30T04:00:00Z,450,9.866667
9.88,9.88,9.86,13,9.86,2022-03-31T04:00:00Z,49667,9.862666
9.9,9.91,9.9,117,9.9,2022-04-01T04:00:00Z,32062,9.90768
9.87,9.87,9.87,8,9.87,2022-04-04T04:00:00Z,569,9.87
